ReachID,Name,RiverID,ClimateClass,RKm,WidthMean
585,Kuskanax_Creek_4,34,27,30,
586,Kuskanax_Creek_5,34,27,40,
587,Lake_River_1,35,9,0,1094
588,Lake_River_2,35,9,10,1094
589,Lake_River_3,35,9,20,1094
590,Lewis_River_1,36,9,0,1094
591,Lewis_River_10,36,18,90,
592,Lewis_River_11,36,18,100,
593,Lewis_River_12,36,18,110,
594,Lewis_River_13,36,18,120,
595,Lewis_River_14,36,19,130,
596,Lewis_River_15,36,19,140,
597,Lewis_River_2,36,9,10,97
598,Lewis_River_3,36,9,20,97
599,Lewis_River_4,36,9,30,97
600,Lewis_River_5,36,9,40,97
601,Lewis_River_6,36,9,50,
602,Lewis_River_7,36,9,60,
603,Lewis_River_8,36,9,70,
604,Lewis_River_9,36,9,80,
605,Little_White_Salmon_River_1,37,9,0,1094
606,Little_White_Salmon_River_2,37,18,10,1094
607,Little_White_Salmon_River_3,37,18,20,
608,Little_White_Salmon_River_4,37,18,30,
609,Lower_Crab_Creek_1,38,5,0,655
610,Lower_Crab_Creek_2,38,5,10,655
611,Lower_Crab_Creek_3,38,5,20,
612,Lower_Crab_Creek_4,38,5,30,
613,Lower_Crab_Creek_5,38,5,40,
614,Lower_Crab_Creek_6,38,5,50,
615,Lower_Crab_Creek_7,38,5,60,
616,Lower_Crab_Creek_8,38,5,70,
617,Methow_River_1,39,7,0,850
618,Methow_River_10,39,18,90,
619,Methow_River_11,39,18,100,
620,Methow_River_12,39,18,110,
621,Methow_River_13,39,18,120,
622,Methow_River_14,39,19,130,
623,Methow_River_15,39,19,140,
624,Methow_River_2,39,7,10,850
625,Methow_River_3,39,7,20,
626,Methow_River_4,39,7,30,
627,Methow_River_5,39,7,40,
628,Methow_River_6,39,7,50,
629,Methow_River_7,39,7,60,
630,Methow_River_8,39,7,70,
631,Methow_River_9,39,7,80,
632,Nespelem_River_1,40,7,0,432
633,Nespelem_River_2,40,7,10,432
634,Nespelem_River_3,40,7,20,
635,Nespelem_River_4,40,7,30,
636,Nespelem_River_5,40,7,40,
637,Okanogan_River_1,41,7,0,72
638,Okanogan_River_10,41,7,90,72
639,Okanogan_River_11,41,7,100,72
640,Okanogan_River_12,41,7,110,72
641,Okanogan_River_13,41,7,120,72
642,Okanogan_River_14,41,7,130,
643,Okanogan_River_15,41,7,140,
644,Okanogan_River_16,41,7,150,
645,Okanogan_River_17,41,7,160,
646,Okanogan_River_18,41,7,170,
647,Okanogan_River_19,41,7,180,
648,Okanogan_River_2,41,7,10,72
649,Okanogan_River_20,41,7,190,
650,Okanogan_River_21,41,7,200,
651,Okanogan_River_22,41,7,210,
652,Okanogan_River_23,41,7,220,
653,Okanogan_River_24,41,7,230,
654,Okanogan_River_25,41,7,240,
