year,mm-dd,location,parameter,unit,datatype,value,date
2023,5-13,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-13
2023,5-14,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-14
2023,5-15,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-05-15
2023,5-16,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-16
2023,5-17,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-17
2023,5-18,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-18
2023,5-19,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-19
2023,5-20,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-20
2023,5-21,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-21
2023,5-22,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-22
2023,5-23,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-23
2023,5-24,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-24
2023,5-25,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-25
2023,5-26,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-26
2023,5-27,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-27
2023,5-28,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-28
2023,5-29,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-29
2023,5-30,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-30
2023,5-31,MCA,ChinFa:A,fish/day,PIT Tags,,2023-05-31
2023,6-1,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-01
2023,6-2,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-02
2023,6-3,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-03
2023,6-4,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-04
2023,6-5,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-05
2023,6-6,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-06
2023,6-7,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-07
2023,6-8,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-08
2023,6-9,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-09
2023,6-10,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-10
2023,6-11,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-11
2023,6-12,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-06-12
2023,6-13,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-13
2023,6-14,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-14
2023,6-15,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-15
2023,6-16,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-16
2023,6-17,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-17
2023,6-18,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-18
2023,6-19,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-19
2023,6-20,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-20
2023,6-21,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-21
2023,6-22,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-22
2023,6-23,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-23
2023,6-24,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-24
2023,6-25,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-25
2023,6-26,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-26
2023,6-27,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-27
2023,6-28,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-28
2023,6-29,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-29
2023,6-30,MCA,ChinFa:A,fish/day,PIT Tags,,2023-06-30
2023,7-1,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-01
2023,7-2,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-02
2023,7-3,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-03
2023,7-4,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-04
2023,7-5,MCA,ChinFa:A,fish/day,PIT Tags,3.0,2023-07-05
2023,7-6,MCA,ChinFa:A,fish/day,PIT Tags,2.0,2023-07-06
2023,7-7,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-07
2023,7-8,MCA,ChinFa:A,fish/day,PIT Tags,2.0,2023-07-08
2023,7-9,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-09
2023,7-10,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-10
2023,7-11,MCA,ChinFa:A,fish/day,PIT Tags,,2023-07-11
2023,7-12,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-12
2023,7-13,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-13
2023,7-14,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-14
2023,7-15,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-15
2023,7-16,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-16
2023,7-17,MCA,ChinFa:A,fish/day,PIT Tags,,2023-07-17
2023,7-18,MCA,ChinFa:A,fish/day,PIT Tags,,2023-07-18
2023,7-19,MCA,ChinFa:A,fish/day,PIT Tags,1.0,2023-07-19
