date,qu,fb,af,qd
1982-11-22,64.80,5079.28,37730.18,204.13
1982-11-23,28.14,5078.95,37383.01,203.17
1982-11-24,54.83,5078.67,37090.33,202.39
1982-11-25,40.20,5078.36,36769.24,202.08
1982-11-26,71.88,5078.11,36512.34,201.40
1982-11-27,70.53,5077.85,36254.01,200.77
1982-11-28,92.82,5077.63,36040.66,200.38
1982-11-29,73.03,5077.53,35944.07,121.73
1982-11-30,68.21,5077.53,35944.07,68.21
1982-12-01,78.43,5077.55,35963.38,68.69
1982-12-02,91.98,5077.60,36011.90,67.52
1982-12-03,72.62,5077.61,36021.31,67.88
1982-12-04,67.88,5077.61,36021.31,67.88
1982-12-05,73.57,5077.62,36031.24,68.56
1982-12-06,107.84,5077.70,36108.68,68.80
1982-12-07,68.93,5077.70,36108.68,68.93
1982-12-08,63.91,5077.70,36108.68,63.91
1982-12-09,53.92,5077.67,36079.38,68.69
1982-12-10,68.69,5077.67,36079.38,68.69
1982-12-11,30.25,5077.67,36079.38,30.25
1982-12-12,43.86,5077.76,36166.37,0.00
1982-12-13,78.44,5077.92,36321.95,0.00
1982-12-14,34.56,5077.99,36390.49,0.00
1982-12-15,97.75,5078.18,36584.38,0.00
1982-12-16,93.20,5078.36,36769.24,0.00
1982-12-17,67.91,5078.49,36903.93,0.00
1982-12-18,46.94,5078.58,36997.03,0.00
1982-12-19,57.55,5078.69,37111.17,0.00
1982-12-20,52.60,5078.79,37215.51,0.00
1982-12-21,95.06,5078.97,37404.05,0.00
1982-12-22,79.44,5079.12,37561.62,0.00
1982-12-23,79.76,5079.27,37719.82,0.00
1982-12-24,64.19,5079.39,37847.13,0.00
1982-12-25,15.93,5079.42,37878.72,0.00
1982-12-26,42.96,5079.50,37963.93,0.00
1982-12-27,59.05,5079.61,38081.05,0.00
1982-12-28,53.98,5079.71,38188.11,0.00
1982-12-29,43.29,5079.79,38273.98,0.00
1982-12-30,59.53,5079.90,38392.06,0.00
1982-12-31,54.42,5080.00,38500.00,0.00
1983-01-01,46.37,5080.09,38591.97,0.00
1983-01-02,46.73,5080.18,38684.65,0.00
1983-01-03,56.98,5080.29,38797.66,0.00
1983-01-04,78.02,5080.44,38952.41,0.00
1983-01-05,109.81,5080.65,39170.22,0.00
1983-01-06,115.83,5080.87,39399.96,0.00
1983-01-07,126.85,5081.11,39651.57,0.00
1983-01-08,197.47,5081.48,40043.25,0.00
1983-01-09,91.29,5081.65,40224.32,0.00
1983-01-10,75.61,5081.79,40374.29,0.00
1983-01-11,70.32,5081.92,40513.76,0.00
1983-01-12,79.57,5082.07,40671.59,0.00
1983-01-13,46.75,5082.16,40764.32,0.00
1983-01-14,51.69,5082.26,40866.85,0.00
1983-01-15,67.84,5082.39,41001.41,0.00
1983-01-16,41.78,5082.47,41084.27,0.00
1983-01-17,52.08,5082.57,41187.57,0.00
1983-01-18,63.01,5082.69,41312.55,0.00
1983-01-19,84.27,5082.85,41479.70,0.00
1983-01-20,58.01,5082.96,41594.77,0.00
1983-01-21,47.55,5083.05,41689.09,0.00
1983-01-22,69.21,5083.18,41826.36,0.00
1983-01-23,53.04,5083.28,41931.56,0.00
1983-01-24,58.89,5083.39,42048.37,0.00
1983-01-25,64.06,5083.51,42175.44,0.00
1983-01-26,64.48,5083.63,42303.34,0.00
1983-01-27,64.71,5083.75,42431.70,0.00
1983-01-28,70.15,5083.88,42570.85,0.00
1983-01-29,59.81,5083.99,42689.48,0.00
1983-01-30,70.36,5084.12,42829.03,0.00
1983-01-31,48.80,5084.21,42925.82,0.00
1983-02-01,54.49,5084.31,43033.90,0.00
1983-02-02,59.95,5084.42,43152.80,0.00
1983-02-03,43.80,5084.50,43239.68,0.00
1983-02-04,54.87,5084.60,43348.52,0.00
1983-02-05,32.99,5084.66,43413.96,0.00
1983-02-06,44.07,5084.74,43501.37,0.00
1983-02-07,82.75,5084.89,43665.51,0.00
1983-02-08,44.34,5084.97,43753.46,0.00
1983-02-09,66.39,5085.09,43885.14,0.00
1983-02-10,27.98,5085.14,43940.63,0.00
1983-02-11,61.21,5085.25,44062.03,0.00
1983-02-12,67.13,5085.37,44195.18,0.00
1983-02-13,145.87,5085.63,44484.50,0.00
1983-02-14,84.62,5085.78,44652.35,0.00
1983-02-15,68.03,5085.90,44787.29,0.00
1983-02-16,90.82,5086.06,44967.43,0.00
1983-02-17,73.67,5086.19,45113.55,0.00
1983-02-18,85.32,5086.34,45282.78,0.00
1983-02-19,40.14,5086.41,45362.40,0.00
1983-02-20,51.37,5086.50,45464.30,0.00
1983-02-21,51.50,5086.59,45566.44,0.00
1983-02-22,57.52,5086.69,45680.52,0.00
1983-02-23,74.84,5086.82,45828.97,0.00
1983-02-24,104.22,5087.00,46035.68,0.00
1983-02-25,186.14,5087.32,46404.89,0.00
1983-02-26,152.58,5087.58,46707.52,0.00
1983-02-27,88.33,5087.73,46882.72,0.00
1983-02-28,94.77,5087.89,47070.70,0.00
1983-03-01,310.13,5088.43,47685.55,0.14
1983-03-02,772.58,5089.76,49217.93,0.00
1983-03-03,487.29,5090.58,50184.45,0.00
1983-03-04,331.44,5091.13,50841.86,0.00
1983-03-05,195.13,5091.45,51228.89,0.00
1983-03-06,153.32,5091.70,51532.99,0.00
1983-03-07,117.07,5091.89,51765.19,0.00
1983-03-08,150.99,5092.14,52064.67,0.00
1983-03-09,165.57,5092.40,52371.23,11.01
1983-03-10,199.74,5092.66,52680.25,43.94
1983-03-11,348.88,5093.12,53230.82,71.30
1983-03-12,183.26,5093.29,53435.64,80.00
1983-03-13,183.67,5093.46,53641.26,80.00
1983-03-14,165.31,5093.57,53774.58,98.09
1983-03-15,146.48,5093.61,53823.32,121.91
1983-03-16,135.80,5093.62,53835.80,129.51
1983-03-17,141.71,5093.64,53860.14,129.44
1983-03-18,141.81,5093.66,53884.49,129.53
1983-03-19,129.53,5093.66,53884.49,129.53
1983-03-20,129.26,5093.66,53884.49,129.26
1983-03-21,122.82,5093.65,53872.06,129.09
1983-03-22,128.97,5093.65,53872.06,128.97
1983-03-23,117.10,5093.63,53847.66,129.40
1983-03-24,116.64,5093.61,53823.32,128.91
1983-03-25,123.35,5093.60,53811.42,129.35
1983-03-26,122.59,5093.59,53799.00,128.85
1983-03-27,116.49,5093.57,53774.58,128.80
1983-03-28,116.86,5093.55,53750.28,129.11
1983-03-29,110.43,5093.52,53714.10,128.67
1983-03-30,74.27,5093.43,53605.15,129.20
1983-03-31,141.56,5093.45,53629.44,129.31
1983-04-01,153.50,5093.49,53677.95,129.04
1983-04-02,165.45,5093.55,53750.28,128.98
1983-04-03,142.41,5093.57,53774.58,130.16
1983-04-04,129.46,5093.57,53774.58,129.46
1983-04-05,129.53,5093.57,53774.58,129.53
1983-04-06,129.53,5093.57,53774.58,129.53
1983-04-07,129.53,5093.57,53774.58,129.53
1983-04-08,129.53,5093.57,53774.58,129.53
1983-04-09,129.53,5093.57,53774.58,129.53
1983-04-10,129.53,5093.57,53774.58,129.53
1983-04-11,117.38,5093.55,53750.28,129.63
1983-04-12,129.63,5093.55,53750.28,129.63
1983-04-13,123.63,5093.54,53738.39,129.62
1983-04-14,129.53,5093.54,53738.39,129.53
1983-04-15,129.55,5093.54,53738.39,129.55
1983-04-16,129.68,5093.54,53738.39,129.68
1983-04-17,129.53,5093.54,53738.39,129.53
1983-04-18,141.88,5093.56,53762.74,129.60
1983-04-19,154.56,5093.60,53811.42,130.02
1983-04-20,262.27,5093.79,54042.95,145.54
1983-04-21,134.70,5093.65,53872.06,220.86
1983-04-22,308.72,5093.52,53714.10,388.36
1983-04-23,794.43,5094.05,54360.90,468.33
1983-04-24,929.60,5094.79,55274.13,469.18
1983-04-25,1752.32,5096.54,57490.63,634.83
1983-04-26,932.11,5096.83,57865.00,743.37
1983-04-27,799.66,5096.92,57981.45,740.95
1983-04-28,911.88,5097.18,58320.18,741.10
1983-04-29,1006.83,5097.58,58844.44,742.52
1983-04-30,1399.51,5098.56,60144.04,744.29
1983-05-01,1628.52,5099.85,61893.52,746.49
1983-05-02,1871.81,5101.37,63937.20,841.45
1983-05-03,1881.38,5102.71,65745.84,969.52
1983-05-04,2001.88,5103.98,67472.44,1131.39
1983-05-05,2127.56,5105.21,69239.88,1236.48
1983-05-06,1871.02,5106.08,70500.00,1235.71
1983-05-07,1586.13,5106.57,71200.00,1233.21
1983-05-08,1950.98,5107.54,72622.73,1233.69
1983-05-09,1904.61,5108.45,73943.09,1238.93
1983-05-10,1596.84,5108.94,74648.93,1240.98
1983-05-11,1397.65,5109.61,75625.45,905.32
1983-05-12,1274.56,5110.23,76550.26,808.30
1983-05-13,1191.94,5110.80,77424.91,750.97
1983-05-14,1018.75,5111.14,77952.05,752.98
1983-05-15,1006.30,5111.46,78450.77,754.86
1983-05-16,946.48,5111.54,78576.10,883.29
1983-05-17,965.28,5111.54,78576.10,965.28
1983-05-18,942.72,5111.55,78591.47,934.97
1983-05-19,1100.82,5111.78,78952.66,918.72
1983-05-20,1220.86,5112.07,79406.26,992.17
1983-05-21,1209.11,5112.30,79757.20,1032.18
1983-05-22,1336.70,5112.60,80217.78,1104.49
1983-05-23,1292.27,5112.78,80494.59,1152.71
1983-05-24,1369.41,5112.97,80789.05,1220.95
1983-05-25,1370.24,5113.10,80990.48,1268.69
1983-05-26,1439.03,5113.28,81270.02,1298.10
1983-05-27,1367.36,5113.34,81363.70,1320.13
1983-05-28,1315.71,5113.43,81504.66,1244.64
1983-05-29,1196.50,5113.50,81613.94,1141.40
1983-05-30,1140.75,5113.50,81613.94,1140.75
1983-05-31,1058.95,5113.39,81442.11,1145.58
1983-06-01,1022.21,5113.23,81192.40,1148.11
1983-06-02,943.09,5112.97,80789.05,1146.45
1983-06-03,845.70,5112.84,80587.29,947.42
1983-06-04,825.71,5112.84,80587.29,825.71
1983-06-05,825.88,5112.84,80587.29,825.88
1983-06-06,826.55,5112.84,80587.29,826.55
1983-06-07,684.00,5112.77,80479.54,738.32
1983-06-08,642.09,5112.84,80587.29,587.77
1983-06-09,635.61,5112.90,80680.19,588.77
1983-06-10,589.03,5112.90,80680.19,589.03
1983-06-11,590.88,5112.90,80680.19,590.88
1983-06-12,599.00,5112.91,80696.04,591.01
1983-06-13,590.91,5112.91,80696.04,590.91
1983-06-14,583.01,5112.90,80680.19,591.00
1983-06-15,504.90,5112.79,80510.40,590.50
1983-06-16,334.47,5112.62,80248.54,466.49
1983-06-17,407.67,5112.67,80325.27,368.99
1983-06-18,366.79,5112.73,80417.77,320.15
1983-06-19,367.06,5112.79,80510.40,320.36
1983-06-20,359.11,5112.84,80587.29,320.34
1983-06-21,344.49,5112.87,80634.19,320.84
1983-06-22,375.24,5112.94,80742.15,320.81
1983-06-23,367.54,5113.00,80835.22,320.62
1983-06-24,321.44,5113.00,80835.22,321.44
1983-06-25,321.33,5113.00,80835.22,321.33
1983-06-26,313.59,5112.99,80820.03,321.25
1983-06-27,251.42,5112.90,80680.19,321.92
1983-06-28,314.66,5112.89,80665.03,322.30
1983-06-29,322.11,5112.89,80665.03,322.11
1983-06-30,306.92,5112.87,80634.19,322.47
1983-07-01,263.59,5112.81,80541.34,310.40
1983-07-02,306.36,5112.81,80541.34,306.36
1983-07-03,306.43,5112.81,80541.34,306.43
1983-07-04,298.44,5112.80,80525.52,306.42
1983-07-05,144.28,5112.60,80217.78,299.43
1983-07-06,301.95,5112.65,80294.40,263.32
1983-07-07,207.81,5112.60,80217.78,246.44
1983-07-08,167.06,5112.53,80109.68,221.56
1983-07-09,272.60,5112.61,80232.78,210.54
