date,qu,fb,mm,mx,mn,af,qj,qd
1982-03-05,636.06,2505.94,,50.20,33.30,20863.31,0.00,927.51
1982-03-06,676.65,2506.13,,49.65,27.48,21015.34,0.00,919.84
1982-03-07,665.07,2506.29,,54.13,29.37,21144.40,0.00,904.50
1982-03-08,580.78,2506.73,,51.77,33.61,21502.97,0.00,784.11
1982-03-09,555.81,2507.34,,59.16,34.24,22010.36,0.00,703.02
1982-03-10,466.08,2507.96,,60.03,36.99,22538.12,0.00,513.81
1982-03-11,458.14,2508.66,,58.30,30.31,23149.30,0.00,474.50
1982-03-12,453.23,2509.44,,48.86,28.58,23849.93,0.00,458.01
1982-03-13,370.19,2510.14,,50.52,34.95,24485.02,0.00,557.35
1982-03-14,359.08,2510.85,,47.76,39.98,25098.08,0.00,668.80
1982-03-15,362.20,2511.55,,42.97,31.96,25717.31,0.00,702.72
1982-03-16,245.58,2511.98,,49.65,27.64,26105.24,0.00,678.50
1982-03-17,197.51,2512.30,,45.80,29.05,26397.83,0.00,625.19
1982-03-18,203.72,2512.63,,42.81,34.48,26702.73,0.00,581.58
1982-03-19,134.73,2512.81,,42.97,32.43,26870.79,0.00,554.93
1982-03-20,144.66,2513.01,,45.40,31.25,27058.54,0.00,586.43
1982-03-21,126.16,2513.17,,48.86,26.46,27209.61,0.00,569.47
1982-03-22,141.16,2513.36,,52.17,27.01,27390.43,0.00,552.51
1982-03-23,107.76,2513.48,,61.13,31.33,27505.00,0.00,508.89
1982-03-24,98.41,2513.58,,62.54,36.68,27601.02,0.00,462.86
1982-03-25,93.61,2513.67,,59.16,36.05,27687.52,0.00,428.94
1982-03-26,98.74,2513.77,,61.05,40.29,27784.19,0.00,409.55
1982-03-27,84.23,2513.84,,57.36,42.97,27852.08,0.00,380.48
1982-03-28,79.28,2513.90,,55.23,38.49,27910.15,0.00,421.67
1982-03-29,94.21,2513.99,,47.53,32.67,27997.84,0.00,419.25
1982-03-30,84.47,2514.06,,45.88,33.77,28066.22,0.00,448.32
1982-03-31,-38.49,2513.88,,52.01,38.96,27890.70,0.00,501.62
1982-04-01,131.41,2513.55,,49.26,33.61,27572.18,33.00,600.96
1982-04-02,142.74,2513.24,,48.86,29.37,27276.13,33.00,659.11
1982-04-03,130.10,2512.90,,47.92,38.09,26955.01,33.00,627.61
1982-04-04,127.43,2512.55,,46.82,33.38,26628.60,33.00,593.69
1982-04-05,245.30,2512.45,,49.10,29.13,26535.97,33.00,584.00
1982-04-06,315.33,2512.50,,47.21,34.48,26582.24,33.00,542.81
1982-04-07,315.37,2512.55,,46.03,28.66,26628.60,33.00,530.70
1982-04-08,306.05,2512.58,,53.97,26.85,26656.47,33.00,479.82
1982-04-09,315.32,2512.63,,57.75,31.25,26702.73,33.00,460.44
1982-04-10,329.59,2512.71,,56.73,30.23,26777.29,33.00,455.59
1982-04-11,581.89,2513.32,,70.17,46.03,27352.27,33.00,525.85
1982-04-12,716.10,2514.19,,59.48,48.31,28193.46,33.00,702.72
1982-04-13,471.35,2514.55,,61.44,44.38,28549.20,33.00,840.83
1982-04-14,367.34,2514.70,,53.42,39.04,28698.63,33.00,934.72
1982-04-15,433.77,2514.98,,46.03,30.31,28979.82,33.00,943.91
1982-04-16,410.31,2515.23,,52.56,25.91,29214.49,33.00,943.91
1982-04-17,367.65,2515.39,,59.16,33.69,29364.54,33.00,965.37
1982-04-18,306.24,2515.42,,46.43,32.67,29392.79,33.00,919.39
1982-04-19,311.03,2515.46,,50.75,24.57,29430.54,33.00,897.94
1982-04-20,282.50,2515.44,,52.95,29.21,29411.69,33.00,885.68
1982-04-21,368.28,2515.60,,61.68,25.99,29562.98,33.00,867.29
1982-04-22,445.47,2515.92,,68.91,33.22,29867.39,33.00,855.02
1982-04-23,461.86,2516.27,,74.49,39.51,30204.30,33.00,824.37
1982-04-24,394.77,2516.48,,71.11,43.68,30408.15,33.00,824.37
1982-04-25,306.74,2516.51,,64.04,41.08,30437.39,33.00,809.05
1982-04-26,360.94,2516.65,,70.80,43.28,30574.13,33.00,784.53
1982-04-27,346.47,2516.76,,72.69,43.36,30682.17,33.00,766.14
1982-04-28,272.16,2516.72,,60.34,45.33,30642.81,33.00,812.11
1982-04-29,301.91,2516.74,,59.08,32.35,30662.46,33.00,842.76
1982-04-30,242.53,2516.64,,70.09,33.14,30564.33,33.00,833.57
1982-05-01,-78.61,2516.37,,75.28,45.33,30301.30,44.00,824.37
1982-05-02,-58.26,2516.14,,78.19,46.90,30078.63,44.00,769.20
1982-05-03,-76.51,2515.87,,65.77,43.05,29819.77,44.00,756.94
1982-05-04,-32.52,2515.69,,58.38,34.71,29648.16,44.00,668.06
1982-05-05,54.00,2515.69,,64.12,32.51,29648.16,44.00,597.56
1982-05-06,116.46,2515.82,,73.24,44.54,29772.04,44.00,536.26
1982-05-07,78.06,2515.87,,70.25,45.80,29819.77,44.00,530.13
1982-05-08,73.18,2515.91,,58.30,46.66,29857.82,44.00,502.55
1982-05-09,107.19,2516.02,,51.93,40.45,29963.33,44.00,413.66
1982-05-10,107.27,2516.13,,60.66,46.19,30068.99,44.00,297.19
1982-05-11,68.60,2516.16,,68.76,41.32,30097.94,44.00,530.13
1982-05-12,34.67,2516.12,,69.86,44.54,30059.59,44.00,530.13
1982-05-13,54.00,2516.12,,72.29,44.23,30059.59,44.00,447.38
1982-05-14,29.71,2516.07,,72.21,54.45,30011.41,44.00,332.42
1982-05-15,54.00,2516.07,,70.80,50.04,30011.41,44.00,341.42
1982-05-16,49.15,2516.06,,74.49,44.30,30001.79,44.00,327.02
1982-05-17,29.77,2516.01,,66.55,49.26,29953.73,44.00,318.02
1982-05-18,83.08,2516.07,,60.03,48.55,30011.41,44.00,310.82
1982-05-19,73.44,2516.11,,67.58,40.61,30049.96,44.00,337.82
1982-05-20,54.00,2516.11,,69.86,39.90,30049.96,44.00,391.82
1982-05-21,54.00,2516.11,,78.82,47.13,30049.96,44.00,422.42
1982-05-22,29.71,2516.06,,76.93,53.27,30001.79,44.00,372.02
1982-05-23,29.77,2516.01,,77.09,52.87,29953.73,44.00,309.02
1982-05-24,54.00,2516.01,,82.44,50.83,29953.73,44.00,282.02
1982-05-25,49.17,2516.00,,87.39,51.30,29944.14,44.00,260.42
1982-05-26,24.99,2515.94,,72.76,52.40,29886.59,44.00,251.42
1982-05-27,-3.75,2515.82,,58.93,41.08,29772.04,44.00,255.02
1982-05-28,10.73,2515.73,,60.74,40.53,29686.21,44.00,321.62
1982-05-29,10.87,2515.64,,63.96,44.85,29600.67,44.00,305.42
1982-05-30,25.43,2515.58,,68.36,39.35,29544.01,44.00,273.02
1982-05-31,30.13,2515.53,,75.52,50.44,29496.66,44.00,251.42
1982-06-01,-38.61,2515.39,,70.80,57.28,29364.54,34.00,222.62
1982-06-02,-9.81,2515.31,,74.02,46.66,29289.54,34.00,172.22
1982-06-03,13.81,2515.28,,66.95,53.50,29261.39,34.00,134.42
1982-06-04,9.08,2515.24,,60.19,48.71,29223.86,34.00,136.06
1982-06-05,4.39,2515.19,,60.97,40.06,29177.04,34.00,131.84
1982-06-06,-4.86,2515.12,,65.30,42.26,29111.87,34.00,156.23
1982-06-07,-19.00,2515.02,,64.51,48.86,29018.65,34.00,170.31
1982-06-08,23.31,2515.01,,71.66,38.64,29009.35,34.00,160.93
1982-06-09,18.21,2514.99,,73.47,47.21,28989.94,34.00,122.45
1982-06-10,33.09,2515.00,,81.96,50.75,29000.03,34.00,86.80
1982-06-11,-2.55,2514.94,,86.05,53.50,28939.44,34.00,76.48
1982-06-12,-7.42,2514.87,,75.28,59.08,28869.18,34.00,62.40
1982-06-13,12.78,2514.84,,78.19,52.40,28838.99,34.00,59.12
1982-06-14,2.69,2514.79,,84.32,60.34,28788.79,34.00,68.03
1982-06-15,2.73,2514.74,,86.44,59.87,28738.67,34.00,53.49
1982-06-16,-22.42,2514.64,,90.61,61.29,28638.67,34.00,38.94
1982-06-17,-32.15,2514.52,,90.45,63.41,28519.37,34.00,33.31
1982-06-18,-32.02,2514.40,,86.21,64.59,28400.33,34.00,27.98
1982-06-19,-51.51,2514.24,,90.45,58.69,28242.62,34.00,34.25
1982-06-20,-70.80,2514.04,,91.87,63.88,28046.66,34.00,40.35
1982-06-21,-60.30,2513.86,,89.20,64.35,27871.51,34.00,38.21
1982-06-22,-55.02,2513.69,,86.13,61.60,27706.85,34.00,33.10
1982-06-23,-25.36,2513.58,,87.07,60.03,27601.02,34.00,40.40
1982-06-24,-49.38,2513.42,,85.03,54.92,27447.54,34.00,27.98
1982-06-25,-34.44,2513.29,,80.55,61.21,27323.69,34.00,32.37
1982-06-26,-43.84,2513.14,,88.96,59.71,27181.19,34.00,36.75
1982-06-27,-57.58,2512.96,,86.05,64.51,27011.44,34.00,35.29
1982-06-28,-47.63,2512.80,,71.51,59.32,26861.44,34.00,64.49
1982-06-29,-0.30,2512.74,,68.91,56.96,26805.30,34.00,81.28
1982-06-30,-4.93,2512.67,,83.14,57.91,26739.99,34.00,104.65
1982-07-01,294.30,2513.24,,73.87,58.46,27276.13,31.00,142.61
1982-07-02,260.65,2513.73,,73.00,57.43,27745.51,31.00,152.11
1982-07-03,249.84,2514.19,,71.11,53.58,28193.46,31.00,178.39
1982-07-04,168.28,2514.48,,72.29,53.42,28479.64,31.00,149.19
1982-07-05,169.74,2514.77,,73.87,51.46,28768.72,31.00,148.46
1982-07-06,130.43,2514.98,,80.63,49.81,28979.82,31.00,132.39
1982-07-07,76.46,2515.09,,74.89,60.66,29083.87,31.00,116.33
1982-07-08,137.17,2515.33,,74.97,53.58,29308.34,31.00,106.11
1982-07-09,138.03,2515.57,,80.47,56.02,29534.52,31.00,92.97
1982-07-10,90.88,2515.71,,88.33,60.50,29667.17,31.00,79.09
1982-07-11,81.68,2515.83,,91.32,61.68,29781.58,31.00,68.14
1982-07-12,38.44,2515.86,,93.21,67.26,29810.22,31.00,51.30
1982-07-13,-0.07,2515.81,,93.91,68.52,29762.47,31.00,32.62
1982-07-14,-19.24,2515.72,,82.04,57.83,29676.70,31.00,22.31
1982-07-15,-33.33,2515.60,,78.27,52.09,29562.98,31.00,19.74
1982-07-16,-47.53,2515.45,,77.40,53.27,29421.11,31.00,23.60
1982-07-17,-37.60,2515.32,,82.59,53.42,29298.92,31.00,39.06
1982-07-18,-46.87,2515.17,,88.96,56.41,29158.35,31.00,40.99
1982-07-19,-46.43,2515.02,,93.99,63.49,29018.65,31.00,55.16
1982-07-20,-56.44,2514.86,,94.15,64.59,28859.10,31.00,47.43
1982-07-21,-77.07,2514.66,,95.25,66.87,28658.64,31.00,27.47
1982-07-22,-91.26,2514.43,,86.37,61.05,28430.03,31.00,58.38
1982-07-23,-65.51,2514.25,,89.51,62.62,28252.48,31.00,17.81
1982-07-24,-60.04,2514.08,,84.87,63.25,28085.79,31.00,20.38
1982-07-25,-54.74,2513.92,,95.88,64.82,27929.62,31.00,24.25
1982-07-26,-78.57,2513.71,,96.74,66.16,27726.17,31.00,28.11
1982-07-27,-53.64,2513.55,,91.32,65.92,27572.18,31.00,25.54
1982-07-28,-67.63,2513.36,,83.06,70.48,27390.43,31.00,40.99
1982-07-29,-48.02,2513.21,,93.91,65.06,27247.58,31.00,42.93
1982-07-30,-61.79,2513.03,,95.88,64.35,27077.41,31.00,42.93
1982-07-31,-55.36,2512.81,,96.27,66.24,26920.00,31.00,44.21
1982-08-01,-20.54,2512.63,,87.78,68.20,26702.73,15.00,46.15
1982-08-02,14.25,2512.47,,80.00,54.84,26554.47,15.00,56.45
1982-08-03,5.37,2512.29,,80.08,60.66,26388.59,15.00,58.38
1982-08-04,5.91,2512.11,,85.42,56.25,26223.79,15.00,46.15
1982-08-05,1.73,2511.92,,90.06,58.61,26050.70,15.00,35.20
1982-08-06,6.95,2511.74,,95.64,62.86,25887.96,15.00,27.47
1982-08-07,-15.09,2511.51,,89.67,68.05,25681.50,15.00,26.82
1982-08-08,-18.77,2511.27,,93.83,72.37,25467.75,15.00,32.62
1982-08-09,-8.96,2511.05,,91.95,63.64,25273.44,15.00,41.64
1982-08-10,-12.65,2510.82,,87.39,64.43,25071.83,15.00,44.21
1982-08-11,-24.92,2510.56,,78.82,60.58,24845.88,15.00,42.28
1982-08-12,2.08,2510.36,,80.16,51.07,24673.48,15.00,40.99
1982-08-13,-6.02,2510.14,,92.11,58.61,24485.02,15.00,40.35
1982-08-14,-31.84,2509.87,,85.11,63.96,24245.34,15.00,45.50
1982-08-15,-27.26,2509.62,,87.23,58.77,24014.74,15.00,50.01
1982-08-16,-21.66,2509.38,,90.06,61.21,23795.24,15.00,52.59
1982-08-17,-29.53,2509.12,,92.58,62.54,23560.13,15.00,48.72
1982-08-18,-32.97,2508.85,,86.99,65.30,23318.21,15.00,45.50
1982-08-19,-18.37,2508.61,,93.44,61.05,23105.25,15.00,43.57
1982-08-20,-35.01,2508.33,,93.28,69.15,22859.28,15.00,39.06
1982-08-21,-3.13,2508.12,,95.33,62.62,22676.54,15.00,39.06
1982-08-22,-11.17,2507.89,,97.77,68.52,22477.85,15.00,43.57
1982-08-23,-23.09,2507.63,,93.52,59.01,22255.52,15.00,41.64
1982-08-24,-21.85,2507.37,,88.41,56.96,22035.65,15.00,35.20
1982-08-25,-12.55,2507.13,,91.08,60.42,21834.22,15.00,33.26
1982-08-26,-19.77,2506.87,,94.94,63.72,21618.47,15.00,38.42
1982-08-27,-14.66,2506.62,,91.79,63.88,21412.87,15.00,40.99
1982-08-28,-9.68,2506.38,,90.85,63.72,21217.14,15.00,41.64
1982-08-29,-12.74,2506.13,,80.00,67.73,21015.34,15.00,0.00
1982-08-30,-7.75,2505.89,,79.60,58.61,20823.44,15.00,0.00
1982-08-31,-2.89,2505.66,,82.28,52.24,20641.18,15.00,0.00
1982-09-01,-53.23,2505.46,,85.50,54.52,20484.03,23.00,0.00
1982-09-02,-52.64,2505.26,,86.68,57.43,20328.05,23.00,0.00
1982-09-03,-44.25,2505.08,,85.82,59.40,20188.71,23.00,0.00
1982-09-04,-64.96,2504.86,,82.20,54.45,20008.29,23.00,0.00
1982-09-05,-42.09,2504.70,,83.93,51.22,19873.23,23.00,0.00
1982-09-06,-41.53,2504.54,,87.47,55.23,19739.29,23.00,0.00
1982-09-07,-36.99,2504.39,,87.23,60.81,19614.36,23.00,0.00
1982-09-08,-19.84,2504.28,,89.59,57.83,19523.43,23.00,0.00
1982-09-09,5.18,2504.23,,91.71,59.08,19482.14,23.00,0.00
1982-09-10,-60.83,2504.02,,66.63,53.27,19309.91,23.00,0.00
1982-09-11,-15.11,2503.92,,65.85,40.06,19228.36,23.00,0.00
1982-09-12,-23.02,2503.80,,71.51,51.14,19131.14,23.00,0.00
1982-09-13,-31.00,2503.66,,66.16,51.77,19018.08,23.00,0.00
1982-09-14,-38.62,2503.50,,59.08,48.16,18889.91,23.00,0.00
1982-09-15,-26.17,2503.37,,63.57,37.46,18786.43,23.00,0.00
1982-09-16,-18.00,2503.26,,67.81,40.06,18699.16,23.00,0.00
1982-09-17,-9.85,2503.17,,77.17,46.35,18628.06,23.00,0.00
1982-09-18,-1.69,2503.10,,80.47,50.91,18573.14,23.00,0.00
1982-09-19,-1.71,2503.03,,69.31,53.11,18518.17,23.00,0.00
1982-09-20,33.91,2503.05,,68.20,46.51,18533.86,23.00,0.00
1982-09-21,14.14,2503.02,,74.49,46.11,18510.33,23.00,0.00
1982-09-22,22.06,2503.01,,78.27,50.59,18502.51,23.00,0.00
1982-09-23,29.94,2503.02,,81.57,52.72,18510.33,23.00,0.00
1982-09-24,14.16,2502.99,,70.25,56.02,18486.85,23.00,0.00
1982-09-25,29.94,2503.00,,76.77,50.52,18494.66,23.00,0.00
1982-09-26,2.35,2502.94,,69.38,50.75,18447.75,23.00,0.00
1982-09-27,2.42,2502.88,,63.41,53.19,18400.97,23.00,0.00
1982-09-28,6.48,2502.83,,57.98,47.53,18362.25,23.00,0.00
1982-09-29,18.17,2502.81,,61.36,41.16,18346.71,23.00,0.00
1982-09-30,14.26,2502.78,,62.78,46.82,18323.43,23.00,0.00
1982-10-01,0.18,2502.76,,64.82,41.40,18307.92,12.00,0.00
1982-10-02,8.00,2502.76,,66.95,39.35,18307.92,12.00,0.00
1982-10-03,0.19,2502.74,,64.43,52.17,18292.43,12.00,0.00
1982-10-04,8.00,2502.74,,57.59,45.01,18292.43,12.00,0.00
1982-10-05,11.90,2502.75,,61.29,34.24,18300.17,12.00,0.00
1982-10-06,8.00,2502.75,,62.23,40.06,18300.17,12.00,0.00
1982-10-07,-15.40,2502.69,,57.04,42.73,18253.76,12.00,0.00
1982-10-08,-3.69,2502.66,,55.94,39.35,18230.58,12.00,0.00
1982-10-09,-3.66,2502.63,,63.80,44.23,18207.46,12.00,0.00
1982-10-10,-7.44,2502.59,,64.67,34.24,18176.84,12.00,0.00
1982-10-11,-3.64,2502.56,,75.75,38.41,18153.76,12.00,0.00
1982-10-12,-11.35,2502.51,,71.74,48.39,18115.38,12.00,0.00
1982-10-13,-15.17,2502.45,,75.75,43.36,18069.42,12.00,0.00
1982-10-14,-3.56,2502.42,,73.87,44.46,18046.50,12.00,0.00
1982-10-15,0.31,2502.40,,70.33,45.48,18031.24,12.00,0.00
1982-10-16,4.14,2502.39,,70.48,43.20,18023.59,12.00,0.00
1982-10-17,-7.28,2502.35,,59.95,38.88,17993.28,12.00,0.00
1982-10-18,4.16,2502.34,,54.29,34.87,17985.67,12.00,0.00
1982-10-19,8.00,2502.34,,54.37,24.02,17985.67,12.00,0.00
1982-10-20,19.52,2502.37,,55.63,26.38,18008.52,12.00,0.00
1982-10-21,11.75,2502.38,,65.22,41.55,18015.96,12.00,0.00
1982-10-22,15.70,2502.40,,73.94,52.09,18031.24,12.00,0.00
1982-10-23,11.84,2502.41,,68.99,50.20,18038.86,12.00,0.00
1982-10-24,8.00,2502.41,,65.92,45.33,18038.86,12.00,0.00
1982-10-25,19.56,2502.44,,65.37,48.08,18061.79,12.00,0.00
1982-10-26,27.28,2502.49,,56.25,42.89,18100.03,12.00,0.00
1982-10-27,31.22,2502.55,,55.47,36.13,18146.09,12.00,0.00
1982-10-28,42.82,2502.64,,52.24,28.66,18215.15,12.00,0.00
1982-10-29,78.25,2502.70,,47.21,42.81,18354.48,12.00,0.00
1982-10-30,35.51,2502.87,,,,18409.04,12.00,0.00
1982-10-31,35.51,2502.97,,,,18463.61,12.00,0.00
1982-11-01,27.51,2503.03,,54.84,35.97,18518.17,0.00,0.00
1982-11-02,11.87,2503.06,,52.01,30.70,18541.72,0.00,0.00
1982-11-03,19.80,2503.11,,50.91,27.01,18580.99,0.00,0.00
1982-11-04,19.75,2503.16,,46.66,29.60,18620.17,0.00,0.00
1982-11-05,19.89,2503.21,,49.18,30.78,18659.62,0.00,0.00
1982-11-06,15.95,2503.25,,51.22,31.65,18691.25,0.00,0.00
1982-11-07,15.97,2503.29,,42.26,25.44,18722.93,0.00,0.00
1982-11-08,19.99,2503.34,,47.92,26.85,18762.58,0.00,0.00
1982-11-09,19.95,2503.39,,46.98,29.21,18802.16,0.00,0.00
1982-11-10,16.06,2503.43,,42.50,30.62,18834.02,0.00,0.00
1982-11-11,16.09,2503.47,,47.68,26.14,18865.93,0.00,0.00
1982-11-12,12.09,2503.50,,36.44,23.23,18889.91,0.00,0.00
1982-11-13,12.09,2503.53,,44.23,26.14,18913.90,0.00,0.00
1982-11-14,12.12,2503.56,,41.63,19.46,18937.94,0.00,0.00
1982-11-15,16.18,2503.60,,41.47,18.12,18970.03,0.00,0.00
1982-11-16,20.18,2503.65,,35.03,25.75,19010.05,0.00,0.00
1982-11-17,28.43,2503.72,,45.80,31.10,19066.44,0.00,0.00
1982-11-18,28.53,2503.79,,53.66,37.94,19123.02,0.00,0.00
1982-11-19,32.72,2503.87,,48.79,34.32,19187.91,0.00,0.00
1982-11-20,16.29,2503.91,,45.72,32.04,19220.22,0.00,0.00
1982-11-21,24.65,2503.97,,44.38,30.00,19269.11,0.00,0.00
1982-11-22,16.46,2504.01,,39.43,22.21,19301.76,0.00,0.00
1982-11-23,12.36,2504.04,,34.32,16.63,19326.27,0.00,0.00
1982-11-24,4.13,2504.05,,31.88,13.96,19334.46,0.00,0.00
1982-11-25,16.52,2504.09,,34.24,13.64,19367.23,0.00,0.00
1982-11-26,12.41,2504.12,,32.12,16.32,19391.85,0.00,0.00
1982-11-27,24.76,2504.18,,35.73,22.61,19440.96,0.00,0.00
1982-11-28,24.92,2504.24,,41.32,29.05,19490.39,0.00,0.00
1982-11-29,37.51,2504.33,,48.31,32.51,19564.79,0.00,0.00
1982-11-30,0.00,2504.33,,41.87,34.01,19564.79,0.00,0.00
1982-12-01,41.65,2504.25,,45.25,34.40,19498.65,0.00,0.00
1982-12-02,54.22,2504.20,,40.85,29.84,19457.43,0.00,0.00
1982-12-03,25.40,2504.08,,40.06,32.98,19359.05,0.00,0.00
1982-12-04,17.32,2503.94,,53.66,34.48,19244.65,0.00,0.00
1982-12-05,66.79,2503.92,,39.67,31.73,19228.36,0.00,0.00
1982-12-06,165.60,2504.14,,43.91,36.05,19408.06,0.00,0.00
1982-12-07,83.30,2504.16,,41.08,32.90,19424.52,0.00,0.00
1982-12-08,54.38,2504.11,,34.32,22.05,19383.62,0.00,0.00
1982-12-09,33.73,2504.01,,37.54,20.95,19301.76,0.00,0.00
1982-12-10,29.80,2503.90,,38.25,17.42,19212.10,0.00,0.00
1982-12-11,26.02,2503.78,,34.87,19.77,19114.95,0.00,0.00
1982-12-12,30.22,2503.67,,30.62,19.22,19026.14,0.00,0.00
1982-12-13,26.50,2503.55,,40.45,21.66,18929.94,0.00,0.00
1982-12-14,54.82,2503.50,,34.24,19.70,18889.91,0.00,0.00
1982-12-15,42.79,2503.42,,38.80,34.01,18826.03,0.00,0.00
1982-12-16,51.03,2503.36,,40.06,30.78,18778.49,0.00,0.00
1982-12-17,58.98,2503.32,,45.72,34.79,18746.71,0.00,0.00
1982-12-18,79.00,2503.33,,40.45,29.37,18754.65,0.00,0.00
1982-12-19,51.02,2503.27,,39.12,29.05,18707.08,0.00,0.00
1982-12-20,59.05,2503.23,,37.86,27.32,18675.44,0.00,0.00
1982-12-21,259.94,2503.69,,46.11,33.53,19042.26,0.00,0.00
1982-12-22,587.60,2504.92,,41.32,31.25,20058.98,0.00,0.00
1982-12-23,148.19,2505.10,,38.49,31.65,20204.16,0.00,0.00
1982-12-24,10.36,2504.94,,38.96,13.17,20075.95,0.00,0.00
1982-12-25,-18.72,2504.72,,20.56,8.45,19890.05,0.00,0.00
1982-12-26,-1.01,2504.54,,28.27,14.90,19739.29,0.00,0.00
1982-12-27,-25.50,2504.30,,31.17,7.82,19539.96,0.00,0.00
1982-12-28,-49.21,2504.00,,19.38,1.54,19293.59,0.00,0.00
1982-12-29,-43.58,2503.71,,20.95,3.66,19058.39,0.00,0.00
