date,qu,qd,qt,mm,mx,mn
1982-03-04,8199.59,2790.00,,,,
1982-03-05,7861.94,3460.00,,,,
1982-03-06,10032.18,3810.00,,,,
1982-03-07,10036.88,3820.00,,,,
1982-03-08,6398.20,3810.00,,,,
1982-03-09,13794.31,3820.00,,,,
1982-03-10,10147.76,3810.00,,,,
1982-03-11,10374.84,4050.00,,,,
1982-03-12,8765.66,4270.00,,,,
1982-03-13,11486.52,4270.00,,,,
1982-03-14,11595.47,4340.00,,,,
1982-03-15,11871.01,4610.00,,,,
1982-03-16,12017.53,4770.00,,,,
1982-03-17,12423.29,4750.00,,,,
1982-03-18,12192.54,4800.00,,,,
1982-03-19,7309.70,4850.00,,,,
1982-03-20,13096.09,4880.00,,,,
1982-03-21,13168.92,4830.00,,,,
1982-03-22,12965.33,4880.00,,,,
1982-03-23,13208.08,4850.00,,,,
1982-03-24,10698.46,4820.00,,,,
1982-03-25,13284.75,5330.00,,,,
1982-03-26,17086.34,13400.00,,,,
1982-03-27,13233.57,13800.00,,,,
1982-03-28,13048.46,13900.00,,,,
1982-03-29,12097.43,13800.00,,,,
1982-03-30,13902.39,13900.00,,,,
1982-03-31,12940.77,13800.00,,,,
1982-04-01,18478.63,14500.00,,,,
1982-04-02,18685.08,15000.00,,,,
1982-04-03,17091.33,15100.00,,,,
1982-04-04,17086.92,15100.00,,,,
1982-04-05,17271.90,15000.00,,,,
1982-04-06,16513.56,15100.00,,,,
1982-04-07,14031.80,14600.00,,,,
1982-04-08,13900.00,13900.00,,,,
1982-04-09,10427.22,12700.00,,,,
1982-04-10,11171.67,12300.00,,,,
1982-04-11,11164.62,12300.00,,,,
1982-04-12,11168.40,12300.00,,,,
1982-04-13,14281.75,12300.00,,,,
1982-04-14,14000.00,14000.00,,,,
1982-04-15,16336.77,15200.00,,,,
1982-04-16,16513.18,15100.00,,,,
1982-04-17,16808.62,15100.00,,,,
1982-04-18,16619.23,15200.00,,,,
1982-04-19,16808.75,15100.00,,,,
1982-04-20,16623.01,15200.00,,,,
1982-04-21,16933.07,15200.00,,,,
1982-04-22,16355.30,15200.00,,,,
1982-04-23,16355.36,15200.00,,,,
1982-04-24,16638.70,15200.00,,,,
1982-04-25,17042.42,15600.00,,,,
1982-04-26,16348.49,15200.00,,,,
1982-04-27,17510.72,15200.00,,,,
1982-04-28,17123.60,15100.00,,,,
1982-04-29,16160.66,15000.00,,,,
1982-04-30,18192.49,15600.00,,,,
1982-05-01,20715.02,16100.00,,,,
1982-05-02,20616.66,16000.00,,,,
1982-05-03,21643.65,17300.00,,,,
1982-05-04,19312.38,18100.00,,,,
1982-05-05,25386.75,19200.00,,,,
1982-05-06,22483.99,19800.00,,,,
1982-05-07,23069.68,20400.00,,,,
1982-05-08,24369.62,21700.00,,,,
1982-05-09,22637.15,22300.00,,,,
1982-05-10,23227.07,22900.00,,,,
1982-05-11,22066.62,23200.00,,,,
1982-05-12,22557.85,23400.00,,,,
1982-05-13,21571.46,23300.00,,,,
1982-05-14,21871.70,23300.00,,,,
1982-05-15,17188.25,23300.00,,,,
1982-05-16,20891.25,23200.00,,,,
1982-05-17,21576.46,23300.00,,,,
1982-05-18,21569.39,23000.00,,,,
1982-05-19,20588.04,22000.00,,,,
1982-05-20,20094.55,21500.00,,,,
1982-05-21,20474.49,21600.00,,,,
1982-05-22,20478.96,21600.00,,,,
1982-05-23,24005.03,20800.00,,,,
1982-05-24,22569.17,20200.00,,,,
1982-05-25,22280.91,19300.00,,,,
1982-05-26,19150.38,17900.00,,,,
1982-05-27,18658.45,17400.00,,,,
1982-05-28,18756.61,17200.00,,,,
1982-05-29,19050.16,17200.00,,,,
1982-05-30,21936.52,19800.00,,,,
1982-05-31,23650.54,21800.00,,,,
1982-06-01,22686.16,22000.00,,,,
1982-06-02,23658.54,21800.00,,,,
1982-06-03,21413.84,21900.00,,,,
1982-06-04,19032.09,21900.00,,,,
1982-06-05,17644.93,21100.00,,,,
1982-06-06,20903.00,20800.00,,,,
1982-06-07,19889.78,20400.00,,,,
1982-06-08,18603.92,19400.00,,,,
1982-06-09,17694.23,17300.00,,,,
1982-06-10,15587.93,15200.00,,,,
1982-06-11,12988.93,12600.00,,,,
1982-06-12,10895.71,10200.00,,,,
1982-06-13,10696.74,10300.00,,,,
1982-06-14,11101.16,10400.00,,,,
1982-06-15,9065.47,10700.00,,,,
1982-06-16,10051.85,10800.00,,,,
1982-06-17,9851.69,10900.00,,,,
1982-06-18,9465.40,11100.00,,,,
1982-06-19,9639.47,11300.00,,,,
1982-06-20,11983.93,11600.00,,,,
1982-06-21,10856.70,12200.00,,,,
1982-06-22,10297.53,12500.00,,,,
1982-06-23,9443.16,12500.00,,,,
1982-06-24,10204.28,12400.00,,,,
1982-06-25,9804.28,12000.00,,,,
1982-06-26,10277.87,11600.00,,,,
1982-06-27,12566.14,11300.00,,,,
1982-06-28,12289.58,11000.00,,,,
1982-06-29,13048.78,10900.00,,,,
1982-06-30,12672.19,11100.00,,,,
1982-07-01,14049.66,11600.00,,,,
1982-07-02,13590.24,12000.00,,,,
1982-07-03,14923.50,12200.00,,,,
1982-07-04,19147.91,12300.00,,,,
1982-07-05,20488.04,14800.00,,,,
1982-07-06,15233.47,16000.00,,,,
1982-07-07,16893.16,16200.00,,,,
1982-07-08,17994.38,16700.00,,,,
1982-07-09,18756.30,17200.00,,,,
1982-07-10,17198.00,17100.00,,,,
1982-07-11,15742.62,16800.00,,,,
1982-07-12,16342.85,17100.00,,,,
1982-07-13,16344.61,17100.00,,,,
1982-07-14,12122.71,16100.00,,,,
1982-07-15,14139.84,14600.00,,,,
1982-07-16,13715.23,13300.00,,,,
1982-07-17,15924.84,12600.00,,,,
1982-07-18,16532.08,13200.00,,,,
1982-07-19,14393.26,13400.00,,,,
1982-07-20,12420.95,12300.00,,,,
1982-07-21,12504.90,11800.00,,,,
1982-07-22,11922.26,11800.00,,,,
1982-07-23,8703.93,12100.00,,,,
1982-07-24,9754.25,12000.00,,,,
1982-07-25,8668.32,11200.00,,,,
1982-07-26,12245.38,11000.00,,,,
1982-07-27,11363.93,11000.00,,,,
1982-07-28,12558.61,11000.00,,,,
1982-07-29,11171.99,10800.00,,,,
1982-07-30,11522.31,10300.00,,,,
1982-07-31,11388.83,10200.00,,,,
1982-08-01,11421.93,10200.00,,,,
1982-08-02,9505.15,10900.00,,,,
1982-08-03,10101.94,11500.00,,,,
1982-08-04,13827.53,12000.00,,,,
1982-08-05,9538.21,12400.00,,,,
1982-08-06,5934.97,12600.00,,,,
1982-08-07,8465.94,12200.00,,,,
1982-08-08,6440.23,12000.00,,,,
1982-08-09,6140.17,11700.00,,,,
1982-08-10,6684.02,11800.00,,,,
1982-08-11,2922.12,11800.00,,,,
1982-08-12,4716.64,11800.00,,,,
1982-08-13,8736.99,11800.00,,,,
1982-08-14,4219.15,11800.00,,,,
1982-08-15,4950.77,11700.00,,,,
1982-08-16,4682.35,11700.00,,,,
1982-08-17,6196.87,11700.00,,,,
1982-08-18,4357.28,11800.00,,,,
1982-08-19,5973.51,12300.00,,,,
1982-08-20,2953.40,12600.00,,,,
1982-08-21,5930.56,12700.00,,,,
1982-08-22,5515.51,12300.00,,,,
1982-08-23,2148.04,12200.00,,,,
1982-08-24,4003.80,12300.00,,,,
1982-08-25,1016.71,12500.00,,,,
1982-08-26,1901.29,12800.00,,,,
1982-08-27,6291.24,12800.00,,,,
1982-08-28,4806.21,12900.00,,,,
1982-08-29,5560.04,12600.00,,,,
1982-08-30,5617.38,11800.00,,,,
1982-08-31,5507.20,11400.00,,,,
1982-09-01,6304.09,10900.00,,,,
1982-09-02,7439.28,10500.00,,,,
1982-09-03,5849.06,10200.00,,,,
1982-09-04,4323.38,10200.00,,,,
1982-09-05,7202.62,10200.00,,,,
1982-09-06,5363.33,10400.00,,,,
1982-09-07,6902.04,10400.00,,,,
1982-09-08,5563.33,10600.00,,,,
1982-09-09,4746.79,10800.00,,,,
1982-09-10,-253.93,10900.00,,,,
1982-09-11,4133.09,10800.00,,,,
1982-09-12,6368.63,10800.00,,,,
1982-09-13,7363.11,10300.00,,,,
1982-09-14,3667.86,9690.00,,,,
1982-09-15,2087.85,9080.00,,,,
1982-09-16,7624.16,8560.00,,,,
1982-09-17,7151.29,8340.00,,,,
1982-09-18,7854.05,8340.00,,,,
1982-09-19,6169.29,8350.00,,,,
1982-09-20,9714.82,8020.00,,,,
1982-09-21,7084.05,7570.00,,,,
1982-09-22,7242.98,7480.00,,,,
1982-09-23,7945.89,7460.00,,,,
1982-09-24,8262.98,7540.00,,,,
1982-09-25,7955.95,7470.00,,,,
1982-09-26,8390.71,7170.00,,,,
1982-09-27,9180.77,7000.00,,,,
1982-09-28,7545.89,7060.00,,,,
1982-09-29,11038.29,6670.00,,,,
1982-09-30,10589.11,6220.00,,,,
1982-10-01,8457.07,5750.00,,,,
1982-10-02,11865.96,5390.00,,,,
1982-10-03,11255.62,5290.00,,,,
1982-10-04,10816.66,5580.00,,,,
1982-10-05,10739.32,5770.00,,,,
1982-10-06,11932.73,5870.00,,,,
1982-10-07,11734.62,5890.00,,,,
1982-10-08,10747.08,5920.00,,,,
1982-10-09,11225.85,5890.00,,,,
1982-10-10,10777.08,5950.00,,,,
1982-10-11,12133.54,5920.00,,,,
1982-10-12,11335.06,4340.00,,,,
1982-10-13,10312.11,4620.00,,,,
1982-10-14,8247.49,5920.00,,,,
1982-10-15,7331.40,7850.00,,,,
1982-10-16,7616.97,7870.00,,,,
1982-10-17,5033.91,7880.00,,,,
1982-10-18,6895.77,7680.00,,,,
1982-10-19,7805.63,7540.00,,,,
1982-10-20,6765.77,7550.00,,,,
1982-10-21,6532.74,7570.00,,,,
1982-10-22,7690.00,7690.00,,,,
1982-10-23,7367.03,7620.00,,,,
1982-10-24,7334.37,7600.00,,,,
1982-10-25,7101.40,7620.00,,,,
1982-10-26,5821.11,7630.00,,,,
1982-10-27,7957.03,8210.00,,,,
1982-10-28,8904.37,9170.00,,,,
1982-10-29,9200.00,9200.00,,,,
1982-10-30,9658.60,9140.00,,,,
1982-10-31,9668.66,9150.00,,,,
1982-11-01,9106.97,9360.00,,,,
1982-11-02,10644.59,9620.00,,,,
1982-11-03,9630.00,9630.00,,,,
1982-11-04,9164.07,9670.00,,,,
1982-11-05,8672.74,9710.00,,,,
1982-11-06,7715.54,9790.00,,,,
1982-11-07,9687.10,9690.00,,,,
1982-11-08,9142.22,9660.00,,,,
1982-11-09,9680.00,9680.00,,,,
1982-11-10,9410.86,9670.00,,,,
1982-11-11,9452.56,9710.00,,,,
1982-11-12,9690.00,9690.00,,,,
1982-11-13,9191.40,9710.00,,,,
1982-11-14,9670.00,9670.00,,,,
1982-11-15,9161.40,9680.00,,,,
1982-11-16,8154.14,9710.00,,,,
1982-11-17,9436.97,9690.00,,,,
1982-11-18,9106.55,9630.00,,,,
1982-11-19,8301.96,9600.00,,,,
1982-11-20,9865.63,9600.00,,,,
1982-11-21,10647.26,9610.00,,,,
1982-11-22,9600.00,9600.00,,,,
1982-11-23,9600.00,9600.00,,,,
1982-11-24,9354.37,9620.00,,,,
1982-11-25,8748.37,9520.00,,,,
1982-11-26,9510.00,9510.00,,,,
1982-11-27,7954.20,9510.00,,,,
1982-11-28,8895.71,9680.00,,,,
1982-11-29,9181.40,9700.00,,,,
1982-11-30,12393.06,9800.00,,,,
1982-12-01,9058.44,9830.00,,,,
1982-12-02,9820.00,9820.00,,,,
1982-12-03,9634.37,9900.00,,,,
1982-12-04,9411.40,9930.00,,,,
1982-12-05,9646.97,9900.00,,,,
1982-12-06,8882.80,9920.00,,,,
1982-12-07,12473.06,9880.00,,,,
1982-12-08,8025.54,10100.00,,,,
1982-12-09,8744.14,10300.00,,,,
1982-12-10,8773.70,10300.00,,,,
1982-12-11,8773.70,10300.00,,,,
1982-12-12,9034.29,10300.00,,,,
1982-12-13,8364.93,10400.00,,,,
1982-12-14,10600.00,10600.00,,,,
1982-12-15,9434.29,10700.00,,,,
1982-12-16,9991.23,10500.00,,,,
1982-12-17,7286.80,10600.00,,,,
1982-12-18,10660.59,10400.00,,,,
1982-12-19,9630.64,10400.00,,,,
1982-12-20,8116.75,10400.00,,,,
1982-12-21,8873.70,10400.00,,,,
1982-12-22,11417.54,10400.00,,,,
1982-12-23,9991.23,10500.00,,,,
1982-12-24,11008.77,10500.00,,,,
1982-12-25,8415.27,10500.00,,,,
1982-12-26,8515.27,10600.00,,,,
1982-12-27,8415.27,10500.00,,,,
1982-12-28,8315.27,10400.00,,,,
1982-12-29,8315.40,10400.00,,,,
1982-12-30,7518.10,10500.00,,,,
1982-12-31,7555.94,10800.00,,,,
1983-01-01,8364.40,10600.00,,,,
1983-01-02,8762.58,10500.00,,,,
1983-01-03,9248.53,10500.00,,,,
1983-01-04,10400.00,10400.00,,,,
1983-01-05,11351.47,10100.00,,,,
1983-01-06,12490.71,10000.00,,,,
1983-01-07,12578.61,10100.00,,,,
1983-01-08,12092.59,10100.00,,,,
1983-01-09,11949.58,10200.00,,,,
1983-01-10,10200.00,10200.00,,,,
1983-01-11,11439.31,10200.00,,,,
1983-01-12,10200.00,10200.00,,,,
1983-01-13,9956.99,10200.00,,,,
1983-01-14,9501.88,10000.00,,,,
1983-01-15,9210.17,4350.00,,,,
1983-01-16,9893.47,10200.00,,,,
1983-01-17,9745.40,10000.00,,,,
1983-01-18,9742.88,10000.00,,,,
1983-01-19,9591.23,10100.00,,,,
1983-01-20,9951.82,10200.00,,,,
1983-01-21,9269.41,9530.00,,,,
1983-01-22,9708.77,9200.00,,,,
1983-01-23,9460.59,9200.00,,,,
1983-01-24,9708.77,9200.00,,,,
1983-01-25,9708.77,9200.00,,,,
1983-01-26,9490.57,9240.00,,,,
1983-01-27,9656.37,9150.00,,,,
1983-01-28,9388.77,8880.00,,,,
1983-01-29,9248.77,8740.00,,,,
1983-01-30,8820.59,8560.00,,,,
1983-01-31,8788.18,8540.00,,,,
1983-02-01,9406.94,8650.00,,,,
1983-02-02,9000.59,8740.00,,,,
1983-02-03,9078.18,8830.00,,,,
1983-02-04,8105.43,7910.00,,,,
1983-02-05,7713.34,7400.00,,,,
1983-02-06,8678.13,7400.00,,,,
1983-02-07,8966.30,7440.00,,,,
1983-02-08,7908.77,7400.00,,,,
1983-02-09,9422.66,7400.00,,,,
1983-02-10,9226.89,7440.00,,,,
1983-02-11,9563.25,7280.00,,,,
1983-02-12,9355.07,7320.00,,,,
1983-02-13,9134.48,7360.00,,,,
1983-02-14,10542.60,7490.00,,,,
1983-02-15,9893.39,7320.00,,,,
1983-02-16,8051.63,7280.00,,,,
1983-02-17,8995.80,7440.00,,,,
1983-02-18,8350.84,7440.00,,,,
1983-02-19,8480.65,7570.00,,,,
1983-02-20,8674.59,7650.00,,,,
1983-02-21,8437.26,7400.00,,,,
1983-02-22,8235.86,6680.00,,,,
1983-02-23,7672.83,6370.00,,,,
1983-02-24,7527.26,6490.00,,,,
1983-02-25,8063.19,6520.00,,,,
1983-02-26,8235.86,6680.00,,,,
1983-02-27,8751.72,5640.00,,,,
1983-02-28,8050.32,4420.00,,,,
1983-03-01,7894.68,4530.00,,,,
1983-03-02,9521.95,4530.00,,,,
1983-03-03,9123.29,4370.00,,,,
1983-03-04,8772.80,4290.00,,,,
1983-03-05,11133.02,4280.00,,,,
1983-03-06,9188.12,2050.00,,,,
1983-03-07,10555.72,3300.00,,,,
1983-03-08,8377.04,3260.00,,,,
1983-03-09,8921.88,3280.00,,,,
1983-03-10,7318.04,3290.00,,,,
1983-03-11,9528.65,3310.00,,,,
1983-03-12,9049.02,3300.00,,,,
1983-03-13,11261.64,3320.00,,,,
1983-03-14,4723.52,3360.00,,,,
1983-03-15,9557.11,2980.00,,,,
1983-03-16,9418.70,2800.00,,,,
1983-03-17,8673.38,2820.00,,,,
1983-03-18,8425.27,3130.00,,,,
1983-03-19,5938.31,3420.00,,,,
1983-03-20,7040.93,3420.00,,,,
1983-03-21,7599.04,3420.00,,,,
1983-03-22,9919.45,4300.00,,,,
1983-03-23,10461.92,5360.00,,,,
1983-03-24,11271.96,5590.00,,,,
1983-03-25,12223.77,7110.00,,,,
1983-03-26,10659.95,8110.00,,,,
1983-03-27,9025.36,8180.00,,,,
1983-03-28,13313.77,8200.00,,,,
1983-03-29,11411.72,8270.00,,,,
1983-03-30,12961.38,8340.00,,,,
1983-03-31,11565.31,8390.00,,,,
1983-04-01,9917.27,9340.00,,,,
1983-04-02,11828.28,10100.00,,,,
1983-04-03,10823.22,9950.00,,,,
1983-04-04,13392.43,10800.00,,,,
1983-04-05,12654.54,11500.00,,,,
1983-04-06,12078.91,11500.00,,,,
1983-04-07,10900.00,10900.00,,,,
1983-04-08,11359.42,10500.00,,,,
1983-04-09,9640.58,10500.00,,,,
1983-04-10,7971.04,10000.00,,,,
1983-04-11,9445.88,9150.00,,,,
1983-04-12,9689.73,8830.00,,,,
1983-04-13,6814.97,8830.00,,,,
1983-04-14,8518.17,8800.00,,,,
1983-04-15,9629.48,8770.00,,,,
1983-04-16,10523.01,8790.00,,,,
1983-04-17,11422.49,8830.00,,,,
1983-04-18,11886.61,9280.00,,,,
1983-04-19,12494.26,9620.00,,,,
1983-04-20,12806.54,10200.00,,,,
1983-04-21,11755.36,10600.00,,,,
1983-04-22,13418.01,10800.00,,,,
1983-04-23,14116.84,10900.00,,,,
1983-04-24,13830.91,10900.00,,,,
1983-04-25,7724.40,13000.00,,,,
1983-04-26,21920.36,14400.00,,,,
1983-04-27,15699.77,16200.00,,,,
1983-04-28,17114.07,17800.00,,,,
1983-04-29,16613.55,17800.00,,,,
1983-04-30,18386.45,17800.00,,,,
1983-05-01,17400.00,17800.00,,,,
1983-05-02,18572.31,17800.00,,,,
1983-05-03,20630.68,18300.00,,,,
1983-05-04,21600.23,21800.00,,,,
1983-05-05,22801.22,23600.00,,,,
1983-05-06,22612.63,23500.00,,,,
1983-05-07,22399.77,23100.00,,,,
1983-05-08,23387.61,23200.00,,,,
1983-05-09,23685.00,23300.00,,,,
1983-05-10,23920.00,24400.00,,,,
1983-05-11,27087.30,26100.00,,,,
1983-05-12,25600.00,26000.00,,,,
1983-05-13,23355.48,25800.00,,,,
1983-05-14,22555.08,25600.00,,,,
1983-05-15,22141.40,24300.00,,,,
1983-05-16,22613.97,23500.00,,,,
1983-05-17,23299.87,23600.00,,,,
1983-05-18,23786.16,23500.00,,,,
1983-05-19,20455.54,22800.00,,,,
1983-05-20,21413.84,22300.00,,,,
1983-05-21,21213.78,22000.00,,,,
1983-05-22,21786.45,21200.00,,,,
1983-05-23,22144.23,20600.00,,,,
1983-05-24,20400.00,20600.00,,,,
1983-05-25,20324.00,20400.00,,,,
1983-05-26,20624.23,20400.00,,,,
1983-05-27,21512.38,20400.00,,,,
1983-05-28,21914.15,21000.00,,,,
1983-05-29,23396.54,21600.00,,,,
1983-05-30,22170.23,21800.00,,,,
1983-05-31,17886.71,21900.00,,,,
1983-06-01,22462.15,21500.00,,,,
1983-06-02,21190.00,21100.00,,,,
1983-06-03,21438.23,21000.00,,,,
1983-06-04,23830.68,21100.00,,,,
1983-06-05,18583.16,21700.00,,,,
1983-06-06,23472.31,22200.00,,,,
1983-06-07,24196.30,22600.00,,,,
1983-06-08,23751.84,24100.00,,,,
1983-06-09,25124.16,24300.00,,,,
1983-06-10,24957.11,24400.00,,,,
1983-06-11,24772.00,24400.00,,,,
1983-06-12,24765.19,24400.00,,,,
1983-06-13,27216.79,25100.00,,,,
1983-06-14,28346.76,27000.00,,,,
1983-06-15,31052.21,29700.00,,,,
1983-06-16,29901.84,30000.00,,,,
1983-06-17,26571.32,29000.00,,,,
1983-06-18,22885.16,26200.00,,,,
1983-06-19,23246.46,21600.00,,,,
1983-06-20,21978.38,21500.00,,,,
1983-06-21,21806.16,21900.00,,,,
1983-06-22,20726.23,21100.00,,,,
1983-06-23,19839.84,21100.00,,,,
1983-06-24,19027.53,20000.00,,,,
1983-06-25,18418.92,18700.00,,,,
1983-06-26,18411.47,18700.00,,,,
1983-06-27,18833.53,19800.00,,,,
1983-06-28,19329.31,20200.00,,,,
1983-06-29,20304.53,20000.00,,,,
1983-06-30,19816.08,19800.00,,,,
1983-07-01,18613.83,19400.00,,,,
1983-07-02,21251.53,20100.00,,,,
1983-07-03,19222.82,20900.00,,,,
1983-07-04,20899.63,21800.00,,,,
1983-07-05,21610.19,22100.00,,,,
1983-07-06,20913.81,21400.00,,,,
1983-07-07,19029.02,19700.00,,,,
1983-07-08,13904.26,16900.00,,,,
1983-07-09,12380.25,15100.00,,,,
1983-07-10,20080.59,14900.00,,,,
1983-07-11,19890.30,18900.00,,,,
1983-07-12,20419.00,21000.00,,,,
1983-07-13,21409.00,22000.00,,,,
1983-07-14,20409.23,20700.00,,,,
1983-07-15,17058.54,19600.00,,,,
1983-07-16,18497.77,19400.00,,,,
1983-07-17,16531.70,18700.00,,,,
1983-07-18,16910.16,17100.00,,,,
1983-07-19,13547.39,16000.00,,,,
1983-07-20,11134.07,12500.00,,,,
1983-07-21,7700.53,10800.00,,,,
1983-07-22,7428.72,11100.00,,,,
1983-07-23,9068.64,12500.00,,,,
1983-07-24,8859.72,12600.00,,,,
1983-07-25,8649.59,11800.00,,,,
1983-07-26,7598.04,11300.00,,,,
1983-07-27,5130.83,11200.00,,,,
1983-07-28,5306.27,10500.00,,,,
1983-07-29,4894.50,10400.00,,,,
1983-07-30,5213.62,11000.00,,,,
1983-07-31,3726.49,11000.00,,,,
1983-08-01,5381.41,10600.00,,,,
1983-08-02,3607.07,10300.00,,,,
1983-08-03,4659.60,10200.00,,,,
1983-08-04,2057.51,10100.00,,,,
1983-08-05,4776.46,10400.00,,,,
1983-08-06,3501.04,10500.00,,,,
1983-08-07,1457.17,10900.00,,,,
1983-08-08,4129.62,11300.00,,,,
1983-08-09,5141.10,11000.00,,,,
1983-08-10,3824.48,10800.00,,,,
1983-08-11,3830.93,10800.00,,,,
1983-08-12,4044.50,10900.00,,,,
1983-08-13,3819.32,11000.00,,,,
1983-08-14,6563.20,11000.00,,,,
1983-08-15,6733.20,11200.00,,,,
1983-08-16,5048.17,11400.00,,,,
1983-08-17,5353.80,10200.00,,,,
1983-08-18,5500.48,10300.00,,,,
1983-08-19,4954.54,10300.00,,,,
1983-08-20,6809.43,10000.00,,,,
1983-08-21,7872.22,10000.00,,,,
1983-08-22,7290.27,9980.00,,,,
1983-08-23,9790.00,9790.00,,,,
1983-08-24,11506.26,9910.00,,,,
1983-08-25,11671.78,9810.00,,,,
1983-08-26,11574.20,9430.00,,,,
1983-08-27,10983.84,9670.00,,,,
1983-08-28,10133.95,9860.00,,,,
1983-08-29,10221.53,10200.00,,,,
1983-08-30,9512.53,10600.00,,,,
1983-08-31,8987.69,10600.00,,,,
1983-09-01,3970.65,10700.00,,,,
1983-09-02,9036.27,10900.00,,,,
1983-09-03,6233.43,10800.00,,,,
1983-09-04,4300.99,10400.00,,,,
1983-09-05,6555.86,10400.00,,,,
1983-09-06,6936.75,10100.00,,,,
1983-09-07,4707.08,9960.00,,,,
1983-09-08,2086.32,9960.00,,,,
1983-09-09,4716.15,9960.00,,,,
1983-09-10,5962.00,9860.00,,,,
1983-09-11,4146.46,10200.00,,,,
1983-09-12,6088.74,9860.00,,,,
1983-09-13,2023.97,9530.00,,,,
1983-09-14,7586.17,9110.00,,,,
1983-09-15,3070.73,8920.00,,,,
1983-09-16,2824.38,8920.00,,,,
1983-09-17,2604.79,8920.00,,,,
1983-09-18,4672.28,8970.00,,,,
1983-09-19,6714.93,8970.00,,,,
1983-09-20,3062.44,9110.00,,,,
1983-09-21,5372.93,9110.00,,,,
1983-09-22,5437.10,8880.00,,,,
1983-09-23,4502.82,8470.00,,,,
1983-09-24,6377.51,8340.00,,,,
1983-09-25,5638.29,8340.00,,,,
1983-09-26,1700.21,8130.00,,,,
1983-09-27,8100.17,8080.00,,,,
1983-09-28,6643.70,7870.00,,,,
1983-09-29,7320.00,7570.00,,,,
1983-09-30,7182.95,7240.00,,,,
1983-10-01,8842.59,6850.00,,,,
1983-10-02,7012.41,6970.00,,,,
1983-10-03,8205.65,6930.00,,,,
1983-10-04,9198.37,6920.00,,,,
1983-10-05,9692.64,6890.00,,,,
1983-10-06,9708.59,6860.00,,,,
1983-10-07,7498.30,7020.00,,,,
1983-10-08,8737.24,7030.00,,,,
1983-10-09,7756.54,7050.00,,,,
1983-10-10,6015.97,7060.00,,,,
1983-10-11,8253.34,7020.00,,,,
1983-10-12,8564.17,7410.00,,,,
1983-10-13,6804.89,7640.00,,,,
1983-10-14,8930.57,7830.00,,,,
1983-10-15,8645.84,8500.00,,,,
1983-10-16,9496.46,8830.00,,,,
1983-10-17,8656.44,9450.00,,,,
1983-10-18,10128.93,9900.00,,,,
1983-10-19,9739.81,10800.00,,,,
1983-10-20,9796.42,11300.00,,,,
1983-10-21,9490.88,12000.00,,,,
1983-10-22,9226.16,12300.00,,,,
1983-10-23,8249.90,12400.00,,,,
1983-10-24,10467.59,12300.00,,,,
1983-10-25,9612.49,13500.00,,,,
1983-10-26,10406.45,14200.00,,,,
1983-10-27,11024.04,14300.00,,,,
