date,qu,af,mx,mn,mm,qd,fb
1982-03-17,266.90,8417.00,39.75,11.18,26.60,460.00,3401.49
1982-03-18,272.15,8094.00,42.55,17.90,30.55,435.00,3401.06
1982-03-19,243.67,7776.00,38.77,23.22,29.63,404.00,3400.63
1982-03-20,223.77,7480.00,41.85,22.52,30.76,373.00,3400.23
1982-03-21,214.49,7237.00,48.29,16.50,30.55,337.00,3399.90
1982-03-22,204.57,7014.00,50.67,18.32,32.48,317.00,3399.59
1982-03-23,201.19,6820.00,53.75,23.92,35.15,299.00,3399.32
1982-03-24,200.31,6654.00,50.67,21.68,32.54,284.00,3399.09
1982-03-25,195.41,6512.00,56.13,19.86,35.98,267.00,3398.89
1982-03-26,207.10,6415.00,41.15,29.52,35.45,256.00,3398.75
1982-03-27,207.67,6337.00,36.25,26.02,30.85,247.00,3398.64
1982-03-28,187.57,6233.00,33.03,22.94,28.77,240.00,3398.49
1982-03-29,179.56,6127.00,37.93,18.60,27.35,233.00,3398.34
1982-03-30,175.59,6029.00,40.87,17.76,28.39,225.00,3398.20
1982-03-31,168.59,5931.00,31.90,21.82,26.64,218.00,3398.06
1982-04-01,157.57,5827.00,38.91,21.12,29.07,210.00,3397.91
1982-04-02,166.19,5752.00,34.43,26.72,30.25,204.00,3397.80
1982-04-03,142.57,5648.00,31.90,28.26,30.07,195.00,3397.65
1982-04-04,138.09,5549.00,37.79,26.86,30.49,188.00,3397.61
1982-04-05,123.08,5448.00,40.45,18.46,31.21,174.00,3397.36
1982-04-06,132.62,5358.00,42.13,20.14,31.46,178.00,3397.23
1982-04-07,126.13,5269.00,42.27,17.20,27.87,171.00,3397.10
1982-04-08,133.24,5206.00,43.53,13.84,28.97,165.00,3397.01
1982-04-09,120.16,5125.00,52.49,19.58,34.16,161.00,3396.89
1982-04-10,149.43,5108.00,50.95,23.64,37.09,158.00,3396.79
1982-04-11,197.85,5193.00,42.41,32.89,37.87,155.00,3396.99
1982-04-12,280.50,5434.00,38.07,31.34,34.15,159.00,3397.34
1982-04-13,264.83,5634.00,34.29,25.04,30.77,164.00,3397.63
1982-04-14,235.96,5745.00,35.13,21.82,27.31,180.00,3397.79
1982-04-15,211.26,5807.00,34.15,23.64,29.28,180.00,3397.88
1982-04-16,198.14,5841.00,40.45,17.06,31.60,181.00,3397.93
1982-04-17,197.12,5869.00,32.00,31.00,31.08,183.00,3397.97
1982-04-18,183.00,5869.00,32.00,24.00,27.48,183.00,3397.97
1982-04-19,158.30,5820.00,45.00,17.00,28.24,183.00,3397.50
1982-04-20,185.18,5862.00,52.00,19.00,34.01,164.00,3397.96
1982-04-21,169.14,5896.00,61.00,19.00,36.88,152.00,3398.01
1982-04-22,180.68,5939.00,62.00,26.00,39.74,159.00,3398.07
1982-04-23,216.96,6050.00,51.00,32.00,40.54,161.00,3398.23
1982-04-24,249.68,6212.00,48.00,25.00,35.48,168.00,3398.46
1982-04-25,252.14,6365.00,56.00,22.00,36.33,175.00,3398.68
1982-04-26,274.26,6548.00,56.00,23.00,38.39,182.00,3398.94
1982-04-27,310.51,6791.00,55.00,27.00,41.36,188.00,3399.28
1982-04-28,354.29,7101.00,39.00,31.00,34.27,198.00,3399.71
1982-04-29,320.43,7324.00,48.00,27.00,35.95,208.00,3400.02
1982-04-30,323.40,7539.00,57.00,27.00,40.59,215.00,3400.31
1982-05-01,307.72,7711.00,45.00,34.00,41.91,221.00,3400.44
1982-05-02,391.35,8035.00,46.00,36.00,38.93,228.00,3400.98
1982-05-03,369.62,8304.00,40.00,31.00,34.86,234.00,3401.34
1982-05-04,352.44,8529.00,48.00,25.00,35.46,239.00,3401.64
1982-05-05,348.88,8739.00,58.00,23.00,40.63,243.00,3401.92
1982-05-06,403.78,9046.00,59.00,34.00,45.37,249.00,3402.32
1982-05-07,470.26,9469.00,44.00,34.00,39.26,257.00,3402.87
1982-05-08,421.31,9783.00,46.00,33.00,40.00,263.00,3403.20
1982-05-09,485.78,10209.00,51.00,37.00,40.77,271.00,3403.81
1982-05-10,450.91,10548.00,59.00,30.00,42.33,280.00,3404.23
1982-05-11,488.68,10950.00,59.00,27.00,44.87,286.00,3404.72
1982-05-12,547.60,11453.00,52.00,34.00,42.85,294.00,3405.33
1982-05-13,592.39,12027.00,60.00,35.00,46.84,303.00,3406.02
1982-05-14,632.65,12663.00,59.00,31.00,44.65,312.00,3406.76
1982-05-15,734.92,13484.00,64.00,32.00,46.08,321.00,3407.69
1982-05-16,841.18,14488.00,64.00,34.00,47.88,335.00,3408.80
1982-05-17,934.83,15648.00,44.00,31.00,39.87,350.00,3410.05
1982-05-18,880.29,16678.00,48.00,31.00,39.05,361.00,3411.12
1982-05-19,771.34,17480.00,62.00,27.00,41.55,367.00,3411.93
1982-05-20,783.39,18294.00,68.00,31.00,46.88,373.00,3412.73
1982-05-21,922.48,19368.00,69.00,33.00,46.78,381.00,3413.68
1982-05-22,1035.29,20638.00,56.00,35.00,46.59,395.00,3414.98
1982-05-23,1090.60,21982.00,67.00,33.00,48.36,413.00,3416.22
1982-05-24,1174.69,23467.00,78.00,35.00,57.95,426.00,3417.56
1982-05-25,1558.66,25666.00,60.00,38.00,40.85,450.00,3419.48
1982-05-26,1459.68,27629.00,43.00,33.00,42.47,470.00,3421.14
1982-05-27,1083.03,28597.00,51.00,36.00,43.95,595.00,3421.94
1982-05-28,928.24,29014.00,55.00,33.00,42.69,718.00,3422.28
1982-05-29,858.63,29285.00,59.00,33.00,44.96,722.00,3422.50
1982-05-30,820.82,29481.00,65.00,32.00,48.41,722.00,3422.66
1982-05-31,870.73,29776.00,62.00,33.00,46.56,722.00,3422.90
1982-06-01,896.95,30123.00,52.00,38.00,45.19,722.00,3423.18
1982-06-02,859.13,30395.00,54.00,38.00,45.04,722.00,3423.40
1982-06-03,872.24,30693.00,54.00,34.00,43.24,722.00,3423.64
1982-06-04,847.03,30941.00,51.00,33.00,43.07,722.00,3423.84
1982-06-05,765.86,31028.00,45.00,37.00,41.75,722.00,3423.91
1982-06-06,728.05,31040.00,53.00,35.00,43.16,722.00,3423.92
1982-06-07,716.40,31015.00,58.00,30.00,46.60,729.00,3423.90
1982-06-08,734.00,31015.00,67.00,30.00,52.56,734.00,3423.90
1982-06-09,903.44,31361.00,72.00,35.00,54.41,729.00,3424.07
1982-06-10,986.54,31971.00,76.00,37.00,57.17,679.00,3424.65
1982-06-11,1246.65,33206.00,78.00,38.00,55.16,624.00,3425.61
1982-06-12,1368.92,34626.00,64.00,46.00,51.85,653.00,3426.70
1982-06-13,1328.15,35261.00,60.00,45.00,53.05,1008.00,3427.18
1982-06-14,1449.16,35180.00,70.00,38.00,54.31,1490.00,3427.12
1982-06-15,1498.06,34954.00,79.00,35.00,58.11,1612.00,3426.95
1982-06-16,1503.78,34902.00,75.00,40.00,58.84,1530.00,3426.91
1982-06-17,1541.11,34928.00,81.00,40.00,62.42,1528.00,3426.93
1982-06-18,1650.77,34993.00,81.00,47.00,61.43,1618.00,3426.98
1982-06-19,1614.95,34862.00,83.00,42.00,60.15,1681.00,3426.88
1982-06-20,1625.89,34836.00,81.00,44.00,59.62,1639.00,3426.86
1982-06-21,1528.40,34692.00,76.00,49.00,59.22,1601.00,3426.75
1982-06-22,1340.35,34417.00,75.00,44.00,58.10,1479.00,3426.54
1982-06-23,1244.57,34194.00,78.00,40.00,62.15,1357.00,3426.37
1982-06-24,1170.63,33985.00,82.00,43.00,59.40,1276.00,3426.21
1982-06-25,1146.88,34076.00,72.00,51.00,57.44,1101.00,3426.28
1982-06-26,1122.55,34089.00,70.00,49.00,54.41,1116.00,3426.29
1982-06-27,1062.12,33998.00,63.00,50.00,51.93,1108.00,3426.22
1982-06-28,886.81,33593.00,61.00,44.00,54.34,1091.00,3425.91
1982-06-29,801.84,33194.00,60.00,49.00,54.42,1003.00,3425.60
1982-06-30,840.12,33103.00,59.00,51.00,52.09,886.00,3425.53
1982-07-01,742.92,32845.00,58.00,48.00,52.42,873.00,3425.33
1982-07-02,686.14,32639.00,61.00,45.00,48.26,790.00,3425.17
1982-07-03,687.34,32600.00,52.00,42.00,46.98,707.00,3425.14
1982-07-04,576.03,32368.00,53.00,43.00,49.69,693.00,3424.96
1982-07-05,523.22,32061.00,55.00,46.00,53.54,678.00,3424.72
1982-07-06,482.20,31869.00,68.00,43.00,53.52,579.00,3424.57
1982-07-07,493.71,31920.00,60.00,44.00,52.95,468.00,3424.61
1982-07-08,450.93,32023.00,69.00,40.00,56.15,399.00,3424.69
1982-07-09,448.96,32253.00,69.00,43.00,58.63,333.00,3424.87
1982-07-10,436.35,32458.00,79.00,41.00,63.14,333.00,3425.03
1982-07-11,443.41,32677.00,76.00,50.00,62.95,333.00,3425.20
1982-07-12,430.81,32871.00,79.00,48.00,61.18,333.00,3425.35
1982-07-13,430.81,33065.00,68.00,52.00,49.89,333.00,3425.50
1982-07-14,398.04,33194.00,51.00,43.00,45.02,333.00,3425.60
1982-07-15,352.16,33232.00,48.00,41.00,50.07,333.00,3425.63
1982-07-16,326.45,33219.00,73.00,37.00,57.44,333.00,3425.62
1982-07-17,326.45,33206.00,69.00,44.00,61.11,333.00,3425.61
1982-07-18,304.29,33155.00,71.00,55.00,60.25,330.00,3425.57
1982-07-19,289.67,33077.00,74.00,47.00,60.41,329.00,3425.51
1982-07-20,276.40,33052.00,70.00,52.00,61.00,289.00,3425.49
1982-07-21,255.71,33103.00,58.00,39.00,49.00,230.00,3425.53
1982-07-22,242.11,33129.00,72.00,32.00,52.00,229.00,3425.55
1982-07-23,209.35,33094.00,78.00,36.00,54.00,227.00,3425.55
1982-07-24,238.09,33116.00,83.00,41.00,62.00,227.00,3425.54
1982-07-25,206.34,33077.00,84.00,44.00,64.00,226.00,3425.51
1982-07-26,190.73,33013.00,87.00,48.00,63.00,223.00,3425.46
1982-07-27,196.78,32961.00,91.00,50.00,70.00,223.00,3425.42
1982-07-28,203.84,32923.00,88.00,56.00,72.00,223.00,3425.38
1982-07-29,223.00,32923.00,88.00,59.00,74.00,223.00,3425.39
1982-07-30,235.60,32948.00,80.00,55.00,67.00,223.00,3425.41
1982-07-31,176.62,32858.00,69.00,48.00,59.00,222.00,3425.34
1982-08-01,168.07,32755.00,52.00,45.00,48.00,220.00,3425.26
1982-08-02,168.07,32652.00,60.00,46.00,54.00,220.00,3425.18
1982-08-03,174.12,32561.00,62.00,49.00,56.00,220.00,3425.11
1982-08-04,147.91,32420.00,68.00,46.00,57.00,219.00,3425.00
1982-08-05,150.96,32291.00,73.00,39.00,56.00,216.00,3424.90
1982-08-06,135.86,32138.00,86.00,44.00,65.00,213.00,3424.78
1982-08-07,131.36,31984.00,89.00,47.00,68.00,209.00,3424.66
1982-08-08,137.42,31844.00,79.00,57.00,68.00,208.00,3424.55
1982-08-09,122.80,31677.00,73.00,50.00,62.00,207.00,3424.42
1982-08-10,115.75,31498.00,60.00,46.00,53.00,206.00,3424.28
1982-08-11,120.80,31331.00,57.00,46.00,51.00,205.00,3424.15
1982-08-12,101.15,31127.00,54.00,47.00,50.00,204.00,3423.99
1982-08-13,115.78,30954.00,54.00,47.00,50.00,203.00,3423.85
1982-08-14,111.25,30774.00,46.00,41.00,44.00,202.00,3423.81
1982-08-15,110.25,30594.00,68.00,53.00,60.00,201.00,3423.56
1982-08-16,99.67,30395.00,66.00,43.00,55.00,200.00,3423.40
1982-08-17,99.17,30197.00,71.00,40.00,55.00,199.00,3423.24
1982-08-18,99.17,29999.00,80.00,40.00,60.00,199.00,3423.08
1982-08-19,97.17,29799.00,83.00,44.00,64.00,198.00,3422.91
1982-08-20,98.69,29604.00,85.00,55.00,70.00,197.00,3422.76
1982-08-21,93.15,29400.00,83.00,49.00,67.00,196.00,3422.68
1982-08-22,93.16,29198.00,82.00,44.00,63.00,195.00,3422.43
1982-08-23,87.63,28989.00,85.00,43.00,65.00,193.00,3422.26
1982-08-24,78.58,28768.00,85.00,44.00,65.00,190.00,3422.08
1982-08-25,79.08,28548.00,82.00,46.00,63.00,190.00,3421.90
1982-08-26,97.75,28367.00,76.00,50.00,63.00,189.00,3421.75
1982-08-27,59.94,28113.00,69.00,47.00,58.00,188.00,3421.53
1982-08-28,64.99,27871.00,73.00,39.00,57.00,187.00,3421.34
1982-08-29,67.09,27653.00,62.00,48.00,55.00,177.00,3421.16
1982-08-30,67.55,27424.00,56.00,45.00,50.00,183.00,3420.97
1982-08-31,68.06,27198.00,69.00,44.00,57.00,182.00,3420.78
1982-09-01,66.06,26972.00,87.00,43.00,65.00,180.00,3420.59
1982-09-02,68.60,26757.00,87.00,48.00,68.00,177.00,3420.41
1982-09-03,78.21,26567.00,66.00,51.00,59.00,174.00,3420.25
1982-09-04,63.11,26353.00,60.00,46.00,52.45,171.00,3420.07
1982-09-05,58.57,26130.00,74.00,42.00,54.36,171.00,3419.88
1982-09-06,60.08,25910.00,73.00,42.00,56.43,171.00,3419.69
1982-09-07,54.03,25678.00,76.00,46.00,59.67,171.00,3419.49
1982-09-08,59.90,25295.00,71.00,51.00,59.97,253.00,3419.16
1982-09-09,69.55,24707.00,57.00,40.00,49.24,366.00,3418.65
1982-09-10,69.51,24109.00,50.00,38.00,43.19,371.00,3418.13
1982-09-11,97.20,23558.00,44.00,41.00,45.37,375.00,3417.95
1982-09-12,99.20,23007.00,56.00,39.00,45.89,377.00,3417.15
1982-09-13,86.61,22433.00,59.00,36.00,44.35,376.00,3416.63
1982-09-14,101.25,21892.00,57.00,37.00,45.92,374.00,3416.10
1982-09-15,113.02,21297.00,63.00,31.00,45.06,413.00,3415.59
1982-09-16,128.70,20745.00,68.00,31.00,48.26,407.00,3415.20
1982-09-17,122.70,20193.00,75.00,36.00,50.95,401.00,3414.56
1982-09-18,123.75,19653.00,75.00,37.00,54.74,396.00,3414.05
1982-09-19,144.97,19167.00,65.00,51.00,55.37,390.00,3413.58
1982-09-20,153.07,18703.00,61.00,42.00,50.18,387.00,3413.13
1982-09-21,128.41,18202.00,69.00,39.00,50.07,381.00,3412.64
1982-09-22,117.87,17692.00,69.00,41.00,50.13,375.00,3412.14
1982-09-23,117.42,17193.00,73.00,38.00,51.55,369.00,3411.64
1982-09-24,124.52,16718.00,58.00,45.00,50.20,364.00,3411.16
1982-09-25,120.52,16243.00,53.00,39.00,46.77,360.00,3410.67
1982-09-26,115.54,15772.00,53.00,38.00,44.68,353.00,3410.18
1982-09-27,120.12,15320.00,54.00,34.00,43.71,348.00,3409.70
1982-09-28,113.60,14865.00,43.00,32.00,40.10,343.00,3409.21
1982-09-29,100.55,14396.00,59.00,31.00,41.58,337.00,3408.70
1982-09-30,95.65,13951.00,64.00,34.00,43.31,320.00,3408.21
1982-10-01,104.00,13519.00,61.00,31.00,,321.00,3407.73
1982-10-02,106.22,13093.00,48.00,44.00,,321.00,3407.52
1982-10-03,107.80,12686.00,51.00,31.00,,313.00,3406.90
1982-10-04,103.80,12279.00,51.00,32.00,,309.00,3406.28
1982-10-05,103.33,11879.00,56.00,29.00,,305.00,3405.80
1982-10-06,115.47,11511.00,42.00,36.00,,301.00,3405.40
1982-10-07,125.58,11171.00,42.00,31.00,,297.00,3404.99
1982-10-08,119.57,10827.00,45.00,32.00,,293.00,3404.57
1982-10-09,115.06,10482.00,47.00,39.00,,289.00,3404.15
1982-10-10,119.63,10154.00,62.00,37.00,,285.00,3403.74
1982-10-11,114.62,9824.00,36.00,34.00,,281.00,3403.60
1982-10-12,110.30,9537.00,67.00,31.00,,255.00,3403.12
1982-10-13,101.52,9302.00,67.00,33.00,,220.00,3402.64
1982-10-14,104.54,8952.00,68.00,32.00,,281.00,3402.18
1982-10-15,114.06,8486.00,61.00,33.00,,349.00,3401.73
1982-10-16,116.71,8057.00,49.00,37.00,,333.00,3400.99
1982-10-17,114.90,7672.00,35.00,26.00,,309.00,3400.49
1982-10-18,112.24,7369.00,43.00,20.00,,265.00,3400.08
1982-10-19,105.26,7072.00,46.00,25.00,,255.00,3399.67
1982-10-20,113.18,6755.00,49.00,23.00,,273.00,3399.23
1982-10-21,142.49,6512.00,38.00,31.00,,265.00,3398.89
1982-10-22,248.33,6471.00,47.00,36.00,,269.00,3398.83
1982-10-23,226.18,6394.00,50.00,38.00,,265.00,3398.72
1982-10-24,162.80,6225.00,54.00,35.00,,248.00,3398.48
1982-10-25,186.62,6133.00,48.00,35.00,,233.00,3398.31
1982-10-26,206.33,6092.00,38.00,32.00,,227.00,3398.29
1982-10-27,188.21,6023.00,42.00,33.00,,223.00,3398.19
1982-10-28,198.41,6002.00,38.00,32.00,,209.00,3398.16
1982-10-29,204.97,5994.00,43.00,32.00,,209.00,3398.15
1982-10-30,177.24,5931.00,41.00,31.00,,209.00,3398.06
1982-10-31,167.68,5855.00,42.00,32.00,,206.00,3397.95
1982-11-01,169.74,5793.00,36.00,25.00,,201.00,3397.86
1982-11-02,158.21,5724.00,44.00,22.00,,193.00,3397.76
1982-11-03,152.74,5662.00,41.00,27.00,,184.00,3397.67
1982-11-04,176.47,5655.00,40.00,31.00,,180.00,3397.66
1982-11-05,223.85,5738.00,36.00,31.00,,182.00,3397.78
1982-11-06,182.47,5731.00,33.00,28.00,,186.00,3397.77
1982-11-07,157.27,5676.00,38.00,27.00,,185.00,3397.69
1982-11-08,169.41,5655.00,41.00,24.00,,180.00,3397.66
1982-11-09,143.74,5593.00,42.00,22.00,,175.00,3397.57
1982-11-10,147.82,5551.00,31.00,17.00,,169.00,3397.51
1982-11-11,147.33,5510.00,37.00,19.00,,168.00,3397.45
1982-11-12,141.27,5455.00,41.00,22.00,,169.00,3397.37
1982-11-13,117.21,5386.00,38.00,18.00,,152.00,3397.27
1982-11-14,112.74,5324.00,36.00,13.00,,144.00,3397.18
1982-11-15,108.21,5255.00,38.00,15.00,,143.00,3397.08
1982-11-16,140.00,5255.00,36.00,28.00,,140.00,3397.08
1982-11-17,188.87,5344.00,37.00,32.00,,144.00,3397.21
1982-11-18,280.54,5593.00,35.00,31.00,,155.00,3397.57
1982-11-19,199.73,5648.00,33.00,28.00,,172.00,3397.65
1982-11-20,174.00,5648.00,33.00,25.00,,174.00,3397.65
1982-11-21,163.41,5627.00,29.00,13.00,,174.00,3397.62
1982-11-22,142.27,5572.00,32.00,10.00,,170.00,3397.54
1982-11-23,130.21,5503.00,25.00,6.00,,165.00,3397.44
1982-11-24,134.80,5455.00,25.00,4.00,,159.00,3397.37
1982-11-25,137.35,5420.00,22.00,16.00,,155.00,3397.32
1982-11-26,137.39,5393.00,26.00,18.00,,151.00,3397.28
1982-11-27,142.94,5379.00,27.00,19.00,,150.00,3397.26
1982-11-28,157.06,5393.00,34.00,26.00,,150.00,3397.28
1982-11-29,146.47,5386.00,33.00,31.00,,150.00,3397.27
1982-11-30,137.41,5365.00,35.00,30.00,,148.00,3397.24
1982-12-01,123.33,5324.00,36.00,28.00,,144.00,3397.18
1982-12-02,370.91,5782.00,34.00,28.00,,140.00,3397.18
1982-12-03,726.54,6872.00,43.00,35.00,,177.00,3398.71
1982-12-04,985.00,8072.00,35.00,23.00,,380.00,3401.03
1982-12-05,633.38,8402.00,31.00,23.00,,467.00,3401.47
1982-12-06,492.56,8417.00,30.00,13.00,,485.00,3401.49
1982-12-07,388.78,8244.00,25.00,3.00,,476.00,3401.26
1982-12-08,319.41,7983.00,21.00,6.00,,451.00,3400.91
1982-12-09,284.42,7724.00,22.00,7.00,,415.00,3400.56
1982-12-10,260.55,7495.00,23.00,3.00,,376.00,3400.25
1982-12-11,231.11,7281.00,24.00,4.00,,339.00,3399.96
1982-12-12,238.84,7122.00,24.00,17.00,,319.00,3399.93
1982-12-13,224.38,6974.00,32.00,24.00,,299.00,3399.52
1982-12-14,237.13,6885.00,29.00,23.00,,282.00,3399.41
1982-12-15,235.70,6813.00,32.00,28.00,,272.00,3399.31
1982-12-16,305.30,6885.00,35.00,32.00,,269.00,3399.41
1982-12-17,287.15,6921.00,33.00,31.00,,269.00,3399.46
1982-12-18,264.97,6913.00,32.00,30.00,,269.00,3399.45
1982-12-19,247.32,6870.00,30.00,28.00,,269.00,3399.39
1982-12-20,202.49,6748.00,29.00,26.00,,264.00,3399.22
1982-12-21,231.29,6697.00,32.00,25.00,,257.00,3399.15
1982-12-22,203.11,6604.00,32.00,22.00,,250.00,3399.02
1982-12-23,191.59,6506.00,26.00,16.00,,241.00,3398.88
1982-12-24,178.56,6400.00,29.00,10.00,,232.00,3398.73
1982-12-25,187.21,6331.00,32.00,18.00,,222.00,3398.63
1982-12-26,157.53,6219.00,26.00,4.00,,214.00,3398.47
1982-12-27,193.44,6204.00,20.00,-5.00,,201.00,3398.45
1982-12-28,192.00,6204.00,23.00,-5.00,,192.00,3398.45
1982-12-29,185.00,6204.00,17.00,-8.00,,185.00,3398.45
1982-12-30,179.00,6204.00,21.00,-5.00,,179.00,3398.45
1982-12-31,173.00,6204.00,15.00,4.00,,173.00,3398.45
1983-01-01,167.00,6204.00,15.00,5.00,,167.00,3398.45
1983-01-02,163.00,6204.00,19.00,13.00,,163.00,3398.45
1983-01-03,161.00,6204.00,32.00,20.00,,161.00,3398.45
1983-01-04,157.97,6198.00,38.00,33.00,,161.00,3398.44
1983-01-05,279.25,6379.00,37.00,32.00,,188.00,3398.70
1983-01-06,529.32,6935.00,36.00,32.00,,249.00,3399.48
1983-01-07,680.45,7642.00,41.00,35.00,,324.00,3400.45
1983-01-08,922.48,8597.00,36.00,27.00,,441.00,3401.73
1983-01-09,653.54,8846.00,33.00,28.00,,528.00,3402.06
1983-01-10,592.42,8946.00,40.00,38.00,,542.00,3402.19
1983-01-11,499.18,8869.00,50.00,31.00,,538.00,3402.09
1983-01-12,428.24,8687.00,46.00,25.00,,520.00,3401.85
1983-01-13,371.47,8440.00,39.00,22.00,,496.00,3401.52
1983-01-14,359.53,8207.00,40.00,17.00,,477.00,3401.21
1983-01-15,316.94,7953.00,36.00,12.00,,445.00,3400.87
1983-01-16,296.64,7746.00,30.00,24.00,,401.00,3400.59
1983-01-17,276.17,7546.00,34.00,29.00,,377.00,3400.32
1983-01-18,257.76,7369.00,33.00,30.00,,347.00,3400.08
1983-01-19,256.92,7230.00,32.00,31.00,,327.00,3399.89
