date,fb,af
1982-06-04,3405.97,190822.33
1982-06-05,3405.98,190881.70
1982-06-06,3405.97,190822.33
1982-06-07,3405.97,190822.33
1982-06-08,3405.97,190822.33
1982-06-09,3405.96,190779.92
1982-06-10,3405.95,190737.52
1982-06-11,3405.94,190695.11
1982-06-12,3405.93,190644.00
1982-06-13,3405.91,190559.42
1982-06-14,3405.91,190559.42
1982-06-15,3405.90,190517.00
1982-06-16,3405.87,190381.31
1982-06-17,3405.83,190194.72
1982-06-18,3405.76,189880.91
1982-06-19,3405.68,189516.20
1982-06-20,3405.62,189244.81
1982-06-21,3405.57,189015.81
1982-06-22,3405.52,188795.30
1982-06-23,3405.50,188702.00
1982-06-24,3405.44,188421.06
1982-06-25,3405.40,188242.30
1982-06-26,3405.34,187978.39
1982-06-27,3405.26,187620.00
1982-06-28,3405.18,187250.00
1982-06-29,3405.12,186990.00
1982-06-30,3405.12,186960.00
1982-07-01,3405.15,187110.00
1982-07-02,3405.22,187410.00
1982-07-03,3405.30,187780.00
1982-07-04,3405.38,188160.00
1982-07-05,3405.47,188580.00
1982-07-06,3405.55,188950.00
1982-07-07,3405.61,189180.00
1982-07-08,3405.64,189320.00
1982-07-09,3405.64,189350.00
1982-07-10,3405.63,189280.00
1982-07-11,3405.60,189150.00
1982-07-12,3405.55,188950.00
1982-07-13,3405.49,188640.00
1982-07-14,3405.39,188180.00
1982-07-15,3405.26,187620.00
1982-07-16,3405.13,187030.00
1982-07-17,3405.00,186420.00
1982-07-18,3404.85,185780.00
1982-07-19,3404.72,185160.00
1982-07-20,3404.58,184530.00
1982-07-21,3404.43,183900.00
1982-07-22,3404.29,183250.00
1982-07-23,3404.14,182590.00
1982-07-24,3403.99,181910.00
1982-07-25,3403.83,181220.00
1982-07-26,3403.68,180540.00
1982-07-27,3403.52,179840.00
1982-07-28,3403.37,179162.44
1982-07-29,3403.23,178541.17
1982-07-30,3403.07,177820.50
1982-07-31,3402.89,177028.77
1982-08-01,3402.69,176148.77
1982-08-02,3402.46,175128.95
1982-08-03,3402.27,174306.53
1982-08-04,3402.11,173599.23
1982-08-05,3401.94,172845.69
1982-08-06,3401.75,172032.63
1982-08-07,3401.54,171113.88
1982-08-08,3401.34,170235.77
1982-08-09,3401.14,169357.67
1982-08-10,3400.95,168546.55
1982-08-11,3400.73,167587.88
1982-08-12,3400.53,166725.88
1982-08-13,3400.32,165831.64
1982-08-14,3400.12,164961.59
1982-08-15,3399.92,164097.03
1982-08-16,3399.72,163256.33
1982-08-17,3399.53,162447.36
1982-08-18,3399.33,161590.80
1982-08-19,3399.13,160750.11
1982-08-20,3398.93,159896.33
1982-08-21,3398.74,159095.00
1982-08-22,3398.52,158167.98
1982-08-23,3398.30,157248.83
1982-08-24,3398.06,156227.53
1982-08-25,3397.83,155282.09
1982-08-26,3397.61,154371.94
1982-08-27,3397.39,153461.78
1982-08-28,3397.15,152474.48
1982-08-29,3396.94,151605.59
1982-08-30,3396.68,150545.55
1982-08-31,3396.46,149645.66
1982-09-01,3396.23,148700.02
1982-09-02,3396.02,147838.27
1982-09-03,3395.81,146991.52
1982-09-04,3395.61,146191.11
1982-09-05,3395.44,145510.39
1982-09-06,3395.25,144747.38
1982-09-07,3395.09,144111.55
1982-09-08,3394.92,143428.14
1982-09-09,3394.78,142875.48
1982-09-10,3394.60,142160.72
1982-09-11,3394.46,141608.08
1982-09-12,3394.34,141136.47
1982-09-13,3394.19,140546.98
1982-09-14,3394.05,139979.59
1982-09-15,3393.95,139591.70
1982-09-16,3393.89,139359.05
1982-09-17,3393.85,139206.36
1982-09-18,3393.79,138966.44
1982-09-19,3393.76,138857.38
1982-09-20,3393.75,138821.02
1982-09-21,3393.75,138821.02
1982-09-22,3393.74,138777.39
1982-09-23,3393.72,138690.16
1982-09-24,3393.70,138617.45
1982-09-25,3393.68,138537.47
1982-09-26,3393.66,138464.77
1982-09-27,3393.61,138261.19
1982-09-28,3393.56,138072.16
1982-09-29,3393.54,137999.45
1982-09-30,3393.50,137832.23
1982-10-01,3393.47,137715.91
1982-10-02,3393.44,137606.84
1982-10-03,3393.41,137490.52
1982-10-04,3393.39,137403.27
1982-10-05,3393.36,137286.94
1982-10-06,3393.35,137250.59
1982-10-07,3393.33,137177.88
1982-10-08,3393.31,137097.91
1982-10-09,3393.30,137061.55
1982-10-10,3393.28,136974.31
1982-10-11,3393.25,136857.98
1982-10-12,3393.23,136785.28
1982-10-13,3393.21,136705.30
1982-10-14,3393.20,136668.95
1982-10-15,3393.18,136581.70
1982-10-16,3393.17,136545.34
1982-10-17,3393.14,136429.02
1982-10-18,3393.13,136392.67
1982-10-19,3393.10,136276.34
1982-10-20,3393.09,136239.98
1982-10-21,3393.08,136203.63
1982-10-22,3393.08,136203.63
1982-10-23,3393.08,136203.63
1982-10-24,3393.08,136203.63
1982-10-25,3393.12,136356.31
1982-10-26,3393.18,136581.70
1982-10-27,3393.20,136668.95
1982-10-28,3393.26,136901.61
1982-10-29,3393.36,137286.94
1982-10-30,3393.44,137606.84
1982-10-31,3393.52,137919.47
1982-11-01,3393.58,138144.86
1982-11-02,3393.64,138392.06
1982-11-03,3393.70,138617.45
1982-11-04,3393.75,138821.02
1982-11-05,3393.79,138966.44
1982-11-06,3393.85,139206.36
1982-11-07,3393.90,139395.39
1982-11-08,3393.95,139591.70
1982-11-09,3394.00,139788.00
1982-11-10,3394.05,139979.59
1982-11-11,3394.09,140149.06
1982-11-12,3394.14,140340.66
1982-11-13,3394.17,140458.55
1982-11-14,3394.21,140620.67
1982-11-15,3394.24,140738.56
1982-11-16,3394.28,140893.31
1982-11-17,3394.34,141136.47
1982-11-18,3394.44,141534.39
1982-11-19,3394.54,141924.92
1982-11-20,3394.62,142234.41
1982-11-21,3394.68,142477.58
1982-11-22,3394.73,142669.17
1982-11-23,3394.77,142838.64
1982-11-24,3394.80,142949.17
1982-11-25,3394.83,143067.08
1982-11-26,3394.87,143236.56
1982-11-27,3394.91,143383.94
1982-11-28,3394.97,143627.09
1982-11-29,3395.08,144074.14
1982-11-30,3395.16,144380.84
1982-12-01,3395.23,144665.09
1982-12-02,3395.31,144994.23
1982-12-03,3395.37,145226.13
1982-12-04,3395.48,145667.47
1982-12-05,3395.64,146303.31
1982-12-06,3395.88,147283.25
1982-12-07,3396.03,147884.02
1982-12-08,3396.11,148211.94
1982-12-09,3396.16,148410.22
1982-12-10,3396.21,148608.50
1982-12-11,3396.28,148898.30
1982-12-12,3396.36,149233.84
1982-12-13,3396.39,149348.25
1982-12-14,3396.37,149271.98
1982-12-15,3396.36,149233.84
1982-12-16,3396.38,149310.11
1982-12-17,3396.38,149310.11
1982-12-18,3396.35,149195.72
1982-12-19,3396.32,149058.45
1982-12-20,3396.32,149058.45
1982-12-21,3396.28,148898.30
1982-12-22,3396.37,149271.98
1982-12-23,3396.27,148860.17
1982-12-24,3396.10,148173.81
1982-12-25,3395.92,147432.86
1982-12-26,3395.73,146669.86
1982-12-27,3395.53,145861.97
1982-12-28,3395.29,144904.47
1982-12-29,3395.05,143939.48
1982-12-30,3394.83,143067.08
1982-12-31,3394.60,142160.72
1983-01-01,3394.37,141247.00
1983-01-02,3394.13,140303.81
1983-01-03,3394.05,139979.59
1983-01-04,3394.05,139979.59
1983-01-05,3394.17,140458.55
1983-01-06,3394.38,141291.22
1983-01-07,3394.79,142912.33
1983-01-08,3395.15,144343.44
1983-01-09,3395.16,144380.84
1983-01-10,3395.03,143864.69
1983-01-11,3394.88,143273.41
1983-01-12,3394.68,142477.58
1983-01-13,3394.55,141969.14
1983-01-14,3394.42,141453.33
1983-01-15,3394.29,140930.16
1983-01-16,3394.17,140458.55
1983-01-17,3394.12,140266.97
1983-01-18,3394.12,140266.97
1983-01-19,3394.12,140266.97
1983-01-20,3394.11,140222.75
1983-01-21,3394.08,140112.22
1983-01-22,3394.03,139905.91
1983-01-23,3394.00,139788.00
1983-01-24,3393.97,139678.94
1983-01-25,3393.97,139678.94
1983-01-26,3393.95,139591.70
1983-01-27,3393.93,139511.72
1983-01-28,3393.95,139591.70
1983-01-29,3393.95,139591.70
1983-01-30,3393.92,139475.38
1983-01-31,3393.87,139286.33
1983-02-01,3393.82,139082.77
1983-02-02,3393.78,138930.08
1983-02-03,3393.73,138726.50
1983-02-04,3393.65,138428.41
1983-02-05,3393.56,138072.16
1983-02-06,3393.51,137868.58
1983-02-07,3393.44,137606.84
1983-02-08,3393.40,137439.63
1983-02-09,3393.37,137330.56
1983-02-10,3393.43,137570.48
1983-02-11,3393.55,138035.80
1983-02-12,3393.66,138464.77
1983-02-13,3394.15,140377.50
1983-02-14,3394.23,140701.72
1983-02-15,3394.14,140340.66
1983-02-16,3394.19,140546.98
1983-02-17,3394.18,140495.39
1983-02-18,3394.42,141453.33
1983-02-19,3394.59,142116.52
1983-02-20,3394.33,141099.63
1983-02-21,3394.04,139942.75
1983-02-22,3394.17,140458.55
1983-02-23,3394.47,141644.92
1983-02-24,3394.52,141851.23
1983-02-25,3394.54,141924.92
1983-02-26,3394.67,142440.73
1983-02-27,3394.52,141851.23
1983-02-28,3394.50,141762.81
1983-03-01,3394.77,142838.64
1983-03-02,3395.17,144418.23
1983-03-03,3395.57,146034.02
1983-03-04,3397.04,152019.41
1983-03-05,3398.03,156101.84
1983-03-06,3398.60,158505.80
1983-03-07,3399.18,160956.31
1983-03-08,3399.46,162138.05
1983-03-09,3399.71,163200.81
1983-03-10,3400.02,164526.56
1983-03-11,3400.48,166516.41
1983-03-12,3400.81,167942.34
1983-03-13,3401.41,170544.73
1983-03-14,3402.03,173245.59
1983-03-15,3401.94,172845.69
1983-03-16,3401.68,171715.53
1983-03-17,3401.45,170715.47
1983-03-18,3401.24,169796.72
1983-03-19,3400.96,168586.83
1983-03-20,3400.63,167160.89
1983-03-21,3400.28,165646.36
1983-03-22,3399.92,164097.03
1983-03-23,3399.68,163081.84
1983-03-24,3399.48,162241.16
1983-03-25,3399.50,162320.47
1983-03-26,3399.78,163502.20
1983-03-27,3400.05,164655.45
1983-03-28,3400.30,165726.92
1983-03-29,3400.53,166725.88
1983-03-30,3401.19,169585.33
1983-03-31,3402.03,173245.59
1983-04-01,3402.24,174174.94
1983-04-02,3402.24,174174.94
1983-04-03,3402.13,173689.70
1983-04-04,3401.89,172634.30
1983-04-05,3401.66,171634.23
1983-04-06,3401.64,171552.92
1983-04-07,3401.73,171935.06
1983-04-08,3401.83,172365.98
1983-04-09,3401.98,173016.44
1983-04-10,3402.09,173500.55
1983-04-11,3402.10,173549.89
1983-04-12,3402.12,173648.58
1983-04-13,3402.23,174117.36
1983-04-14,3402.42,174964.47
1983-04-15,3402.55,175531.94
1983-04-16,3402.64,175934.94
1983-04-17,3402.65,175976.06
1983-04-18,3402.71,176231.02
1983-04-19,3402.76,176461.30
1983-04-20,3402.85,176864.28
1983-04-21,3403.05,177737.66
1983-04-22,3403.28,178756.53
1983-04-23,3403.46,179543.48
1983-04-24,3403.67,180479.52
1983-04-25,3403.86,181332.73
1983-04-26,3403.92,181589.52
1983-04-27,3403.91,181548.11
1983-04-28,3403.82,181142.20
1983-04-29,3403.75,180844.00
1983-04-30,3403.70,180612.06
1983-05-01,3403.72,180711.47
1983-05-02,3403.74,180802.58
1983-05-03,3403.80,181059.38
1983-05-04,3403.85,181291.31
1983-05-05,3403.98,181862.88
1983-05-06,3404.24,183024.66
1983-05-07,3404.31,183334.14
1983-05-08,3404.29,183242.13
1983-05-09,3404.18,182748.63
1983-05-10,3404.16,182664.98
1983-05-11,3404.24,183024.66
1983-05-12,3404.32,183375.97
1983-05-13,3404.34,183476.34
1983-05-14,3404.62,184722.64
1983-05-15,3405.05,186650.34
1983-05-16,3405.24,187518.67
1983-05-17,3405.27,187654.89
1983-05-18,3405.30,187782.58
1983-05-19,3405.41,188284.86
1983-05-20,3405.55,188922.52
1983-05-21,3405.65,189380.50
1983-05-22,3405.75,189838.50
1983-05-23,3405.82,190143.83
1983-05-24,3405.88,190423.72
1983-05-25,3405.95,190737.52
1983-05-26,3406.01,191018.55
1983-05-27,3406.06,191244.94
1983-05-28,3406.06,191244.94
1983-05-29,3406.03,191105.63
1983-05-30,3406.05,191201.41
1983-05-31,3406.13,191575.84
1983-06-01,3406.07,191288.48
1983-06-02,3405.99,190924.11
1983-06-03,3405.92,190601.83
1983-06-04,3405.90,190517.00
1983-06-05,3405.88,190423.72
1983-06-06,3405.87,190381.31
1983-06-07,3405.89,190474.59
1983-06-08,3405.92,190601.83
1983-06-09,3405.93,190644.23
1983-06-10,3405.95,190737.52
1983-06-11,3405.98,190881.70
1983-06-12,3406.01,191018.55
1983-06-13,3405.97,190822.33
1983-06-14,3405.89,190474.59
1983-06-15,3405.82,190143.83
1983-06-16,3405.75,189838.50
1983-06-17,3405.63,189295.69
1983-06-18,3405.52,188795.30
1983-06-19,3405.39,188199.73
1983-06-20,3405.27,187654.89
1983-06-21,3405.14,187058.97
1983-06-22,3405.01,186471.56
1983-06-23,3404.86,185801.66
1983-06-24,3404.71,185132.50
1983-06-25,3404.55,184404.80
1983-06-26,3404.40,183735.64
1983-06-27,3404.24,183024.66
1983-06-28,3404.07,182255.13
1983-06-29,3403.90,181506.69
1983-06-30,3403.75,180844.00
1983-07-01,3403.66,180438.11
1983-07-02,3403.64,180355.27
1983-07-03,3403.64,180355.27
1983-07-04,3403.58,180081.91
1983-07-05,3403.51,179775.42
1983-07-06,3403.35,179071.31
1983-07-07,3403.21,178441.77
1983-07-08,3403.03,177646.53
1983-07-09,3402.88,176987.64
1983-07-10,3402.72,176272.13
1983-07-11,3402.56,175573.06
1983-07-12,3402.40,174874.00
1983-07-13,3402.21,174035.13
1983-07-14,3402.02,173204.47
1983-07-15,3401.83,172365.98
1983-07-16,3401.62,171447.23
1983-07-17,3401.45,170715.47
1983-07-18,3401.27,169943.06
1983-07-19,3401.05,168975.53
1983-07-20,3400.90,168320.97
1983-07-21,3400.70,167467.03
1983-07-22,3400.47,166468.08
1983-07-23,3400.26,165565.80
1983-07-24,3400.05,164655.45
1983-07-25,3399.82,163668.75
1983-07-26,3399.59,162709.09
1983-07-27,3399.36,161725.64
1983-07-28,3399.14,160789.77
1983-07-29,3398.92,159857.05
1983-07-30,3398.64,158670.78
1983-07-31,3398.42,157759.47
1983-08-01,3398.18,156730.33
1983-08-02,3397.93,155690.89
1983-08-03,3397.69,154695.89
1983-08-04,3397.43,153623.75
1983-08-05,3397.17,152551.61
1983-08-06,3396.90,151430.19
1983-08-07,3396.64,150370.16
1983-08-08,3396.38,149310.11
1983-08-09,3396.12,148250.08
1983-08-10,3395.87,147230.89
1983-08-11,3395.63,146260.00
1983-08-12,3395.40,145340.00
1983-08-13,3395.18,144450.00
1983-08-14,3394.96,143570.00
1983-08-15,3394.73,142690.00
1983-08-16,3394.52,141851.23
1983-08-17,3394.30,140981.73
1983-08-18,3394.09,140149.06
1983-08-19,3393.88,139322.69
1983-08-20,3393.69,138581.09
1983-08-21,3393.52,137919.47
1983-08-22,3393.34,137214.23
1983-08-23,3393.21,136705.30
1983-08-24,3393.08,136203.63
1983-08-25,3393.01,135927.36
1983-08-26,3392.95,135690.98
1983-08-27,3392.85,135319.53
1983-08-28,3392.76,134969.50
1983-08-29,3392.66,134583.77
1983-08-30,3392.54,134126.58
1983-08-31,3392.45,133776.56
1983-09-01,3392.37,133469.39
1983-09-02,3392.30,133205.08
1983-09-03,3392.25,133012.22
1983-09-04,3392.19,132783.63
1983-09-05,3392.13,132547.89
1983-09-06,3392.08,132362.17
1983-09-07,3392.03,132162.16
1983-09-08,3391.95,131858.06
1983-09-09,3391.86,131527.48
1983-09-10,3391.77,131182.84
1983-09-11,3391.69,130880.41
1983-09-12,3391.62,130613.13
1983-09-13,3391.55,130352.89
1983-09-14,3391.48,130085.62
1983-09-15,3391.41,129818.34
1983-09-16,3391.33,129522.93
1983-09-17,3391.24,129185.32
1983-09-18,3391.14,128805.52
1983-09-19,3391.02,128348.34
1983-09-20,3390.93,128016.02
1983-09-21,3390.85,127712.67
1983-09-22,3390.77,127430.01
1983-09-23,3390.71,127202.50
1983-09-24,3390.65,126974.98
1983-09-25,3390.59,126754.38
1983-09-26,3390.55,126602.70
1983-09-27,3390.47,126313.14
1983-09-28,3390.41,126085.63
1983-09-29,3390.36,125906.38
1983-09-30,3390.30,125678.87
1983-10-01,3390.26,125493.39
1983-10-02,3390.20,125277.67
1983-10-03,3390.16,125134.02
1983-10-04,3390.13,125026.55
1983-10-05,3390.08,124848.18
1983-10-06,3390.05,124740.95
1983-10-07,3390.01,124597.80
1983-10-08,3389.98,124485.80
1983-10-09,3389.94,124333.58
1983-10-10,3389.92,124257.36
1983-10-11,3389.89,124143.41
1983-10-12,3389.85,123992.32
1983-10-13,3389.84,123954.48
1983-10-14,3389.84,123954.48
1983-10-15,3389.89,124143.41
1983-10-16,3389.94,124333.58
1983-10-17,3390.00,124562.16
1983-10-18,3390.03,124669.48
1983-10-19,3390.07,124812.35
1983-10-20,3390.12,124991.50
1983-10-21,3390.17,125169.95
1983-10-22,3390.23,125385.60
1983-10-23,3390.29,125601.51
1983-10-24,3390.36,125853.78
1983-10-25,3390.41,126033.47
1983-10-26,3390.46,126214.37
1983-10-27,3390.51,126395.41
1983-10-28,3390.56,126576.84
1983-10-29,3390.62,126795.00
1983-10-30,3390.67,126975.69
1983-10-31,3390.72,127157.95
1983-11-01,3390.79,127413.47
1983-11-02,3390.85,127630.00
1983-11-03,3390.91,127851.78
1983-11-04,3390.97,128071.93
1983-11-05,3391.03,128292.46
1983-11-06,3391.10,128550.14
1983-11-07,3391.15,128733.80
1983-11-08,3391.18,128844.59
1983-11-09,3391.24,129066.45
1983-11-10,3391.33,129399.95
1983-11-11,3391.41,129696.34
1983-11-12,3391.53,130143.38
1983-11-13,3391.60,130404.77
1983-11-14,3391.68,130703.34
1983-11-15,3391.74,130928.39
1983-11-16,3391.82,131229.03
1983-11-17,3391.98,131831.64
1983-11-18,3392.13,132399.11
1983-11-19,3392.25,132855.47
1983-11-20,3392.33,133160.53
1983-11-21,3392.41,133465.41
1983-11-22,3392.47,133695.22
1983-11-23,3392.55,134002.22
1983-11-24,3392.65,134386.14
1983-11-25,3392.74,134733.39
1983-11-26,3392.83,135081.67
1983-11-27,3392.92,135429.69
1983-11-28,3393.00,135740.67
1983-11-29,3393.08,136052.48
1983-11-30,3393.18,136442.30
1983-12-01,3393.25,136716.34
1983-12-02,3393.33,137030.27
1983-12-03,3393.44,137462.33
1983-12-04,3393.50,137699.03
1983-12-05,3393.57,137975.73
1983-12-06,3393.67,138370.92
1983-12-07,3393.82,138967.34
1983-12-08,3393.99,139645.42
1983-12-09,3394.20,140488.03
1983-12-10,3394.43,141416.63
1983-12-11,3394.81,142964.94
1983-12-12,3394.96,143580.20
1983-12-13,3395.07,144030.00
1983-12-14,3395.26,144754.20
1983-12-15,3395.37,145183.77
1983-12-16,3395.32,144988.39
1983-12-17,3395.21,144559.55
1983-12-18,3395.08,144055.17
1983-12-19,3394.91,143374.41
1983-12-20,3394.66,142351.48
1983-12-21,3394.41,141335.59
1983-12-22,3394.13,140206.16
1983-12-23,3393.83,139007.25
1983-12-24,3393.60,138094.48
1983-12-25,3393.34,137069.75
1983-12-26,3393.06,135974.39
1983-12-27,3392.82,135042.91
1983-12-28,3392.58,134117.66
1983-12-29,3392.36,133275.13
1983-12-30,3392.14,132437.00
1983-12-31,3391.91,131567.25
1984-01-01,3391.67,130666.00
1984-01-02,3391.42,129733.45
1984-01-03,3391.19,128881.45
1984-01-04,3390.97,128071.93
1984-01-05,3390.76,127303.91
1984-01-06,3390.57,126613.05
1984-01-07,3390.40,125997.29
1984-01-08,3390.17,125169.95
1984-01-09,3390.05,124740.95
1984-01-10,3390.10,124919.88
1984-01-11,3390.18,125205.89
1984-01-12,3390.23,125385.60
1984-01-13,3390.25,125457.49
1984-01-14,3390.22,125349.49
1984-01-15,3390.16,125134.02
1984-01-16,3390.08,124848.18
1984-01-17,3390.01,124597.80
1984-01-18,3389.92,124257.36
1984-01-19,3389.84,123954.48
1984-01-20,3389.77,123689.15
1984-01-21,3389.70,123424.26
1984-01-22,3389.64,123197.77
1984-01-23,3389.58,122972.62
1984-01-24,3389.77,123689.15
1984-01-25,3390.17,125169.95
1984-01-26,3390.55,126540.50
1984-01-27,3390.75,127267.50
1984-01-28,3390.87,127706.16
1984-01-29,3390.94,127961.69
1984-01-30,3390.97,128071.93
1984-01-31,3391.01,128218.95
1984-02-01,3391.01,128218.95
1984-02-02,3391.00,128182.03
1984-02-03,3391.01,128218.95
1984-02-04,3391.08,128476.48
1984-02-05,3391.16,128770.76
1984-02-06,3391.23,129029.40
1984-02-07,3391.33,129399.95
1984-02-08,3391.47,129919.66
1984-02-09,3391.65,130590.95
1984-02-10,3391.78,131078.56
1984-02-11,3391.91,131567.25
1984-02-12,3392.06,132134.47
1984-02-13,3392.35,133236.88
1984-02-14,3392.86,135197.80
1984-02-15,3393.18,136442.30
1984-02-16,3393.28,136834.13
1984-02-17,3393.19,136481.33
1984-02-18,3393.06,135974.39
1984-02-19,3392.89,135313.23
1984-02-20,3392.80,134965.39
1984-02-21,3392.84,135120.33
1984-02-22,3392.87,135236.48
1984-02-23,3392.91,135390.95
1984-02-24,3392.95,135546.23
1984-02-25,3392.96,135585.16
1984-02-26,3392.98,135662.89
1984-02-27,3393.04,135896.48
1984-02-28,3393.17,136403.13
1984-02-29,3393.32,136991.08
1984-03-01,3393.47,137580.50
1984-03-02,3393.71,138529.77
1984-03-03,3393.94,139445.55
1984-03-04,3394.14,140246.55
1984-03-05,3394.32,140972.27
1984-03-06,3394.51,141810.00
1984-03-07,3394.78,142842.14
1984-03-08,3395.19,144481.55
1984-03-09,3395.76,146714.95
1984-03-10,3396.58,149988.52
1984-03-11,3397.39,153292.70
1984-03-12,3398.10,156250.41
1984-03-13,3398.87,159521.61
1984-03-14,3400.08,164776.81
1984-03-15,3401.10,169048.98
1984-03-16,3401.69,171569.70
1984-03-17,3402.05,173127.03
1984-03-18,3402.06,173170.47
1984-03-19,3402.06,173170.47
1984-03-20,3402.39,174609.91
1984-03-21,3402.92,176947.72
1984-03-22,3402.78,176327.64
1984-03-23,3402.57,175401.00
1984-03-24,3402.43,174785.34
1984-03-25,3402.28,174129.16
1984-03-26,3402.15,173561.48
1984-03-27,3402.07,173214.06
1984-03-28,3401.93,172605.92
1984-03-29,3401.77,171914.63
1984-03-30,3401.60,171183.33
1984-03-31,3401.43,170454.00
1984-04-01,3401.31,169941.91
