date,qu,qd,mm,mx,mn
1982-04-02,430.02,600.00,,49.02,24.18
1982-04-03,399.90,595.00,,44.70,30.47
1982-04-04,377.08,591.00,,46.43,25.99
1982-04-05,361.81,586.00,,43.91,24.57
1982-04-06,348.89,582.00,,44.38,27.79
1982-04-07,363.71,399.00,,45.88,25.91
1982-04-08,322.49,304.00,,50.99,21.98
1982-04-09,367.86,304.00,,57.12,23.55
1982-04-10,452.40,304.00,,53.97,29.68
1982-04-11,1069.15,311.00,,64.51,43.28
1982-04-12,964.22,538.00,,56.73,41.55
1982-04-13,920.43,760.00,,57.83,43.44
1982-04-14,1013.79,815.00,,46.35,32.51
1982-04-15,868.82,820.00,,45.88,25.83
1982-04-16,788.76,930.00,,52.95,25.28
1982-04-17,715.30,1010.00,,60.26,30.62
1982-04-18,646.18,1000.00,,46.74,29.52
1982-04-19,645.20,765.00,,51.77,25.04
1982-04-20,579.28,430.00,,55.23,27.87
1982-04-21,553.52,278.00,,63.96,28.34
1982-04-22,585.52,242.00,,71.35,30.47
1982-04-23,718.06,367.00,,76.30,33.77
1982-04-24,870.53,745.00,,70.33,36.36
1982-04-25,1001.51,952.00,,67.03,33.85
1982-04-26,1029.33,1070.00,,68.52,38.80
1982-04-27,1062.81,1130.00,,70.25,36.60
1982-04-28,1062.81,1130.00,,59.71,40.92
1982-04-29,1089.33,1130.00,,62.62,27.24
1982-04-30,1053.84,1080.00,,70.48,34.01
1982-05-01,1009.89,1050.00,,75.28,39.43
1982-05-02,1050.00,1050.00,,74.57,39.35
1982-05-03,1062.21,1050.00,,64.20,38.01
1982-05-04,1069.18,1050.00,,60.03,27.56
1982-05-05,955.84,1050.00,,68.20,29.05
1982-05-06,872.35,970.00,,74.26,37.39
1982-05-07,857.54,800.00,,67.81,38.96
1982-05-08,822.89,720.00,,55.86,38.33
1982-05-09,974.11,800.00,,51.38,33.06
1982-05-10,790.45,982.00,,57.36,37.78
1982-05-11,753.28,830.00,,65.92,32.67
1982-05-12,661.28,670.00,,69.78,38.72
1982-05-13,636.00,636.00,,72.29,40.45
1982-05-14,676.11,636.00,,67.73,49.26
1982-05-15,777.42,636.00,,71.35,45.09
1982-05-16,802.66,640.00,,74.18,42.50
1982-05-17,752.79,675.00,,70.17,45.96
1982-05-18,881.16,890.00,,61.05,40.37
1982-05-19,817.15,925.00,,66.79,33.85
1982-05-20,734.80,925.00,,71.66,39.74
1982-05-21,716.19,840.00,,77.80,47.37
1982-05-22,701.28,710.00,,76.22,52.09
1982-05-23,724.32,604.00,,76.30,45.33
1982-05-24,774.11,600.00,,81.65,42.26
1982-05-25,773.27,600.00,,85.97,48.24
1982-05-26,739.58,805.00,,69.15,47.21
1982-05-27,780.63,915.00,,54.45,36.76
1982-05-28,743.17,775.00,,61.60,33.53
1982-05-29,618.48,645.00,,60.42,33.85
1982-05-30,563.58,604.00,,69.62,34.48
1982-05-31,449.38,486.00,,74.10,49.89
1982-06-01,434.00,434.00,,70.41,48.63
1982-06-02,442.72,434.00,,73.08,39.82
1982-06-03,445.72,388.00,,68.76,45.09
1982-06-04,397.45,378.00,,58.06,41.63
1982-06-05,441.18,374.00,,58.93,36.68
1982-06-06,420.50,371.00,,66.48,35.58
1982-06-07,352.50,402.00,,65.37,47.37
1982-06-08,366.50,416.00,,72.06,35.11
1982-06-09,326.44,430.00,,78.58,44.78
1982-06-10,314.91,430.00,,85.19,47.53
1982-06-11,290.84,385.00,,81.02,53.90
1982-06-12,316.92,364.00,,73.47,54.60
1982-06-13,386.16,360.00,,76.15,44.54
1982-06-14,408.82,360.00,,80.31,48.31
1982-06-15,426.26,360.00,,88.25,51.07
1982-06-16,400.11,360.00,,89.27,61.36
1982-06-17,396.62,360.00,,88.17,56.41
1982-06-18,407.08,360.00,,88.65,56.18
1982-06-19,385.00,385.00,,92.50,55.70
1982-06-20,360.64,399.00,,93.60,61.29
1982-06-21,367.10,395.00,,86.37,60.26
1982-06-22,426.90,399.00,,81.73,55.47
1982-06-23,395.00,395.00,,86.29,52.64
1982-06-24,395.00,395.00,,85.89,55.31
1982-06-25,252.01,395.00,,82.59,59.32
1982-06-26,297.84,392.00,,89.04,56.10
1982-06-27,264.19,388.00,,81.33,58.69
1982-06-28,255.47,388.00,,74.10,57.20
1982-06-29,351.89,392.00,,66.00,55.15
1982-06-30,305.94,360.00,,79.76,52.32
1982-07-01,459.32,339.00,,68.28,55.47
1982-07-02,370.38,339.00,,71.59,51.14
1982-07-03,410.98,336.00,,68.99,47.84
1982-07-04,293.64,332.00,,69.54,47.68
1982-07-05,281.92,329.00,,70.96,47.53
1982-07-06,257.35,287.00,,79.60,48.71
1982-07-07,184.45,242.00,,76.07,57.43
1982-07-08,256.83,208.00,,74.65,52.87
1982-07-09,235.90,208.00,,80.86,52.09
1982-07-10,197.10,225.00,,86.99,59.40
1982-07-11,181.45,239.00,,90.69,60.81
1982-07-12,163.12,266.00,,91.55,63.72
1982-07-13,107.46,308.00,,87.78,60.42
1982-07-14,136.63,315.00,,80.63,50.52
1982-07-15,140.63,346.00,,77.56,41.55
1982-07-16,144.63,350.00,,77.88,46.19
1982-07-17,147.43,399.00,,84.71,49.96
1982-07-18,149.35,427.00,,90.45,54.13
1982-07-19,124.50,427.00,,91.79,53.90
1982-07-20,107.33,430.00,,92.18,57.59
1982-07-21,95.29,430.00,,90.22,57.36
1982-07-22,85.57,430.00,,90.38,55.15
1982-07-23,92.51,427.00,,89.90,51.93
1982-07-24,86.29,423.00,,90.30,55.86
1982-07-25,104.47,423.00,,94.31,59.24
1982-07-26,57.81,420.00,,97.77,64.12
1982-07-27,77.78,420.00,,87.15,63.72
1982-07-28,84.98,416.00,,80.63,63.88
1982-07-29,106.21,416.00,,94.62,57.51
1982-07-30,60.75,416.00,,97.22,62.47
1982-07-31,59.58,406.00,,91.87,56.80
1982-08-01,20.44,406.00,,82.04,54.29
1982-08-02,43.98,402.00,,81.57,42.65
1982-08-03,66.15,402.00,,80.08,49.81
1982-08-04,65.00,402.00,,84.79,50.99
1982-08-05,62.89,402.00,,89.75,52.48
1982-08-06,73.73,402.00,,96.27,61.92
1982-08-07,47.04,399.00,,90.06,65.69
1982-08-08,43.86,395.00,,91.79,67.10
1982-08-09,71.29,378.00,,91.00,58.14
1982-08-10,59.01,374.00,,83.14,53.42
1982-08-11,43.97,374.00,,73.39,53.90
1982-08-12,89.77,374.00,,83.38,47.84
1982-08-13,66.90,360.00,,88.49,54.21
1982-08-14,58.61,360.00,,85.82,53.97
1982-08-15,46.58,364.00,,85.82,50.28
1982-08-16,71.81,346.00,,88.57,53.82
1982-08-17,49.14,325.00,,95.09,57.83
1982-08-18,52.36,325.00,,87.70,57.20
1982-08-19,44.34,329.00,,95.25,58.77
1982-08-20,41.01,329.00,,95.72,59.24
1982-08-21,70.31,325.00,,98.55,57.91
1982-08-22,37.82,325.00,,98.16,60.74
1982-08-23,38.94,325.00,,94.23,54.37
1982-08-24,36.06,322.00,,92.97,55.23
1982-08-25,37.43,322.00,,96.11,55.47
1982-08-26,45.49,318.00,,93.13,54.37
1982-08-27,25.10,318.00,,88.25,52.87
1982-08-28,39.36,318.00,,86.21,58.53
1982-08-29,23.53,318.00,,79.13,59.08
1982-08-30,45.81,308.00,,75.99,49.96
1982-08-31,38.89,301.00,,81.57,48.47
1982-09-01,41.31,294.00,,89.59,49.65
1982-09-02,44.55,278.00,,90.38,54.45
1982-09-03,28.90,275.00,,80.00,55.63
1982-09-04,55.97,275.00,,77.56,45.01
1982-09-05,51.51,272.00,,84.87,47.45
1982-09-06,43.63,272.00,,88.80,51.14
1982-09-07,45.65,272.00,,88.33,50.20
1982-09-08,41.83,272.00,,89.90,49.57
1982-09-09,17.50,272.00,,85.66,49.73
1982-09-10,17.06,263.00,,62.31,45.88
1982-09-11,45.03,242.00,,63.17,33.30
1982-09-12,47.65,236.00,,64.67,49.26
1982-09-13,48.39,236.00,,66.32,41.08
1982-09-14,47.11,223.00,,55.31,37.86
1982-09-15,55.61,218.00,,65.69,35.73
1982-09-16,62.04,218.00,,62.15,34.95
1982-09-17,71.22,218.00,,77.17,42.02
1982-09-18,74.33,215.00,,78.43,50.83
1982-09-19,87.89,215.00,,65.85,48.71
1982-09-20,117.71,215.00,,64.51,41.55
1982-09-21,101.71,200.00,,74.26,42.10
1982-09-22,125.24,158.00,,81.02,46.43
1982-09-23,77.19,104.00,,84.24,44.46
1982-09-24,73.37,124.00,,70.64,56.73
1982-09-25,86.28,124.00,,77.80,47.37
1982-09-26,68.41,124.00,,63.80,42.02
1982-09-27,64.47,130.00,,63.17,42.97
1982-09-28,77.17,135.00,,57.36,39.67
1982-09-29,91.61,135.00,,57.36,32.35
1982-09-30,87.75,135.00,,65.69,31.88
1982-10-01,76.54,118.00,,68.13,30.55
1982-10-02,78.18,110.00,,70.96,33.06
1982-10-03,63.79,112.00,,63.64,47.92
1982-10-04,80.18,112.00,,55.70,38.17
1982-10-05,5.93,112.00,,60.66,28.27
1982-10-06,68.61,112.00,,56.49,37.39
1982-10-07,70.54,112.00,,53.90,34.56
1982-10-08,89.82,112.00,,54.52,36.21
1982-10-09,75.36,112.00,,63.96,33.61
1982-10-10,80.72,112.00,,69.23,31.88
1982-10-11,81.96,128.00,,73.87,33.06
1982-10-12,82.02,160.00,,76.46,36.76
1982-10-13,77.99,140.00,,75.12,32.43
1982-10-14,82.99,114.00,,77.25,36.13
1982-10-15,86.27,106.00,,75.04,36.91
1982-10-16,84.39,106.00,,70.80,36.29
1982-10-17,54.32,106.00,,55.00,36.52
1982-10-18,74.99,106.00,,54.68,28.27
1982-10-19,90.97,106.00,,55.23,20.64
1982-10-20,90.03,106.00,,60.97,21.58
1982-10-21,88.27,108.00,,60.81,34.01
1982-10-22,88.70,84.00,,68.91,49.65
1982-10-23,76.34,66.00,,67.65,46.82
1982-10-24,70.70,66.00,,67.58,39.27
1982-10-25,34.70,30.00,,63.80,42.18
1982-10-26,11.75,0.48,,54.21,34.48
1982-10-27,46.32,0.28,,51.22,29.60
1982-10-28,88.57,0.25,,52.24,24.49
1982-10-29,83.40,0.72,,44.07,39.19
1982-10-30,88.68,0.36,,47.13,39.27
1982-10-31,82.34,0.32,,,
1982-11-01,90.96,0.32,,52.09,24.96
1982-11-02,85.14,0.28,,51.07,25.59
1982-11-03,90.89,0.25,,50.67,25.20
1982-11-04,84.14,0.25,,48.31,26.46
1982-11-05,90.89,0.25,,50.83,25.04
1982-11-06,85.30,0.25,,49.10,27.64
1982-11-07,91.56,0.22,,45.96,21.03
1982-11-08,93.54,0.22,,46.58,24.81
1982-11-09,88.58,0.22,,41.40,20.40
1982-11-10,86.59,0.22,,44.85,24.73
1982-11-11,92.53,0.20,,45.40,20.33
1982-11-12,88.56,0.20,,37.31,18.67
1982-11-13,96.02,0.20,,45.48,18.20
1982-11-14,96.04,0.22,,41.47,13.72
1982-11-15,88.90,0.22,,44.85,12.78
1982-11-16,95.02,0.22,,37.23,24.73
1982-11-17,91.00,0.28,,42.65,32.67
1982-11-18,94.20,0.42,,46.90,32.98
1982-11-19,95.12,0.25,,47.61,27.64
1982-11-20,99.38,0.25,,42.02,25.83
1982-11-21,92.99,0.25,,40.14,22.92
1982-11-22,100.45,0.25,,38.88,19.30
1982-11-23,95.09,0.22,,33.69,16.87
1982-11-24,98.29,0.22,,33.53,8.85
1982-11-25,95.83,0.22,,35.81,9.08
1982-11-26,114.48,0.22,,34.08,13.56
1982-11-27,107.99,0.25,,38.01,21.58
1982-11-28,113.46,0.28,,44.15,28.58
1982-11-29,113.60,0.42,,42.26,30.00
1982-11-30,114.34,0.28,,39.35,29.92
1982-12-01,98.73,0.25,,42.81,31.88
1982-12-02,96.56,0.28,,35.73,29.05
1982-12-03,134.22,0.32,,48.00,32.98
1982-12-04,169.63,0.32,,51.46,32.12
1982-12-05,179.37,0.32,,40.69,28.27
1982-12-06,234.29,0.30,,43.20,26.61
1982-12-07,137.52,0.28,,41.71,21.19
1982-12-08,184.98,0.28,,35.66,13.17
1982-12-09,102.63,0.28,,35.73,20.09
1982-12-10,64.68,0.28,,41.40,14.19
1982-12-11,61.23,0.28,,40.69,15.29
1982-12-12,96.88,0.28,,31.49,16.16
1982-12-13,81.93,0.28,,41.79,19.15
1982-12-14,132.53,0.28,,35.34,21.74
1982-12-15,117.19,0.35,,36.52,31.96
1982-12-16,118.37,0.42,,39.27,25.91
1982-12-17,110.09,0.48,,41.55,25.67
1982-12-18,99.25,0.36,,34.87,19.22
1982-12-19,98.05,0.36,,37.94,26.06
1982-12-20,124.27,0.36,,34.56,22.45
1982-12-21,212.85,0.32,,39.04,32.83
1982-12-22,226.65,0.32,,34.95,23.71
1982-12-23,136.60,0.32,,39.51,19.15
1982-12-24,78.19,0.32,,32.75,4.76
1982-12-25,75.41,0.27,,22.45,-0.90
1982-12-26,88.60,0.25,,28.82,7.51
1982-12-27,41.28,0.22,,24.02,-5.62
1982-12-28,47.49,0.20,,13.80,-8.84
1982-12-29,47.49,0.20,,19.22,-4.60
1982-12-30,54.95,0.20,,21.35,-5.23
1982-12-31,68.64,0.20,,11.83,-3.10
1983-01-01,54.95,0.20,,20.40,-0.82
1983-01-02,94.79,0.22,,16.39,-4.44
1983-01-03,110.99,0.24,,27.64,9.40
1983-01-04,144.91,0.28,,42.89,22.21
1983-01-05,156.07,0.33,,46.11,35.66
1983-01-06,384.65,0.40,,44.85,33.93
1983-01-07,704.13,0.70,,46.11,36.68
1983-01-08,555.30,1.00,,44.70,32.04
1983-01-09,294.97,1.10,,39.82,26.38
1983-01-10,234.36,1.10,,47.92,29.52
1983-01-11,163.53,1.20,,49.02,23.55
1983-01-12,158.07,1.20,,42.57,18.28
1983-01-13,143.26,1.30,,43.28,17.49
1983-01-14,138.17,1.30,,41.95,18.52
1983-01-15,153.38,1.30,,41.55,15.61
1983-01-16,122.96,1.30,,40.92,28.58
1983-01-17,143.70,1.30,,42.50,30.31
1983-01-18,138.28,1.40,,36.13,29.60
1983-01-19,153.14,1.40,,37.86,33.14
1983-01-20,132.85,1.40,,42.57,30.39
1983-01-21,130.15,1.50,,38.88,31.17
1983-01-22,125.96,1.50,,34.56,27.17
1983-01-23,137.15,1.50,,41.00,25.20
1983-01-24,132.95,1.50,,40.61,32.20
1983-01-25,132.80,1.50,,34.56,25.04
1983-01-26,143.39,1.50,,40.69,33.53
1983-01-27,119.03,1.50,,47.29,28.74
1983-01-28,157.73,1.50,,45.64,23.16
1983-01-29,136.22,1.50,,37.07,31.80
1983-01-30,110.43,1.50,,41.95,23.94
1983-01-31,121.42,1.60,,39.90,21.82
1983-02-01,112.98,1.60,,35.50,29.60
1983-02-02,98.32,1.60,,32.35,24.26
1983-02-03,83.67,1.60,,36.84,19.15
1983-02-04,73.51,1.70,,38.25,14.27
1983-02-05,89.63,1.70,,33.85,12.93
1983-02-06,121.97,1.80,,30.31,27.09
1983-02-07,121.97,1.80,,37.07,21.82
1983-02-08,131.95,1.80,,39.90,29.05
1983-02-09,126.21,1.90,,43.05,31.88
1983-02-10,132.21,1.90,,46.58,30.23
1983-02-11,150.18,1.90,,42.10,34.71
1983-02-12,213.19,2.00,,50.28,35.03
1983-02-13,353.76,2.10,,46.74,32.04
1983-02-14,216.41,2.20,,47.45,27.48
1983-02-15,247.10,2.30,,39.04,31.41
1983-02-16,297.18,2.40,,49.26,34.24
1983-02-17,264.57,2.40,,41.63,35.89
1983-02-18,652.99,80.00,,50.75,37.78
1983-02-19,441.03,118.00,,46.51,27.87
1983-02-20,329.08,118.00,,46.11,33.14
1983-02-21,487.45,118.00,,45.48,36.52
1983-02-22,543.78,261.00,,48.24,37.62
1983-02-23,613.15,345.00,,47.45,32.75
1983-02-24,590.55,348.00,,58.22,31.88
1983-02-25,617.91,348.00,,53.50,33.38
1983-02-26,583.54,360.00,,50.36,28.66
1983-02-27,475.29,366.00,,44.07,31.17
1983-02-28,534.58,470.00,,47.53,35.03
1983-03-01,710.50,546.00,,53.35,38.09
1983-03-02,1030.00,546.00,,56.80,33.69
1983-03-03,973.72,725.00,,48.71,38.80
1983-03-04,2013.15,1410.00,,50.28,34.87
1983-03-05,1202.15,1630.00,,46.11,31.49
1983-03-06,1035.23,1550.00,,51.77,30.62
1983-03-07,1130.36,1490.00,,52.72,36.84
1983-03-08,1174.20,1470.00,,50.75,39.90
1983-03-09,1260.77,1380.00,,62.70,38.01
1983-03-10,1370.00,1370.00,,63.33,38.49
1983-03-11,1479.41,1390.00,,49.57,33.69
1983-03-12,1300.52,1380.00,,47.76,32.67
1983-03-13,1979.96,1390.00,,55.78,39.27
1983-03-14,1613.26,1420.00,,49.10,34.24
1983-03-15,1218.33,1420.00,,49.57,28.58
1983-03-16,1046.74,1240.00,,50.28,28.11
1983-03-17,922.20,1130.00,,43.75,32.83
1983-03-18,823.14,1050.00,,49.41,26.77
1983-03-19,731.88,1020.00,,53.03,25.59
1983-03-20,683.85,1010.00,,53.11,27.24
1983-03-21,628.98,824.00,,53.97,35.50
1983-03-22,569.62,542.00,,51.22,32.59
1983-03-23,550.88,442.00,,50.52,33.61
1983-03-24,537.89,442.00,,45.33,33.69
1983-03-25,507.91,446.00,,52.09,32.20
1983-03-26,508.93,446.00,,50.91,25.28
1983-03-27,527.14,446.00,,48.86,32.35
1983-03-28,493.64,285.00,,48.16,27.79
1983-03-29,653.33,193.00,,45.09,32.98
1983-03-30,1352.88,195.00,,47.29,38.80
1983-03-31,867.58,195.00,,52.17,35.11
1983-04-01,807.50,506.00,,55.15,28.19
1983-04-02,965.81,842.00,,45.88,30.31
1983-04-03,775.39,955.00,,45.17,30.00
1983-04-04,682.18,945.00,,50.36,33.14
1983-04-05,642.35,935.00,,52.64,25.67
1983-04-06,648.11,797.00,,57.67,25.59
1983-04-07,628.79,675.00,,61.68,27.64
1983-04-08,620.62,648.00,,55.31,28.42
1983-04-09,608.63,648.00,,45.17,36.05
1983-04-10,574.41,648.00,,48.79,29.45
1983-04-11,530.56,522.00,,47.53,26.69
1983-04-12,480.80,450.00,,46.11,28.66
1983-04-13,459.03,394.00,,55.39,27.32
1983-04-14,425.94,390.00,,56.65,28.74
1983-04-15,427.65,390.00,,60.97,29.05
1983-04-16,450.48,394.00,,65.14,30.31
1983-04-17,486.41,394.00,,66.79,33.38
1983-04-18,520.07,390.00,,62.39,43.44
1983-04-19,590.81,394.00,,62.94,36.36
1983-04-20,760.85,372.00,,65.53,38.72
1983-04-21,1023.49,530.00,,60.26,42.89
1983-04-22,1156.09,955.00,,63.57,35.11
1983-04-23,1167.68,1150.00,,58.93,45.09
1983-04-24,1142.32,1160.00,,55.39,34.48
1983-04-25,1083.18,1150.00,,50.04,30.47
1983-04-26,987.01,1130.00,,53.82,31.49
1983-04-27,907.57,925.00,,58.85,32.59
1983-04-28,805.61,837.00,,60.03,41.24
1983-04-29,885.82,837.00,,64.20,37.46
1983-04-30,908.27,842.00,,62.70,44.07
1983-05-01,994.38,842.00,,61.76,37.54
1983-05-02,1064.23,1180.00,,61.84,34.32
1983-05-03,1028.33,1330.00,,64.51,37.54
1983-05-04,1044.02,1330.00,,66.71,39.82
1983-05-05,1223.63,1330.00,,54.84,42.89
1983-05-06,1206.19,1330.00,,58.69,36.29
1983-05-07,1039.81,1320.00,,58.77,36.21
1983-05-08,964.30,1310.00,,48.31,36.68
1983-05-09,882.05,995.00,,48.94,31.41
1983-05-10,792.44,801.00,,53.03,27.87
1983-05-11,666.93,797.00,,60.66,33.45
1983-05-12,631.09,602.00,,63.88,30.86
1983-05-13,553.78,422.00,,60.58,35.81
1983-05-14,560.70,470.00,,64.27,33.22
1983-05-15,508.83,490.00,,54.05,40.53
1983-05-16,523.51,402.00,,60.97,34.32
1983-05-17,503.33,363.00,,71.59,33.85
1983-05-18,475.95,363.00,,63.02,47.68
1983-05-19,549.93,363.00,,72.29,40.69
1983-05-20,572.87,327.00,,76.38,41.55
1983-05-21,612.62,297.00,,75.83,41.32
1983-05-22,696.60,288.00,,79.84,44.46
1983-05-23,719.68,702.00,,85.42,48.24
1983-05-24,845.39,970.00,,87.62,50.67
1983-05-25,864.84,891.00,,88.65,54.37
1983-05-26,925.08,878.00,,88.25,52.17
1983-05-27,976.84,882.00,,92.58,56.57
1983-05-28,989.50,940.00,,94.86,60.50
1983-05-29,993.29,965.00,,92.58,57.12
1983-05-30,991.22,970.00,,88.10,52.48
1983-05-31,1065.48,970.00,,69.15,56.49
1983-06-01,1154.86,1070.00,,71.35,52.32
1983-06-02,1005.69,1110.00,,75.83,47.29
1983-06-03,858.02,1100.00,,78.66,48.08
1983-06-04,764.93,955.00,,79.60,45.33
1983-06-05,656.66,702.00,,78.82,43.75
1983-06-06,575.25,434.00,,80.31,42.81
1983-06-07,521.60,410.00,,84.16,50.91
1983-06-08,482.38,470.00,,80.15,51.85
1983-06-09,496.91,518.00,,78.74,49.81
1983-06-10,406.30,490.00,,72.21,46.90
1983-06-11,479.42,387.00,,59.40,36.91
1983-06-12,421.67,381.00,,66.24,35.97
1983-06-13,397.29,369.00,,75.75,40.22
1983-06-14,331.87,369.00,,85.19,49.65
1983-06-15,292.45,333.00,,74.49,55.00
1983-06-16,315.28,324.00,,79.05,42.57
1983-06-17,238.56,324.00,,83.14,52.95
1983-06-18,300.84,327.00,,64.59,45.33
1983-06-19,286.89,327.00,,64.98,46.03
1983-06-20,269.46,327.00,,65.53,43.05
1983-06-21,297.84,324.00,,73.71,43.52
1983-06-22,247.28,324.00,,83.77,51.85
1983-06-23,176.27,321.00,,79.60,49.81
1983-06-24,229.55,315.00,,73.94,46.58
1983-06-25,229.55,315.00,,82.36,46.35
1983-06-26,165.04,315.00,,85.97,56.88
1983-06-27,217.35,315.00,,74.65,47.13
1983-06-28,224.51,318.00,,80.78,46.51
1983-06-29,187.94,318.00,,70.33,57.04
1983-06-30,194.78,318.00,,73.71,46.58
1983-07-01,282.89,300.00,,62.47,52.48
1983-07-02,273.88,291.00,,64.90,44.54
1983-07-03,234.52,291.00,,73.79,40.06
1983-07-04,207.52,264.00,,85.42,51.07
1983-07-05,198.08,246.00,,91.55,55.47
1983-07-06,124.49,246.00,,85.82,55.47
1983-07-07,134.76,246.00,,82.20,53.74
1983-07-08,110.40,261.00,,70.72,54.21
1983-07-09,131.02,270.00,,65.53,47.84
1983-07-10,187.65,270.00,,76.77,40.92
1983-07-11,160.28,288.00,,86.99,50.04
1983-07-12,142.62,309.00,,89.67,51.30
1983-07-13,143.58,315.00,,93.05,53.27
1983-07-14,47.79,315.00,,73.39,55.94
1983-07-15,125.81,315.00,,72.45,48.31
1983-07-16,124.58,315.00,,77.32,46.90
1983-07-17,142.79,315.00,,80.00,50.75
1983-07-18,139.79,312.00,,88.96,49.89
1983-07-19,84.01,291.00,,82.59,60.50
1983-07-20,184.99,276.00,,78.27,54.29
1983-07-21,118.36,276.00,,90.45,53.11
1983-07-22,105.36,276.00,,94.46,56.25
1983-07-23,106.98,276.00,,92.18,64.04
1983-07-24,72.86,276.00,,87.62,57.36
1983-07-25,71.58,273.00,,82.20,61.92
1983-07-26,69.91,273.00,,81.18,52.72
1983-07-27,81.10,273.00,,81.81,52.64
1983-07-28,96.70,279.00,,88.10,61.13
1983-07-29,101.10,285.00,,93.91,62.54
1983-07-30,90.85,285.00,,98.87,65.69
1983-07-31,80.23,285.00,,86.29,73.94
