date,mm,mx,id,fb,mn,af
1982-02-10,,24.00,2029.97,3187.90,-4.83,208658.08
1982-02-11,,12.00,2050.94,3186.04,-1.85,204038.45
1982-02-12,,19.00,2064.39,3184.21,8.61,199554.59
1982-02-13,,35.00,3218.25,3183.35,18.60,197458.56
1982-02-14,,38.00,2039.57,3181.53,33.69,193094.08
1982-02-15,,40.00,4040.70,3181.38,36.52,192738.44
1982-02-16,,43.00,5800.90,3182.69,36.52,195864.20
1982-02-17,,42.00,5620.34,3183.80,33.53,198552.47
1982-02-18,,41.00,4906.50,3184.30,31.96,199775.28
1982-02-19,,42.00,4845.72,3184.74,36.13,200857.69
1982-02-20,,45.00,5116.83,3185.39,36.36,202448.09
1982-02-21,,44.00,5969.73,3186.71,36.76,205690.52
1982-02-22,,47.00,7214.29,3188.95,27.56,211312.25
1982-02-23,,41.00,6368.09,3190.47,24.49,215156.39
1982-02-24,,36.00,5201.46,3191.06,17.34,216617.14
1982-02-25,,35.00,4625.19,3191.18,16.00,216915.03
1982-02-26,,36.00,4237.15,3190.99,25.51,216443.27
1982-02-27,,49.00,3978.22,3190.60,32.35,215477.75
1982-02-28,,44.00,3970.08,3190.21,27.17,214515.92
1982-03-01,,51.00,3933.52,3189.81,38.72,213511.34
1982-03-02,,49.00,3925.60,3189.42,33.53,212510.88
1982-03-03,,43.00,4301.44,3189.32,30.00,212255.88
1982-03-04,,38.00,4103.39,3189.07,32.20,211617.98
1982-03-05,,43.00,3856.19,3188.63,25.59,210499.67
1982-03-06,,45.00,3709.92,3188.08,22.92,209111.08
1982-03-07,,47.00,3605.98,3187.46,27.87,207556.00
1982-03-08,,52.00,3972.50,3187.14,30.31,206757.66
1982-03-09,,44.00,3336.35,3186.32,32.35,204727.28
1982-03-10,,54.00,3161.58,3185.37,33.45,202399.84
1982-03-11,,55.00,4086.61,3185.18,31.73,201936.92
1982-03-12,,55.00,4295.44,3185.16,24.41,201888.20
1982-03-13,,45.00,4143.72,3185.02,28.03,201548.47
1982-03-14,,45.00,4103.67,3184.85,36.60,201129.31
1982-03-15,,50.00,4061.00,3184.65,30.15,200635.42
1982-03-16,,41.00,3871.35,3184.30,27.01,199775.28
1982-03-17,,42.00,3175.61,3183.39,26.61,197555.00
1982-03-18,,48.00,3812.12,3182.32,31.33,194976.72
1982-03-19,,47.00,3086.41,3180.65,28.50,191018.53
1982-03-20,,38.00,3438.16,3178.61,28.97,186230.75
1982-03-21,,43.00,3361.09,3176.53,25.36,181442.84
1982-03-22,,44.00,3282.15,3174.41,25.28,176664.95
1982-03-23,,47.00,3230.48,3172.29,26.54,171951.20
1982-03-24,,52.00,2827.77,3169.83,28.82,166619.17
1982-03-25,,56.00,3389.69,3167.32,31.65,161092.61
1982-03-26,,59.00,3623.85,3165.05,38.17,156252.64
1982-03-27,,55.00,3816.95,3162.99,39.04,151986.09
1982-03-28,,55.00,3984.36,3161.15,35.34,148273.75
1982-03-29,,53.00,3828.98,3159.28,31.25,144459.50
1982-03-30,,44.00,4837.18,3158.52,30.94,142851.27
1982-03-31,,41.00,2680.02,3155.75,33.30,137138.91
1982-04-01,,50.00,3634.66,3153.93,27.87,133510.47
1982-04-02,,43.00,3473.16,3152.00,24.73,129767.97
1982-04-03,,49.00,3515.57,3150.17,34.71,126315.88
1982-04-04,,43.00,3408.23,3148.43,31.41,122936.51
1982-04-05,,40.00,3287.14,3146.60,26.30,119459.76
1982-04-06,,44.00,3338.58,3144.88,30.55,116275.45
1982-04-07,,41.00,3176.85,3143.09,27.87,112976.64
1982-04-08,,44.00,3164.38,3141.35,26.30,109859.38
1982-04-09,,47.00,3165.93,3139.72,30.31,106983.21
1982-04-10,,52.00,3253.86,3138.34,30.47,104471.86
1982-04-11,,59.00,4302.98,3138.18,43.12,104184.22
1982-04-12,,62.00,6500.61,3140.39,40.69,108176.18
1982-04-13,,62.00,6261.85,3142.23,42.26,111424.80
1982-04-14,,60.00,6271.68,3143.89,35.42,114439.04
1982-04-15,,54.00,5861.72,3144.99,31.17,116481.45
1982-04-16,,45.00,5248.26,3145.38,26.38,117196.02
1982-04-17,,51.00,4950.45,3145.43,29.76,117288.15
1982-04-18,,47.00,4681.89,3145.19,33.53,116847.60
1982-04-19,,42.00,4384.49,3144.66,26.06,115864.78
1982-04-20,,46.00,4454.91,3144.24,26.06,115085.10
1982-04-21,,52.00,4378.97,3143.75,,114250.00
1982-04-22,,61.00,4179.20,3143.11,,113098.00
1982-04-23,,71.00,4701.90,3142.43,,111874.00
1982-04-24,,74.00,5554.80,3142.67,,112306.00
1982-04-25,,69.00,6334.73,3143.70,,114160.00
1982-04-26,,64.00,7710.02,3146.11,0.00,118545.49
1982-04-27,,69.00,6753.33,3147.35,41.20,120872.76
1982-04-28,,70.00,7412.33,3149.13,44.23,124292.91
1982-04-29,,62.00,7034.20,3150.45,32.20,126838.09
1982-04-30,,59.00,6989.97,3151.64,33.61,129081.34
1982-05-01,,72.00,7217.99,3152.96,43.99,131616.19
1982-05-02,,79.00,8405.96,3155.33,47.21,136293.13
1982-05-03,,78.00,10173.92,3159.12,41.55,144119.75
1982-05-04,,64.00,9468.42,3162.07,31.49,150118.59
1982-05-05,,54.00,8148.50,3163.58,30.55,153195.95
1982-05-06,,59.00,7472.43,3164.35,35.11,154789.52
1982-05-07,,66.00,7430.48,3165.03,41.55,156210.63
1982-05-08,,64.00,7515.66,3165.75,40.06,157729.30
1982-05-09,,57.00,8510.67,3167.33,35.81,161114.42
1982-05-10,,54.00,8338.55,3168.65,37.31,163997.50
1982-05-11,,55.00,8021.86,3169.61,36.91,166127.47
1982-05-12,,58.00,7928.58,3170.46,38.72,167983.17
1982-05-13,,65.00,7972.43,3171.32,40.61,169836.59
1982-05-14,,70.00,8566.03,3172.65,45.48,172742.44
1982-05-15,,72.00,9207.53,3174.46,45.72,176777.86
1982-05-16,,70.00,9931.34,3176.79,43.44,182034.73
1982-05-17,,73.00,10785.78,3179.67,44.93,188718.58
1982-05-18,,75.00,11466.20,3182.94,42.89,196466.41
1982-05-19,,55.00,10888.63,3185.52,37.86,202765.17
1982-05-20,,65.00,10248.95,3187.47,39.98,207580.94
1982-05-21,,72.00,10042.46,3189.18,47.06,211897.88
1982-05-22,,78.00,10243.64,3190.99,52.95,216443.27
1982-05-23,,75.00,10564.23,3192.99,43.99,221463.89
1982-05-24,,74.00,10857.52,3195.10,50.36,226887.72
1982-05-25,,81.00,12296.99,3198.15,49.49,234962.41
1982-05-26,,84.00,12573.23,3201.22,49.49,243343.03
1982-05-27,,69.00,12584.66,3204.12,42.57,251478.55
1982-05-28,,55.00,11996.66,3206.47,41.32,258180.03
1982-05-29,,58.00,10887.49,3207.92,37.54,262370.09
1982-05-30,,59.00,10038.99,3208.74,41.95,264770.06
1982-05-31,,64.00,9405.68,3209.11,43.44,265860.34
1982-06-01,,77.00,8606.09,3208.93,49.89,265328.94
1982-06-02,,66.00,8470.41,3208.67,47.76,264564.13
1982-06-03,,72.00,8610.34,3208.51,46.74,264094.72
1982-06-04,,70.00,8852.73,3208.52,46.03,264123.94
1982-06-05,,63.00,8601.87,3208.36,43.52,263655.59
1982-06-06,,59.00,8327.95,3208.02,40.45,262661.78
1982-06-07,,66.00,7931.54,3207.42,47.53,260917.39
1982-06-08,,62.00,7780.09,3206.73,40.29,258926.17
1982-06-09,,70.00,8135.39,3206.30,45.48,257693.22
1982-06-10,,77.00,8148.60,3205.89,46.90,256522.17
1982-06-11,,81.00,8563.35,3205.78,50.12,256209.47
1982-06-12,,88.00,9555.57,3206.36,58.61,257864.81
1982-06-13,,76.00,10500.78,3207.56,51.14,261323.55
1982-06-14,,72.00,10794.75,3208.90,54.13,265240.41
1982-06-15,,80.00,11486.30,3210.65,54.13,270403.97
1982-06-16,,85.00,11922.01,3212.63,57.28,276288.94
1982-06-17,,89.00,11676.73,3214.34,56.80,281473.19
1982-06-18,,87.00,12899.15,3215.53,55.47,285138.94
1982-06-19,,86.00,11584.89,3215.45,58.38,284890.78
1982-06-20,,94.00,12822.96,3215.02,59.79,283561.78
1982-06-21,,94.00,12675.97,3214.73,58.69,282669.16
1982-06-22,,87.00,13645.24,3215.25,61.13,284272.28
1982-06-23,,85.00,11980.31,3215.52,56.49,285107.94
1982-06-24,,90.00,11995.43,3215.63,56.88,285449.94
1982-06-25,,84.00,11761.37,3215.56,59.79,285232.50
1982-06-26,,82.00,12113.25,3215.85,56.33,286133.50
1982-06-27,,91.00,10518.25,3216.84,62.94,289174.66
1982-06-28,,87.00,10673.59,3217.20,60.97,290284.59
1982-06-29,,70.00,11182.39,3217.44,54.60,291027.19
1982-06-30,,74.00,10492.49,3217.18,56.41,290222.88
1982-07-01,,69.38,9833.37,3217.17,54.13,290191.88
1982-07-02,,76.15,9553.49,3216.98,51.85,289605.75
1982-07-03,,72.53,9020.64,3216.94,50.44,289482.06
1982-07-04,,65.37,8507.90,3216.80,52.56,289051.44
1982-07-05,,69.38,7970.34,3216.58,46.74,288375.75
1982-07-06,,80.39,7081.93,3216.39,49.73,287792.47
1982-07-07,,69.54,6831.11,3216.32,58.22,287578.47
1982-07-08,,74.02,6923.65,3216.31,52.40,287548.03
1982-07-09,,79.13,6403.45,3216.03,52.17,286692.06
1982-07-10,,87.86,4938.27,3215.32,56.18,284488.97
1982-07-11,,92.11,4774.01,3215.01,57.36,283530.97
1982-07-12,,94.70,6116.12,3215.69,60.11,285635.66
1982-07-13,,91.08,5409.07,3216.72,63.96,288805.38
1982-07-14,,77.40,5477.19,3216.82,58.06,289113.19
1982-07-15,,74.02,4418.20,3216.52,50.75,288191.28
1982-07-16,,77.32,4718.03,3216.16,46.74,287088.53
1982-07-17,,79.53,3977.71,3215.68,52.17,285604.31
1982-07-18,,89.35,3843.07,3215.36,55.39,284612.72
1982-07-19,,90.53,3804.37,3215.11,59.32,283839.91
1982-07-20,,93.52,3695.62,3214.88,60.42,283131.06
1982-07-21,,93.44,2768.88,3214.11,61.84,280770.50
1982-07-22,,88.65,3599.72,3213.37,57.04,278520.69
1982-07-23,,82.44,3367.61,3212.93,59.01,277191.00
1982-07-24,,82.91,2390.53,3212.06,62.70,274581.81
1982-07-25,,91.63,3204.45,3211.03,59.56,271524.19
1982-07-26,,93.36,3108.95,3210.29,62.07,269348.22
1982-07-27,,90.93,3012.30,3209.64,69.31,267428.81
1982-07-28,,75.28,2452.83,3208.63,66.24,264447.31
1982-07-29,,88.96,3588.72,3207.74,60.50,261846.42
1982-07-30,,95.01,2392.15,3206.70,62.39,258839.77
1982-07-31,,94.07,2454.32,3205.36,64.27,255050.00
1982-08-01,,95.00,2369.84,3204.00,68.20,251136.30
1982-08-02,,90.00,2870.40,3203.00,50.36,248304.70
1982-08-03,,84.00,2605.08,3202.14,54.05,245894.94
1982-08-04,,81.00,2301.09,3201.07,54.13,242929.84
1982-08-05,,85.00,2645.98,3199.91,55.70,239752.28
1982-08-06,,92.00,2647.43,3198.77,59.95,236639.08
1982-08-07,,96.00,2110.07,3197.24,60.50,232523.52
1982-08-08,,101.00,2389.91,3195.58,69.78,228139.88
1982-08-09,,92.00,2277.07,3193.82,63.57,223582.00
1982-08-10,,94.00,2260.23,3192.05,61.99,219089.89
1982-08-11,,90.00,2422.20,3190.41,53.74,215008.30
1982-08-12,,82.00,2338.21,3188.76,49.73,210829.55
1982-08-13,,83.00,2342.19,3187.10,54.13,206658.69
1982-08-14,,91.00,2293.60,3185.44,56.88,202569.97
1982-08-15,,88.00,2252.66,3183.77,58.61,198479.39
1982-08-16,,89.00,1904.31,3181.83,57.28,193806.94
1982-08-17,,94.00,1561.44,3179.60,61.05,188553.61
1982-08-18,,92.00,1451.34,3177.30,61.44,183200.89
1982-08-19,,82.00,1457.95,3175.00,60.81,178000.13
1982-08-20,,93.00,1431.05,3172.71,64.59,172874.94
1982-08-21,,99.00,1429.55,3170.41,64.27,167875.70
1982-08-22,,98.00,947.74,3167.77,65.69,162069.56
1982-08-23,,93.00,1340.43,3164.79,58.30,155707.45
1982-08-24,,89.00,1398.93,3161.85,58.77,149675.58
1982-08-25,,90.00,1353.71,3158.96,55.47,143780.13
1982-08-26,,96.00,2065.74,3156.92,58.53,139523.09
1982-08-27,,93.00,376.67,3153.20,59.24,132082.44
1982-08-28,,89.00,1309.13,3150.43,60.74,126800.71
1982-08-29,,85.00,1188.83,3147.69,61.52,121518.39
1982-08-30,,86.00,897.05,3144.67,57.43,115883.46
1982-08-31,,79.00,1246.83,3141.46,49.96,110053.70
1982-09-01,,80.00,1221.96,3138.36,50.91,104507.84
1982-09-02,,85.00,709.47,3134.79,54.37,98278.70
1982-09-03,,91.00,1217.51,3130.97,59.79,92023.84
1982-09-04,,86.00,1240.02,3127.44,54.60,86311.48
1982-09-05,,77.00,1187.59,3124.07,49.10,81050.51
1982-09-06,,82.00,1244.58,3120.98,48.79,76414.30
1982-09-07,,84.00,3343.75,3121.03,52.01,76487.20
1982-09-08,,86.00,1239.66,3122.69,53.19,78946.03
1982-09-09,,92.00,1201.42,3124.25,54.68,81329.02
1982-09-10,,90.00,1312.60,3125.93,52.09,83932.53
1982-09-11,,69.00,1223.63,3127.47,41.08,86359.56
1982-09-12,,65.00,1259.01,3129.01,49.73,88856.77
1982-09-13,,66.00,1286.41,3130.58,40.85,91408.33
1982-09-14,,65.00,1238.06,3132.12,46.90,93863.99
1982-09-15,,63.00,1262.71,3133.65,43.44,96368.53
1982-09-16,,53.00,1270.95,3135.15,41.16,98889.43
1982-09-17,,68.00,1277.86,3136.62,51.54,101424.02
1982-09-18,,80.00,1274.32,3138.05,54.05,103951.59
1982-09-19,,84.00,1389.38,3139.57,52.01,106707.38
1982-09-20,,79.00,1473.37,3141.22,50.28,109629.76
1982-09-21,,69.00,1340.31,3142.71,47.29,112288.22
1982-09-22,,74.00,1214.54,3144.03,47.92,114697.23
1982-09-23,,77.00,1232.26,3144.94,48.39,117141.38
1982-09-24,,83.00,1206.43,3146.64,52.87,119534.29
1982-09-25,,66.00,1173.63,3147.87,50.28,121862.14
1982-09-26,,79.00,1392.89,3149.30,49.65,124624.90
1982-09-27,,62.00,1257.45,3150.60,44.46,127119.02
1982-09-28,,67.00,1250.83,3151.80,42.42,129600.00
1982-09-29,,53.00,1310.83,3153.10,39.82,132200.00
1982-09-30,,55.00,1673.83,3154.76,38.88,135520.00
1982-10-01,,60.00,947.83,3155.70,44.62,137400.00
1982-10-02,,58.00,998.25,3156.69,38.80,139380.00
1982-10-03,,69.00,1220.08,3157.90,47.76,141800.00
1982-10-04,,62.00,233.43,3158.24,42.42,142263.00
1982-10-05,,54.00,1021.60,3159.20,35.18,144289.31
1982-10-06,,58.00,931.88,3160.07,37.70,146137.67
1982-10-07,,67.00,916.43,3160.99,42.18,147955.38
1982-10-08,,51.00,887.57,3161.87,36.60,149715.84
1982-10-09,,48.00,887.57,3162.74,34.32,151476.31
1982-10-10,,58.00,856.68,3163.57,33.69,153175.50
1982-10-11,,56.00,876.49,3164.41,36.13,154914.00
1982-10-12,,66.00,876.13,3165.24,42.65,156651.77
1982-10-13,,67.00,875.28,3166.06,42.18,158387.86
1982-10-14,,66.00,884.84,3166.88,42.18,160142.91
1982-10-15,,70.00,839.61,3167.65,44.30,161808.25
1982-10-16,,74.00,881.92,3168.45,44.70,163557.52
1982-10-17,,69.00,712.39,3169.09,40.14,164970.53
1982-10-18,,63.00,1000.64,3169.98,33.30,166955.27
1982-10-19,,48.00,788.67,3170.71,28.58,168519.58
1982-10-20,,55.00,784.04,3171.43,30.86,170074.69
1982-10-21,,58.00,834.55,3172.15,41.55,171730.00
1982-10-22,,69.00,833.29,3172.94,50.75,173382.81
1982-10-23,,66.00,908.11,3173.75,51.62,175184.02
1982-10-24,,64.00,1122.62,3174.74,45.56,177410.70
1982-10-25,,65.00,962.65,3175.59,49.41,179320.08
1982-10-26,,65.00,1311.15,3176.74,43.28,181920.70
1982-10-27,,50.00,1272.07,3177.84,33.85,184443.81
1982-10-28,,47.00,1112.75,3178.79,31.10,186650.91
1982-10-29,,52.00,1197.55,3179.80,35.66,189026.22
1982-10-30,,48.00,1182.15,3180.80,38.17,191370.98
1982-10-31,,51.00,1168.13,3181.78,33.93,193687.94
1982-11-01,,55.00,1048.71,3182.65,32.28,195768.03
1982-11-02,,47.00,1011.18,3183.48,30.07,197773.67
1982-11-03,,45.00,972.17,3184.27,30.15,199701.94
1982-11-04,,49.00,979.91,3185.06,32.28,201645.56
1982-11-05,,52.00,959.10,3185.84,36.68,203547.91
1982-11-06,,53.00,918.27,3186.58,30.31,205369.27
1982-11-07,,52.00,926.38,3187.32,26.46,207206.72
1982-11-08,,51.00,934.78,3188.06,32.28,209060.83
1982-11-09,,40.00,981.48,3188.83,33.77,211007.56
1982-11-10,,50.00,958.77,3187.81,30.94,208432.55
1982-11-11,,40.00,959.67,3184.36,29.92,199922.80
1982-11-12,,41.00,946.46,3180.88,26.61,191559.42
1982-11-13,,40.00,1003.21,3177.43,26.77,183499.02
1982-11-14,,40.00,893.23,3173.87,21.66,175452.53
1982-11-15,,42.00,1085.76,3170.48,23.86,168025.95
1982-11-16,,48.00,1367.24,3167.46,29.37,161395.69
1982-11-17,,44.00,1552.08,3164.62,34.95,155352.22
1982-11-18,,45.00,1824.93,3162.04,39.74,150058.19
1982-11-19,,45.00,1891.98,3159.58,33.85,145099.47
1982-11-20,,40.00,1582.60,3157.00,31.02,139687.78
1982-11-21,,38.00,1490.37,3154.29,30.31,134230.00
1982-11-22,,36.00,1536.06,3151.60,19.46,129005.66
1982-11-23,,37.00,1327.61,3148.81,13.56,123671.34
1982-11-24,,34.00,1240.02,3146.09,12.54,118508.41
1982-11-25,,32.00,1307.53,3143.49,16.08,113705.49
1982-11-26,,34.00,1368.04,3141.00,17.57,109242.77
1982-11-27,,34.00,1513.33,3138.73,25.91,105175.33
1982-11-28,,36.00,1530.91,3136.65,33.38,101475.98
1982-11-29,,42.00,2495.90,3135.74,33.77,99898.93
1982-11-30,,41.00,1877.01,3135.65,32.51,99744.23
1982-12-01,,38.00,1452.47,3135.47,29.92,99435.75
1982-12-02,,45.00,1431.71,3135.27,26.46,99094.01
1982-12-03,,35.00,1453.08,3135.10,31.88,98804.59
1982-12-04,,42.00,1475.00,3134.96,35.42,98566.57
1982-12-05,,45.00,1506.62,3134.86,33.77,98397.23
1982-12-06,,47.00,1707.65,3135.00,33.53,98634.56
1982-12-07,,42.00,1652.98,3135.07,27.24,98753.53
1982-12-08,,41.00,1446.83,3134.89,20.09,98447.73
1982-12-09,,34.00,1661.50,3134.97,18.75,98583.59
1982-12-10,,35.00,1413.91,3135.38,19.38,99281.59
1982-12-11,,36.00,1315.57,3135.67,19.93,99778.58
1982-12-12,,36.00,1383.81,3136.03,22.21,100399.02
1982-12-13,,37.00,1549.76,3136.57,25.20,101336.72
1982-12-14,,38.00,1491.11,3137.03,23.23,102142.23
1982-12-15,,36.00,1637.51,3137.64,32.51,103220.27
1982-12-16,,42.00,1497.81,3138.08,34.87,104005.34
1982-12-17,,50.00,1608.62,3138.63,33.38,104994.34
1982-12-18,,42.00,1516.61,3139.07,28.66,105792.90
1982-12-19,,41.00,1518.24,3139.50,32.43,106578.83
1982-12-20,,43.00,1559.12,3139.96,33.45,107426.00
1982-12-21,,44.00,2204.74,3141.16,35.81,109524.00
1982-12-22,,50.00,2638.64,3142.80,30.15,112450.89
1982-12-23,,40.00,2368.42,3144.09,30.70,114808.09
1982-12-24,,35.00,1988.40,3144.94,21.58,116387.73
1982-12-25,,25.00,1701.08,3145.47,15.77,117361.77
1982-12-26,,28.00,1705.38,3145.99,23.39,118322.53
1982-12-27,,32.00,1672.16,3146.46,13.49,119197.56
1982-12-28,,29.00,1408.77,3146.64,8.30,119534.29
1982-12-29,,27.00,1366.06,3146.77,5.70,119778.38
1982-12-30,,18.00,1320.89,3146.85,4.60,119928.91
1982-12-31,,19.00,1302.71,3146.91,7.90,120041.40
1983-01-01,,18.00,1304.05,3146.97,4.13,120154.55
1983-01-02,,19.00,1381.20,3147.11,6.88,120418.74
1983-01-03,,23.00,1640.44,3147.52,20.33,121195.14
1983-01-04,,32.00,1706.87,3147.99,25.99,122091.41
1983-01-05,,36.00,1708.52,3148.45,33.61,122975.09
1983-01-06,,39.00,1727.45,3148.92,33.85,123884.41
1983-01-07,,39.00,2238.09,3149.25,35.03,124527.24
1983-01-08,,49.00,2595.41,3149.29,34.08,124605.41
1983-01-09,,48.00,2320.03,3149.05,32.35,124137.38
1983-01-10,,49.00,2145.15,3148.63,28.42,123322.48
1983-01-11,,51.00,1985.30,3148.05,23.47,122206.39
1983-01-12,,50.00,1859.63,3147.35,21.27,120872.76
1983-01-13,,48.00,1818.51,3146.62,21.82,119497.25
1983-01-14,,46.00,1748.37,3145.83,21.11,118026.24
1983-01-15,,35.00,1726.31,3145.03,18.20,116555.12
1983-01-16,,34.00,1704.86,3144.24,22.21,115085.10
1983-01-17,,35.00,1828.06,3143.60,30.15,113907.04
1983-01-18,,36.00,1755.04,3142.90,32.43,112631.74
1983-01-19,,44.00,1773.50,3142.23,32.12,111424.80
1983-01-20,,39.00,1503.50,3141.27,31.73,109718.03
1983-01-21,,38.00,1732.09,3140.25,31.96,107933.09
1983-01-22,,39.00,1668.22,3139.24,31.65,106102.79
1983-01-23,,38.00,1647.12,3138.25,29.52,104309.98
1983-01-24,,44.00,1588.77,3137.22,34.16,102476.80
1983-01-25,,45.00,1833.25,3136.18,31.41,100658.45
1983-01-26,,41.00,1861.02,3135.20,36.91,98974.53
1983-01-27,,50.00,1926.39,3134.33,33.77,97503.56
1983-01-28,,48.00,1979.71,3133.56,30.23,96219.67
1983-01-29,,44.00,1927.96,3132.78,28.82,94936.29
1983-01-30,,42.00,1951.17,3132.04,26.61,93734.64
1983-01-31,,43.00,1892.72,3131.26,21.50,92484.50
1983-02-01,,38.00,1834.41,3130.44,21.98,91188.13
1983-02-02,,35.00,1843.60,3129.68,21.74,89965.52
1983-02-03,,37.00,1736.85,3128.86,16.00,88610.52
1983-02-04,,36.00,1754.13,3128.11,13.49,87388.96
1983-02-05,,34.00,1505.90,3127.09,13.01,85754.38
1983-02-06,,34.00,1725.34,3126.38,21.50,84634.40
1983-02-07,,38.00,1990.31,3126.05,28.42,84119.32
1983-02-08,,39.00,1829.29,3125.55,28.19,83344.35
1983-02-09,,36.00,1834.04,3125.08,32.90,82622.45
1983-02-10,,44.00,1857.29,3124.68,31.88,81998.24
1983-02-11,,44.00,1763.66,3124.19,34.24,81235.92
1983-02-12,,46.00,1899.43,3123.89,38.80,80772.65
1983-02-13,,50.00,2407.50,3124.25,36.44,81329.02
1983-02-14,,45.00,2201.32,3124.35,28.50,81484.37
1983-02-15,,47.00,2115.12,3124.34,29.05,81468.75
1983-02-16,,44.00,2125.00,3124.34,33.61,81468.75
1983-02-17,,46.00,2115.17,3124.33,33.45,81453.21
1983-02-18,,44.00,2166.87,3124.39,37.46,81546.17
1983-02-19,,46.00,2033.99,3124.28,32.83,81375.57
1983-02-20,,48.00,1992.14,3124.12,31.49,81127.92
1983-02-21,,49.00,2035.02,3124.02,35.26,80973.25
1983-02-22,,53.00,2320.66,3124.29,35.81,81391.09
1983-02-23,,54.00,2839.22,3124.67,33.53,81982.61
1983-02-24,,60.00,3045.05,3125.28,36.68,82928.82
1983-02-25,,61.00,3141.41,3125.97,37.31,83994.75
1983-02-26,,52.00,3376.22,3126.89,33.45,85437.16
1983-02-27,,54.00,3350.75,3127.70,33.85,86727.91
1983-02-28,,54.00,3329.42,3128.41,34.87,87875.18
1983-03-01,,52.56,3443.33,3129.19,39.82,89153.19
1983-03-02,,53.82,4303.29,3130.97,42.73,92023.84
1983-03-03,,59.40,5005.91,3133.49,38.64,96103.66
1983-03-04,,45.09,4760.54,3135.48,39.12,99452.82
1983-03-05,,49.57,4115.08,3136.17,34.71,100641.07
1983-03-06,,50.67,4617.91,3136.56,33.85,101319.23
1983-03-07,,48.39,4196.15,3136.41,36.13,101057.71
1983-03-08,,51.85,4200.79,3135.68,35.66,99795.80
1983-03-09,,62.15,4166.87,3134.90,41.55,98464.63
1983-03-10,,63.88,4515.01,3134.59,42.18,97941.02
1983-03-11,,50.59,5683.12,3135.68,36.52,99795.80
1983-03-12,,42.97,6765.89,3137.88,33.93,103647.48
1983-03-13,,52.01,6963.00,3140.05,39.19,107586.66
1983-03-14,,45.17,9725.54,3145.12,35.26,116719.63
1983-03-15,,48.24,6867.84,3150.71,31.80,127324.92
1983-03-16,,49.96,5817.56,3155.34,28.89,136313.14
1983-03-17,,41.00,4434.92,3158.22,35.11,142430.00
1983-03-18,,44.30,5691.60,3160.40,32.67,146786.89
1983-03-19,,43.60,5044.46,3161.86,28.82,149695.56
1983-03-20,,48.39,4779.81,3162.99,28.19,151986.09
1983-03-21,,50.91,3694.23,3163.03,30.70,152067.86
1983-03-22,,51.85,4583.60,3162.49,37.07,150968.23
1983-03-23,,47.37,4522.75,3161.90,36.13,149775.67
1983-03-24,,40.22,3958.13,3160.77,32.75,147518.73
1983-03-25,,48.39,4283.42,3159.33,28.97,144566.17
1983-03-26,,51.14,4134.55,3157.86,30.00,141469.09
1983-03-27,,40.22,4184.39,3156.48,32.98,138621.61
1983-03-28,,47.45,4066.99,3155.03,30.62,135692.00
