date,fb,id,af,qt
1983-03-29,5.26,,13817.05,
1983-03-30,5.30,,14103.24,
1983-03-31,5.57,,15197.81,
1983-04-01,5.84,,14753.54,
1983-04-02,5.97,,13958.79,
1983-04-03,6.56,,14237.77,
1983-04-04,6.50,,14057.53,
1983-04-05,6.72,,14726.99,
1983-04-06,6.77,,14882.47,
1983-04-07,6.85,,15133.81,
1983-04-08,6.75,,14820.13,
1983-04-09,6.68,,14603.50,
1983-04-10,6.86,,15165.45,
1983-04-11,6.91,,15324.42,
1983-04-12,7.05,,15778.40,
1983-04-13,7.37,,16851.46,
1983-04-14,8.21,,19778.68,
1983-04-15,8.63,,21300.27,
1983-04-16,8.82,,22020.33,
1983-04-17,9.20,,23471.79,
1983-04-18,9.28,,23780.08,
1983-04-19,9.43,,24361.70,
1983-04-20,9.54,,24795.05,
1983-04-21,9.85,,26025.89,
1983-04-22,9.99,,26574.49,
1983-04-23,9.86,,26065.26,
1983-04-24,9.89,,26183.13,
1983-04-25,9.95,,26418.24,
1983-04-26,10.09,,26952.15,
1983-04-27,10.02,,26688.51,
1983-04-28,10.12,,27065.65,
1983-04-29,10.04,,26763.66,
1983-04-30,10.07,,26876.65,
1983-05-01,10.15,,27179.47,
1983-05-02,10.11,,27027.78,
1983-05-03,10.23,,27484.52,
1983-05-04,9.65,,25234.25,
1983-05-05,9.57,,24915.09,
1983-05-06,9.28,,23780.08,
1983-05-07,9.20,,23471.79,
1983-05-08,8.77,,21830.37,
1983-05-09,9.20,,23471.79,
1983-05-10,9.33,,23973.46,
1983-05-11,9.46,,24478.59,
1983-05-12,9.44,,24400.65,
1983-05-13,9.40,,24245.01,
1983-05-14,9.35,,24050.94,
1983-05-15,9.54,,24795.05,
1983-05-16,9.50,,24634.70,
1983-05-17,9.48,,24556.61,
1983-05-18,9.66,,25274.06,
1983-05-19,10.12,,27065.65,
1983-05-20,9.95,,26418.24,
1983-05-21,10.12,,27065.65,
1983-05-22,10.38,,28062.52,
1983-05-23,10.39,,28101.32,
1983-05-24,10.38,,28062.52,
1983-05-25,10.54,,28689.49,
1983-05-26,10.54,,28689.49,
1983-05-27,10.54,,28689.00,
1983-05-28,10.67,,29207.74,
1983-05-29,10.75,,29528.09,
1983-05-30,10.80,,29728.85,
1983-05-31,10.80,,29728.85,
1983-06-01,10.85,,29930.03,
1983-06-02,10.86,,29970.32,
1983-06-03,10.79,,29688.65,
1983-06-04,10.80,,29728.85,
1983-06-05,10.70,,29327.74,
1983-06-06,10.68,,29247.71,
1983-06-07,10.59,,28888.48,
1983-06-08,10.68,,29247.71,
1983-06-09,10.68,,29247.71,
1983-06-10,10.63,,29048.00,
1983-06-11,10.52,,28610.01,
1983-06-12,10.63,,29047.97,
1983-06-13,10.45,,28334.95,
1983-06-14,10.46,,28374.01,
1983-06-15,10.41,,28179.05,
1983-06-16,10.48,,28452.23,
1983-06-17,10.40,,28140.17,
1983-06-18,10.45,,28334.95,
1983-06-19,10.40,,28140.17,
1983-06-20,10.57,,28808.83,
1983-06-21,10.65,,29127.81,
1983-06-22,10.65,,29127.81,
1983-06-23,10.63,,29047.97,
1983-06-24,10.69,,29287.72,
1983-06-25,10.71,,29367.78,
1983-06-26,10.74,,29487.98,
1983-06-27,10.74,,29487.98,
1983-06-28,10.62,,29100.00,
1983-06-29,10.74,,29487.98,
1983-06-30,10.75,,29528.09,
1983-07-01,10.77,,29608.34,
1983-07-02,10.66,,29167.77,
1983-07-03,10.67,,29207.74,
1983-07-04,10.54,,28689.49,
1983-07-05,10.50,,28530.61,
1983-07-06,10.66,,29167.77,
1983-07-07,10.64,,29087.88,
1983-07-08,10.80,,29728.85,
1983-07-09,10.88,,30050.94,
1983-07-10,10.92,,30212.39,
1983-07-11,10.86,,29970.32,
1983-07-12,10.76,,29568.21,
1983-07-13,10.67,,29207.74,
1983-07-14,10.78,,29648.49,
1983-07-15,10.87,,30010.62,
1983-07-16,10.80,,29728.85,
1983-07-17,10.82,,29809.27,
1983-07-18,10.84,,29889.76,
1983-07-19,11.04,,30698.34,
1983-07-20,11.13,,31064.36,
1983-07-21,10.92,,30212.39,
1983-07-22,10.66,,29167.77,
1983-07-23,10.87,,30010.62,
1983-07-24,11.15,,31145.88,
1983-07-25,11.13,,31064.36,
1983-07-26,11.09,,30901.52,
1983-07-27,11.08,,30860.85,
1983-07-28,11.00,,30536.09,
1983-07-29,10.97,,30414.58,
1983-07-30,11.05,,30738.95,
1983-07-31,11.19,,31309.13,
1983-08-01,11.08,,30860.85,
1983-08-02,11.00,,30536.09,
1983-08-03,11.00,,30536.09,
1983-08-04,11.10,,30942.21,
1983-08-05,11.10,,30942.21,
1983-08-06,10.96,,30374.11,
1983-08-07,10.79,,29688.65,
1983-08-08,10.90,,30131.63,
1983-08-09,10.78,,29648.49,
1983-08-10,10.83,,29849.51,
1983-08-11,10.86,,29970.32,
1983-08-12,11.02,,30617.19,
1983-08-13,11.03,,30657.76,
1983-08-14,11.01,,30576.63,
1983-08-15,10.94,,30293.22,
1983-08-16,10.94,,30293.22,
1983-08-17,11.01,,30576.63,
1983-08-18,11.01,,30576.63,
1983-08-19,10.92,,30212.39,
1983-08-20,11.11,,30982.91,
1983-08-21,11.11,,30982.91,
1983-08-22,10.99,,30495.58,
1983-08-23,10.87,,30010.62,
1983-08-24,10.80,,29728.85,
1983-08-25,10.82,,29809.27,
1983-08-26,10.76,,29568.21,
1983-08-27,10.79,,29688.65,
1983-08-28,10.85,,29930.03,
1983-08-29,10.88,,30050.94,
1983-08-30,10.83,,29849.51,
1983-08-31,10.87,,30010.62,
1983-09-01,10.68,,29247.71,
1983-09-02,10.94,,30293.22,
1983-09-03,11.02,,30617.19,
1983-09-04,11.07,,30820.20,
1983-09-05,11.04,,30698.34,
1983-09-06,11.05,,30738.95,
1983-09-07,10.98,,30455.07,
1983-09-08,10.90,,30131.63,
1983-09-09,10.89,,30091.28,
1983-09-10,10.96,,30374.11,
1983-09-11,10.94,,30293.22,
1983-09-12,11.00,,30536.09,
1983-09-13,10.93,,30252.79,
1983-09-14,10.70,,29327.74,
1983-09-15,10.86,,29970.32,
1983-09-16,10.82,,29809.27,
1983-09-17,10.82,,29809.27,
1983-09-18,10.74,,29487.98,
1983-09-19,11.10,,30942.21,
1983-09-20,10.98,,30455.07,
1983-09-21,10.92,,30212.39,
1983-09-22,10.98,,30455.07,
1983-09-23,10.91,,30172.00,
1983-09-24,10.85,,29930.03,
1983-09-25,10.83,,29849.51,
1983-09-26,10.79,,29688.65,
1983-09-27,10.85,,29930.03,
1983-09-28,10.83,,29849.51,
1983-09-29,10.82,,29809.27,
1983-09-30,10.88,,30050.94,
1983-10-01,10.85,,29930.03,
1983-10-02,10.66,7445.69,29167.77,
1983-10-03,10.61,7395.37,28968.18,
1983-10-04,10.55,7202.54,28729.25,
1983-10-05,10.49,7155.08,28491.40,
1983-10-06,10.47,7215.52,28413.10,
1983-10-07,10.44,7170.92,28295.92,
1983-10-08,10.33,7481.75,27868.97,
1983-10-09,10.40,7777.73,28140.17,
1983-10-10,10.35,8630.25,27946.28,
1983-10-11,10.28,7970.89,27676.31,
1983-10-12,10.31,8860.23,27791.79,
1983-10-13,10.31,10397.00,27791.79,
1983-10-14,10.67,7147.87,29207.74,
1983-10-15,9.82,8540.26,25907.75,
1983-10-16,9.85,10143.56,26025.89,
1983-10-17,9.89,10259.27,26183.13,
1983-10-18,10.08,10989.67,26914.38,
1983-10-19,9.75,11388.07,25631.22,
1983-10-20,9.74,12697.04,25591.63,
1983-10-21,9.62,12734.57,25114.74,
1983-10-22,9.57,13148.35,24915.09,
1983-10-23,9.55,13056.67,24835.10,
1983-10-24,9.20,14748.66,23471.79,
1983-10-25,8.36,14092.01,20306.19,
1983-10-26,7.83,15990.83,18463.22,
1983-10-27,7.60,16310.42,17650.83,
1983-10-28,7.57,16464.49,17544.70,
1983-10-29,7.58,16535.84,17580.08,
1983-10-30,7.56,16482.32,17509.31,
1983-10-31,7.50,14940.92,17296.93,
1983-11-01,7.42,13391.46,17022.13,
1983-11-02,7.33,11175.41,16715.50,
1983-11-03,7.31,10155.83,16647.72,
1983-11-04,7.28,10073.86,16546.28,
1983-11-05,7.29,10142.03,16580.06,
1983-11-06,7.28,10137.97,16546.28,
1983-11-07,7.22,9733.17,16344.31,
1983-11-08,7.34,10799.25,16749.44,
1983-11-09,7.32,12383.79,16681.59,
1983-11-10,7.34,12904.21,16749.44,
1983-11-11,7.30,12901.65,16613.87,
1983-11-12,7.02,12298.92,15679.51,
1983-11-13,7.13,12553.53,16043.54,
1983-11-14,7.19,12472.94,16243.76,
1983-11-15,7.14,13207.84,16076.83,
1983-11-16,7.00,13858.53,15613.74,
1983-11-17,6.91,13874.13,15324.42,
1983-11-18,6.99,14549.56,15581.39,
1983-11-19,7.02,15123.46,15679.51,
1983-11-20,6.83,14467.05,15070.67,
1983-11-21,6.87,14003.76,15197.14,
1983-11-22,7.03,15358.79,15712.44,
1983-11-23,6.86,14023.23,15165.45,
1983-11-24,6.55,12916.09,14207.60,
1983-11-25,6.63,12521.34,14450.25,
1983-11-26,6.51,13416.09,14087.45,
1983-11-27,6.07,12635.87,12926.86,
1983-11-28,5.88,13681.46,14550.26,
1983-11-29,5.62,12808.18,15234.91,
1983-11-30,5.54,11389.26,15150.14,
1983-12-01,5.37,10486.62,14528.56,
1983-12-02,5.35,10443.71,14416.92,
1983-12-03,5.39,10808.54,14632.22,
1983-12-04,5.39,9600.00,14632.22,
1983-12-05,6.99,8178.54,15581.39,
1983-12-06,5.86,11733.65,14656.39,
1983-12-07,5.47,11956.06,14965.93,
1983-12-08,5.42,10802.50,14772.54,
1983-12-09,5.42,10600.00,14772.54,
1983-12-10,5.38,10403.61,14581.35,
1983-12-11,5.69,11010.33,15196.89,
1983-12-12,5.72,10175.33,15147.96,
1983-12-13,5.73,10689.59,15127.32,
1983-12-14,5.78,10731.20,14990.86,
1983-12-15,5.51,11346.77,15083.63,
