date,wz,wi,wk,qu,mm,mx,mn,fb,af,qd
1982-03-08,,,,241.18,,46.98,25.28,3814.37,20227.68,258.00
1982-03-09,,,,263.11,,49.18,29.76,3814.38,20235.84,259.00
1982-03-10,,,,355.13,,55.00,26.22,3814.51,20345.19,300.00
1982-03-11,,,,419.05,,44.93,26.38,3814.63,20446.44,368.00
1982-03-12,,,,373.02,,42.10,25.91,3814.59,20412.77,390.00
1982-03-13,,,,317.26,,43.75,26.54,3814.40,20252.62,398.00
1982-03-14,,,,342.87,,40.29,32.20,3814.30,20169.06,385.00
1982-03-15,,,,367.15,,33.53,23.63,3814.26,20135.64,384.00
1982-03-16,,,,295.29,,41.00,17.57,3814.06,19969.61,379.00
1982-03-17,,,,265.35,,38.33,20.01,3813.81,19756.09,373.00
1982-03-18,,,,243.10,,32.20,25.44,3813.52,19508.36,368.00
1982-03-19,,,,225.98,,33.93,24.49,3813.20,19238.57,362.00
1982-03-20,,,,198.18,,35.58,20.95,3812.83,18931.48,353.00
1982-03-21,,,,190.36,,43.12,11.99,3812.44,18612.86,351.00
1982-03-22,,,,198.16,,49.10,18.83,3812.04,18291.85,360.00
1982-03-23,,,,207.68,,53.19,20.09,3811.69,18005.60,352.00
1982-03-24,,,,297.97,,55.00,29.76,3811.58,17916.29,343.00
1982-03-25,,,,384.80,,53.35,23.47,3811.67,17989.29,348.00
1982-03-26,,,,484.82,,56.57,26.06,3811.96,18226.95,365.00
1982-03-27,,,,499.40,,49.18,34.16,3812.26,18467.75,378.00
1982-03-28,,,,456.25,,47.37,27.56,3812.45,18620.97,379.00
1982-03-29,,,,413.77,,37.78,17.97,3812.53,18685.96,381.00
1982-03-30,,,,350.33,,37.54,27.64,3812.46,18629.09,379.00
1982-03-31,,,,335.29,,39.59,29.05,3812.36,18548.34,376.00
1982-04-01,,,,282.83,,40.22,23.08,3812.14,18371.48,372.00
1982-04-02,,,,273.34,,38.80,20.80,3811.91,18185.71,367.00
1982-04-03,,,,253.76,,38.41,26.93,3811.65,17973.00,361.00
1982-04-04,,,,226.85,,38.25,19.77,3811.34,17722.78,353.00
1982-04-05,,,,216.52,,42.65,23.08,3811.02,17467.94,345.00
1982-04-06,,,,205.44,,38.09,27.48,3810.69,17208.97,336.00
1982-04-07,,,,194.60,,38.09,23.71,3810.35,16946.36,327.00
1982-04-08,,,,186.53,,45.64,16.94,3810.01,16687.58,317.00
1982-04-09,,,,195.66,,52.87,20.95,3809.73,16464.75,308.00
1982-04-10,,,,237.38,,56.33,22.53,3809.57,16338.56,301.00
1982-04-11,,,,739.06,,60.11,42.89,3810.66,17185.62,312.00
1982-04-12,,,,1111.22,,50.99,39.04,3812.51,18669.69,363.00
1982-04-13,,,,923.72,,52.72,39.59,3813.78,19730.30,389.00
1982-04-14,,,,1004.04,,43.36,27.95,3815.22,20952.20,388.00
1982-04-15,,,,731.15,,38.25,26.46,3815.91,21559.44,425.00
1982-04-16,,,,611.12,,49.96,19.30,3816.33,21922.65,428.00
1982-04-17,,,,591.46,,50.52,26.30,3816.69,22234.96,434.00
1982-04-18,,,,572.08,,35.73,26.77,3816.97,22481.06,448.00
1982-04-19,,,,505.12,,45.33,26.30,3817.10,22596.34,447.00
1982-04-20,,,,492.31,,49.81,18.75,3817.19,22676.30,452.00
1982-04-21,,,,524.67,,57.20,19.70,3817.34,22810.52,457.00
1982-04-22,,,,645.86,,64.98,22.84,3817.70,23135.53,482.00
1982-04-23,,,,831.85,,66.79,26.54,3818.43,23787.80,503.00
1982-04-24,,,,989.38,,59.16,32.51,3819.42,24681.11,539.00
1982-04-25,,,,973.60,,61.60,27.64,3820.05,25265.44,679.00
1982-04-26,,,,883.44,,62.78,29.92,3820.21,25411.10,810.00
1982-04-27,,,,867.94,,65.22,29.60,3820.29,25484.37,831.00
1982-04-28,,,,870.88,,51.69,39.27,3820.32,25511.90,857.00
1982-04-29,,,,859.36,,57.59,31.41,3820.31,25502.70,864.00
1982-04-30,,,,764.50,,64.59,29.05,3820.12,25329.15,852.00
1982-05-01,,,,735.86,,69.07,35.73,3819.93,25154.32,824.00
1982-05-02,,,,779.06,,70.48,33.69,3819.86,25088.98,812.00
1982-05-03,,,,797.86,,51.38,35.97,3819.83,25060.93,812.00
1982-05-04,,,,721.84,,50.12,24.89,3819.64,24884.08,811.00
1982-05-05,,,,614.39,,57.59,22.05,3819.40,24662.71,726.00
1982-05-06,,,,556.18,,62.86,30.23,3819.14,24425.06,676.00
1982-05-07,,,,545.02,,54.29,38.57,3819.00,24298.16,609.00
1982-05-08,,,,550.14,,46.03,34.79,3819.02,24316.29,541.00
1982-05-09,,,,544.86,,45.40,34.40,3819.07,24361.64,522.00
1982-05-10,,,,508.28,,49.18,36.29,3819.04,24334.43,522.00
1982-05-11,,,,435.81,,55.63,31.73,3818.93,24234.87,486.00
1982-05-12,,,,399.91,,60.58,39.19,3819.00,24298.16,368.00
1982-05-13,,,,398.76,,65.37,31.88,3819.17,24452.40,321.00
1982-05-14,,,,415.62,,56.49,39.82,3819.36,24626.19,328.00
1982-05-15,,,,484.38,,64.51,44.54,3819.66,24902.64,345.00
1982-05-16,,,,489.89,,70.64,33.06,3819.93,25154.32,363.00
1982-05-17,,,,457.78,,58.14,41.40,3820.08,25292.73,388.00
1982-05-18,,,,529.66,,49.81,36.76,3820.37,25557.85,396.00
1982-05-19,,,,472.38,,61.36,36.84,3820.44,25622.08,440.00
1982-05-20,,,,399.70,,67.42,32.67,3820.34,25530.25,446.00
1982-05-21,,,,383.00,,71.98,37.07,3820.26,25456.87,420.00
1982-05-22,,,,359.12,,64.27,47.13,3820.18,25383.71,396.00
1982-05-23,,,,384.81,,67.73,45.40,3820.21,25411.10,371.00
1982-05-24,,,,387.46,,77.72,38.80,3820.25,25447.72,369.00
1982-05-25,,,,359.54,,76.54,41.55,3820.21,25411.10,378.00
1982-05-26,,,,304.72,,61.92,42.97,3820.07,25283.61,369.00
1982-05-27,,,,313.73,,46.58,36.91,3819.97,25191.84,360.00
1982-05-28,,,,286.86,,52.95,39.12,3819.87,25098.34,334.00
1982-05-29,,,,241.86,,56.57,31.88,3819.84,25070.30,256.00
1982-05-30,,,,220.58,,64.04,31.41,3819.82,25051.62,230.00
1982-05-31,,,,184.29,,67.10,41.47,3819.81,25042.28,189.00
1982-06-01,,,,151.29,,59.71,47.13,3819.80,25032.94,156.00
1982-06-02,,,,207.74,,61.92,36.44,3819.91,25135.56,156.00
1982-06-03,,,,200.85,,60.58,42.89,3819.99,25210.63,163.00
1982-06-04,,,,291.29,,47.76,37.94,3820.23,25429.38,181.00
1982-06-05,,,,234.60,,50.12,39.90,3820.32,25511.90,193.00
1982-06-06,,,,211.88,,58.14,36.52,3820.35,25539.43,198.00
1982-06-07,,,,156.38,,54.60,43.36,3820.26,25456.87,198.00
1982-06-08,,,,154.70,,65.37,33.69,3820.19,25392.81,187.00
1982-06-09,,,,140.40,,71.59,37.15,3820.13,25338.07,168.00
1982-06-10,,,,132.73,,77.95,38.88,3820.09,25301.83,151.00
1982-06-11,,,,115.65,,78.74,42.10,3820.05,25265.44,134.00
1982-06-12,,,,140.76,,67.89,53.35,3820.08,25292.73,127.00
1982-06-13,,,,191.30,,67.34,46.74,3820.22,25420.27,127.00
1982-06-14,,,,163.95,,74.42,53.66,3820.30,25493.56,127.00
1982-06-15,,,,150.13,,81.65,49.02,3820.35,25539.43,127.00
1982-06-16,,,,127.00,,81.26,51.77,3820.35,25539.43,127.00
1982-06-17,,,,113.12,,82.99,47.45,3820.32,25511.90,127.00
1982-06-18,,,,113.12,,82.75,47.29,3820.29,25484.37,127.00
1982-06-19,,,,84.46,,84.32,50.20,3820.20,25401.97,126.00
1982-06-20,,,,117.38,,81.73,48.71,3820.19,25392.81,122.00
1982-06-21,,,,114.41,,77.72,57.98,3820.18,25383.71,119.00
1982-06-22,,,,114.39,,76.93,51.38,3820.17,25374.56,119.00
1982-06-23,,,,96.11,,77.95,49.18,3820.12,25329.15,119.00
1982-06-24,,,,82.30,,80.39,47.45,3820.04,25256.36,119.00
1982-06-25,,,,107.41,,78.50,56.73,3820.03,25247.25,112.00
1982-06-26,,,,66.83,,84.24,49.10,3819.96,25182.45,99.50
1982-06-27,,,,74.56,,76.46,53.27,3819.91,25135.56,98.20
1982-06-28,,,,64.20,,63.25,52.17,3819.84,25070.30,97.10
1982-06-29,,,,130.80,,66.08,50.59,3819.91,25135.56,97.90
1982-06-30,,,,102.72,,75.91,48.31,3819.92,25144.92,98.00
1982-07-01,,,,227.60,,67.65,51.85,3820.20,25401.97,98.00
1982-07-02,,,,190.75,,64.51,49.73,3820.39,25576.01,103.00
1982-07-03,,,,208.46,,64.98,42.50,3820.55,25723.69,134.00
1982-07-04,,,,143.34,,63.25,43.68,3820.54,25714.44,148.00
1982-07-05,,,,128.34,,64.59,50.20,3820.53,25705.20,133.00
1982-07-06,,,,137.97,,73.55,41.24,3820.54,25721.00,130.00
1982-07-07,,,,143.56,,64.43,53.11,3820.56,25736.00,136.00
1982-07-08,,,,150.81,,65.77,49.10,3820.58,25751.50,143.00
1982-07-09,,,,136.65,,74.26,44.62,3820.56,25732.96,146.00
1982-07-10,,,,122.68,,78.66,49.26,3820.51,25686.70,146.00
1982-07-11,,,,131.02,,81.81,50.44,3820.48,25658.98,145.00
1982-07-12,,,,100.81,,82.67,61.29,3820.40,25585.21,138.00
1982-07-13,,,,62.30,,83.30,55.55,3820.26,25456.87,127.00
1982-07-14,,,,80.89,,67.34,53.42,3820.16,25365.41,127.00
1982-07-15,,,,73.60,,66.79,43.05,3820.05,25265.44,124.00
1982-07-16,,,,79.37,,70.80,45.88,3819.99,25210.63,107.00
1982-07-17,,,,76.33,,78.90,41.71,3819.94,25163.68,100.00
1982-07-18,,,,65.46,,82.67,45.64,3819.87,25098.34,98.40
1982-07-19,,,,66.14,,82.59,50.36,3819.81,25042.28,94.40
1982-07-20,,,,60.68,,88.02,49.96,3819.77,25004.95,79.50
1982-07-21,,,,36.89,,85.66,51.14,3819.68,24921.22,79.10
1982-07-22,,,,36.64,,77.88,51.62,3819.59,24837.99,78.60
1982-07-23,,,,44.52,,78.98,44.70,3819.53,24782.50,72.50
1982-07-24,,,,49.29,,82.51,47.53,3819.47,24727.14,77.20
1982-07-25,,,,50.78,,88.33,49.89,3819.39,24653.51,87.90
1982-07-26,,,,28.32,,88.72,54.52,3819.26,24534.55,88.30
1982-07-27,,,,65.37,,84.95,52.95,3819.21,24488.88,88.40
1982-07-28,,,,57.17,,85.03,61.52,3819.11,24397.98,103.00
1982-07-29,,,,46.31,,87.62,51.54,3818.94,24243.88,124.00
1982-07-30,,,,33.34,,92.58,53.42,3818.74,24064.05,124.00
1982-07-31,,,,46.29,,86.76,53.50,3818.55,23900.00,129.00
1982-08-01,,,,-7.53,,74.34,53.74,3818.23,23611.35,138.00
1982-08-02,,,,30.85,,72.21,40.84,3817.99,23400.81,137.00
1982-08-03,,,,39.03,,75.28,48.79,3817.78,23208.47,136.00
1982-08-04,,,,30.69,,75.36,46.98,3817.55,22999.60,136.00
1982-08-05,,,,45.21,,84.71,45.72,3817.35,22819.52,136.00
1982-08-06,,,,41.32,,90.38,49.49,3817.14,22631.73,136.00
1982-08-07,,,,24.41,,86.92,55.15,3816.89,22410.40,136.00
1982-08-08,,,,51.96,,82.43,63.57,3816.70,22243.70,136.00
1982-08-09,,,,48.20,,86.29,56.02,3816.50,22069.55,136.00
1982-08-10,,,,26.20,,75.12,53.42,3816.25,21853.74,135.00
1982-08-11,,,,40.13,,64.75,53.58,3816.03,21665.57,135.00
1982-08-12,,,,45.61,,79.68,43.05,3815.83,21488.27,135.00
1982-08-13,,,,35.77,,81.88,46.35,3815.61,21293.44,134.00
1982-08-14,,,,19.03,,80.47,54.37,3815.35,21065.40,134.00
1982-08-15,,,,45.33,,80.08,47.06,3815.15,20891.50,133.00
1982-08-16,,,,28.84,,82.83,53.50,3814.91,20684.91,133.00
1982-08-17,,,,29.87,,85.03,52.09,3814.67,20480.35,133.00
1982-08-18,,,,25.43,,82.75,48.00,3814.41,20261.04,136.00
1982-08-19,,,,23.61,,89.59,47.84,3814.09,19994.48,158.00
1982-08-20,,,,21.81,,87.07,55.00,3813.78,19730.30,155.00
1982-08-21,,,,48.26,,92.89,50.04,3813.56,19542.38,143.00
1982-08-22,,,,8.21,,86.21,52.32,3813.26,19288.91,136.00
1982-08-23,,,,22.44,,83.22,42.73,3812.99,19063.66,136.00
1982-08-24,,,,18.62,,86.84,42.42,3812.71,18832.82,135.00
1982-08-25,,,,28.19,,89.04,44.46,3812.45,18620.97,135.00
1982-08-26,,,,17.28,,86.84,47.68,3812.16,18387.47,135.00
1982-08-27,,,,19.83,,84.16,47.29,3811.88,18161.02,134.00
1982-08-28,,,,14.71,,83.30,46.35,3811.59,17924.42,134.00
1982-08-29,,,,11.13,,73.16,53.03,3811.29,17682.70,133.00
1982-08-30,,,,14.76,,68.13,47.37,3811.00,17452.14,131.00
1982-08-31,,,,31.03,,75.12,38.64,3810.75,17255.83,130.00
1982-09-01,,,,20.44,,82.43,39.43,3810.47,17038.53,130.00
1982-09-02,,,,20.83,,83.54,43.05,3810.19,16823.98,129.00
1982-09-03,,,,16.02,,80.78,52.48,3809.90,16599.88,129.00
1982-09-04,,,,19.00,,70.25,44.15,3809.63,16385.66,127.00
1982-09-05,,,,28.25,,80.39,38.57,3809.38,16189.79,127.00
1982-09-06,,,,20.75,,81.88,39.98,3809.11,15981.02,126.00
1982-09-07,,,,22.03,,82.04,45.56,3808.84,15774.80,126.00
1982-09-08,,,,23.36,,83.93,42.42,3808.57,15571.21,126.00
1982-09-09,,,,8.78,,78.11,42.18,3808.26,15340.70,125.00
1982-09-10,,,,12.27,,52.80,41.24,3807.96,15119.08,124.00
1982-09-11,,,,23.52,,53.58,30.78,3807.70,14919.79,124.00
1982-09-12,,,,23.05,,57.12,45.64,3807.43,14715.60,126.00
1982-09-13,,,,26.47,,55.31,43.52,3807.16,14514.22,128.00
1982-09-14,,,,26.86,,49.57,33.30,3806.89,14315.59,127.00
1982-09-15,,,,42.78,,62.31,27.48,3806.66,14148.55,127.00
1982-09-16,,,,28.38,,62.94,29.21,3806.39,13954.92,126.00
1982-09-17,,,,39.36,,70.88,34.01,3806.15,13785.05,125.00
1982-09-18,,,,26.79,,74.65,43.36,3805.88,13590.25,125.00
1982-09-19,,,,61.50,,60.03,48.39,3805.71,13464.30,125.00
1982-09-20,,,,38.99,,61.60,43.60,3805.48,13295.68,124.00
1982-09-21,,,,41.06,,69.31,36.76,3805.25,13129.18,125.00
1982-09-22,,,,39.53,,75.75,38.72,3805.01,12957.66,126.00
1982-09-23,,,,32.59,,77.64,38.96,3804.75,12774.36,125.00
1982-09-24,,,,32.88,,66.40,48.47,3804.49,12593.63,124.00
1982-09-25,,,,40.05,,71.19,48.55,3804.25,12429.11,123.00
1982-09-26,,,,25.84,,60.26,44.70,3803.97,12238.37,122.00
1982-09-27,,,,27.41,,53.27,42.81,3803.71,12052.73,121.00
1982-09-28,,,,20.30,,51.14,37.46,3803.44,11862.91,116.00
1982-09-29,,,,29.63,,49.96,37.31,3803.23,11717.38,103.00
1982-09-30,,,,30.53,,54.52,36.52,3803.02,11573.63,103.00
1982-10-01,,,,33.81,,59.32,28.74,3802.82,11438.38,102.00
1982-10-02,,,,34.61,,60.58,30.31,3802.62,11304.71,102.00
1982-10-03,,,,38.63,,52.95,41.16,3802.43,11179.01,102.00
1982-10-04,,,,39.42,,48.55,35.03,3802.24,11054.88,102.00
1982-10-05,,,,45.60,,55.70,27.01,3802.07,10944.99,101.00
1982-10-06,,,,40.03,,52.01,33.14,3801.89,10824.05,101.00
1982-10-07,,,,39.01,,44.46,36.76,3801.71,10701.09,101.00
1982-10-08,,,,43.85,,46.51,36.13,3801.69,10687.50,50.70
1982-10-09,,,,54.40,,60.03,35.89,3801.80,10762.48,16.60
1982-10-10,,,,49.99,,66.40,30.47,3801.91,10837.83,12.00
1982-10-11,,,,43.34,,71.19,30.31,3802.00,10900.00,12.00
1982-10-12,,,,37.93,,71.11,31.88,3802.08,10951.44,12.00
1982-10-13,,,,41.24,,74.02,28.66,3802.17,11009.43,12.00
1982-10-14,,,,34.91,,69.38,31.10,3802.24,11054.88,12.00
1982-10-15,,,,45.20,,67.18,31.41,3802.34,11120.13,12.30
1982-10-16,,,,39.38,,65.69,32.98,3802.42,11172.45,13.00
1982-10-17,,,,26.27,,50.12,33.45,3802.46,11198.77,13.00
1982-10-18,,,,46.33,,48.86,25.59,3802.56,11264.87,13.00
1982-10-19,,,,39.82,,46.51,18.67,3802.64,11317.87,13.10
1982-10-20,,,,43.99,,49.73,16.87,3802.73,11377.95,13.70
1982-10-21,,,,54.66,,54.92,25.51,3802.85,11458.59,14.00
1982-10-22,,,,48.02,,64.51,50.20,3802.95,11526.06,14.00
1982-10-23,,,,44.86,,58.53,38.96,3803.04,11587.26,14.00
1982-10-24,,,,55.32,,61.21,33.69,3803.16,11669.21,14.00
1982-10-25,,,,48.73,,61.29,37.70,3803.26,11738.09,14.00
1982-10-26,,,,52.43,,49.10,35.50,3803.37,11814.31,14.00
1982-10-27,,,,52.60,,45.56,30.78,3803.48,11890.87,14.00
1982-10-28,,,,52.93,,46.03,23.55,3803.59,11968.08,14.00
1982-10-29,,,,124.91,,38.25,32.51,3803.90,12188.07,14.00
1982-10-30,,,,111.51,,43.75,33.69,3804.18,12381.48,14.00
1982-10-31,,,,100.10,,52.40,26.14,3804.43,12552.26,14.00
1982-11-01,,,,87.23,,45.09,26.46,3804.64,12697.50,14.00
1982-11-02,,,,102.30,,45.56,21.03,3804.89,12872.65,14.00
1982-11-03,,,,96.49,,44.54,23.55,3805.12,13036.07,14.10
1982-11-04,,,,60.94,,45.17,30.39,3805.25,13129.18,14.00
1982-11-05,,,,82.41,,,,3805.40,13250.00,21.50
1982-11-06,,,,68.54,,,,3805.55,13355.00,15.60
1982-11-07,,,,62.66,,33.61,21.43,3805.69,13449.54,15.00
1982-11-08,,,,56.03,,40.84,20.64,3805.80,13530.93,15.00
1982-11-09,,,,59.96,,41.63,20.25,3805.92,13620.11,15.00
1982-11-10,,,,57.61,,33.61,20.40,3806.01,13686.98,23.90
1982-11-11,,,,47.12,,42.42,20.33,3806.05,13714.98,33.00
1982-11-12,,,,45.51,,34.95,17.18,3806.08,13736.02,34.90
1982-11-13,,,,50.02,,37.78,17.26,3806.13,13770.97,32.40
1982-11-14,,,,45.41,,34.32,11.76,3806.17,13799.15,31.20
1982-11-15,,,,53.35,,36.13,9.95,3806.23,13841.49,32.00
1982-11-16,,,,53.92,,36.68,23.86,3806.29,13883.98,32.50
1982-11-17,,,,64.67,,47.84,31.25,3806.38,13947.79,32.50
1982-11-18,,,,67.71,,45.56,30.00,3806.48,14019.22,31.70
1982-11-19,,,,58.15,,40.22,25.28,3806.56,14076.64,29.20
1982-11-20,,,,57.07,,38.57,21.58,3806.64,14134.10,28.10
1982-11-21,,,,54.13,,35.50,20.01,3806.71,14184.73,28.60
1982-11-22,,,,39.48,,33.22,11.05,3806.74,14206.50,28.50
1982-11-23,,,,37.31,,29.84,8.37,3806.76,14221.00,30.00
1982-11-24,,,,36.04,,30.00,3.81,3806.78,14235.55,28.70
1982-11-25,,,,47.48,,30.55,7.43,3806.82,14264.67,32.80
1982-11-26,,,,54.39,,29.13,14.35,3806.87,14301.15,36.00
1982-11-27,,,,57.34,,35.26,19.30,3806.93,14344.86,35.30
1982-11-28,,,,62.94,,36.60,25.83,3807.03,14418.33,25.90
1982-11-29,,,,54.94,,40.53,31.17,3807.16,14514.22,6.60
1982-11-30,,,,51.59,,37.86,30.15,3807.28,14603.46,6.60
1982-12-01,,,,51.78,,36.21,32.83,3807.40,14693.07,6.60
1982-12-02,,,,59.93,,33.45,27.01,3807.54,14798.54,6.76
1982-12-03,,,,60.35,,46.82,30.23,3807.68,14904.55,6.90
1982-12-04,,,,57.18,,47.21,26.22,3807.81,15003.87,7.11
1982-12-05,,,,81.69,,36.52,23.39,3807.95,15111.36,27.50
1982-12-06,,,,91.56,,39.04,27.64,3808.09,15215.80,38.90
1982-12-07,,,,59.81,,31.65,21.11,3808.15,15259.66,37.70
1982-12-08,,,,51.13,,28.58,9.16,3808.19,15289.07,36.30
1982-12-09,,,,47.44,,34.56,13.41,3808.22,15311.17,36.30
1982-12-10,,,,51.49,,37.46,11.36,3808.26,15340.70,36.60
1982-12-11,,,,47.27,,34.16,10.89,3808.29,15362.85,36.10
1982-12-12,,,,54.87,,28.66,15.84,3808.34,15399.89,36.20
1982-12-13,,,,54.92,,36.76,14.66,3808.39,15436.83,36.30
1982-12-14,,,,64.28,,32.28,9.87,3808.46,15488.96,38.00
1982-12-15,,,,56.13,,37.15,31.10,3808.51,15526.30,37.30
1982-12-16,,,,72.00,,46.11,34.01,3808.60,15593.73,38.00
1982-12-17,,,,79.56,,39.51,24.33,3808.71,15676.36,37.90
1982-12-18,,,,68.50,,33.14,10.50,3808.79,15736.86,38.00
1982-12-19,,,,60.75,,34.16,24.33,3808.85,15782.39,37.80
1982-12-20,,,,64.78,,37.86,25.44,3808.92,15835.50,38.00
1982-12-21,,,,88.33,,41.16,33.06,3809.05,15934.93,38.20
1982-12-22,,,,86.25,,34.40,22.37,3809.18,16034.79,35.90
1982-12-23,,,,66.31,,30.47,25.51,3809.26,16096.69,35.10
1982-12-24,,,,43.12,,39.04,-0.35,3809.28,16112.20,35.30
1982-12-25,,,,46.65,,21.74,-7.35,3809.31,16135.50,34.90
1982-12-26,,,,49.88,,26.38,-1.14,3809.35,16166.60,34.20
1982-12-27,,,,34.10,,24.73,-13.09,3809.35,16166.60,34.10
1982-12-28,,,,33.00,,13.41,-12.07,3809.35,16166.60,33.00
1982-12-29,,,,33.00,,16.55,-12.38,3809.35,16166.60,33.00
1982-12-30,,,,32.70,,14.59,-8.84,3809.35,16166.60,32.70
1982-12-31,,,,48.01,,8.85,-8.14,3809.39,16197.57,32.40
1983-01-01,,,,32.60,,17.89,-7.03,3809.39,16197.57,32.60
1983-01-02,,,,55.93,,15.84,-9.39,3809.45,16244.44,32.30
1983-01-03,,,,51.35,,22.37,1.69,3809.50,16283.61,31.60
1983-01-04,,,,69.82,,32.12,20.17,3809.60,16362.19,30.20
1983-01-05,,,,78.55,,46.51,24.18,3809.68,16425.16,46.80
1983-01-06,,,,91.15,,39.67,33.22,3809.76,16488.54,59.20
1983-01-07,,,,88.57,,41.32,28.19,3809.83,16544.22,60.50
1983-01-08,,,,110.13,,45.40,28.50,3809.92,16615.88,74.00
1983-01-09,,,,93.50,,35.03,24.33,3809.95,16639.88,81.40
1983-01-10,,,,80.00,,49.26,14.90,3809.95,16639.88,80.00
1983-01-11,,,,75.97,,42.65,11.83,3809.94,16631.89,80.00
