date,af,wz,mn,mx,mm,qv
1982-04-09,198488.09,,23.00,47.00,,
1982-04-10,196773.55,,26.00,51.00,,
1982-04-11,195506.83,,35.00,51.00,,
1982-04-12,195105.44,,31.00,54.00,,
1982-04-13,195598.77,,31.00,53.00,,
1982-04-14,196619.17,,35.00,59.00,,
1982-04-15,197925.00,,22.00,55.00,,
1982-04-16,198268.08,,22.00,47.00,,
1982-04-17,198831.97,,22.00,48.00,,
1982-04-18,199271.80,,33.00,58.00,,
1982-04-19,199584.84,,22.00,42.00,,
1982-04-20,199680.23,,21.00,46.00,,
1982-04-21,199680.23,,23.00,51.00,,
1982-04-22,199995.45,,29.00,60.00,,
1982-04-23,201164.22,,31.00,70.00,,
1982-04-24,204168.67,,33.00,71.00,,
1982-04-25,208624.84,,35.00,65.00,,
1982-04-26,214284.47,,34.00,65.00,,
1982-04-27,220063.41,,36.00,66.00,,
1982-04-28,226383.91,,36.00,69.00,,
1982-04-29,233043.44,,32.00,65.00,,
1982-04-30,239391.30,,30.00,61.00,,
1982-05-01,245746.78,,32.00,70.00,,
1982-05-02,253268.73,,40.00,80.00,,
1982-05-03,263500.25,,41.00,79.00,,
1982-05-04,276371.16,,35.00,65.00,,
1982-05-05,286912.81,,29.00,53.00,,
1982-05-06,295566.50,,29.00,58.00,,
1982-05-07,303558.66,,37.00,68.00,,
1982-05-08,312325.47,,40.00,65.00,,
1982-05-09,317744.69,,33.00,56.00,,
1982-05-10,320310.41,,34.00,54.00,,
1982-05-11,322059.09,,34.00,55.00,,
1982-05-12,323416.44,,38.00,57.00,,
1982-05-13,324620.03,,37.00,64.00,,
1982-05-14,326270.25,,37.00,69.00,,
1982-05-15,329191.00,,42.00,75.00,,
1982-05-16,333232.78,,42.00,69.00,,
1982-05-17,338552.44,,42.00,72.00,,
1982-05-18,344204.75,,42.00,76.00,,
1982-05-19,352145.94,,37.00,57.00,,
1982-05-20,359013.69,,37.00,65.00,,
1982-05-21,365670.63,,37.00,73.00,,
1982-05-22,371799.00,,45.00,80.00,,
1982-05-23,378488.00,,45.00,75.00,,
1982-05-24,385344.75,,43.00,75.00,,
1982-05-25,391226.81,,43.00,77.00,,
1982-05-26,397926.25,,46.00,83.00,,
1982-05-27,407247.06,,44.00,70.00,,
1982-05-28,411120.44,,55.00,57.00,,
1982-05-29,412951.56,,,59.00,,
1982-05-30,412528.81,,39.00,60.00,,
1982-05-31,410697.19,,39.00,67.00,,
1982-06-01,408082.53,,41.00,75.00,,
1982-06-02,407664.78,,43.00,69.00,,
1982-06-03,407154.25,,43.00,71.00,,
1982-06-04,407013.31,,44.00,71.00,,
1982-06-05,407138.00,,43.00,63.00,,
1982-06-06,406627.00,,35.00,58.00,,
1982-06-07,404514.69,,43.05,65.00,,
1982-06-08,402720.94,,39.27,63.00,,
1982-06-09,400065.88,,44.46,70.00,,
1982-06-10,397881.84,,45.48,75.00,,
1982-06-11,396568.09,,48.55,80.00,,
1982-06-12,396296.28,,57.83,86.00,,
1982-06-13,397744.53,,54.13,77.00,,
1982-06-14,399473.78,,50.91,78.00,,
1982-06-15,401436.00,,53.27,79.00,,
1982-06-16,404653.97,,54.76,83.00,,
1982-06-17,407944.00,,55.00,87.00,,
1982-06-18,411026.72,,56.49,88.00,,
1982-06-19,414084.56,,56.41,86.00,,
1982-06-20,416547.34,,59.08,92.00,,
1982-06-21,418638.16,,58.38,92.00,,
1982-06-22,420784.38,,61.13,89.00,,
1982-06-23,423177.25,,53.97,89.00,,
1982-06-24,423931.38,,55.08,86.00,,
1982-06-25,424309.16,,58.93,85.00,,
1982-06-26,424403.44,,53.50,80.00,,
1982-06-27,425536.63,,63.02,90.00,,
1982-06-28,427909.56,,58.61,87.00,,
1982-06-29,430010.66,,55.70,81.00,,
1982-06-30,430295.34,,53.19,81.00,,
1982-07-01,430486.63,,52.72,86.00,,
1982-07-02,430010.66,,49.96,81.00,,
1982-07-03,429865.91,,51.77,78.00,,
1982-07-04,429532.34,,51.54,73.00,,
1982-07-05,428148.78,,46.82,64.00,,
1982-07-06,426294.97,,46.27,70.00,,
1982-07-07,424026.00,,55.23,81.00,,
1982-07-08,422002.47,,51.07,66.00,,
1982-07-09,420738.63,,49.96,74.00,,
1982-07-10,421816.56,,52.01,80.00,,
1982-07-11,422708.53,,55.39,88.00,,
1982-07-12,422848.06,,57.67,91.00,,
1982-07-13,422660.19,,61.05,94.00,,
1982-07-14,422471.97,,58.77,93.00,,
1982-07-15,422284.28,,51.54,80.00,,
1982-07-16,422426.06,,47.92,76.00,,
1982-07-17,422848.06,,53.74,79.00,,
1982-07-18,422896.44,,53.35,81.00,,
1982-07-19,422990.84,,56.73,90.00,,
1982-07-20,422920.00,,58.38,93.00,,
1982-07-21,422848.06,,59.71,95.00,,
1982-07-22,422708.53,,61.44,97.00,,
1982-07-23,422660.19,,62.70,92.00,,
1982-07-24,422644.00,,64.59,90.00,,
1982-07-25,421628.34,,59.64,89.00,,
1982-07-26,420972.22,,62.47,96.00,,
1982-07-27,420410.16,,66.48,96.00,,
1982-07-28,419755.53,,63.80,94.00,,
1982-07-29,419103.94,,60.11,77.00,,
1982-07-30,418309.31,,61.29,90.00,,
1982-07-31,417641.22,,62.23,96.00,,
1982-08-01,416167.38,,65.69,88.10,,
1982-08-02,415028.28,,52.48,83.30,,
1982-08-03,413660.25,,52.80,80.63,,
1982-08-04,412340.41,,53.97,86.76,,
1982-08-05,410884.84,,56.10,93.28,,
1982-08-06,409575.81,,58.85,96.27,,
1982-08-07,407896.16,,60.74,83.69,,
1982-08-08,406318.34,,71.82,91.55,,
1982-08-09,405486.47,,64.90,93.36,,
1982-08-10,403916.00,,61.84,92.73,,
1982-08-11,402169.81,,55.55,81.73,,
1982-08-12,400522.44,,50.36,81.10,,
1982-08-13,398788.63,,52.24,91.71,,
1982-08-14,396974.50,,58.77,86.99,,
1982-08-15,395166.34,,57.51,88.41,,
1982-08-16,394292.63,,56.57,92.97,,
1982-08-17,393924.66,,60.66,94.78,,
1982-08-18,393604.34,,63.33,85.50,,
1982-08-19,393374.31,,61.44,93.52,,
1982-08-20,393145.91,,64.04,97.45,,
1982-08-21,392779.00,,64.04,99.26,,
1982-08-22,392412.84,,65.14,93.91,,
1982-08-23,391955.78,,58.22,88.72,,
1982-08-24,391592.25,,57.91,89.67,,
1982-08-25,391089.16,,55.63,93.21,,
1982-08-26,390635.53,,58.61,91.71,,
1982-08-27,390133.66,,58.61,88.41,,
1982-08-28,389634.31,,62.62,82.28,,
1982-08-29,389135.97,,59.79,83.77,,
1982-08-30,388726.84,,54.60,78.90,,
1982-08-31,388229.66,,50.28,80.15,,
1982-09-01,387686.50,,50.59,76.00,,
1982-09-02,387236.81,,53.90,81.00,,
1982-09-03,386648.97,,62.15,86.00,,
1982-09-04,386064.59,,55.23,78.00,,
1982-09-05,385524.50,,48.47,74.00,,
1982-09-06,385031.41,,48.71,76.00,,
1982-09-07,384449.09,,53.82,80.00,,
1982-09-08,383821.94,,54.52,82.00,,
1982-09-09,383284.97,,54.84,90.00,,
1982-09-10,382437.88,,51.85,89.00,,
1982-09-11,381859.84,,38.41,63.00,,
1982-09-12,381193.28,,46.43,64.00,,
1982-09-13,380703.56,,42.02,64.00,,
1982-09-14,380261.94,,41.55,64.00,,
1982-09-15,379996.22,,42.18,57.00,,
1982-09-16,379332.91,,41.87,54.00,,
1982-09-17,378890.72,,53.19,73.00,,
1982-09-18,378318.06,,51.38,75.00,,
1982-09-19,377899.00,,52.01,80.00,,
1982-09-20,378096.25,,49.49,72.00,,
1982-09-21,377700.91,,47.92,70.00,,
1982-09-22,377260.28,,47.76,75.00,,
1982-09-23,376732.84,,48.31,83.00,,
1982-09-24,376206.16,,53.82,69.00,,
1982-09-25,375637.19,,52.87,74.00,,
1982-09-26,375374.69,,49.73,64.00,,
1982-09-27,374851.69,,43.12,63.00,,
1982-09-28,374414.75,,45.25,79.00,,
1982-09-29,373890.94,,40.45,61.00,,
1982-09-30,373325.84,,35.58,53.00,,
1982-10-01,373238.63,,41.63,55.00,,
1982-10-02,373325.84,,38.17,57.00,,
1982-10-03,373455.09,,45.25,66.00,,
1982-10-04,373455.09,,38.33,61.00,,
1982-10-05,373499.97,,32.04,54.00,,
1982-10-06,373674.19,,34.87,57.00,,
1982-10-07,373586.91,,38.72,62.00,,
1982-10-08,373890.94,,33.85,49.00,,
1982-10-09,373978.28,,31.49,51.00,,
1982-10-10,374065.34,,33.61,55.00,,
1982-10-11,374108.13,,35.73,60.00,,
1982-10-12,374240.16,,42.65,67.00,,
1982-10-13,374414.75,,43.20,70.00,,
1982-10-14,374457.59,,43.68,70.00,,
1982-10-15,374544.75,,45.64,74.00,,
1982-10-16,374632.25,,43.91,74.00,,
1982-10-17,374589.38,,41.87,71.00,,
1982-10-18,374589.38,,34.56,56.00,,
1982-10-19,374632.25,,28.50,49.00,,
1982-10-20,374719.44,,30.70,55.00,,
1982-10-21,374806.66,,40.84,61.00,,
1982-10-22,375156.75,,48.31,69.00,,
1982-10-23,375549.78,,49.02,60.00,,
1982-10-24,375988.06,,43.83,58.00,,
1982-10-25,376381.63,,46.66,64.00,,
1982-10-26,377303.44,,40.77,55.00,,
1982-10-27,377919.97,,33.53,49.00,,
1982-10-28,378318.06,,29.60,46.00,,
1982-10-29,379067.81,,35.50,51.00,,
1982-10-30,379553.28,,36.21,48.00,,
1982-10-31,379996.22,,32.51,47.00,,
1982-11-01,380261.94,,30.78,50.00,,
1982-11-02,380528.22,,27.64,47.00,,
1982-11-03,380749.31,,28.89,49.00,,
1982-11-04,380926.91,,31.88,50.00,,
1982-11-05,381193.28,,35.42,55.00,,
1982-11-06,381325.63,,30.23,55.00,,
1982-11-07,381503.50,,25.28,49.00,,
1982-11-08,381592.28,,35.03,43.00,,
1982-11-09,381948.72,,32.83,48.00,,
1982-11-10,382170.63,,31.96,40.00,,
1982-11-11,382259.56,,29.45,42.00,,
1982-11-12,382348.53,,25.75,44.00,,
1982-11-13,382437.88,,25.91,36.00,,
1982-11-14,382437.88,,22.13,41.00,,
1982-11-15,381770.66,,21.98,42.00,,
1982-11-16,380926.91,,28.03,45.00,,
1982-11-17,380749.31,,34.48,42.00,,
1982-11-18,380881.13,,34.71,38.00,,
1982-11-19,380393.97,,30.31,46.00,,
1982-11-20,379773.41,,29.76,39.00,,
1982-11-21,379199.44,,28.19,39.00,,
1982-11-22,378537.50,,16.39,36.00,,
1982-11-23,377567.28,,11.76,31.00,,
1982-11-24,376644.81,,12.93,29.00,,
1982-11-25,375769.75,,14.59,33.00,,
1982-11-26,375026.53,,16.47,31.00,,
1982-11-27,374153.09,,26.69,34.00,,
1982-11-28,373629.66,,33.53,37.00,,
1982-11-29,373413.06,,32.67,41.00,,
1982-11-30,372802.13,,30.39,43.00,,
1982-12-01,372140.34,,31.49,39.67,,
1982-12-02,371391.91,,25.12,36.84,,
1982-12-03,370687.41,,31.65,37.62,,
1982-12-04,370072.78,,32.83,41.55,,
1982-12-05,369460.25,,31.80,38.41,,
1982-12-06,369065.16,,29.05,41.87,,
1982-12-07,368367.50,,22.68,32.35,,
1982-12-08,367365.19,,17.26,27.32,,
1982-12-09,366494.56,,17.42,32.90,,
1982-12-10,365626.00,,18.36,33.93,,
1982-12-11,364804.03,,18.91,34.48,,
1982-12-12,363983.88,,18.99,30.78,,
1982-12-13,363337.78,,18.44,38.96,,
1982-12-14,362648.53,,16.24,33.14,,
1982-12-15,362520.94,,30.39,35.58,,
1982-12-16,361661.78,,35.03,38.72,,
1982-12-17,361147.56,,33.93,41.87,,
1982-12-18,360464.53,,25.28,34.87,,
1982-12-19,359866.53,,29.05,36.91,,
1982-12-20,359313.03,,29.84,37.54,,
1982-12-21,359269.19,,34.24,39.82,,
1982-12-22,358675.22,,26.38,38.80,,
1982-12-23,358036.81,,28.82,36.13,,
1982-12-24,357316.41,,15.06,32.98,,
1982-12-25,356513.09,,10.10,22.45,,
1982-12-26,355668.19,,17.97,31.88,,
1982-12-27,354952.53,,9.40,24.81,,
1982-12-28,353986.41,,5.15,15.84,,
1982-12-29,353233.38,,2.64,14.98,,
1982-12-30,352188.59,,2.95,14.51,,
1982-12-31,351395.81,,2.64,14.98,,
1983-01-01,350502.88,,3.81,15.00,,
1983-01-02,349529.84,,8.37,23.00,,
1983-01-03,348940.66,,22.61,25.00,,
1983-01-04,348433.88,,28.89,36.00,,
1983-01-05,348139.94,,34.71,36.00,,
1983-01-06,347887.34,,35.42,46.00,,
1983-01-07,347675.75,,36.29,41.00,,
1983-01-08,347423.50,,34.87,45.00,,
1983-01-09,347089.69,,29.76,45.00,,
1983-01-10,346542.63,,25.51,39.00,,
1983-01-11,345958.50,,23.78,49.00,,
1983-01-12,345246.25,,22.13,37.00,,
1983-01-13,344497.34,,21.03,38.00,,
1983-01-14,343914.03,,21.19,35.00,,
1983-01-15,343001.81,,21.58,35.00,,
1983-01-16,342295.66,,24.73,39.00,,
1983-01-17,341718.69,,31.02,42.00,,
1983-01-18,341057.44,,33.45,39.00,,
1983-01-19,340397.81,,34.87,40.00,,
1983-01-20,339370.59,,33.06,40.00,,
1983-01-21,338264.56,,27.87,41.00,,
1983-01-22,337243.81,,28.42,39.00,,
1983-01-23,336023.84,,28.66,38.00,,
1983-01-24,334887.19,,31.33,39.00,,
1983-01-25,333756.28,,32.12,39.00,,
1983-01-26,332468.41,,31.49,36.00,,
1983-01-27,331545.44,,32.90,43.00,,
1983-01-28,330332.56,,26.85,44.00,,
1983-01-29,329149.25,,26.61,37.00,,
1983-01-30,327888.84,,23.86,35.00,,
1983-01-31,326593.69,,15.69,40.00,,
1983-02-01,325223.03,,17.26,31.00,,
1983-02-02,323817.03,,15.61,28.00,,
1983-02-03,322378.38,,10.42,32.00,,
1983-02-04,321382.56,,9.00,32.00,,
1983-02-05,319716.81,,6.17,33.00,,
1983-02-06,318452.13,,10.97,26.00,,
1983-02-07,317508.72,,27.17,29.00,,
1983-02-08,316527.97,,26.61,38.00,,
1983-02-09,315628.47,,30.94,33.00,,
1983-02-10,314613.59,,29.68,44.00,,
1983-02-11,313448.63,,30.39,45.00,,
1983-02-12,312402.63,,35.18,41.00,,
1983-02-13,311552.59,,34.32,43.00,,
1983-02-14,310421.75,,28.89,41.00,,
1983-02-15,309279.94,,27.95,45.00,,
1983-02-16,308261.09,,30.94,45.00,,
1983-02-17,307165.31,,30.62,46.00,,
1983-02-18,306191.38,,33.85,38.00,,
1983-02-19,305530.72,,31.49,43.00,,
1983-02-20,304717.09,,28.82,44.00,,
1983-02-21,303982.47,,32.75,39.00,,
1983-02-22,301866.66,,32.83,43.00,,
1983-02-23,299839.88,,32.43,48.00,,
1983-02-24,297828.44,,32.43,48.00,,
1983-02-25,295942.50,,32.98,49.00,,
1983-02-26,294030.34,,31.73,43.00,,
1983-02-27,292206.38,,33.93,46.00,,
1983-02-28,290272.69,,34.32,40.00,,
1983-03-01,288530.91,,36.13,47.00,,
1983-03-02,287437.53,,38.80,46.00,,
1983-03-03,286648.88,,39.74,48.00,,
1983-03-04,286273.78,,39.35,50.00,,
1983-03-05,285675.97,,32.51,45.00,,
1983-03-06,285077.78,,32.59,50.00,,
1983-03-07,284259.25,,34.56,50.00,,
1983-03-08,283218.56,,33.30,45.00,,
1983-03-09,282257.28,,38.01,49.00,,
1983-03-10,281592.66,,37.15,53.00,,
1983-03-11,281554.78,,35.34,58.00,,
1983-03-12,281261.72,,32.83,48.00,,
1983-03-13,281187.97,,35.03,40.00,,
1983-03-14,280929.31,,33.06,41.00,,
1983-03-15,279938.44,,27.32,45.00,,
1983-03-16,278368.53,,25.83,48.00,,
1983-03-17,276118.50,,35.89,46.00,,
1983-03-18,273565.06,,33.93,42.00,,
1983-03-19,270881.22,,28.42,43.00,,
1983-03-20,267961.63,,23.39,43.00,,
1983-03-21,265039.88,,26.69,41.00,,
1983-03-22,262111.77,,34.24,46.00,,
1983-03-23,259288.17,,33.22,46.00,,
1983-03-24,256423.84,,31.25,45.00,,
1983-03-25,253303.52,,28.74,38.00,,
1983-03-26,250288.22,,29.60,50.00,,
1983-03-27,247274.63,,31.65,51.00,,
1983-03-28,244228.36,,25.83,41.00,,
1983-03-29,241320.64,,33.93,47.00,,
1983-03-30,238415.02,,35.03,47.00,,
1983-03-31,236031.67,,33.45,51.00,,
1983-04-01,233624.02,,28.19,50.00,,
1983-04-02,231512.33,,33.61,48.00,,
1983-04-03,229152.30,,31.02,44.00,,
1983-04-04,226715.98,,26.06,43.00,,
1983-04-05,224108.20,,24.81,45.00,,
1983-04-06,221465.80,,23.00,44.00,,
1983-04-07,218761.89,,29.29,51.00,,
1983-04-08,216281.09,,30.86,56.00,,
1983-04-09,213958.77,,35.89,52.00,,
1983-04-10,211628.28,,34.32,49.00,,
1983-04-11,209388.66,,28.66,48.00,,
1983-04-12,207140.14,,34.16,50.00,,
1983-04-13,204877.08,,29.84,49.00,,
1983-04-14,202533.06,,33.14,45.00,,
1983-04-15,199146.03,,30.31,51.00,,
1983-04-16,196155.25,,31.80,56.00,,
1983-04-17,193634.94,,32.12,61.00,,
1983-04-18,191752.81,,41.08,63.00,,
1983-04-19,190396.70,,38.25,63.00,,
1983-04-20,190187.28,,42.65,64.00,,
1983-04-21,190907.44,,41.00,63.00,,
1983-04-22,192388.42,,38.33,60.00,,
1983-04-23,196309.27,,45.01,67.00,,
1983-04-24,203301.33,,38.88,69.00,,
1983-04-25,207929.05,,37.31,56.00,,
1983-04-26,210409.34,,32.35,50.00,,
1983-04-27,211885.95,,33.22,53.00,,
1983-04-28,212596.81,,37.31,58.00,,
1983-04-29,214284.47,,41.79,59.00,,
1983-04-30,216708.47,,43.52,62.00,,
1983-05-01,219627.53,,41.32,53.00,,
1983-05-02,222766.20,,39.12,58.00,,
1983-05-03,226349.80,,39.90,59.00,,
1983-05-04,230430.80,,36.52,61.00,,
1983-05-05,237243.09,,41.32,69.00,,
1983-05-06,242719.34,,40.69,46.00,,
1983-05-07,247380.06,,37.78,55.00,,
1983-05-08,251632.80,,37.70,65.00,,
1983-05-09,254987.02,,35.58,56.00,,
1983-05-10,257086.19,,31.73,47.00,,
1983-05-11,258166.00,,34.95,50.00,,
1983-05-12,258552.09,,34.56,51.00,,
1983-05-13,258516.09,,37.46,53.00,,
1983-05-14,258306.13,,37.23,57.00,,
1983-05-15,258236.17,,43.99,62.00,,
1983-05-16,258236.17,,39.98,54.00,,
1983-05-17,258656.42,,36.99,61.00,,
1983-05-18,260201.98,,46.35,65.00,,
1983-05-19,262823.38,,37.62,61.00,,
1983-05-20,266514.03,,43.12,68.00,,
1983-05-21,271541.28,,44.07,70.00,,
1983-05-22,279353.84,,42.50,71.00,,
1983-05-23,287663.50,,45.01,74.00,,
1983-05-24,297677.06,,47.06,80.00,,
1983-05-25,309950.22,,50.75,84.00,,
1983-05-26,322736.75,,49.73,85.00,,
1983-05-27,338860.00,,50.83,88.00,,
1983-05-28,353450.00,,53.11,94.00,,
1983-05-29,369030.00,,54.76,90.00,,
1983-05-30,384450.00,,54.68,90.00,,
1983-05-31,398788.63,,55.15,84.00,,
1983-06-01,409434.06,,52.09,70.00,,
1983-06-02,416357.13,,47.45,66.00,,
1983-06-03,420971.81,,51.07,76.00,,
1983-06-04,424922.25,,52.40,76.00,,
1983-06-05,427625.63,,48.55,74.00,,
1983-06-06,428911.38,,50.28,73.00,,
1983-06-07,429531.53,,50.36,74.00,,
1983-06-08,430344.19,,54.76,82.00,,
1983-06-09,431399.00,,53.19,80.00,,
1983-06-10,432069.69,,54.92,78.00,,
1983-06-11,432599.94,,47.76,82.00,,
1983-06-12,431589.09,,43.52,62.00,,
1983-06-13,430056.56,,39.59,61.00,,
1983-06-14,429769.59,,45.80,72.00,,
1983-06-15,429244.47,,55.23,81.00,,
1983-06-16,428816.06,,45.17,74.00,,
1983-06-17,428290.50,,50.28,74.00,,
1983-06-18,428385.25,,50.83,87.00,,
1983-06-19,427720.66,,41.55,64.00,,
1983-06-20,426010.06,,45.33,65.00,,
1983-06-21,423459.03,,46.51,69.00,,
1983-06-22,422659.78,,46.82,72.00,,
1983-06-23,423364.94,,54.13,84.00,,
1983-06-24,424592.09,,56.02,90.00,,
1983-06-25,424781.25,,45.25,76.00,,
1983-06-26,424262.63,,53.66,82.00,,
1983-06-27,423836.38,,55.63,92.00,,
1983-06-28,423084.84,,49.02,74.00,,
1983-06-29,422519.53,,57.59,79.00,,
1983-06-30,422189.63,,49.34,75.00,,
1983-07-01,422754.09,,52.80,76.00,,
1983-07-02,424827.44,,49.96,61.00,,
1983-07-03,424970.06,,41.95,63.00,,
1983-07-04,425111.13,,46.43,70.00,,
1983-07-05,425300.50,,56.18,85.00,,
1983-07-06,425206.00,,61.99,88.00,,
1983-07-07,424638.28,,58.30,92.00,,
1983-07-08,423648.06,,57.04,92.00,,
1983-07-09,422377.72,,49.18,80.00,,
1983-07-10,421158.97,,48.94,73.00,,
1983-07-11,419570.22,,48.31,71.00,,
1983-07-12,418916.91,,53.50,83.00,,
1983-07-13,419383.81,,57.75,91.00,,
1983-07-14,420783.97,,53.58,93.00,,
1983-07-15,422001.66,,45.48,75.00,,
1983-07-16,422942.03,,44.15,67.00,,
1983-07-17,423270.47,,56.73,78.00,,
1983-07-18,423176.44,,51.69,84.00,,
1983-07-19,422990.44,,56.80,88.00,,
1983-07-20,422708.16,,54.92,88.00,,
1983-07-21,422237.56,,49.18,78.00,,
1983-07-22,422450.00,,57.12,91.00,,
1983-07-23,422700.00,,58.14,90.00,,
1983-07-24,422613.81,,55.15,90.00,,
1983-07-25,422283.47,,57.28,92.00,,
1983-07-26,422331.78,,57.20,86.00,,
1983-07-27,422143.75,,54.52,85.00,,
1983-07-28,422143.75,,59.24,85.00,,
1983-07-29,421909.91,,58.14,89.00,,
1983-07-30,421955.78,,59.56,94.00,,
1983-07-31,422001.66,,65.14,103.00,,
1983-08-01,422095.44,,60.97,83.00,,
1983-08-02,422095.44,,63.17,92.00,,
1983-08-03,422283.47,,63.25,94.00,,
1983-08-04,422613.81,,63.64,97.00,,
1983-08-05,422942.03,,65.69,98.00,,
1983-08-06,422942.03,,64.43,100.00,,
1983-08-07,422740.00,,66.08,105.00,,
1983-08-08,422720.00,,69.93,104.00,,
1983-08-09,422800.00,,68.68,95.00,,
1983-08-10,422870.00,,65.53,92.00,,
1983-08-11,422810.00,,62.39,92.00,,
1983-08-12,422360.00,,54.21,82.00,,
1983-08-13,421690.00,,55.55,84.00,,
1983-08-14,421070.00,,58.14,91.00,,
1983-08-15,421010.00,,64.43,89.00,,
1983-08-16,421111.16,,59.01,87.00,,
1983-08-17,421111.16,,60.03,87.00,,
1983-08-18,421065.38,,61.84,90.00,,
1983-08-19,421017.59,,63.72,83.00,,
1983-08-20,421111.16,,61.92,79.00,,
1983-08-21,421486.44,,56.41,78.00,,
1983-08-22,421486.44,,52.80,80.00,,
1983-08-23,421534.66,,53.74,79.00,,
1983-08-24,421627.94,,52.24,77.00,,
1983-08-25,421580.50,,54.84,84.00,,
1983-08-26,421486.44,,55.94,85.00,,
1983-08-27,421346.56,,55.47,90.00,,
1983-08-28,421158.97,,57.98,90.00,,
1983-08-29,420923.66,,54.60,92.00,,
