date,qu,fb,mm,mx,mn,qd,af
1982-05-19,574.92,4062.93,,61.92,29.29,495.00,74509.74
1982-05-20,535.15,4062.97,,69.15,32.90,495.00,74589.37
1982-05-21,555.30,4063.03,,73.24,34.56,495.00,74708.97
1982-05-22,585.59,4063.12,,69.62,44.15,495.00,74888.66
1982-05-23,686.75,4063.31,,68.20,34.63,495.00,75269.00
1982-05-24,718.26,4063.53,,71.19,35.26,495.00,75711.83
1982-05-25,781.14,4063.81,,77.64,41.47,495.00,76279.38
1982-05-26,809.02,4064.11,,61.84,38.88,500.00,76892.31
1982-05-27,686.45,4064.29,,47.29,27.72,500.00,77262.13
1982-05-28,593.46,4064.38,,55.00,30.55,500.00,77447.51
1982-05-29,468.99,4064.35,,57.04,30.23,500.00,77386.01
1982-05-30,427.14,4064.28,,64.12,28.74,500.00,77241.49
1982-05-31,385.86,4064.17,,69.70,36.05,500.00,77015.09
1982-06-01,355.41,4064.03,,65.06,44.15,500.00,76728.30
1982-06-02,365.37,4063.88,,68.20,38.41,520.00,76421.59
1982-06-03,376.02,4063.72,,58.53,41.16,540.00,76096.35
1982-06-04,499.76,4063.71,,50.75,23.63,510.00,76076.04
1982-06-05,403.23,4063.62,,48.94,34.24,495.00,75894.01
1982-06-06,392.96,4063.52,,57.04,33.14,495.00,75691.62
1982-06-07,353.95,4063.40,,56.18,37.70,476.00,75449.53
1982-06-08,341.72,4063.29,,65.37,32.35,453.00,75228.81
1982-06-09,331.70,4063.17,,71.66,37.70,453.00,74988.21
1982-06-10,352.43,4063.07,,76.93,40.37,453.00,74788.74
1982-06-11,387.58,4063.00,,78.66,42.65,458.00,74649.07
1982-06-12,538.52,4063.08,,66.87,52.17,458.00,74808.78
1982-06-13,700.16,4063.32,,68.52,48.08,458.00,75289.10
1982-06-14,660.94,4063.52,,71.59,44.62,458.00,75691.62
1982-06-15,713.31,4063.77,,70.48,46.74,458.00,76198.02
1982-06-16,744.68,4064.04,,74.26,51.62,467.00,76748.79
1982-06-17,715.40,4064.28,,81.26,54.21,467.00,77241.49
1982-06-18,719.65,4064.51,,71.90,55.47,480.00,77716.83
1982-06-19,702.93,4064.68,,,,525.00,78069.75
1982-06-20,625.24,4064.78,,69.46,48.79,520.00,78278.50
1982-06-21,593.80,4064.85,,,,520.00,78424.88
1982-06-22,510.94,4064.83,,132.44,-13.48,525.00,78397.00
1982-06-23,540.88,4064.82,,122.37,41.87,555.00,78369.00
1982-06-24,540.96,4064.81,,80.39,46.27,555.00,78341.16
1982-06-25,433.68,4064.69,,78.19,56.02,560.00,78090.60
1982-06-26,413.39,4064.55,,83.61,-25.27,560.00,77799.80
1982-06-27,382.39,4064.38,,73.24,51.30,560.00,77447.51
1982-06-28,373.45,4064.21,,64.20,50.44,550.00,77097.32
1982-06-29,405.59,4064.08,,66.79,49.89,540.00,76830.73
1982-06-30,359.90,4063.92,,76.38,47.84,525.00,76503.26
1982-07-01,670.92,4064.14,,61.13,51.93,444.00,76953.34
1982-07-02,473.68,4064.29,,67.42,46.19,318.00,77262.13
1982-07-03,423.46,4064.38,,65.53,42.42,330.00,77447.51
1982-07-04,361.29,4064.41,,64.35,41.47,330.00,77509.58
1982-07-05,310.71,4064.38,,64.67,41.63,342.00,77447.51
1982-07-06,291.79,4064.32,,72.29,39.98,354.00,77324.12
1982-07-07,297.99,4064.27,,66.48,51.85,350.00,77220.95
1982-07-08,252.27,4064.17,,,,350.00,77027.10
1982-07-09,232.98,4064.08,,73.08,51.85,350.00,76795.00
1982-07-10,249.99,4063.96,,77.09,45.88,354.00,76588.69
1982-07-11,206.97,4063.80,,80.55,49.81,350.00,76305.00
1982-07-12,185.98,4063.67,,79.53,50.91,342.00,75995.53
1982-07-13,204.76,4063.57,,81.57,52.32,307.00,75792.74
1982-07-14,99.12,4063.41,,69.70,47.53,262.00,75469.68
1982-07-15,110.19,4063.26,,68.76,34.56,262.00,75168.57
1982-07-16,171.07,4063.17,,67.65,35.97,262.00,74988.21
1982-07-17,161.43,4063.07,,73.08,40.45,262.00,74788.74
1982-07-18,84.28,4062.91,,81.73,45.25,245.00,74469.96
1982-07-19,88.13,4062.80,,82.67,49.18,198.00,74252.03
1982-07-20,94.18,4062.71,,83.93,49.34,184.00,74073.88
1982-07-21,81.75,4062.60,,83.69,46.90,191.00,73857.18
1982-07-22,83.91,4062.48,,75.12,37.62,203.00,73620.96
1982-07-23,30.04,4062.32,,77.25,41.08,188.00,73307.65
1982-07-24,91.63,4062.21,,81.33,44.62,200.00,73092.70
1982-07-25,101.16,4062.10,,86.60,46.58,209.00,72878.81
1982-07-26,82.42,4061.94,,87.55,52.40,239.00,72568.24
1982-07-27,96.76,4061.80,,85.34,51.93,233.00,72298.01
1982-07-28,57.30,4061.65,,84.24,56.49,203.00,72009.01
1982-07-29,87.13,4061.53,,86.05,50.28,203.00,71779.18
1982-07-30,84.26,4061.41,,89.04,52.40,200.00,71549.61
1982-07-31,56.03,4061.24,,84.79,52.64,197.00,71270.00
1982-08-01,28.55,4061.09,,77.17,44.54,194.00,70941.84
1982-08-02,53.59,4060.93,,74.26,35.81,206.00,70639.53
1982-08-03,62.93,4060.76,,73.08,42.18,224.00,70320.06
1982-08-04,72.85,4060.57,,72.84,44.23,252.00,69964.73
1982-08-05,1.28,4060.31,,84.64,43.68,245.00,69481.32
1982-08-06,84.05,4060.02,,88.33,47.61,354.00,68945.88
1982-08-07,113.86,4059.57,,79.37,55.23,358.00,68461.64
1982-08-08,121.87,4059.32,,82.28,58.61,366.00,67977.41
1982-08-09,117.86,4059.06,,84.95,51.93,362.00,67493.17
1982-08-10,105.87,4058.81,,73.08,48.16,350.00,67008.94
1982-08-11,101.86,4058.55,,64.98,49.34,346.00,66524.70
1982-08-12,85.87,4058.29,,76.62,43.36,330.00,66040.47
1982-08-13,33.86,4058.01,,81.33,44.15,278.00,65556.23
1982-08-14,44.87,4057.78,,75.60,43.68,289.00,65072.00
1982-08-15,30.86,4057.53,,78.90,45.56,275.00,64587.76
1982-08-16,58.87,4057.27,,84.09,48.08,303.00,64103.53
1982-08-17,10.86,4057.12,,80.31,46.03,255.00,63619.29
1982-08-18,0.87,4056.76,,78.98,45.64,245.00,63135.06
1982-08-19,13.86,4056.51,,87.62,48.79,258.00,62650.82
1982-08-20,20.87,4056.24,,87.31,54.60,265.00,62166.59
1982-08-21,51.86,4055.94,,,,296.00,61682.35
1982-08-22,51.87,4055.71,,,,296.00,61198.12
1982-08-23,47.86,4055.45,,80.55,50.91,292.00,60713.88
1982-08-24,44.87,4055.18,,84.24,42.10,289.00,60229.65
1982-08-25,85.86,4054.91,,87.15,47.21,330.00,59745.41
1982-08-26,59.87,4054.63,,84.48,47.21,304.00,59261.18
1982-08-27,53.86,4054.36,,82.83,46.66,298.00,58776.94
1982-08-28,46.87,4054.08,,79.84,43.28,291.00,58292.71
1982-08-29,40.86,4053.81,,69.86,51.69,285.00,57808.47
1982-08-30,33.87,4053.52,,68.36,41.87,278.00,57324.24
1982-08-31,27.86,4053.24,,73.63,39.59,272.00,56840.00
1982-09-01,157.11,4053.15,,80.23,41.08,265.00,56626.00
1982-09-02,150.11,4053.03,,82.12,45.40,258.00,56412.00
1982-09-03,144.61,4052.90,,77.25,52.17,252.00,56199.00
1982-09-04,138.11,4052.77,,70.56,45.64,246.00,55985.00
1982-09-05,131.11,4052.65,,74.81,39.12,239.00,55771.00
1982-09-06,98.11,4052.52,,80.31,42.73,206.00,55557.00
1982-09-07,95.61,4052.39,,78.82,41.79,203.00,55344.00
1982-09-08,69.11,4052.26,,81.96,43.91,177.00,55130.00
1982-09-09,52.11,4052.13,,80.08,44.54,160.00,54916.00
1982-09-10,52.11,4052.00,,56.02,35.50,160.00,54702.00
1982-09-11,62.61,4051.87,,52.01,30.78,170.00,54489.00
1982-09-12,62.11,4051.74,,56.73,38.57,170.00,54275.00
1982-09-13,80.11,4051.61,,56.73,36.21,188.00,54061.00
1982-09-14,46.11,4051.47,,50.12,28.82,154.00,53847.00
1982-09-15,24.61,4051.34,,60.11,29.45,132.00,53634.00
1982-09-16,-5.89,4051.21,,63.80,30.62,102.00,53420.00
1982-09-17,-19.89,4051.07,,71.82,36.76,88.00,53206.00
1982-09-18,-33.89,4050.94,,75.36,43.44,74.00,52992.00
1982-09-19,-33.89,4050.81,,61.84,48.16,74.00,52778.00
1982-09-20,-25.39,4050.67,,60.03,40.22,82.00,52565.00
1982-09-21,-28.89,4050.54,,67.73,38.09,79.00,52351.00
1982-09-22,-41.89,4050.40,,72.92,39.98,66.00,52137.00
1982-09-23,-72.89,4050.26,,78.19,40.61,35.00,51923.00
1982-09-24,-87.39,4050.12,,64.67,47.45,20.00,51710.00
1982-09-25,-90.89,4049.99,,69.07,50.67,17.00,51496.00
1982-09-26,-102.59,4049.86,,59.08,39.67,5.30,51282.00
1982-09-27,-102.99,4049.73,,56.18,37.07,4.90,51068.00
1982-09-28,-102.89,4049.59,,50.28,32.12,4.50,50855.00
1982-09-29,-103.49,4049.46,,50.67,32.28,4.40,50641.00
1982-09-30,-97.89,4049.33,,57.83,28.58,10.00,50427.00
1982-10-01,37.22,4049.36,,61.21,31.10,14.00,50473.06
1982-10-02,37.23,4049.39,,59.01,31.80,14.00,50519.13
1982-10-03,37.22,4049.41,,52.80,37.86,14.00,50565.19
1982-10-04,37.23,4049.44,,50.83,30.55,14.00,50611.26
1982-10-05,37.22,4049.47,,56.57,30.07,14.00,50657.32
1982-10-06,37.23,4049.50,,53.19,31.33,14.00,50703.39
1982-10-07,34.22,4049.53,,47.76,32.59,11.00,50749.45
1982-10-08,33.23,4049.56,,45.40,32.67,10.00,50795.52
1982-10-09,33.22,4049.58,,54.45,33.77,10.00,50841.58
1982-10-10,33.23,4049.61,,58.93,31.10,10.00,50887.65
1982-10-11,33.22,4049.64,,65.22,34.01,10.00,50933.71
1982-10-12,33.22,4049.67,,66.16,32.20,10.00,50979.77
1982-10-13,33.23,4049.70,,66.55,32.28,10.00,51025.84
1982-10-14,33.22,4049.73,,71.04,35.26,10.00,51071.90
1982-10-15,33.23,4049.75,,67.65,35.50,10.00,51117.97
1982-10-16,33.22,4049.78,,64.59,38.80,10.00,51164.03
1982-10-17,33.23,4049.81,,47.45,31.33,10.00,51210.10
1982-10-18,33.22,4049.84,,43.05,25.20,10.00,51256.16
1982-10-19,33.23,4049.87,,48.00,24.10,10.00,51302.23
1982-10-20,33.22,4049.90,,52.48,21.27,10.00,51348.29
1982-10-21,33.22,4049.92,,58.53,28.74,10.00,51394.35
1982-10-22,33.23,4049.95,,63.49,47.76,10.00,51440.42
1982-10-23,33.22,4049.98,,57.59,39.12,10.00,51486.48
1982-10-24,33.23,4050.01,,60.34,38.17,10.00,51532.55
1982-10-25,33.22,4050.04,,59.01,39.27,10.00,51578.61
1982-10-26,33.23,4050.07,,47.92,32.98,10.00,51624.68
1982-10-27,33.22,4050.10,,48.24,28.89,10.00,51670.74
1982-10-28,33.23,4050.13,,46.27,26.61,10.00,51716.81
1982-10-29,33.22,4050.16,,36.05,32.67,10.00,51762.87
1982-10-30,33.23,4050.19,,42.10,31.25,10.00,51808.94
1982-10-31,33.22,4050.22,,45.72,27.40,10.00,51855.00
1982-11-01,50.33,4050.26,,44.70,25.44,10.00,51935.00
1982-11-02,50.84,4050.31,,45.33,22.29,10.00,52016.00
1982-11-03,32.21,4050.35,,47.61,24.81,10.00,52060.05
1982-11-04,65.06,4050.42,,48.47,31.88,10.00,52169.25
1982-11-05,49.53,4050.47,,48.94,27.95,10.00,52247.66
1982-11-06,25.81,4050.49,,42.02,25.59,10.00,52279.02
1982-11-07,17.94,4050.50,,39.19,19.46,10.00,52294.77
1982-11-08,49.63,4050.55,,42.42,19.07,10.00,52373.38
1982-11-09,17.91,4050.56,,37.94,24.81,10.00,52389.07
1982-11-10,33.81,4050.59,,33.38,22.84,10.00,52436.30
1982-11-11,25.89,4050.61,,39.35,21.74,10.00,52467.82
1982-11-12,25.69,4050.63,,39.59,21.58,10.00,52498.95
1982-11-13,25.91,4050.65,,36.44,16.00,10.00,52530.50
1982-11-14,25.94,4050.67,,36.05,13.72,10.00,52562.12
1982-11-15,25.90,4050.69,,38.33,14.11,10.00,52593.66
1982-11-16,33.88,4050.72,,39.04,26.54,10.00,52641.03
1982-11-17,65.27,4050.79,,40.37,30.47,9.40,52751.84
1982-11-18,57.38,4050.85,,44.07,30.39,9.40,52847.01
1982-11-19,41.23,4050.89,,37.15,26.61,9.40,52910.14
1982-11-20,33.45,4050.92,,36.99,20.09,9.40,52957.85
1982-11-21,25.45,4050.94,,33.45,13.41,9.40,52989.68
1982-11-22,-14.66,4050.91,,28.50,9.00,9.40,52941.95
1982-11-23,17.42,4050.92,,30.07,9.71,9.40,52957.85
1982-11-24,17.40,4050.93,,31.65,9.55,9.40,52973.71
1982-11-25,41.54,4050.97,,34.08,9.71,9.40,53037.46
1982-11-26,49.59,4051.02,,32.83,17.42,9.40,53117.18
1982-11-27,58.29,4051.08,,37.15,20.48,10.00,53212.96
1982-11-28,50.12,4051.13,,39.12,31.02,10.00,53292.54
1982-11-29,58.47,4051.19,,40.53,30.94,10.00,53388.68
1982-11-30,34.27,4051.22,,38.01,27.56,10.00,53436.82
1982-12-01,26.19,4051.24,,37.86,26.06,10.00,53468.93
1982-12-02,74.27,4051.32,,32.75,26.46,9.40,53597.59
1982-12-03,66.05,4051.39,,41.79,31.10,9.40,53709.95
1982-12-04,33.84,4051.42,,45.01,27.64,9.40,53758.43
1982-12-05,66.43,4051.49,,40.06,25.91,9.40,53871.54
1982-12-06,75.33,4051.57,,36.76,25.83,10.00,54001.12
1982-12-07,26.36,4051.59,,32.35,15.37,10.00,54033.57
1982-12-08,18.21,4051.60,,30.31,10.34,10.00,54049.86
1982-12-09,42.53,4051.64,,31.57,14.82,10.00,54114.38
1982-12-10,34.60,4051.67,,33.93,14.35,10.00,54163.17
1982-12-11,42.83,4051.71,,32.12,13.88,10.00,54228.29
1982-12-12,51.10,4051.76,,31.25,16.39,10.00,54309.81
1982-12-13,68.61,4051.83,,36.84,21.82,11.00,54424.08
1982-12-14,76.84,4051.91,,35.18,20.95,11.00,54554.67
1982-12-15,68.87,4051.98,,35.50,29.84,11.00,54669.46
1982-12-16,76.29,4052.06,,42.34,31.10,10.00,54800.95
1982-12-17,51.53,4052.11,,38.96,27.40,10.00,54883.32
1982-12-18,34.74,4052.14,,33.14,18.28,10.00,54932.39
1982-12-19,51.63,4052.19,,32.98,22.68,10.00,55014.96
1982-12-20,68.39,4052.26,,36.84,25.44,10.00,55130.77
1982-12-21,85.25,4052.35,,37.07,31.57,10.00,55280.03
1982-12-22,34.92,4052.38,,33.53,20.95,10.00,55329.45
1982-12-23,26.24,4052.40,,32.28,16.32,9.50,55362.65
1982-12-24,0.62,4052.39,,27.95,5.15,9.00,55346.02
1982-12-25,9.00,4052.39,,28.42,5.70,9.00,55346.02
1982-12-26,59.34,4052.45,,26.77,9.48,9.00,55445.87
1982-12-27,0.75,4052.44,,19.62,-3.42,9.00,55429.50
1982-12-28,0.49,4052.43,,16.63,-3.81,9.00,55412.62
1982-12-29,33.66,4052.46,,15.14,-5.38,8.50,55462.53
1982-12-30,25.30,4052.48,,15.29,-4.05,8.50,55495.86
1982-12-31,33.72,4052.51,,13.56,-3.10,8.50,55545.89
1983-01-01,42.15,4052.55,,19.22,-7.43,8.50,55612.63
1983-01-02,59.31,4052.61,,21.50,-1.61,8.70,55713.01
1983-01-03,67.89,4052.68,,26.14,9.95,9.00,55829.81
1983-01-04,77.20,4052.76,,36.36,23.71,9.50,55964.09
1983-01-05,69.40,4052.83,,42.65,31.80,10.00,56081.90
1983-01-06,77.82,4052.91,,41.95,33.22,10.00,56216.41
1983-01-07,87.73,4053.00,,38.17,31.88,11.00,56368.61
1983-01-08,71.79,4053.07,,37.62,31.33,12.00,56487.21
1983-01-09,63.19,4053.13,,35.58,27.40,12.00,56588.74
1983-01-10,89.21,4053.22,,46.98,22.84,12.00,56741.89
1983-01-11,46.40,4053.26,,40.53,17.97,12.00,56810.12
1983-01-12,46.41,4053.30,,33.61,15.37,12.00,56878.37
1983-01-13,37.85,4053.33,,37.54,13.25,12.00,56929.65
1983-01-14,54.92,4053.38,,35.50,16.16,12.00,57014.79
1983-01-15,63.88,4053.44,,35.81,10.65,12.00,57117.70
1983-01-16,81.26,4053.52,,41.95,25.44,12.00,57255.08
1983-01-17,46.68,4053.56,,39.82,23.47,12.00,57323.87
1983-01-18,64.17,4053.62,,34.79,20.56,12.00,57427.34
1983-01-19,72.70,4053.69,,35.81,32.12,12.00,57547.73
1983-01-20,64.34,4053.75,,35.11,27.48,12.00,57651.55
1983-01-21,55.69,4053.80,,37.31,26.30,12.00,57738.21
1983-01-22,81.82,4053.88,,32.04,27.17,12.00,57876.70
1983-01-23,46.05,4053.92,,40.14,22.68,11.00,57946.23
1983-01-24,53.32,4053.97,,41.08,31.41,9.40,58033.34
1983-01-25,61.68,4054.03,,34.24,17.42,8.90,58138.03
1983-01-26,52.96,4054.08,,36.60,32.20,8.90,58225.42
1983-01-27,44.17,4054.12,,43.75,24.57,8.90,58295.38
1983-01-28,17.51,4054.13,,40.14,12.70,8.90,58312.45
1983-01-29,62.46,4054.19,,35.03,21.90,9.40,58417.70
1983-01-30,53.15,4054.24,,38.88,24.57,8.90,58505.46
1983-01-31,44.86,4054.28,,34.32,16.55,9.40,58575.80
1983-02-01,45.51,4054.32,,35.11,27.87,10.00,58646.23
1983-02-02,17.75,4054.33,,28.66,14.11,8.90,58663.79
1983-02-03,2.15,4054.32,,35.03,2.09,11.00,58646.23
1983-02-04,12.21,4054.28,,34.24,-1.06,10.00,58650.62
1983-02-05,34.45,4054.35,,32.75,-2.32,10.00,58699.11
1983-02-06,89.89,4054.44,,29.21,19.22,10.00,58857.57
1983-02-07,81.37,4054.52,,31.96,22.53,10.00,58999.14
1983-02-08,108.23,4054.63,,36.99,23.16,10.00,59193.97
1983-02-09,63.81,4054.69,,41.16,32.04,10.00,59300.70
1983-02-10,36.96,4054.72,,43.12,18.36,10.00,59354.17
1983-02-11,45.98,4054.76,,41.24,32.43,10.00,59425.54
1983-02-12,55.03,4054.81,,45.88,32.59,10.00,59514.86
1983-02-13,37.05,4054.84,,40.06,29.52,10.00,59568.52
1983-02-14,45.85,4054.88,,41.55,22.68,10.00,59639.63
