date,fb,mm,mx,mn,af
1982-03-22,6189.90,,34.48,0.28,34621.38
1982-03-23,6189.97,,41.40,3.66,34759.37
1982-03-24,6190.09,,47.84,13.41,35028.55
1982-03-25,6190.28,,48.08,16.71,35477.91
1982-03-26,6190.42,,46.19,29.84,35813.09
1982-03-27,6190.62,,47.29,29.52,36297.43
1982-03-28,6190.87,,39.67,27.72,36911.53
1982-03-29,6191.06,,31.17,18.83,37385.04
1982-03-30,6191.19,,31.73,20.72,37712.27
1982-03-31,6191.37,,39.98,27.48,38171.04
1982-04-01,6191.51,,28.03,9.08,38530.41
1982-04-02,6191.61,,38.33,8.30,38790.08
1982-04-03,6191.76,,45.56,31.88,39182.22
1982-04-04,6191.93,,32.83,8.06,39632.86
1982-04-05,6192.05,,37.07,0.36,39870.02
1982-04-06,6192.17,,30.62,11.83,39993.29
1982-04-07,6192.22,,30.39,10.26,40045.00
1982-04-08,6192.35,,34.01,0.91,40178.82
1982-04-09,6192.39,,42.10,6.57,40220.22
1982-04-10,6192.61,,48.08,13.64,40447.94
1982-04-11,6193.22,,49.49,37.23,41087.29
1982-04-12,6194.27,,46.11,33.06,42210.73
1982-04-13,6195.08,,52.80,32.35,43247.88
1982-04-14,6195.92,,47.37,27.95,45823.42
1982-04-15,6196.52,,33.85,18.60,47757.18
1982-04-16,6196.92,,38.64,14.35,49090.89
1982-04-17,6197.35,,51.69,17.81,50567.20
1982-04-18,6197.75,,38.96,20.40,51689.21
1982-04-19,6198.05,,32.67,16.32,52414.55
1982-04-20,6198.31,,37.86,13.17,53052.48
1982-04-21,6198.58,,51.54,14.51,53722.61
1982-04-22,6198.97,,61.05,21.82,54705.65
1982-04-23,6199.42,,62.86,24.81,55861.29
1982-04-24,6199.80,,59.16,29.13,56856.46
1982-04-25,6200.43,,56.80,29.84,58507.24
1982-04-26,6200.88,,54.76,30.70,59700.64
1982-04-27,6201.30,,60.97,28.89,60836.98
1982-04-28,6201.83,,59.24,33.22,62302.85
1982-04-29,6202.26,,54.52,24.89,63496.54
1982-04-30,6202.63,,63.25,29.92,64531.53
1982-05-01,6203.03,,68.13,34.63,65668.88
1982-05-02,6203.44,,67.89,41.16,66856.13
1982-05-03,6203.78,,63.72,34.79,67856.06
1982-05-04,6204.09,,46.58,26.46,68774.15
1982-05-05,6204.36,,49.96,20.17,69567.85
1982-05-06,6204.58,,58.22,37.54,70222.02
1982-05-07,6204.80,,60.11,34.71,70880.84
1982-05-08,6204.97,,51.62,32.67,71396.04
1982-05-09,6205.14,,44.30,28.82,71913.48
1982-05-10,6205.30,,39.51,29.60,72403.16
1982-05-11,6205.40,,41.00,25.67,72711.78
1982-05-12,6205.54,,50.83,24.96,73146.12
1982-05-13,6205.56,,59.01,29.84,73208.38
1982-05-14,6205.66,,62.94,34.56,73520.48
1982-05-15,6205.72,,54.37,41.08,73708.35
1982-05-16,6205.73,,62.39,33.93,73738.94
1982-05-17,6205.75,,66.95,36.13,73801.70
1982-05-18,6205.83,,43.60,33.69,74053.32
1982-05-19,6205.92,,52.32,33.61,74336.56
1982-05-20,6205.90,,63.49,27.87,74273.42
1982-05-21,6205.87,,67.34,36.60,74179.48
1982-05-22,6205.86,,61.36,43.75,74147.16
1982-05-23,6205.86,,62.70,36.13,74147.16
1982-05-24,6205.84,,65.30,35.89,74084.05
1982-05-25,6205.82,,74.81,38.57,74021.05
1982-05-26,6205.80,,69.38,42.97,73958.11
1982-05-27,6205.72,,49.41,35.34,73708.35
1982-05-28,6205.71,,50.83,27.87,73676.23
1982-05-29,6205.67,,55.23,33.30,73550.99
1982-05-30,6205.67,,55.63,29.37,73550.99
1982-05-31,6205.63,,66.40,34.71,73425.96
1982-06-01,6205.60,,54.60,40.69,73333.03
1982-06-02,6205.57,,60.34,32.90,73238.75
1982-06-03,6205.56,,62.86,33.22,73208.38
1982-06-04,6205.51,,54.05,37.46,73052.08
1982-06-05,6205.48,,43.60,32.90,72959.69
1982-06-06,6205.50,,53.82,29.92,73021.78
1982-06-07,6205.48,,55.78,32.67,72959.69
1982-06-08,6205.46,,57.43,33.22,72897.65
1982-06-09,6205.46,,68.20,31.41,72897.65
1982-06-10,6205.45,,71.59,36.76,72867.41
1982-06-11,6205.42,,74.97,40.14,72773.66
1982-06-12,6205.35,,62.47,48.08,72558.00
1982-06-13,6205.35,,61.05,41.55,72558.00
1982-06-14,6205.49,,60.66,36.91,72991.49
1982-06-15,6205.48,,69.38,41.95,72959.69
1982-06-16,6205.49,,74.49,44.62,72991.49
1982-06-17,6205.48,,75.28,44.93,72959.69
1982-06-18,6205.46,,75.44,46.35,72897.65
1982-06-19,6205.43,,76.15,42.42,72805.38
1982-06-20,6205.40,,75.36,48.08,72711.78
1982-06-21,6205.39,,70.41,53.27,72681.63
1982-06-22,6205.31,,69.62,47.68,72434.66
1982-06-23,6205.37,,69.86,44.38,72619.82
1982-06-24,6205.37,,72.92,42.65,72619.82
1982-06-25,6205.39,,68.20,49.26,72681.63
1982-06-26,6205.38,,77.64,44.30,72649.95
1982-06-27,6205.37,,78.35,48.79,72619.82
1982-06-28,6205.33,,71.04,51.77,72496.30
1982-06-29,6205.30,,64.82,46.35,72403.16
1982-06-30,6205.24,,70.48,47.45,72220.07
1982-07-01,6205.18,,55.15,41.95,72035.93
1982-07-02,6205.14,,69.54,39.59,71913.48
1982-07-03,6205.10,,62.78,46.90,71791.16
1982-07-04,6205.09,,51.69,43.05,71759.95
1982-07-05,6205.07,,60.19,34.63,71715.00
1982-07-06,6205.06,,71.66,37.46,71669.19
1982-07-07,6205.01,,61.99,47.53,71516.12
1982-07-08,6204.97,,66.08,46.03,71396.04
1982-07-09,6204.95,,71.51,40.22,71335.27
1982-07-10,6204.91,,78.19,43.05,71214.00
1982-07-11,6204.87,,83.77,46.74,71093.02
1982-07-12,6204.82,,86.13,48.31,70941.17
1982-07-13,6204.75,,81.81,59.87,70730.94
1982-07-14,6204.71,,76.70,47.53,70610.70
1982-07-15,6204.64,,74.49,45.72,70401.52
1982-07-16,6204.54,,76.70,43.28,70102.58
1982-07-17,6204.51,,74.57,44.78,70012.45
1982-07-18,6204.47,,82.04,43.52,69894.97
1982-07-19,6204.40,,83.93,44.93,69686.38
1982-07-20,6204.33,,86.13,49.26,69479.87
1982-07-21,6204.26,,86.99,48.55,69272.58
1982-07-22,6204.14,,85.03,54.84,68921.29
1982-07-23,6204.05,,81.57,57.59,68657.23
1982-07-24,6203.98,,72.53,57.59,68452.08
1982-07-25,6203.91,,80.94,49.73,68243.63
1982-07-26,6203.85,,78.27,57.04,68064.88
1982-07-27,6203.81,,67.34,57.91,67945.95
1982-07-28,6203.80,,72.14,54.92,67915.49
1982-07-29,6203.74,,78.35,49.49,67738.91
1982-07-30,6203.74,,84.09,48.39,67734.00
1982-07-31,6203.73,,85.97,47.61,67730.00
1982-08-01,6203.62,,81.65,51.93,67402.11
1982-08-02,6203.51,,76.93,40.14,67074.21
1982-08-03,6203.39,,75.75,45.25,66746.32
1982-08-04,6203.28,,78.82,42.97,66418.42
1982-08-05,6203.17,,82.04,45.48,66090.53
1982-08-06,6203.06,,87.39,48.71,65762.63
1982-08-07,6202.94,,78.19,51.22,65434.74
1982-08-08,6202.82,,77.64,55.78,65106.84
1982-08-09,6202.71,,84.16,47.68,64778.95
1982-08-10,6202.59,,83.46,48.39,64451.05
1982-08-11,6202.48,,76.46,45.48,64123.16
1982-08-12,6202.36,,78.43,38.88,63795.26
1982-08-13,6202.24,,81.65,43.60,63467.37
1982-08-14,6202.13,,79.37,48.47,63139.47
1982-08-15,6202.01,,80.55,44.23,62811.58
1982-08-16,6201.89,,83.30,46.27,62483.68
1982-08-17,6201.77,,83.46,49.57,62155.79
1982-08-18,6201.65,,71.51,55.78,61827.89
1982-08-19,6201.53,,79.60,47.06,61500.00
1982-08-20,6201.41,,88.02,49.34,61172.11
1982-08-21,6201.29,,84.56,54.37,60844.21
1982-08-22,6201.17,,86.37,55.63,60516.32
1982-08-23,6201.05,,82.99,51.07,60188.42
1982-08-24,6200.93,,80.47,47.37,59860.53
1982-08-25,6200.81,,82.91,46.11,59532.63
1982-08-26,6200.69,,80.71,51.69,59204.74
1982-08-27,6200.56,,79.84,48.63,58876.84
1982-08-28,6200.44,,71.27,55.70,58548.95
1982-08-29,6200.31,,71.98,46.51,58221.05
1982-08-30,6200.19,,73.94,46.03,57893.16
1982-08-31,6200.07,,76.54,39.51,57565.26
1982-09-01,6199.94,,78.90,40.45,57237.37
1982-09-02,6199.81,,82.51,47.37,56909.47
1982-09-03,6199.69,,83.22,51.14,56581.58
1982-09-04,6199.56,,72.29,47.53,56253.68
1982-09-05,6199.43,,77.64,40.37,55925.79
1982-09-06,6199.31,,77.80,42.50,55597.89
1982-09-07,6199.19,,77.17,49.89,55270.00
1982-09-08,6199.10,,81.33,47.06,55040.00
1982-09-09,6198.96,,80.00,46.51,54680.00
1982-09-10,6198.79,,69.93,40.14,54249.50
1982-09-11,6198.73,,56.96,31.88,54098.23
1982-09-12,6198.68,,49.65,40.69,53973.11
1982-09-13,6198.62,,47.06,34.63,53822.66
1982-09-14,6198.53,,49.10,38.72,53597.18
1982-09-15,6198.52,,46.27,32.98,53572.80
1982-09-16,6198.51,,58.85,40.22,53547.26
1982-09-17,6198.48,,64.27,36.29,53485.00
1982-09-18,6198.46,,64.51,39.74,53423.47
1982-09-19,6198.43,,61.05,43.05,53349.59
1982-09-20,6198.46,,65.14,39.35,53423.47
1982-09-21,6198.45,,71.11,38.41,53399.22
1982-09-22,6198.43,,75.60,40.22,53349.59
1982-09-23,6198.43,,76.54,38.17,53349.59
1982-09-24,6198.42,,64.82,47.84,53324.11
1982-09-25,6198.58,,60.03,52.95,53722.61
1982-09-26,6198.55,,56.25,43.52,53647.04
1982-09-27,6198.56,,43.68,37.15,53672.57
1982-09-28,6198.57,,42.42,31.80,53697.00
1982-09-29,6198.57,,39.04,29.60,53697.00
1982-09-30,6198.58,,36.52,31.73,53722.61
1982-10-01,6198.58,,48.16,32.98,53722.61
1982-10-02,6198.61,,57.43,27.79,53797.05
1982-10-03,6198.61,,55.86,37.70,53797.05
1982-10-04,6198.61,,48.00,36.76,53797.05
1982-10-05,6198.61,,48.00,28.74,53797.05
1982-10-06,6198.60,,55.47,27.32,53772.58
1982-10-07,6198.58,,53.11,29.21,53722.61
1982-10-08,6198.59,,39.43,30.70,53746.95
1982-10-09,6198.58,,43.36,28.82,53722.61
1982-10-10,6198.58,,54.92,21.03,53722.61
1982-10-11,6198.61,,54.68,25.12,53797.05
1982-10-12,6198.60,,62.39,29.60,53772.58
1982-10-13,6198.60,,62.94,31.65,53772.58
1982-10-14,6198.60,,64.35,32.83,53772.58
1982-10-15,6198.60,,62.86,34.24,53772.58
1982-10-16,6198.61,,61.44,31.25,53797.05
1982-10-17,6198.60,,55.00,33.93,53772.58
1982-10-18,6198.59,,37.62,19.70,53746.95
1982-10-19,6198.59,,46.58,15.84,53746.95
1982-10-20,6198.59,,54.05,20.56,53746.95
1982-10-21,6198.58,,58.61,29.68,53722.61
1982-10-22,6198.59,,62.54,45.25,53746.95
1982-10-23,6198.58,,57.75,36.99,53722.61
1982-10-24,6198.59,,57.59,36.52,53746.95
1982-10-25,6198.61,,49.96,42.26,53797.05
1982-10-26,6198.61,,45.17,31.33,53797.05
1982-10-27,6198.63,,35.34,24.10,53847.09
1982-10-28,6198.62,,42.89,18.91,53822.66
1982-10-29,6198.69,,41.47,34.63,53997.61
1982-10-30,6198.71,,41.63,34.32,54047.90
1982-10-31,6198.74,,41.79,27.72,54123.98
1982-11-01,6198.77,,38.80,21.58,54198.98
1982-11-02,6198.78,,,,54249.48
1982-11-03,6198.81,,45.25,19.30,54299.97
1982-11-04,6198.81,,55.08,23.23,54299.97
1982-11-05,6198.82,,52.01,25.83,54324.62
1982-11-06,6198.83,,47.29,27.95,54350.53
1982-11-07,6198.84,,37.39,26.30,54375.21
1982-11-08,6198.83,,39.27,25.36,54350.53
1982-11-09,6198.83,,35.97,26.54,54350.53
1982-11-10,6198.86,,36.29,24.57,54425.84
1982-11-11,6198.85,,32.59,17.89,54401.09
1982-11-12,6198.84,,35.42,13.88,54375.21
1982-11-13,6198.83,,31.80,13.41,54350.53
1982-11-14,6198.87,,36.91,9.55,54451.75
1982-11-15,6198.84,,44.46,14.11,54375.21
1982-11-16,6198.88,,47.61,17.02,54476.48
1982-11-17,6198.89,,38.80,33.77,54502.46
1982-11-18,6198.93,,38.80,29.76,54603.96
1982-11-19,6198.97,,31.73,23.23,54705.65
1982-11-20,6198.95,,28.66,16.71,54654.81
1982-11-21,6198.96,,30.39,8.77,54679.63
1982-11-22,6198.95,,25.44,6.33,54654.81
1982-11-23,6198.95,,27.87,-0.51,54654.81
1982-11-24,6198.95,,24.33,-2.71,54654.81
1982-11-25,6198.96,,29.13,4.05,54679.63
1982-11-26,6198.96,,35.97,0.67,54679.63
1982-11-27,6198.99,,34.01,15.69,54756.65
1982-11-28,6199.00,,37.46,26.06,54781.46
1982-11-29,6199.09,,36.44,23.71,55010.77
1982-11-30,6199.13,,34.08,24.96,55113.21
1982-12-01,6199.15,,26.54,24.49,55164.59
1982-12-02,6199.16,,27.32,22.76,55190.85
1982-12-03,6199.16,,36.05,25.12,55190.85
1982-12-04,6199.18,,39.51,24.02,55242.19
1982-12-05,6199.18,,29.45,13.09,55242.19
1982-12-06,6199.24,,39.27,21.98,55396.66
1982-12-07,6199.23,,21.98,18.99,55370.25
1982-12-08,6199.21,,25.75,4.99,55318.74
1982-12-09,6199.23,,34.79,1.93,55370.25
1982-12-10,6199.26,,24.96,5.07,55446.98
1982-12-11,6199.27,,20.48,1.46,55473.42
1982-12-12,6199.27,,27.48,6.25,55473.42
1982-12-13,6199.34,,28.82,13.64,55653.75
1982-12-14,6199.33,,30.23,9.71,55628.43
1982-12-15,6199.41,,42.73,27.32,55835.93
1982-12-16,6199.40,,48.16,31.73,55809.37
1982-12-17,6199.42,,46.35,25.51,55861.29
1982-12-18,6199.39,,28.82,11.60,55783.99
1982-12-19,6199.43,,38.64,9.87,55887.93
1982-12-20,6199.42,,38.01,7.20,55861.29
1982-12-21,6199.48,,42.81,33.30,56017.49
1982-12-22,6199.54,,35.81,26.14,56174.02
1982-12-23,6199.54,,36.68,16.94,56174.02
1982-12-24,6199.54,,19.70,6.88,56174.02
1982-12-25,6199.52,,9.95,-12.93,56121.81
1982-12-26,6199.55,,24.73,-1.53,56199.58
1982-12-27,6199.57,,25.51,-9.24,56251.86
1982-12-28,6199.56,,3.74,-19.85,56226.39
1982-12-29,6199.59,,14.35,-7.98,56304.24
1982-12-30,6199.57,,12.54,-6.88,56251.86
1982-12-31,6199.57,,7.98,-11.52,56251.86
1983-01-01,6199.57,,9.48,-12.07,56251.86
1983-01-02,6199.61,,16.24,-13.95,56356.62
1983-01-03,6199.63,,35.89,11.36,56409.16
1983-01-04,6199.63,,41.32,29.60,56409.16
1983-01-05,6199.68,,49.81,31.49,56541.16
1983-01-06,6199.71,,48.00,34.16,56619.51
1983-01-07,6199.70,,41.47,27.56,56593.82
1983-01-08,6199.73,,46.35,25.51,56672.24
1983-01-09,6199.74,,32.83,19.22,56699.27
1983-01-10,6199.76,,43.52,15.29,56750.77
1983-01-11,6199.76,,26.54,5.07,56750.77
1983-01-12,6199.78,,30.94,-0.67,56803.56
1983-01-13,6199.76,,27.32,1.77,56750.77
1983-01-14,6199.78,,23.31,-0.12,56803.56
1983-01-15,6199.80,,27.48,5.62,56856.46
1983-01-16,6199.82,,33.14,15.84,56909.35
1983-01-17,6199.82,,34.71,28.58,56909.35
1983-01-18,6199.85,,32.20,24.73,56989.51
1983-01-19,6199.91,,31.10,26.22,57148.82
1983-01-20,6199.90,,28.66,5.86,57121.57
1983-01-21,6199.92,,20.33,5.70,57174.82
1983-01-22,6199.98,,31.25,9.32,57334.59
1983-01-23,6200.00,,36.29,16.63,57387.98
1983-01-24,6200.00,,34.24,25.12,57387.98
1983-01-25,6200.03,,29.84,11.60,57464.81
1983-01-26,6200.04,,35.58,27.32,57491.23
1983-01-27,6200.03,,36.52,28.66,57464.81
1983-01-28,6200.07,,33.61,22.37,57568.16
1983-01-29,6200.11,,32.20,25.75,57671.79
1983-01-30,6200.09,,28.11,-9.86,57619.95
1983-01-31,6200.07,,7.67,-17.02,57568.16
1983-02-01,6200.07,,16.94,-13.56,57568.16
1983-02-02,6200.11,,24.02,-8.53,57671.79
1983-02-03,6200.09,,10.03,-19.85,57619.95
1983-02-04,6200.09,,3.81,-27.63,57619.95
1983-02-05,6200.09,,4.76,-27.63,57619.95
1983-02-06,6200.14,,26.93,-17.57,57750.22
1983-02-07,6200.27,,33.06,18.44,58087.99
1983-02-08,6200.31,,36.99,22.92,58192.56
1983-02-09,6200.31,,35.03,27.72,58192.56
1983-02-10,6200.36,,35.18,18.91,58322.84
1983-02-11,6200.36,,33.45,10.81,58322.84
1983-02-12,6200.38,,41.63,31.10,58375.27
1983-02-13,6200.43,,36.68,29.05,58507.24
1983-02-14,6200.44,,30.55,11.21,58532.86
1983-02-15,6200.47,,28.66,10.50,58612.51
1983-02-16,6200.47,,37.86,16.32,58612.51
1983-02-17,6200.50,,43.36,15.45,58690.99
1983-02-18,6200.52,,43.28,27.64,58743.74
1983-02-19,6200.49,,32.98,9.87,58665.19
1983-02-20,6200.50,,28.97,-2.71,58690.99
1983-02-21,6200.55,,32.83,16.32,58822.34
1983-02-22,6200.57,,36.13,17.42,58875.26
1983-02-23,6200.54,,42.42,5.54,58796.59
1983-02-24,6200.59,,44.30,18.52,58928.23
1983-02-25,6200.59,,37.39,15.06,58928.23
1983-02-26,6200.60,,35.58,18.05,58955.32
1983-02-27,6200.62,,36.52,11.52,59008.37
1983-02-28,6200.61,,37.23,28.82,58981.19
1983-03-01,6200.58,,42.42,34.40,58902.33
1983-03-02,6200.58,,41.24,32.98,58902.33
1983-03-03,6200.58,,39.59,31.80,58902.33
1983-03-04,6200.58,,39.43,30.07,58902.33
1983-03-05,6200.60,,38.33,25.51,58955.32
1983-03-06,6200.60,,37.62,15.84,58955.32
1983-03-07,6200.63,,41.32,31.96,59034.26
1983-03-08,6200.63,,40.61,26.30,59034.26
1983-03-09,6200.64,,45.01,22.92,59061.40
1983-03-10,6200.68,,44.46,27.72,59167.73
1983-03-11,6200.75,,42.50,30.15,59353.49
1983-03-12,6200.75,,44.07,18.60,59353.49
1983-03-13,6200.75,,45.96,29.29,59353.49
1983-03-14,6201.02,,36.84,25.91,60077.48
1983-03-15,6201.15,,31.88,12.93,60428.86
1983-03-16,6201.35,,34.71,3.89,60974.52
1983-03-17,6201.45,,34.95,21.35,61249.20
1983-03-18,6201.47,,34.95,21.98,61304.25
1983-03-19,6201.55,,29.52,12.31,61523.70
1983-03-20,6201.66,,33.93,1.30,61829.33
1983-03-21,6201.67,,39.27,15.61,61856.40
1983-03-22,6201.81,,38.33,25.36,62246.85
1983-03-23,6201.84,,33.61,23.86,62330.19
1983-03-24,6201.90,,35.34,25.67,62498.52
1983-03-25,6201.95,,33.69,23.63,62639.76
1983-03-26,6201.98,,36.13,23.23,62723.63
1983-03-27,6202.03,,34.63,19.15,62861.78
1983-03-28,6202.04,,34.87,13.72,62889.96
1983-03-29,6202.11,,42.26,17.81,63082.06
1983-03-30,6202.16,,49.34,39.90,63220.82
1983-03-31,6202.32,,39.67,28.66,63663.34
1983-04-01,6202.46,,40.45,15.45,64054.26
1983-04-02,6202.60,,39.82,22.45,64447.64
1983-04-03,6202.69,,26.77,20.33,64701.05
1983-04-04,6202.74,,29.52,20.80,64843.31
1983-04-05,6202.81,,31.33,15.06,65041.50
1983-04-06,6202.89,,35.97,5.47,65269.42
1983-04-07,6202.95,,42.26,6.02,65440.82
1983-04-08,6203.01,,45.64,19.22,65611.42
1983-04-09,6203.15,,46.66,22.76,66014.30
1983-04-10,6203.18,,39.98,27.32,66101.68
1983-04-11,6203.31,,34.63,24.10,66477.83
1983-04-12,6203.40,,33.06,16.63,66739.16
1983-04-13,6203.49,,35.89,23.23,67003.05
1983-04-14,6203.54,,36.91,14.04,67149.03
1983-04-15,6203.67,,41.55,11.91,67531.14
1983-04-16,6203.85,,45.40,14.82,68064.82
1983-04-17,6204.07,,51.77,17.81,68715.60
1983-04-18,6204.43,,49.81,32.98,69776.02
1983-04-19,6204.69,,48.08,28.34,70550.59
1983-04-20,6204.98,,50.52,33.45,71425.66
1983-04-21,6205.68,,47.06,33.06,73582.98
1983-04-22,6206.23,,52.24,34.08,75307.77
1983-04-23,6206.92,,57.51,36.44,77502.63
1983-04-24,6207.34,,40.53,29.05,78869.80
1983-04-25,6207.40,,32.51,21.43,79067.34
1983-04-26,6207.22,,42.10,15.29,78477.92
1983-04-27,6207.08,,48.39,25.12,78021.38
1983-04-28,6207.00,,48.55,33.53,77761.60
1983-04-29,6206.98,,43.36,33.85,77696.74
1983-04-30,6206.95,,42.02,33.38,77600.48
1983-05-01,6206.93,,45.64,32.67,77535.75
1983-05-02,6206.92,,46.90,35.97,77502.63
1983-05-03,6206.93,,52.72,34.32,77535.75
1983-05-04,6206.92,,57.51,29.13,77502.63
1983-05-05,6206.94,,41.47,32.67,77567.33
1983-05-06,6206.87,,45.25,32.59,77342.18
1983-05-07,6206.78,,56.49,30.07,77051.82
1983-05-08,6206.69,,49.26,27.24,76764.02
1983-05-09,6206.62,,33.45,23.16,76541.13
1983-05-10,6206.53,,38.80,21.27,76253.78
1983-05-11,6206.43,,33.69,27.24,75938.24
1983-05-12,6206.34,,42.73,28.19,75653.08
1983-05-13,6206.24,,45.48,23.94,75339.95
1983-05-14,6206.16,,51.30,25.91,75089.12
1983-05-15,6206.12,,44.07,31.10,74964.05
1983-05-16,6206.08,,37.46,28.58,74839.18
1983-05-17,6206.04,,52.32,32.35,74714.52
1983-05-18,6205.89,,48.31,35.81,74242.55
1983-05-19,6205.80,,54.52,33.61,73958.11
1983-05-20,6205.71,,61.60,38.64,73676.23
1983-05-21,6205.65,,62.15,35.97,73488.45
1983-05-22,6205.60,,66.63,33.14,73333.03
1983-05-23,6205.57,,74.57,35.81,73238.75
1983-05-24,6205.54,,74.65,41.40,73146.12
1983-05-25,6205.52,,77.32,42.26,73083.85
1983-05-26,6205.50,,78.35,42.81,73021.71
1983-05-27,6205.47,,77.40,46.11,72929.36
1983-05-28,6205.44,,80.94,45.96,72835.59
1983-05-29,6205.39,,76.22,47.84,72681.63
1983-05-30,6205.38,,73.63,42.57,72649.95
1983-05-31,6205.40,,60.19,44.54,72711.78
1983-06-01,6205.48,,51.07,42.81,72959.62
1983-06-02,6205.52,,60.34,45.48,73083.85
1983-06-03,6205.51,,61.29,41.16,73052.01
1983-06-04,6205.55,,59.95,44.62,73176.47
1983-06-05,6205.54,,64.04,35.11,73146.12
1983-06-06,6205.49,,66.40,37.46,72991.42
1983-06-07,6205.50,,69.07,39.59,73021.71
1983-06-08,6205.55,,64.51,44.54,73176.47
1983-06-09,6205.60,,68.36,44.62,73333.03
1983-06-10,6205.62,,72.29,43.36,73395.51
1983-06-11,6205.61,,50.59,39.51,73363.53
1983-06-12,6205.62,,51.38,36.29,73395.51
1983-06-13,6205.62,,62.23,30.62,73395.51
1983-06-14,6205.62,,70.64,35.66,73395.51
1983-06-15,6205.61,,67.50,50.99,73363.53
1983-06-16,6205.58,,67.42,36.76,73270.67
1983-06-17,6205.54,,79.76,44.07,73146.12
1983-06-18,6205.51,,62.70,41.55,73052.01
1983-06-19,6205.48,,61.05,32.59,72959.62
