date,af,fb,qd,qu,mm,mn,mx,pc,pp
1982-02-26,116220.00,,261.00,983.98,,,,,
1982-02-27,117502.00,,260.00,906.34,,,,,
1982-02-28,118738.00,,261.00,884.15,,,,,
1982-03-01,119665.00,,262.00,729.36,,,,,
1982-03-02,120717.00,,263.00,793.38,,,,,
1982-03-03,121557.00,,264.00,687.50,,,,,
1982-03-04,122303.00,,263.00,639.11,,,,,
1982-03-05,123174.00,,261.00,700.13,,,,,
1982-03-06,123923.00,,258.00,635.62,,,,,
1982-03-07,124517.00,,262.00,561.48,,,,,
1982-03-08,125826.00,,260.00,919.95,,,,,
1982-03-09,127558.00,,268.00,1141.22,,,,,
1982-03-10,129574.00,,261.00,1277.40,,,,,
1982-03-11,132204.00,,265.00,1590.96,,,,,
1982-03-12,133942.00,,286.00,1162.24,,,,,
1982-03-13,135907.00,,289.00,1279.69,,,,,
1982-03-14,136965.00,,293.00,826.41,,,,,
1982-03-15,138023.00,,285.00,818.41,,,,,
1982-03-16,139081.00,,280.00,813.41,,,,,
1982-03-17,140139.00,,281.00,814.41,,,,,
1982-03-18,140920.00,,282.00,675.75,,,,,
1982-03-19,141635.00,,282.00,642.48,,,,,
1982-03-20,142285.00,,284.00,611.71,,,,,
1982-03-21,142856.00,,285.00,572.88,,,,,
1982-03-22,143034.00,,286.00,375.74,,,,,
1982-03-23,143590.00,,289.00,569.32,,,,,
1982-03-24,144023.00,,292.00,510.30,,,,,
1982-03-25,144603.00,,290.00,582.42,,,,,
1982-03-26,145290.00,,286.00,632.36,,,,,
1982-03-27,145944.00,,288.00,617.73,,,,,
1982-03-28,146733.00,,291.00,688.79,,,,,
1982-03-29,147391.00,,292.00,623.74,,,,,
1982-03-30,147922.00,,293.00,560.71,,,,,
1982-03-31,148510.00,,292.00,588.45,,,,,
1982-04-01,148806.00,,294.00,443.23,,,,,
1982-04-02,149300.00,,295.00,544.06,,,,,
1982-04-03,149829.00,,295.00,561.70,,,,,
1982-04-04,149945.00,,293.00,351.48,,,,,
1982-04-05,150226.00,,297.00,438.67,,,,,
1982-04-06,150425.00,,297.00,397.33,,,,,
1982-04-07,150524.00,,297.00,346.91,,,,,
1982-04-08,150698.00,,293.00,380.73,,,,,
1982-04-09,151153.00,,294.00,523.40,,,,,
1982-04-10,151393.00,,295.00,416.00,,,,,
1982-04-11,151914.00,,297.00,559.67,,,,,
1982-04-12,153173.00,,263.00,897.75,,,,,
1982-04-13,154954.00,,170.00,1067.92,,,,,
1982-04-14,156504.00,,117.00,898.46,,,,,
1982-04-15,158110.00,,90.00,899.69,,,,,
1982-04-16,159591.00,,53.00,799.67,,,,,
1982-04-17,161015.00,,78.00,795.93,,,,,
1982-04-18,161965.00,,80.00,558.96,,,,,
1982-04-19,163323.00,,80.00,764.66,,,,,
1982-04-20,164202.00,,92.00,535.16,,,,,
1982-04-21,165267.00,,104.00,640.94,,,,,
1982-04-22,166387.00,,105.00,669.67,,,,,
1982-04-23,168040.00,,102.00,935.39,,,,,
1982-04-24,169826.00,,100.00,1000.44,,,,,
1982-04-25,171964.00,,100.00,1177.91,,,,,
1982-04-26,174145.00,,100.00,1199.59,,,,,
1982-04-27,176504.00,,100.00,1289.33,,,,,
1982-04-28,179471.00,,101.00,1596.86,,,,,
1982-04-29,181995.00,,101.00,1373.52,,,,,
1982-04-30,184390.00,,103.00,1310.48,,,,,
1982-05-01,186946.00,,103.00,1391.65,,,,,
1982-05-02,189727.00,,103.00,1505.09,,,,,
1982-05-03,192508.00,,103.00,1505.09,,,,,
1982-05-04,195167.00,,105.00,1445.58,,,,,
1982-05-05,197114.00,,104.00,1085.61,,,,,
1982-05-06,199280.00,,105.00,1197.03,,,,,
1982-05-07,202508.00,,105.00,1732.45,,,,,
1982-05-08,205405.00,,105.00,1565.57,,,,,
1982-05-09,208322.00,,105.00,1575.66,,,,,
1982-05-10,211781.00,,105.00,1848.91,,,,,
1982-05-11,215330.00,,106.00,1895.29,,,,,
1982-05-12,219576.00,,107.00,2247.69,,,,,
1982-05-13,223765.00,,108.00,2219.96,,,,,
1982-05-14,227754.00,,108.00,2119.12,,,,,
1982-05-15,232799.00,,108.00,2651.52,,,,,
1982-05-16,238251.00,,111.00,2859.72,,,,,
1982-05-17,244432.00,,111.00,3227.26,,,,,
1982-05-18,249765.00,,111.00,2799.72,,,,,
1982-05-19,254634.00,,113.00,2567.79,,,,,
1982-05-20,258774.00,,104.00,2191.25,,,,,
1982-05-21,264254.00,,102.00,2864.83,,,,,
1982-05-22,271577.00,,108.00,3800.01,,,,,
1982-05-23,278037.00,,108.00,3364.92,,,,,
1982-05-24,285162.00,,112.00,3704.19,,,,,
1982-05-25,293617.00,,117.00,4379.73,,,,,
1982-05-26,301785.00,,108.00,4226.04,,,,,
1982-05-27,307565.00,,103.00,3017.08,,,,,
1982-05-28,312210.00,,103.00,2444.86,,,,,
1982-05-29,316879.00,,104.00,2457.96,,,,,
1982-05-30,320640.00,,104.00,2000.17,,,,,
1982-05-31,326461.00,,104.00,3038.76,,,,,
1982-06-01,332103.00,,103.00,2947.51,,,,,
1982-06-02,338128.00,,105.00,3142.61,,,,,
1982-06-03,343540.00,,105.00,2833.55,,,,,
1982-06-04,348641.00,,105.00,2676.76,,,,,
1982-06-05,352675.00,,105.00,2138.81,,,,,
1982-06-06,357166.00,,105.00,2369.21,,,,,
1982-06-07,361192.00,,105.00,2134.78,,,,,
1982-06-08,365322.00,,105.00,2187.21,,,,,
1982-06-09,369649.00,,107.00,2288.53,,,,,
1982-06-10,377186.00,,106.00,3905.91,,,,,
1982-06-11,385618.00,,95.00,4346.14,,,,,
1982-06-12,393640.00,,104.00,4148.43,,,,,
1982-06-13,401175.00,,105.00,3903.90,,,,,
1982-06-14,409603.00,,110.00,4359.12,,,,,
1982-06-15,417446.00,,305.00,4259.18,,,,,
1982-06-16,423266.00,,864.00,3798.25,,,,,
1982-06-17,427982.00,,1824.00,4201.65,,,,,
1982-06-18,430808.00,,3824.00,5248.78,,,,,
1982-06-19,429371.00,,4766.00,4041.51,,,,,
1982-06-20,429228.00,,4659.00,4586.90,,,,,
1982-06-21,428557.00,,4475.00,4136.70,,,,,
1982-06-22,428557.00,,3896.00,3896.00,,,,,
1982-06-23,428317.00,,3621.00,3500.00,,,,,
1982-06-24,428317.00,,3028.00,3028.00,,,,,
1982-06-25,430234.00,,2373.00,3339.49,,,,,
1982-06-26,432534.00,,2107.00,3266.58,,,,,
1982-06-27,434165.00,,2110.00,2932.30,,,,,
1982-06-28,434550.00,,2282.00,2476.10,,,,,
1982-06-29,433925.00,,2407.00,2091.90,,,,,
1982-06-30,432678.00,,2407.00,1778.30,,,,,
1982-07-01,432581.00,,2129.00,2080.10,,,,,
1982-07-02,432725.00,,1935.00,2007.60,,,,,
1982-07-03,432774.00,,1946.00,1970.70,,,,,
1982-07-04,432390.00,,1968.00,1774.40,,,,,
1982-07-05,431670.00,,1967.00,1604.00,,,,,
1982-07-06,430569.00,,1842.00,1286.91,,,,,
1982-07-07,429802.00,,1754.00,1367.30,,,,,
1982-07-08,429228.00,,1757.00,1467.61,,,,,
1982-07-09,428317.00,,1824.00,1364.70,,,,,
1982-07-10,426741.00,,2163.00,1368.43,,,,,
1982-07-11,424646.00,,2376.00,1319.77,,,,,
1982-07-12,422600.00,,2381.00,1349.47,,,,,
1982-07-13,420566.00,,2494.00,1468.52,,,,,
1982-07-14,418768.00,,2556.00,1649.51,,,,,
1982-07-15,416786.00,,2562.00,1562.74,,,,,
1982-07-16,414007.00,,2565.00,1163.92,,,,,
1982-07-17,411054.00,,2680.00,1191.19,,,,,
1982-07-18,408101.00,,2786.00,1297.19,,,,,
1982-07-19,404694.00,,2905.00,1187.30,,,,,
1982-07-20,402195.00,,2361.00,1101.09,,,,,
1982-07-21,398071.00,,3160.00,1080.82,,,,,
1982-07-22,393961.00,,3151.00,1078.87,,,,,
1982-07-23,389731.00,,3142.00,1009.37,,,,,
1982-07-24,385445.00,,3128.00,967.14,,,,,
1982-07-25,381123.00,,3111.00,931.99,,,,,
1982-07-26,376776.00,,3097.00,905.39,,,,,
1982-07-27,372663.00,,3083.00,1009.36,,,,,
1982-07-28,368982.00,,3067.00,1211.16,,,,,
1982-07-29,364665.00,,3057.00,880.51,,,,,
1982-07-30,360217.00,,3046.00,803.47,,,,,
1982-07-31,355932.00,,3031.00,870.64,,,,,
1982-08-01,351445.00,,3016.00,753.80,,,,,
1982-08-02,347009.00,,3003.00,766.52,,,,,
1982-08-03,342802.00,,2991.00,869.97,,,,,
1982-08-04,337960.00,,2975.00,533.82,,,,,
1982-08-05,332919.00,,3061.00,519.49,,,,,
1982-08-06,327781.00,,3115.00,524.59,,,,,
1982-08-07,322566.00,,3098.00,468.77,,,,,
1982-08-08,317554.00,,3075.00,548.12,,,,,
1982-08-09,312618.00,,3111.00,622.43,,,,,
1982-08-10,307482.00,,3456.00,866.60,,,,,
1982-08-11,302446.00,,3343.00,804.02,,,,,
1982-08-12,297410.00,,3052.00,513.02,,,,,
1982-08-13,292375.00,,2917.00,378.52,,,,,
1982-08-14,287339.00,,2901.00,362.02,,,,,
1982-08-15,282303.00,,2884.00,345.02,,,,,
1982-08-16,277345.00,,2859.00,359.34,,,,,
1982-08-17,272541.00,,2929.00,506.98,,,,,
1982-08-18,267106.00,,3105.00,364.85,,,,,
1982-08-19,261863.00,,3006.00,362.65,,,,,
1982-08-20,256998.00,,2921.00,468.23,,,,,
1982-08-21,252240.00,,2862.00,463.17,,,,,
1982-08-22,247483.00,,2840.00,441.68,,,,,
1982-08-23,242725.00,,2923.00,524.17,,,,,
1982-08-24,237563.00,,2979.00,376.49,,,,,
1982-08-25,232191.00,,3096.00,387.62,,,,,
1982-08-26,226811.00,,3209.00,496.58,,,,,
1982-08-27,221520.00,,3023.00,355.45,,,,,
1982-08-28,216181.00,,3046.00,354.25,,,,,
1982-08-29,210898.00,,3007.00,343.49,,,,,
1982-08-30,205864.00,,2875.00,337.02,,,,,
1982-08-31,201017.00,,2684.00,240.30,,,,,
1982-09-01,196391.00,,2582.00,249.72,,,,,
1982-09-02,191934.00,,2590.00,342.93,,,,,
1982-09-03,187223.00,,2628.00,252.87,,,,,
1982-09-04,182452.00,,2689.00,283.62,,,,,
1982-09-05,177865.00,,2648.00,335.39,,,,,
1982-09-06,173442.00,,2480.00,250.07,,,,,
1982-09-07,169206.00,,2322.00,186.35,,,,,
1982-09-08,166528.00,,1561.00,210.84,,,,,
1982-09-09,166394.00,,371.00,303.44,,,,,
1982-09-10,166353.00,,389.00,368.33,,,,,
1982-09-11,166312.00,,384.00,363.33,,,,,
1982-09-12,166271.00,,383.00,362.33,,,,,
1982-09-13,166230.00,,384.00,363.33,,,,,
1982-09-14,166188.00,,382.00,360.82,,,,,
1982-09-15,166222.00,,296.00,313.14,,,,,
1982-09-16,166257.00,,223.00,240.65,,,,,
1982-09-17,166291.00,,238.00,255.14,,,,,
1982-09-18,166291.00,,255.00,255.00,,,,,
1982-09-19,166420.00,,255.00,320.04,,,,,
1982-09-20,166735.00,,254.00,412.81,,,,,
1982-09-21,166805.00,,251.00,286.29,,,,,
1982-09-22,166771.00,,251.00,233.86,,,,,
1982-09-23,166673.00,,251.00,201.59,,,,,
1982-09-24,166600.00,,251.00,214.20,,,,,
1982-09-25,166600.00,,251.00,251.00,,,,,
1982-09-26,166565.00,,251.00,233.35,,,,,
1982-09-27,166497.00,,250.00,215.72,,,,,
1982-09-28,166497.00,,251.00,251.00,,,,,
1982-09-29,166463.00,,247.00,229.86,,,,,
1982-09-30,166394.00,,249.00,214.21,,,,,
1982-10-01,165915.00,,244.00,3.00,,,,,
1982-10-02,165915.00,,244.00,244.00,,,,,
1982-10-03,165915.00,,244.00,244.00,,,,,
1982-10-04,165813.00,,244.00,192.57,,,,,
1982-10-05,165642.00,,244.00,157.79,,,,,
1982-10-06,165506.00,,244.00,175.43,,,,,
1982-10-07,165403.00,,244.00,192.07,,,,,
1982-10-08,165438.00,,240.00,257.65,,,,,
1982-10-09,165506.00,,244.00,278.28,,,,,
1982-10-10,165779.00,,240.00,377.64,,,,,
1982-10-11,166052.00,,244.00,381.64,,,,,
1982-10-12,166325.00,,244.00,381.64,,,,,
1982-10-13,166600.00,,244.00,382.65,,,,,
1982-10-14,166840.00,,244.00,365.00,,,,,
1982-10-15,166874.00,,244.00,261.14,,,,,
1982-10-16,167029.00,,244.00,322.15,,,,,
1982-10-17,167663.00,,244.00,563.64,,,,,
1982-10-18,167826.00,,244.00,326.18,,,,,
1982-10-19,168040.00,,244.00,351.89,,,,,
1982-10-20,168178.00,,244.00,313.58,,,,,
1982-10-21,168383.00,,198.00,301.35,,,,,
1982-10-22,169104.00,,132.00,495.50,,,,,
1982-10-23,170136.00,,205.00,725.30,,,,,
1982-10-24,171102.00,,261.00,748.03,,,,,
1982-10-25,172137.00,,189.00,710.81,,,,,
1982-10-26,173138.00,,198.00,702.67,,,,,
1982-10-27,173858.00,,153.00,516.00,,,,,
1982-10-28,174908.00,,183.00,712.38,,,,,
1982-10-29,175620.00,,202.00,560.97,,,,,
1982-10-30,176435.00,,202.00,612.90,,,,,
1982-10-31,177202.00,,202.00,588.70,,,,,
1982-11-01,177814.00,,200.00,508.55,,,,,
1982-11-02,178459.00,,202.00,527.19,,,,,
1982-11-03,178995.00,,146.00,416.23,,,,,
1982-11-04,179741.00,,106.00,482.11,,,,,
1982-11-05,180837.00,,107.00,659.57,,,,,
1982-11-06,181644.00,,108.00,514.86,,,,,
1982-11-07,182206.00,,107.00,390.34,,,,,
1982-11-08,182750.00,,105.00,379.27,,,,,
1982-11-09,183399.00,,105.00,432.20,,,,,
1982-11-10,183965.00,,105.00,390.36,,,,,
1982-11-11,184248.00,,105.00,247.68,,,,,
1982-11-12,184602.00,,105.00,283.48,,,,,
1982-11-13,184833.00,,103.00,219.46,,,,,
1982-11-14,185393.00,,105.00,387.33,,,,,
1982-11-15,185887.00,,105.00,354.06,,,,,
1982-11-16,186549.00,,105.00,438.76,,,,,
1982-11-17,186798.00,,105.00,230.54,,,,,
1982-11-18,187330.00,,104.00,372.22,,,,,
1982-11-19,187864.00,,103.00,372.23,,,,,
1982-11-20,188327.00,,103.00,336.43,,,,,
1982-11-21,188611.00,,103.00,246.18,,,,,
1982-11-22,188932.00,,103.00,264.84,,,,,
1982-11-23,189033.00,,103.00,153.92,,,,,
1982-11-24,189170.00,,103.00,172.07,,,,,
1982-11-25,189537.00,,103.00,288.03,,,,,
1982-11-26,189608.00,,103.00,138.80,,,,,
1982-11-27,189876.00,,103.00,238.12,,,,,
1982-11-28,190391.00,,103.00,362.65,,,,,
1982-11-29,190513.00,,103.00,164.51,,,,,
1982-11-30,190660.00,,102.00,176.11,,,,,
1982-12-01,191108.00,,100.00,325.87,,,,,
1982-12-02,192141.00,,102.00,622.80,,,,,
1982-12-03,194736.00,,105.00,1413.31,,,,,
1982-12-04,202362.00,,109.00,3953.78,,,,,
1982-12-05,206267.00,,108.00,2076.77,,,,,
1982-12-06,208726.00,,106.00,1345.75,,,,,
1982-12-07,210566.00,,105.00,1032.67,,,,,
1982-12-08,212038.00,,107.00,849.13,,,,,
1982-12-09,213051.00,,108.00,618.72,,,,,
1982-12-10,214195.00,,108.00,684.77,,,,,
1982-12-11,215190.00,,106.00,607.65,,,,,
1982-12-12,215854.00,,107.00,441.77,,,,,
1982-12-13,216815.00,,105.00,589.50,,,,,
1982-12-14,217487.00,,106.00,444.80,,,,,
1982-12-15,218419.00,,103.00,572.88,,,,,
1982-12-16,219725.00,,106.00,764.44,,,,,
1982-12-17,220585.00,,106.00,539.58,,,,,
1982-12-18,220931.00,,103.00,277.44,,,,,
1982-12-19,221445.00,,103.00,362.14,,,,,
1982-12-20,222679.00,,107.00,729.14,,,,,
1982-12-21,223652.00,,106.00,596.55,,,,,
1982-12-22,224141.00,,105.00,351.54,,,,,
1982-12-23,224705.00,,104.00,388.35,,,,,
1982-12-24,224978.00,,103.00,240.64,,,,,
1982-12-25,225420.00,,104.00,326.84,,,,,
1982-12-26,226134.00,,104.00,463.98,,,,,
1982-12-27,226323.00,,103.00,198.29,,,,,
1982-12-28,226510.00,,104.00,198.28,,,,,
1982-12-29,226848.00,,104.00,274.41,,,,,
1982-12-30,227000.00,,103.00,179.63,,,,,
1982-12-31,227132.00,,103.00,169.55,,,,,
1983-01-01,227305.00,,103.00,190.22,,,,,
1983-01-02,227754.00,,103.00,329.37,,,,,
1983-01-03,228200.00,,103.00,327.86,,,,,
1983-01-04,229232.00,,103.00,623.30,,,,,
1983-01-05,231203.00,,106.00,1099.71,,,,,
1983-01-06,233826.00,,108.00,1430.43,,,,,
1983-01-07,237220.00,,110.00,1821.14,,,,,
1983-01-08,244083.00,,125.00,3585.10,,,,,
1983-01-09,248411.00,,120.00,2302.03,,,,,
1983-01-10,254555.00,,115.00,3212.60,,,,,
1983-01-11,258695.00,,95.00,2182.25,,,,,
1983-01-12,262339.00,,106.00,1943.18,,,,,
1983-01-13,264972.00,,118.00,1445.47,,,,,
1983-01-14,266849.00,,121.00,1067.32,,,,,
1983-01-15,268570.00,,121.00,988.67,,,,,
1983-01-16,270290.00,,121.00,988.17,,,,,
1983-01-17,271677.00,,120.00,819.28,,,,,
1983-01-18,273104.00,,120.00,839.45,,,,,
1983-01-19,274190.00,,120.00,667.53,,,,,
1983-01-20,274900.00,,119.00,476.96,,,,,
1983-01-21,275809.00,,119.00,577.29,,,,,
1983-01-22,276903.00,,119.00,670.56,,,,,
1983-01-23,277551.00,,117.00,443.70,,,,,
1983-01-24,278240.00,,118.00,465.37,,,,,
1983-01-25,279255.00,,118.00,629.73,,,,,
1983-01-26,280148.00,,120.00,570.22,,,,,
1983-01-27,281000.00,,119.00,548.55,,,,,
1983-01-28,281640.00,,121.00,443.67,,,,,
1983-01-29,282422.00,,120.00,514.26,,,,,
1983-01-30,283541.00,,120.00,684.16,,,,,
1983-01-31,284660.00,,120.00,684.16,,,,,
1983-02-01,285556.00,,120.00,571.73,,,,,
1983-02-02,285800.00,,120.00,243.02,,,,,
1983-02-03,286166.00,,120.00,304.53,,,,,
1983-02-04,286492.00,,120.00,284.36,,,,,
1983-02-05,286984.00,,120.00,368.05,,,,,
1983-02-06,287883.00,,122.00,575.25,,,,,
1983-02-07,288455.00,,119.00,407.38,,,,,
1983-02-08,288793.00,,121.00,291.41,,,,,
1983-02-09,289396.00,,120.00,424.01,,,,,
1983-02-10,289948.00,,118.00,396.30,,,,,
1983-02-11,290500.00,,119.00,397.30,,,,,
1983-02-12,290900.00,,120.00,321.67,,,,,
1983-02-13,291444.00,,119.00,393.27,,,,,
1983-02-14,291648.00,,119.00,221.85,,,,,
1983-02-15,292049.00,,121.00,323.17,,,,,
1983-02-16,293001.00,,120.00,599.97,,,,,
1983-02-17,294191.00,,122.00,721.96,,,,,
1983-02-18,295178.00,,125.00,622.61,,,,,
1983-02-19,296249.00,,123.00,662.96,,,,,
1983-02-20,297279.00,,124.00,643.29,,,,,
1983-02-21,298226.00,,125.00,602.45,,,,,
1983-02-22,299094.00,,127.00,564.62,,,,,
1983-02-23,300460.00,,127.00,815.69,,,,,
1983-02-24,302323.00,,127.00,1066.26,,,,,
1983-02-25,304442.00,,129.00,1197.33,,,,,
1983-02-26,306272.00,,128.00,1050.63,,,,,
1983-02-27,307941.00,,129.00,970.45,,,,,
1983-02-28,309613.00,,129.00,971.97,,,,,
1983-03-01,311160.00,,130.00,909.95,,,,,
1983-03-02,312177.00,,129.00,641.74,,,,,
1983-03-03,313301.00,,132.00,698.68,,,,,
1983-03-04,314394.00,,129.00,680.05,,,,,
1983-03-05,315528.00,,130.00,701.73,,,,,
1983-03-06,316794.00,,131.00,769.28,,,,,
1983-03-07,318198.00,,132.00,839.85,,,,,
1983-03-08,319961.00,,132.00,1020.85,,,,,
1983-03-09,323311.00,,132.00,1820.96,,,,,
1983-03-10,327228.00,,134.00,2108.82,,,,,
1983-03-11,331461.00,,135.00,2269.14,,,,,
1983-03-12,334208.00,,138.00,1522.95,,,,,
1983-03-13,337523.00,,139.00,1810.31,,,,,
1983-03-14,339252.00,,138.00,1009.70,,,,,
1983-03-15,341500.00,,139.00,1272.37,,,,,
1983-03-16,343323.00,,142.00,1061.10,,,,,
1983-03-17,344712.00,,142.00,842.29,,,,,
1983-03-18,345671.00,,141.00,624.50,,,,,
1983-03-19,347067.00,,138.00,841.82,,,,,
1983-03-20,348467.00,,135.00,840.83,,,,,
1983-03-21,349956.00,,144.00,894.70,,,,,
1983-03-22,351489.00,,132.00,904.89,,,,,
1983-03-23,352894.00,,123.00,831.35,,,,,
1983-03-24,354080.00,,125.00,722.94,,,,,
1983-03-25,355403.00,,123.00,790.01,,,,,
1983-03-26,356637.00,,125.00,747.14,,,,,
1983-03-27,357934.00,,125.00,778.90,,,,,
1983-03-28,359231.00,,126.00,779.90,,,,,
1983-03-29,360529.00,,128.00,782.41,,,,,
1983-03-30,361826.00,,128.00,781.90,,,,,
1983-03-31,363123.00,,126.00,779.90,,,,,
1983-04-01,364420.00,,130.00,783.90,,,,,
1983-04-02,365718.00,,129.00,783.41,,,,,
1983-04-03,367015.00,,129.00,782.90,,,,,
1983-04-04,368312.00,,129.00,782.90,,,,,
1983-04-05,369609.00,,130.00,783.90,,,,,
1983-04-06,370907.00,,130.00,784.41,,,,,
1983-04-07,372204.00,,129.00,782.90,,,,,
1983-04-08,373501.00,,130.00,783.90,,,,,
1983-04-09,374578.00,,133.00,675.99,,,,,
1983-04-10,375566.00,,134.00,632.12,,,,,
1983-04-11,376105.00,,371.00,642.75,,,,,
1983-04-12,376139.00,,537.00,554.14,,,,,
1983-04-13,376240.00,,539.00,589.92,,,,,
1983-04-14,376240.00,,547.00,547.00,,,,,
1983-04-15,376195.00,,549.00,526.31,,,,,
1983-04-16,376195.00,,550.00,550.00,,,,,
1983-04-17,376195.00,,553.00,553.00,,,,,
1983-04-18,376871.00,,555.00,895.82,,,,,
1983-04-19,378359.00,,557.00,1307.20,,,,,
1983-04-20,380343.00,,564.00,1564.27,,,,,
1983-04-21,383342.00,,711.00,2223.00,,,,,
1983-04-22,385801.00,,846.00,2085.75,,,,,
1983-04-23,387962.00,,854.00,1943.50,,,,,
1983-04-24,390420.00,,857.00,2096.24,,,,,
1983-04-25,391984.00,,861.00,1649.52,,,,,
1983-04-26,392811.00,,1050.00,1466.95,,,,,
1983-04-27,393041.00,,1238.00,1353.96,,,,,
1983-04-28,393179.00,,1241.00,1310.58,,,,,
1983-04-29,393226.00,,1374.00,1397.70,,,,,
1983-04-30,393179.00,,1554.00,1530.30,,,,,
1983-05-01,393410.00,,1557.00,1673.46,,,,,
1983-05-02,395807.00,,1565.00,2773.49,,,,,
1983-05-03,396315.00,,1567.00,1823.12,,,,,
1983-05-04,396638.00,,1924.00,2086.85,,,,,
1983-05-05,396638.00,,2224.00,2224.00,,,,,
1983-05-06,396638.00,,2222.00,2222.00,,,,,
1983-05-07,396592.00,,2223.00,2199.81,,,,,
1983-05-08,396130.00,,2219.00,1986.07,,,,,
1983-05-09,394975.00,,2214.00,1631.69,,,,,
1983-05-10,393087.00,,2208.00,1256.13,,,,,
1983-05-11,392443.00,,1797.00,1472.32,,,,,
1983-05-12,392352.00,,1463.00,1417.12,,,,,
1983-05-13,392352.00,,1380.00,1380.00,,,,,
1983-05-14,393455.00,,987.00,1543.10,,,,,
1983-05-15,394791.00,,985.00,1658.57,,,,,
1983-05-16,395946.00,,983.00,1565.31,,,,,
1983-05-17,396592.00,,982.00,1307.69,,,,,
1983-05-18,397701.00,,982.00,1541.12,,,,,
1983-05-19,398995.00,,984.00,1636.39,,,,,
1983-05-20,401639.00,,985.00,2318.02,,,,,
1983-05-21,406150.00,,985.00,3259.30,,,,,
1983-05-22,410960.00,,992.00,3417.04,,,,,
1983-05-23,413461.00,,994.00,2254.92,,,,,
1983-05-24,418343.00,,1290.00,3751.34,,,,,
1983-05-25,424932.00,,1510.00,4831.96,,,,,
1983-05-26,429132.00,,1516.00,3633.50,,,,,
1983-05-27,431181.00,,2382.00,3415.04,,,,,
1983-05-28,433302.00,,3120.00,4189.34,,,,,
1983-05-29,435462.00,,3856.00,4945.00,,,,,
1983-05-30,436086.00,,4863.00,5177.60,,,,,
1983-05-31,435846.00,,5111.00,4990.00,,,,,
1983-06-01,434213.00,,4489.00,3665.70,,,,,
1983-06-02,432486.00,,3984.00,3113.30,,,,,
1983-06-03,430760.00,,3620.00,2749.81,,,,,
1983-06-04,429467.00,,2971.00,2319.11,,,,,
1983-06-05,428509.00,,2943.00,2460.01,,,,,
1983-06-06,428222.00,,2293.00,2148.30,,,,,
1983-06-07,430246.00,,1235.00,2255.43,,,,,
1983-06-08,432869.00,,1226.00,2548.43,,,,,
