date,gain,id,qu,fb,qd,qt,qsd,af
1982-05-20,,,15538.36,2921.73,9900.00,,,15130.00
1982-05-21,,,15153.08,2921.85,9570.00,,,15230.00
1982-05-22,,,15184.69,2922.58,9400.00,,,16030.00
1982-05-23,,,15757.35,2923.50,9400.00,,,16930.00
1982-05-24,,,16146.05,2924.55,9400.00,,,18030.00
1982-05-25,,,17064.45,2926.29,9070.00,,,19930.00
1982-05-26,,,17687.45,2929.48,8320.00,,,23430.00
1982-05-27,,,19020.07,2933.50,7900.00,,,28030.00
1982-05-28,,,15500.25,2937.25,7900.00,,,32530.00
1982-05-29,,,13103.60,2940.75,7900.00,,,36830.00
1982-05-30,,,11014.35,2943.98,7900.00,,,41030.00
1982-05-31,,,9542.91,2946.97,7900.00,,,45030.00
1982-06-01,,,8431.36,2950.05,7900.00,,,49230.00
1982-06-02,,,9219.63,2952.75,7900.00,,,53030.00
1982-06-03,,,9321.78,2955.37,7900.00,,,56830.00
1982-06-04,,,9709.09,2957.90,7900.00,,,60530.00
1982-06-05,,,9541.74,2960.31,7900.00,,,64130.00
1982-06-06,,,8956.33,2962.63,7900.00,,,67730.00
1982-06-07,,,7669.75,2964.79,7900.00,,,71130.00
1982-06-08,,,7605.08,2966.85,7900.00,,,74330.00
1982-06-09,,,7538.54,2969.62,7230.00,,,78830.00
1982-06-10,,,7713.06,2973.20,6430.00,,,84730.00
1982-06-11,,,8606.67,2976.90,6200.00,,,91130.00
1982-06-12,,,10059.20,2981.24,5530.00,,,98730.00
1982-06-13,,,11858.53,2985.87,5200.00,,,107030.00
1982-06-14,,,11979.08,2990.02,5200.00,,,114830.00
1982-06-15,,,13502.58,2995.06,5070.00,,,124430.00
1982-06-16,,,14198.57,2999.81,4870.00,,,133830.00
1982-06-17,,,15172.87,3005.37,4800.00,,,145930.00
1982-06-18,,,14806.94,3011.83,4800.00,,,159030.00
1982-06-19,,,15140.30,3019.81,4800.00,,,176730.00
1982-06-20,,,14547.45,3027.67,4800.00,,,194930.00
1982-06-21,,,14126.18,3034.82,4800.00,,,212230.00
1982-06-22,,,13916.13,3040.26,5270.00,,,225630.00
1982-06-23,,,13933.97,3045.43,5500.00,,,239130.00
1982-06-24,,,13027.22,3049.60,7080.00,,,249830.00
1982-06-25,,,12668.76,3052.96,8000.00,,,258930.00
1982-06-26,,,11778.87,3055.36,8000.00,,,265430.00
1982-06-27,,,11934.57,3056.23,8620.00,,,267830.00
1982-06-28,,,12333.86,3056.98,9620.00,,,269730.00
1982-06-29,,,12137.45,3057.25,10250.00,,,270630.00
1982-06-30,,,10337.19,3057.20,10700.00,,,270430.00
1982-07-01,,,10278.31,3056.96,10500.00,,,269830.00
1982-07-02,,,9394.94,3057.08,9880.00,,,269930.00
1982-07-03,,,9317.16,3057.20,9150.00,,,270530.00
1982-07-04,,,8614.72,3057.21,9000.00,,,270530.00
1982-07-05,,,7508.04,3056.92,9000.00,,,269630.00
1982-07-06,,,6662.13,3056.14,9000.00,,,267430.00
1982-07-07,,,6321.50,3055.55,8380.00,,,265830.00
1982-07-08,,,6460.29,3055.17,8000.00,,,264830.00
1982-07-09,,,6097.93,3055.73,6360.00,,,266430.00
1982-07-10,,,5638.57,3056.27,5500.00,,,267830.00
1982-07-11,,,5517.13,3056.28,5500.00,,,267930.00
1982-07-12,,,5522.29,3055.51,5500.00,,,265730.00
1982-07-13,,,6045.43,3054.84,5500.00,,,263830.00
1982-07-14,,,6064.46,3055.18,5500.00,,,264830.00
1982-07-15,,,5545.58,3055.59,5500.00,,,266030.00
1982-07-16,,,4965.09,3055.55,5500.00,,,265930.00
1982-07-17,,,4291.55,3055.32,5180.00,,,265230.00
1982-07-18,,,4070.71,3055.00,5000.00,,,264330.00
1982-07-19,,,4115.05,3054.76,4810.00,,,263630.00
1982-07-20,,,3833.57,3054.45,4630.00,,,262830.00
1982-07-21,,,3827.36,3054.75,4600.00,,,263730.00
1982-07-22,,,3567.04,3054.92,4570.00,,,264130.00
1982-07-23,,,3552.74,3054.68,4550.00,,,263530.00
1982-07-24,,,3428.04,3054.84,4550.00,,,263930.00
1982-07-25,,,2798.89,3055.06,4550.00,,,264530.00
1982-07-26,,,2890.49,3054.94,4520.00,,,264130.00
1982-07-27,,,2946.42,3054.71,4500.00,,,263530.00
1982-07-28,,,2888.87,3054.91,4470.00,,,264030.00
1982-07-29,,,2860.62,3054.94,4450.00,,,264130.00
1982-07-30,,,2684.77,3055.01,4450.00,,,264430.00
1982-07-31,,,2605.83,3055.29,4450.00,,,265230.00
1982-08-01,,,2036.28,3055.54,4450.00,,,265830.00
1982-08-02,,,2246.44,3055.40,4450.00,,,265430.00
1982-08-03,,,1990.78,3055.01,4450.00,,,264330.00
1982-08-04,,,1957.17,3054.78,4420.00,,,263730.00
1982-08-05,,,1862.46,3054.63,4400.00,,,263330.00
1982-08-06,,,1968.79,3054.46,4400.00,,,262930.00
1982-08-07,,,1579.08,3054.55,4400.00,,,263130.00
1982-08-08,,,1696.93,3054.75,4400.00,,,263730.00
1982-08-09,,,1985.17,3054.95,4400.00,,,264330.00
1982-08-10,,,1494.70,3055.08,4400.00,,,264630.00
1982-08-11,,,1613.08,3055.18,4400.00,,,264930.00
1982-08-12,,,1613.91,3055.29,4400.00,,,265230.00
1982-08-13,,,1443.48,3055.36,4370.00,,,265330.00
1982-08-14,,,1474.81,3055.41,4350.00,,,265530.00
1982-08-15,,,1376.05,3055.43,4350.00,,,265530.00
1982-08-16,,,1503.39,3055.40,4350.00,,,265430.00
1982-08-17,,,1465.51,3055.34,4350.00,,,265330.00
1982-08-18,,,1308.59,3055.21,4320.00,,,265030.00
1982-08-19,,,1360.31,3055.10,4300.00,,,264630.00
1982-08-20,,,1318.81,3054.94,4270.00,,,264130.00
1982-08-21,,,1342.90,3054.76,4250.00,,,263730.00
1982-08-22,,,1188.55,3054.81,4250.00,,,263830.00
1982-08-23,,,1114.50,3055.00,4250.00,,,264430.00
1982-08-24,,,1227.32,3055.15,4250.00,,,264830.00
1982-08-25,,,1074.48,3055.20,4250.00,,,264930.00
1982-08-26,,,1824.62,3055.16,4250.00,,,264830.00
1982-08-27,,,64.39,3055.06,4220.00,,,264530.00
1982-08-28,,,1033.29,3054.88,4200.00,,,264030.00
1982-08-29,,,932.67,3054.65,4200.00,,,263330.00
1982-08-30,,,1052.78,3054.62,4100.00,,,263330.00
1982-08-31,,,961.00,3054.70,4050.00,,,263530.00
1982-09-01,,,870.12,3054.71,3940.00,,,263530.00
1982-09-02,,,936.50,3055.01,3850.00,,,264430.00
1982-09-03,,,1066.39,3055.61,3760.00,,,265930.00
1982-09-04,,,807.48,3055.76,3730.00,,,266430.00
1982-09-05,,,502.80,3055.53,3730.00,,,265830.00
1982-09-06,,,842.31,3055.40,3630.00,,,265430.00
1982-09-07,,,984.42,3053.81,3510.00,,,260930.00
1982-09-08,,,975.97,3051.37,3380.00,,,254330.00
1982-09-09,,,983.62,3048.92,3330.00,,,247830.00
1982-09-10,,,888.03,3046.48,3330.00,,,241230.00
1982-09-11,,,1005.53,3044.00,3300.00,,,234830.00
1982-09-12,,,996.70,3041.55,3250.00,,,228530.00
1982-09-13,,,1164.09,3039.13,3200.00,,,222430.00
1982-09-14,,,1069.58,3036.68,3180.00,,,216230.00
1982-09-15,,,1254.57,3034.30,3050.00,,,210430.00
1982-09-16,,,993.20,3032.02,2880.00,,,204830.00
1982-09-17,,,1162.42,3029.78,2830.00,,,199430.00
1982-09-18,,,1093.10,3027.50,2830.00,,,194030.00
1982-09-19,,,1386.43,3025.26,2830.00,,,188830.00
1982-09-20,,,1762.40,3023.17,2660.00,,,183930.00
1982-09-21,,,1300.99,3021.07,2580.00,,,179130.00
1982-09-22,,,1101.97,3018.93,2580.00,,,174230.00
1982-09-23,,,1075.92,3016.73,2580.00,,,169330.00
1982-09-24,,,1070.89,3014.53,2550.00,,,164530.00
1982-09-25,,,996.77,3012.38,2530.00,,,159730.00
1982-09-26,,,1400.96,3010.22,2510.00,,,155030.00
1982-09-27,,,1124.19,3008.00,2500.00,,,150330.00
1982-09-28,,,1160.95,3005.77,2500.00,,,145630.00
1982-09-29,,,1177.16,3003.53,2500.00,,,140930.00
1982-09-30,,,1519.34,3001.21,2500.00,,,136230.00
1982-10-01,,,1069.57,2998.89,2500.00,,,131600.00
1982-10-02,,,1172.63,2996.51,2500.00,,,126900.00
1982-10-03,,,1365.25,2994.11,2500.00,,,122100.00
1982-10-04,,,363.84,2991.66,2500.00,,,117400.00
1982-10-05,,,1628.39,2989.50,2500.00,,,113600.00
1982-10-06,,,696.38,2986.81,2500.00,,,108000.00
1982-10-07,,,1053.26,2984.06,2500.00,,,103400.00
1982-10-08,,,1171.26,2981.47,2500.00,,,98700.00
1982-10-09,,,1062.02,2978.82,2500.00,,,94000.00
1982-10-10,,,1081.40,2976.15,2500.00,,,89400.00
1982-10-11,,,1078.90,2973.45,2500.00,,,84800.00
1982-10-12,,,1123.52,2970.68,2500.00,,,80200.00
1982-10-13,,,1144.13,2967.80,2500.00,,,75600.00
1982-10-14,,,1036.85,2964.87,2500.00,,,70900.00
1982-10-15,,,1048.13,2962.44,2030.00,,,67200.00
1982-10-16,,,1062.29,2960.32,1800.00,,,63900.00
1982-10-17,,,827.03,2958.16,1800.00,,,60600.00
1982-10-18,,,1247.72,2957.52,600.00,,,59900.00
1982-10-19,,,1023.54,2957.72,62.00,,,60200.00
1982-10-20,,,977.99,2957.78,150.00,,,60200.00
1982-10-21,,,978.11,2957.71,150.00,,,60100.00
1982-10-22,,,1159.80,2957.68,150.00,,,60100.00
1982-10-23,,,1256.26,2957.66,150.00,,,60100.00
1982-10-24,,,1443.17,2957.67,150.00,,,60000.00
1982-10-25,,,1311.07,2957.64,150.00,,,60000.00
1982-10-26,,,1976.31,2957.73,150.00,,,60100.00
1982-10-27,,,1857.15,2957.88,123.00,,,60400.00
1982-10-28,,,1473.87,2957.97,110.00,,,60500.00
1982-10-29,,,1887.22,2958.21,110.00,,,60900.00
1982-10-30,,,1637.74,2958.38,110.00,,,61100.00
1982-10-31,,,1652.70,2958.54,110.00,,,61400.00
1982-11-01,,,1343.10,2958.62,110.00,,,61500.00
1982-11-02,,,1356.26,2958.73,110.00,,,61700.00
1982-11-03,,,1193.64,2958.77,110.00,,,61700.00
1982-11-04,,,1229.87,2958.82,110.00,,,61800.00
1982-11-05,,,1253.81,2958.88,110.00,,,61900.00
1982-11-06,,,1095.00,2958.91,110.00,,,61900.00
1982-11-07,,,1176.47,2958.95,110.00,,,62000.00
1982-11-08,,,1089.54,2958.97,110.00,,,62000.00
1982-11-09,,,1335.18,2958.93,174.00,,,62000.00
1982-11-10,,,1131.56,2961.74,150.00,,,66300.00
1982-11-11,,,1097.42,2968.23,150.00,,,76600.00
1982-11-12,,,919.15,2974.23,150.00,,,86400.00
1982-11-13,,,1021.68,2979.84,150.00,,,96100.00
1982-11-14,,,882.81,2985.17,150.00,,,105600.00
1982-11-15,,,758.13,2990.17,150.00,,,114900.00
1982-11-16,,,868.94,2994.80,150.00,,,123800.00
1982-11-17,,,1450.21,2999.24,150.00,,,132600.00
1982-11-18,,,1883.22,3003.50,150.00,,,141200.00
1982-11-19,,,1689.79,3007.63,150.00,,,149700.00
1982-11-20,,,1293.32,3011.48,150.00,,,158000.00
1982-11-21,,,1142.33,3015.12,150.00,,,166000.00
1982-11-22,,,1046.17,3017.97,888.00,,,172200.00
1982-11-23,,,693.54,3020.30,1200.00,,,177500.00
1982-11-24,,,703.19,3022.51,1200.00,,,182600.00
1982-11-25,,,757.35,3024.60,1200.00,,,187400.00
1982-11-26,,,894.51,3026.57,1200.00,,,192000.00
1982-11-27,,,927.31,3028.43,1200.00,,,196400.00
1982-11-28,,,1289.35,3030.26,1200.00,,,200800.00
1982-11-29,,,1606.54,3031.43,1200.00,,,203400.00
1982-11-30,,,1368.58,3031.80,1200.00,,,204500.00
1982-12-01,,,1214.99,3032.22,1200.00,,,205500.00
1982-12-02,,,1154.54,3032.63,1200.00,,,206500.00
1982-12-03,,,1253.48,3033.04,1200.00,,,207600.00
1982-12-04,,,1274.29,3033.49,1200.00,,,208600.00
1982-12-05,,,1309.97,3033.93,1200.00,,,209600.00
1982-12-06,,,1725.46,3034.46,1200.00,,,210800.00
1982-12-07,,,1563.66,3034.91,1200.00,,,212100.00
1982-12-08,,,1095.08,3035.34,1200.00,,,213200.00
1982-12-09,,,980.80,3035.52,1200.00,,,213500.00
1982-12-10,,,1114.01,3035.49,1200.00,,,213500.00
1982-12-11,,,1036.16,3035.50,1200.00,,,213500.00
1982-12-12,,,1099.31,3035.51,1200.00,,,213500.00
1982-12-13,,,1447.85,3035.56,1200.00,,,213700.00
1982-12-14,,,1258.61,3035.58,1200.00,,,213700.00
1982-12-15,,,1880.85,3035.72,1200.00,,,214100.00
1982-12-16,,,1213.06,3035.79,1200.00,,,214200.00
1982-12-17,,,1540.20,3035.84,1200.00,,,214400.00
1982-12-18,,,1359.08,3035.98,1200.00,,,214600.00
1982-12-19,,,1446.00,3036.04,1200.00,,,214900.00
1982-12-20,,,1448.89,3036.15,1200.00,,,215100.00
1982-12-21,,,2638.97,3036.42,1200.00,,,215900.00
1982-12-22,,,2878.68,3036.77,1400.00,,,216500.00
1982-12-23,,,2618.64,3036.91,1500.00,,,217000.00
1982-12-24,,,2034.03,3036.99,1500.00,,,217200.00
1982-12-25,,,1586.07,3036.98,1500.00,,,217200.00
1982-12-26,,,1608.83,3037.01,1500.00,,,217300.00
1982-12-27,,,1557.43,3036.77,1830.00,,,216600.00
1982-12-28,,,1128.10,3036.32,2000.00,,,215500.00
1982-12-29,,,1138.41,3035.83,2000.00,,,214300.00
1982-12-30,,,994.56,3035.35,2000.00,,,213200.00
1982-12-31,,,1102.44,3034.91,2000.00,,,212100.00
1983-01-01,,,1001.86,3034.43,2000.00,,,210900.00
1983-01-02,,,1037.62,3033.97,2000.00,,,209700.00
1983-01-03,,,1590.22,3033.54,2000.00,,,208700.00
1983-01-04,,,1793.03,3033.19,2000.00,,,207900.00
1983-01-05,,,1793.16,3032.85,2000.00,,,206900.00
1983-01-06,,,2459.43,3032.67,2330.00,,,206500.00
1983-01-07,,,3400.33,3032.93,2830.00,,,207200.00
1983-01-08,,,3315.57,3033.29,3000.00,,,208000.00
1983-01-09,,,2898.24,3033.52,3000.00,,,208600.00
1983-01-10,,,2464.59,3033.65,3000.00,,,208900.00
1983-01-11,,,2193.22,3033.69,3000.00,,,209000.00
1983-01-12,,,1968.53,3033.67,3000.00,,,209000.00
1983-01-13,,,1828.10,3033.59,3000.00,,,208800.00
1983-01-14,,,1813.03,3033.47,3000.00,,,208500.00
1983-01-15,,,1596.73,3033.29,3000.00,,,208100.00
1983-01-16,,,1650.76,3033.11,3000.00,,,207600.00
1983-01-17,,,1863.09,3032.90,3000.00,,,207100.00
1983-01-18,,,1821.99,3032.72,3000.00,,,206700.00
1983-01-19,,,1706.02,3032.46,3000.00,,,206000.00
1983-01-20,,,1649.11,3032.20,3330.00,,,205400.00
1983-01-21,,,1639.14,3031.88,3500.00,,,204600.00
1983-01-22,,,1659.26,3031.53,3500.00,,,203800.00
1983-01-23,,,1527.31,3031.16,3500.00,,,202900.00
1983-01-24,,,1548.96,3030.77,3500.00,,,202000.00
1983-01-25,,,1508.91,3030.37,3500.00,,,201000.00
1983-01-26,,,1447.14,3029.92,3500.00,,,199900.00
1983-01-27,,,1637.64,3029.39,3500.00,,,198600.00
1983-01-28,,,1686.63,3028.90,3500.00,,,197500.00
1983-01-29,,,1600.96,3028.38,3500.00,,,196200.00
1983-01-30,,,1603.29,3027.81,3500.00,,,194900.00
1983-01-31,,,1460.50,3027.18,3500.00,,,193400.00
1983-02-01,,,1348.70,3026.51,3500.00,,,191800.00
1983-02-02,,,1418.49,3025.85,3500.00,,,190300.00
1983-02-03,,,1184.03,3025.08,3500.00,,,188500.00
1983-02-04,,,1424.99,3024.35,3400.00,,,186800.00
1983-02-05,,,779.83,3023.70,3200.00,,,185300.00
1983-02-06,,,1241.48,3023.07,3200.00,,,183800.00
1983-02-07,,,1740.93,3022.68,2930.00,,,182900.00
1983-02-08,,,1561.91,3022.37,2800.00,,,182200.00
1983-02-09,,,1579.21,3022.03,2800.00,,,181400.00
1983-02-10,,,1620.71,3021.70,2800.00,,,180700.00
1983-02-11,,,1324.16,3021.29,2800.00,,,179700.00
1983-02-12,,,1585.33,3020.93,2800.00,,,178800.00
1983-02-13,,,2299.02,3020.59,2800.00,,,178100.00
1983-02-14,,,2056.11,3020.33,2800.00,,,177600.00
1983-02-15,,,1813.13,3020.06,2800.00,,,176800.00
1983-02-16,,,2034.25,3019.80,2800.00,,,176300.00
1983-02-17,,,1886.79,3019.54,2800.00,,,175600.00
1983-02-18,,,2131.26,3018.94,3130.00,,,174500.00
1983-02-19,,,2124.66,3018.31,3300.00,,,173000.00
1983-02-20,,,2008.69,3017.66,3300.00,,,171500.00
1983-02-21,,,2095.40,3017.03,3300.00,,,170000.00
1983-02-22,,,1990.19,3016.62,3300.00,,,169100.00
1983-02-23,,,2374.72,3016.36,3300.00,,,168700.00
1983-02-24,,,2561.28,3016.21,3300.00,,,168300.00
1983-02-25,,,2836.16,3016.09,3300.00,,,168200.00
1983-02-26,,,3164.00,3016.26,3300.00,,,168400.00
1983-02-27,,,3283.26,3016.47,3300.00,,,168900.00
1983-02-28,,,3206.01,3016.75,3300.00,,,169500.00
1983-03-01,,,3469.52,3017.10,3300.00,,,170300.00
1983-03-02,,,5053.12,3017.86,3300.00,,,172000.00
1983-03-03,,,6219.72,3019.00,3300.00,,,174500.00
1983-03-04,,,6664.84,3020.63,3300.00,,,178200.00
1983-03-05,,,6219.35,3022.84,3300.00,,,183400.00
1983-03-06,,,5810.74,3024.98,3300.00,,,188300.00
1983-03-07,,,5578.81,3027.38,3300.00,,,193900.00
1983-03-08,,,5029.11,3029.40,3770.00,,,198700.00
1983-03-09,,,4961.72,3031.17,4000.00,,,202900.00
1983-03-10,,,5820.94,3033.09,4000.00,,,207700.00
1983-03-11,,,7988.11,3035.32,4400.00,,,213000.00
1983-03-12,,,9919.97,3037.75,5000.00,,,219200.00
1983-03-13,,,10125.07,3040.25,5000.00,,,225500.00
1983-03-14,,,10429.97,3040.88,5250.00,,,226900.00
1983-03-15,,,8834.77,3039.66,5500.00,,,223900.00
1983-03-16,,,7324.23,3038.16,5500.00,,,220100.00
1983-03-17,,,6670.36,3037.28,5830.00,,,217900.00
1983-03-18,,,6203.41,3036.72,6000.00,,,216500.00
1983-03-19,,,5256.27,3036.04,6000.00,,,214800.00
1983-03-20,,,4724.93,3035.25,6000.00,,,212900.00
1983-03-21,,,4456.51,3035.07,6090.00,,,212500.00
1983-03-22,,,4281.43,3035.31,6060.00,,,213000.00
1983-03-23,,,4277.69,3035.50,6000.00,,,213600.00
1983-03-24,,,3972.61,3035.99,6000.00,,,214700.00
1983-03-25,,,3644.09,3036.54,6000.00,,,216100.00
1983-03-26,,,3523.34,3037.03,6000.00,,,217300.00
1983-03-27,,,3599.63,3037.44,6000.00,,,218400.00
1983-03-28,,,3378.83,3037.62,6190.00,,,218800.00
1983-03-29,,,3605.11,3037.41,6710.00,,,218300.00
