date,qu,af,fb,aqd,mm,mn,mx
1982-04-16,554.68,167053.00,2913.05,,33.36,19.85,46.19
1982-04-17,358.05,167545.00,2913.08,,32.41,25.46,41.14
1982-04-18,358.05,168037.00,2913.16,,30.08,24.20,37.92
1982-04-19,358.55,168528.00,2913.70,,28.92,18.18,46.19
1982-04-20,432.65,169164.00,2913.98,,34.02,17.89,51.37
1982-04-21,455.98,169759.00,2914.24,,40.25,19.57,60.75
1982-04-22,471.91,170217.00,2914.44,,45.98,24.06,71.26
1982-04-23,474.17,170858.00,2914.72,,42.91,32.60,55.71
1982-04-24,433.88,171548.00,2914.96,,36.92,23.36,48.99
1982-04-25,573.03,172516.00,2915.44,,38.01,21.12,56.27
1982-04-26,670.31,173671.00,2915.94,,40.84,23.22,59.35
1982-04-27,534.17,174552.00,2916.32,,44.90,27.56,60.05
1982-04-28,637.03,175639.00,2916.74,,36.11,32.04,40.86
1982-04-29,751.97,176952.00,2917.35,,39.93,31.20,55.43
1982-04-30,611.31,177986.00,2917.79,,42.47,27.42,55.29
1982-05-01,644.58,179086.00,2917.83,,45.37,31.90,60.05
1982-05-02,644.58,180186.00,2918.72,,40.48,27.56,51.93
1982-05-03,582.06,181160.00,2919.13,,35.09,31.34,39.46
1982-05-04,621.38,182212.00,2919.57,,38.13,27.98,47.31
1982-05-05,851.48,183647.00,2920.17,,45.00,21.96,62.01
1982-05-06,721.70,184775.00,2920.64,,49.07,36.94,57.95
1982-05-07,759.52,185980.00,2921.14,,40.07,34.28,46.05
1982-05-08,705.09,187081.00,2921.48,,36.23,26.58,47.31
1982-05-09,981.88,188731.00,2922.27,,39.42,30.64,48.15
1982-05-10,718.20,189858.00,2922.73,,42.25,27.98,59.77
1982-05-11,794.83,191137.00,2923.25,,45.74,27.28,59.07
1982-05-12,890.12,192125.00,2923.65,,45.36,36.80,51.51
1982-05-13,911.88,192817.00,2923.93,,46.94,31.34,59.63
1982-05-14,1021.81,193612.00,2924.25,,45.53,31.48,59.91
1982-05-15,1195.15,194608.00,2924.65,,49.02,29.66,67.33
1982-05-16,1158.84,195530.00,2925.02,,53.04,36.38,68.59
1982-05-17,1311.36,196336.00,2925.34,,42.74,37.50,47.73
1982-05-18,1263.53,196462.00,2925.39,,40.03,28.40,48.43
1982-05-19,1372.24,196639.00,2925.46,,44.10,24.76,62.43
1982-05-20,1145.35,196362.00,2925.35,,49.42,29.52,69.01
1982-05-21,1229.56,195776.00,2925.08,,54.30,35.12,68.87
1982-05-22,1497.35,195380.00,2924.96,,49.81,42.54,55.99
1982-05-23,1891.07,195757.00,2925.11,,52.53,33.86,72.24
1982-05-24,1879.97,196110.00,2925.25,,58.59,39.74,80.08
1982-05-25,2002.78,196538.00,2925.42,,52.18,43.24,61.17
1982-05-26,1953.40,196513.00,2925.41,,41.24,38.06,44.22
1982-05-27,1436.99,195430.00,2924.98,,43.21,35.68,50.95
1982-05-28,1441.04,194359.00,2924.55,,44.75,32.60,56.97
1982-05-29,1213.14,192832.00,2923.88,,42.68,29.52,58.65
1982-05-30,1346.79,191582.00,2923.43,,48.11,29.94,64.95
1982-05-31,1060.41,189760.00,2922.69,,49.89,31.48,64.11
1982-06-01,1198.57,188216.00,2922.06,,44.57,35.96,52.77
1982-06-02,1248.02,186782.00,2921.47,,47.23,34.56,60.75
1982-06-03,1286.34,185424.00,2920.91,,45.57,29.66,57.67
1982-06-04,1191.10,184488.00,2920.52,,44.00,29.94,52.49
1982-06-05,1258.70,184055.00,2920.34,,43.74,39.18,49.13
1982-06-06,1088.76,183277.00,2919.88,,42.98,30.92,54.45
1982-06-07,1128.95,183144.00,2919.96,,45.03,25.88,63.13
1982-06-08,1177.90,184080.00,2920.35,,51.23,28.26,70.70
1982-06-09,1156.90,185496.00,2920.94,,56.90,41.28,73.78
1982-06-10,1346.19,187462.00,2921.75,,58.39,38.62,79.66
1982-06-11,1510.58,189760.00,2922.69,,62.12,40.02,80.92
1982-06-12,1783.81,192594.00,2923.84,,55.07,45.21,63.55
1982-06-13,1798.42,195455.00,2924.91,,53.10,41.98,62.01
1982-06-14,1872.13,197647.00,2925.86,,58.26,38.90,75.32
1982-06-15,1934.13,198278.00,2926.11,,62.13,41.84,82.60
1982-06-16,2031.00,198278.00,2926.11,,61.42,40.72,78.68
1982-06-17,2111.63,198430.00,2926.17,,63.66,43.38,85.41
1982-06-18,2290.55,198683.00,2926.27,,64.12,42.82,83.72
1982-06-19,2121.45,198430.00,2926.14,,63.10,46.61,88.76
1982-06-20,2191.57,198328.00,2926.13,,66.08,46.05,85.40
1982-06-21,2025.71,197899.00,2925.96,,59.38,49.97,72.24
1982-06-22,1970.68,197823.00,2925.93,,61.25,42.68,76.72
1982-06-23,1787.21,197873.00,2925.95,,61.47,40.02,82.04
1982-06-24,1718.16,198151.00,2926.06,,61.99,44.22,83.58
1982-06-25,1675.27,198455.00,2926.18,,62.59,49.55,76.86
1982-06-26,1602.32,198531.00,2926.21,,58.05,50.11,69.15
1982-06-27,1613.00,198531.00,2926.21,,55.57,48.29,64.11
1982-06-28,1407.10,198075.00,2926.03,,52.76,41.42,62.01
1982-06-29,1244.50,197596.00,2925.84,,55.67,49.13,71.96
1982-06-30,1135.98,197112.00,2925.56,,55.59,48.57,63.97
1982-07-01,1170.31,197067.00,2925.63,,53.84,44.36,61.87
1982-07-02,1079.60,197092.00,2925.64,,53.81,47.17,62.85
1982-07-03,967.66,196891.00,2925.56,,50.30,45.21,57.81
1982-07-04,979.76,196714.00,2925.49,,52.00,46.00,59.00
1982-07-05,786.67,196154.00,2925.14,,56.00,48.00,60.00
1982-07-06,962.34,196236.00,2925.30,,56.00,45.00,70.00
1982-07-07,841.47,196588.00,2925.44,,55.00,46.00,65.00
1982-07-08,839.81,197143.00,2925.66,,57.00,40.00,69.00
1982-07-09,842.31,197697.00,2925.88,,58.44,40.58,74.06
1982-07-10,890.58,198075.00,2926.03,,62.50,41.56,80.78
1982-07-11,740.03,197962.00,2925.92,,63.95,48.71,80.64
1982-07-12,901.40,198177.00,2926.07,,65.91,51.51,81.06
1982-07-13,715.73,197873.00,2925.95,,57.59,48.57,69.15
1982-07-14,776.19,197798.00,2925.92,,47.77,43.52,51.93
1982-07-15,653.27,197622.00,2925.79,,45.72,36.52,50.53
1982-07-16,787.02,197747.00,2925.90,,53.25,33.58,71.96
1982-07-17,579.27,197452.00,2925.72,,61.83,39.74,78.26
1982-07-18,732.08,197470.00,2925.79,,62.09,47.17,72.38
1982-07-19,731.11,197496.00,2925.80,,63.82,45.49,76.30
1982-07-20,705.04,195586.00,2924.98,,62.94,46.61,78.40
1982-07-21,767.83,193985.00,2924.40,,54.49,39.04,63.27
1982-07-22,729.73,193560.00,2925.52,,55.38,32.46,76.30
1982-07-23,542.14,193114.00,2924.05,,57.96,37.50,79.38
1982-07-24,457.00,192515.00,2923.75,,61.81,40.02,82.46
1982-07-25,599.68,192199.00,2923.68,,64.59,43.10,89.32
1982-07-26,540.15,191755.00,2923.50,,67.26,45.35,90.02
1982-07-27,556.32,191353.00,2923.27,,68.98,48.85,92.12
1982-07-28,722.72,191285.00,2923.31,,68.96,54.73,92.96
1982-07-29,728.30,191236.00,2923.29,,65.92,54.31,92.26
1982-07-30,653.00,191236.00,2923.29,,63.30,53.33,84.56
1982-07-31,515.79,191186.00,2923.27,,53.13,38.06,69.15
1982-08-01,391.60,190971.00,2923.15,,58.08,46.75,71.40
1982-08-02,471.77,190915.00,2923.16,,51.28,48.29,55.01
1982-08-03,404.46,190785.00,2923.08,,53.40,40.30,61.59
1982-08-04,451.02,190791.00,2923.11,,57.10,48.01,67.75
1982-08-05,423.30,190742.00,2923.09,,54.80,36.94,71.96
1982-08-06,398.09,190643.00,2923.05,,60.30,44.64,77.56
1982-08-07,374.99,190520.00,2923.00,,64.40,46.19,86.10
1982-08-08,314.58,190299.00,2922.91,,72.05,60.19,90.58
1982-08-09,396.20,190226.00,2922.88,,65.98,51.79,82.88
1982-08-10,268.07,189883.00,2922.74,,61.86,53.05,79.38
1982-08-11,330.58,189662.00,2922.65,,51.75,38.62,63.13
1982-08-12,395.59,189564.00,2922.61,,54.89,47.31,60.89
1982-08-13,383.48,189440.00,2922.94,,55.12,45.07,65.23
1982-08-14,419.75,189380.00,2922.51,,55.06,46.89,63.55
1982-08-15,478.75,189441.00,2922.56,,58.00,41.00,72.38
1982-08-16,347.34,189162.00,2922.38,,58.60,42.82,73.50
1982-08-17,382.01,188805.00,2922.30,,57.86,38.48,76.30
1982-08-18,318.25,188266.00,2922.08,,59.92,39.60,82.88
1982-08-19,299.87,187754.00,2921.87,,64.58,44.08,86.94
1982-08-20,222.56,187049.00,2921.58,,67.99,55.29,84.98
1982-08-21,377.07,186587.00,2921.39,,67.06,50.81,88.90
1982-08-22,315.10,186010.00,2921.41,,64.09,42.40,87.08
1982-08-23,351.89,185504.00,2920.90,,61.72,42.54,84.56
1982-08-24,456.77,185208.00,2920.82,,62.09,41.28,85.12
1982-08-25,298.90,184583.00,2920.56,,65.20,43.80,84.98
1982-08-26,227.20,183790.00,2920.41,,62.86,44.64,79.24
1982-08-27,248.11,182977.00,2919.89,,58.50,40.02,74.48
1982-08-28,202.12,182045.00,2919.50,,59.31,47.03,76.30
1982-08-29,234.39,181179.00,2919.09,,52.30,48.01,57.39
1982-08-30,335.34,180541.00,2918.87,,53.14,40.44,63.13
1982-08-31,245.22,179754.00,2918.49,,54.12,37.92,70.00
1982-09-01,360.15,179191.00,2918.30,,61.00,41.42,84.42
1982-09-02,310.23,178527.00,2918.02,,63.11,45.77,84.56
1982-09-03,200.18,177611.00,2917.60,,56.86,52.07,65.51
1982-09-04,228.87,176740.00,2917.26,,55.83,42.12,67.75
1982-09-05,334.76,176083.00,2916.98,,53.15,37.08,72.66
1982-09-06,304.50,175364.00,2916.67,,57.34,39.32,75.18
1982-09-07,243.02,174529.00,2916.31,,60.71,43.80,81.06
1982-09-08,271.22,173141.00,2915.70,,58.74,41.56,74.34
1982-09-09,498.45,169530.00,2914.14,,49.56,42.54,58.65
1982-09-10,264.42,165911.00,2912.46,,44.53,38.06,48.99
1982-09-11,239.51,162673.00,2911.10,,48.54,40.58,54.31
1982-09-12,433.67,159834.00,2909.82,,48.66,36.94,56.83
1982-09-13,368.74,157372.00,2908.70,,44.75,32.46,58.09
1982-09-14,181.02,154978.00,2907.58,,46.46,33.02,55.71
1982-09-15,194.70,152266.00,2906.35,,43.86,27.56,65.37
1982-09-16,246.93,149610.00,2905.44,,47.10,28.68,67.33
1982-09-17,250.93,146954.00,2903.86,,52.03,33.72,75.32
1982-09-18,276.79,144143.00,2902.49,,54.69,36.94,74.62
1982-09-19,348.40,141480.00,2901.25,,54.96,49.97,65.93
1982-09-20,315.37,139170.00,2900.49,,49.62,41.00,55.85
1982-09-21,255.66,137168.00,2899.16,,49.30,40.44,61.00
1982-09-22,244.67,135289.00,2898.24,,49.52,38.62,63.00
1982-09-23,208.90,133224.00,2897.22,,50.62,35.54,67.00
1982-09-24,213.70,131111.00,2896.17,,49.91,41.98,60.00
1982-09-25,234.86,129038.00,2895.13,,47.15,35.40,55.00
1982-09-26,198.74,127415.00,2894.21,,42.22,34.14,55.00
1982-09-27,233.40,126192.00,2893.69,,42.95,30.92,56.00
1982-09-28,238.17,125153.00,2893.16,,41.67,28.82,45.00
1982-09-29,202.58,124333.00,2892.65,,42.71,29.10,58.00
1982-09-30,163.05,123865.00,2892.50,,41.96,30.50,58.00
1982-10-01,242.00,124070.00,2892.96,,,29.00,59.00
1982-10-02,201.01,124193.00,2892.73,,,46.00,51.00
1982-10-03,183.63,123865.00,2892.50,,,28.00,54.00
1982-10-04,215.36,123592.00,2892.36,,,31.00,50.00
1982-10-05,287.46,123462.00,2892.36,,,27.00,54.00
1982-10-06,241.07,123240.00,2892.18,,,36.00,49.00
1982-10-07,192.30,123072.00,2891.96,,,36.00,43.00
1982-10-08,235.46,123182.00,2892.15,,,30.00,46.00
1982-10-09,243.02,123307.00,2892.34,,,32.00,51.00
1982-10-10,203.71,123358.00,2892.24,,,33.00,60.00
1982-10-11,112.46,123228.00,2892.12,,,31.00,62.00
1982-10-12,148.78,123176.00,2892.08,,,34.00,65.00
1982-10-13,155.93,123279.00,2892.20,,,32.00,65.00
1982-10-14,196.06,123533.00,2892.33,,,30.00,66.00
1982-10-15,174.40,123748.00,2892.44,,,31.00,63.00
1982-10-16,122.99,123865.00,2892.50,,,38.00,54.00
1982-10-17,135.09,124006.00,2892.54,,,23.00,37.00
1982-10-18,199.12,124274.00,2892.71,,,19.00,45.00
1982-10-19,240.96,124625.00,2892.89,,,16.00,44.00
1982-10-20,272.73,125039.00,2892.98,,,18.00,46.00
1982-10-21,292.89,125493.00,2892.11,,,27.00,38.00
1982-10-22,614.05,126584.00,2893.89,,,35.00,47.00
1982-10-23,721.94,127889.00,2894.55,,,32.00,47.00
1982-10-24,482.96,128720.00,2894.97,,,30.00,54.00
1982-10-25,346.82,129277.00,2895.25,,,31.00,53.00
1982-10-26,252.04,129646.00,2895.37,,,35.00,41.00
1982-10-27,389.61,130272.00,2895.75,,,33.00,43.00
1982-10-28,297.91,130730.00,2895.98,,,28.00,35.00
1982-10-29,276.25,131151.00,2896.19,,,28.00,37.00
1982-10-30,317.60,131654.00,2896.44,,,30.00,42.00
1982-10-31,313.06,132148.00,2896.82,,,26.00,43.00
1982-11-01,291.38,132599.00,2896.91,,,22.00,42.00
1982-11-02,234.41,132937.00,2897.04,,,23.00,45.00
1982-11-03,310.54,133426.00,2897.32,,,24.00,39.00
1982-11-04,239.45,133774.00,2897.37,,,24.00,41.00
1982-11-05,285.83,134214.00,2897.71,,,23.00,37.00
1982-11-06,206.68,134497.00,2897.85,,,29.00,37.00
1982-11-07,339.78,135044.00,2898.12,,,23.00,39.00
1982-11-08,238.95,135391.00,2898.29,,,21.00,37.00
1982-11-09,154.75,135571.00,2898.28,,,22.00,39.00
1982-11-10,121.05,135464.00,2898.20,,,17.00,38.00
1982-11-11,134.02,135228.00,2898.21,,,17.00,42.00
1982-11-12,191.49,135106.00,2898.10,,,19.00,38.00
1982-11-13,190.99,134983.00,2898.09,,,17.00,37.00
1982-11-14,170.82,134820.00,2897.99,,,12.00,34.00
1982-11-15,212.16,134739.00,2897.97,,,14.00,31.00
1982-11-16,385.60,135004.00,2898.10,,,24.00,30.00
1982-11-17,383.60,135269.00,2898.23,,,28.00,40.00
1982-11-18,348.82,135465.00,2898.51,,,28.00,34.00
1982-11-19,377.05,135717.00,2898.45,,,24.00,34.00
1982-11-20,291.34,135799.00,2898.49,,,20.00,33.00
1982-11-21,189.50,135679.00,2898.49,,,13.00,30.00
1982-11-22,166.81,135514.00,2898.35,,,8.00,28.00
1982-11-23,151.69,135319.00,2898.24,,,6.00,28.00
1982-11-24,204.12,135228.00,2898.21,,,5.00,25.00
1982-11-25,201.10,135131.00,2898.13,,,15.00,19.00
1982-11-26,216.72,135065.00,2898.13,,,17.00,22.00
1982-11-27,290.84,135146.00,2898.17,,,17.00,26.00
1982-11-28,301.43,135248.00,2898.22,,,23.00,31.00
1982-11-29,250.00,135248.00,2898.22,,,28.00,34.00
1982-11-30,260.59,135269.00,2898.23,,,27.00,35.00
1982-12-01,250.00,135269.00,2898.23,,,23.00,36.00
1982-12-02,437.55,135641.00,2898.24,,,24.00,28.00
1982-12-03,792.48,136717.00,2898.94,,,28.00,49.00
1982-12-04,1080.83,138355.00,2899.92,,,21.00,37.00
1982-12-05,982.52,139800.00,2900.44,,,21.00,33.00
1982-12-06,597.35,140483.00,2900.77,,,13.00,31.00
1982-12-07,440.05,140856.00,2900.95,,,6.00,26.00
1982-12-08,438.56,141230.00,2901.13,,,5.00,19.00
1982-12-09,417.89,141563.00,2901.29,,,7.00,21.00
1982-12-10,290.85,141646.00,2901.33,,,4.00,22.00
1982-12-11,299.43,141750.00,2901.38,,,6.00,21.00
1982-12-12,456.73,142166.00,2901.58,,,14.00,26.00
1982-12-13,355.90,142382.00,2901.78,,,25.00,36.00
1982-12-14,326.66,142540.00,2901.76,,,22.00,27.00
1982-12-15,384.64,142813.00,2901.75,,,25.00,28.00
1982-12-16,478.40,143270.00,2902.30,,,28.00,36.00
1982-12-17,403.77,143575.00,2902.19,,,30.00,36.00
1982-12-18,403.27,143879.00,2902.40,,,31.00,37.00
1982-12-19,441.08,144258.00,2902.58,,,28.00,35.00
1982-12-20,323.61,144404.00,2902.65,,,24.00,31.00
1982-12-21,398.23,144698.00,2902.79,,,23.00,30.00
1982-12-22,198.43,144441.00,2902.62,,,20.00,27.00
1982-12-23,203.51,143964.00,2902.44,,,16.00,31.00
1982-12-24,338.62,143753.00,2902.34,,,10.00,26.00
1982-12-25,254.93,143376.00,2902.16,,,18.00,26.00
1982-12-26,254.42,142998.00,2901.98,,,5.00,28.00
1982-12-27,212.09,142540.00,2901.76,,,-1.00,21.00
1982-12-28,209.60,142083.00,2901.54,,,0.00,21.00
1982-12-29,282.70,141771.00,2901.39,,,-2.00,16.00
1982-12-30,245.90,141386.00,2901.12,,,-2.00,11.00
1982-12-31,241.90,141001.00,2901.02,,,4.00,11.00
1983-01-01,310.46,140752.00,2900.90,,,3.00,15.00
1983-01-02,206.60,140297.00,2900.68,,,13.00,20.00
1983-01-03,264.58,139957.00,2900.46,,,11.00,31.00
1983-01-04,597.83,140276.00,2900.67,,,21.00,43.00
1983-01-05,912.80,141188.00,2901.11,,,27.00,40.00
1983-01-06,926.61,142054.00,2901.43,,,28.00,35.00
1983-01-07,906.50,142894.00,2901.93,,,32.00,46.00
1983-01-08,1141.85,144179.00,2903.02,,,28.00,38.00
1983-01-09,1139.85,145464.00,2903.45,,,27.00,36.00
1983-01-10,1130.85,146749.00,2903.46,,,30.00,42.00
1983-01-11,1031.07,147846.00,2904.37,,,23.00,41.00
1983-01-12,831.99,148564.00,2904.62,,,22.00,51.00
1983-01-13,699.94,149030.00,2904.84,,,22.00,38.00
1983-01-14,657.59,149412.00,2905.02,,,18.00,36.00
1983-01-15,471.09,149434.00,2905.03,,,19.00,35.00
1983-01-16,448.91,149412.00,2905.02,,,25.00,34.00
1983-01-17,457.82,149009.00,2904.83,,,24.00,30.00
1983-01-18,514.59,148310.00,2904.50,,,27.00,33.00
1983-01-19,531.26,147652.00,2904.19,,,28.00,34.00
1983-01-20,493.92,146912.00,2903.84,,,21.00,35.00
1983-01-21,429.90,146047.00,2903.43,,,19.00,31.00
1983-01-22,495.42,145308.00,2903.08,,,25.00,33.00
1983-01-23,421.32,144426.00,2902.63,,,26.00,33.00
1983-01-24,420.85,143549.00,2902.30,,,28.00,38.00
1983-01-25,404.73,142644.00,2901.81,,,28.00,33.00
1983-01-26,578.16,142083.00,2901.54,,,28.00,31.00
1983-01-27,444.53,141251.00,2901.14,,,29.00,36.00
1983-01-28,479.39,140504.00,2900.78,,,17.00,34.00
1983-01-29,356.36,139511.00,2900.30,,,25.00,32.00
1983-01-30,453.72,138725.00,2899.92,,,24.00,36.00
1983-01-31,383.16,137803.00,2899.47,,,28.00,35.00
1983-02-01,358.61,137229.00,2899.19,,,28.00,32.00
1983-02-02,362.32,137065.00,2899.11,,,28.00,33.00
1983-02-03,341.56,136840.00,2899.00,,,18.00,31.00
1983-02-04,351.65,136635.00,2898.90,,,17.00,31.00
1983-02-05,315.31,136350.00,2898.76,,,22.00,29.00
1983-02-06,317.81,136064.00,2898.62,,,21.00,26.00
1983-02-07,352.07,135840.00,2898.51,,,19.00,34.00
1983-02-08,287.53,135488.00,2898.32,,,20.00,26.00
1983-02-09,327.33,135207.00,2898.20,,,20.00,31.00
1983-02-10,382.74,135024.00,2898.11,,,24.00,30.00
1983-02-11,341.40,134759.00,2897.98,,,28.00,33.00
1983-02-12,352.99,134517.00,2897.86,,,24.00,42.00
1983-02-13,314.65,134193.00,2897.70,,,26.00,40.00
1983-02-14,286.90,133810.00,2897.51,,,24.00,32.00
1983-02-15,337.32,133527.00,2897.37,,,25.00,29.00
1983-02-16,408.91,133386.00,2897.30,,,29.00,34.00
1983-02-17,551.09,133527.00,2897.37,,,28.00,33.00
1983-02-18,424.00,133406.00,2897.31,,,28.00,34.00
1983-02-19,398.24,133224.00,2897.22,,,28.00,33.00
1983-02-20,530.84,133305.00,2897.26,,,28.00,41.00
1983-02-21,448.16,133224.00,2897.22,,,25.00,37.00
1983-02-22,490.00,133224.00,2897.22,,,28.00,41.00
1983-02-23,601.93,133446.00,2897.33,,,33.00,46.00
1983-02-24,670.43,133790.00,2897.50,,,23.00,38.00
1983-02-25,629.09,134052.00,2897.63,,,23.00,35.00
