date,id,fb,qd,mm,mx,mn,af
1982-02-18,381.61,6298.69,,,,,102928.91
1982-02-19,416.08,6298.76,,,,,103405.10
1982-02-20,491.27,6298.85,,,,,104024.48
1982-02-21,457.38,6298.93,,,,,104576.63
1982-02-22,454.13,6299.01,,,,,105128.30
1982-02-23,282.23,6299.04,,,,,105339.00
1982-02-24,313.66,6299.08,,,,,105617.99
1982-02-25,287.45,6299.10,,,,,105845.00
1982-02-26,278.88,6299.13,,,,,106055.00
1982-02-27,384.75,6299.19,,,,,106475.00
1982-02-28,384.75,6299.25,,,,,106895.00
1982-03-01,420.04,6299.32,,,,,107385.00
1982-03-02,493.15,6299.41,,,,,108020.00
1982-03-03,530.96,6299.51,,,,,108730.00
1982-03-04,492.67,6299.60,,,,,109370.00
1982-03-05,495.19,6299.69,,,,,110015.00
1982-03-06,422.08,6299.76,,,,,110515.00
1982-03-07,386.79,6299.82,,,,,110945.00
1982-03-08,679.69,6299.96,,,,,111950.00
1982-03-09,500.71,6300.06,,,,,112600.00
1982-03-10,205.41,6300.06,,,,,112664.29
1982-03-11,459.47,6300.14,,,,,113232.49
1982-03-12,423.94,6300.21,,,,,113730.22
1982-03-13,573.11,6300.32,,,,,114517.87
1982-03-14,504.55,6300.41,,,,,115169.53
1982-03-15,431.17,6300.48,,,,,115675.66
1982-03-16,546.90,6300.58,,,,,116405.38
1982-03-17,436.97,6300.65,,,,,116917.05
1982-03-18,514.43,6300.74,,,,,117582.36
1982-03-19,415.73,6300.79,,,,,117950.74
1982-03-20,419.79,6300.83,,,,,118247.85
1982-03-21,420.12,6300.87,,,,,118545.60
1982-03-22,420.49,6300.91,,,,,118844.10
1982-03-23,420.87,6300.95,,,,,119143.35
1982-03-24,425.31,6300.99,,,,,119443.47
1982-03-25,503.72,6301.05,,,,,119891.18
1982-03-26,476.28,6301.10,,,,,120270.58
1982-03-27,475.03,6301.15,,,,,120647.49
1982-03-28,937.71,6301.32,,,,,121942.13
1982-03-29,402.02,6301.35,,,,,122174.23
1982-03-30,362.47,6301.37,,,,,122327.89
1982-03-31,674.00,6301.47,,,,,123099.46
1982-04-01,517.69,6301.53,,,,,123560.99
1982-04-02,641.18,6301.61,,,,,124184.15
1982-04-03,487.17,6301.64,,,,,124420.52
1982-04-04,410.48,6301.65,,,,,124496.84
1982-04-05,451.01,6301.67,,,,,124653.55
1982-04-06,451.04,6301.69,,,,,124810.33
1982-04-07,495.77,6301.72,,,,,125047.89
1982-04-08,455.30,6301.74,,,,,125205.17
1982-04-09,472.59,6301.76,,,,,125359.06
1982-04-10,522.30,6301.79,,,,,125597.67
1982-04-11,721.29,6301.87,,,,,126230.98
1982-04-12,544.09,6301.84,,,,,125991.16
1982-04-13,625.81,6301.78,,,,,125516.73
1982-04-14,543.43,6301.70,,,,,124890.81
1982-04-15,660.37,6301.65,,,,,124496.84
1982-04-16,622.64,6301.59,,,,,124028.03
1982-04-17,539.28,6301.51,,,,,123405.78
1982-04-18,542.74,6301.43,,,,,122790.39
1982-04-19,425.34,6301.32,,,,,121942.13
1982-04-20,621.49,6301.26,,,,,121482.93
1982-04-21,547.58,6301.18,,,,,120877.13
1982-04-22,470.97,6301.08,,,,,120119.38
1982-04-23,700.89,6301.04,,,,,119817.68
1982-04-24,738.24,6301.01,,,,,119590.05
1982-04-25,703.34,6300.97,,,,,119293.20
1982-04-26,512.75,6300.88,,,,,118618.32
1982-04-27,853.00,6300.88,,,,,118618.32
1982-04-28,853.00,6300.88,,,,,118618.32
1982-04-29,853.00,6300.88,,,,,118618.32
1982-04-30,940.00,6300.88,,,,,118618.32
1982-05-01,1412.35,6300.98,,,,,119460.00
1982-05-02,1330.83,6301.07,,,,,120140.00
1982-05-03,1440.65,6301.17,,,,,120895.00
1982-05-04,1432.83,6301.26,,,,,121575.00
1982-05-05,1435.35,6301.35,,,,,122260.00
1982-05-06,1435.35,6301.44,,,,,122945.00
1982-05-07,1666.36,6301.60,,,,,124108.02
1982-05-08,1128.38,6301.61,,,,,124184.15
1982-05-09,1090.00,6301.61,,,,,124184.15
1982-05-10,1130.00,6301.61,,,,,124184.15
1982-05-11,2622.70,6301.98,,,,,127105.20
1982-05-12,1278.49,6302.01,,,,,127340.22
1982-05-13,1355.77,6302.05,,,,,127649.18
1982-05-14,1888.44,6302.20,,,,,128816.33
1982-05-15,2239.74,6302.40,,,,,130382.76
1982-05-16,2440.02,6302.59,,,,,131890.23
1982-05-17,2617.33,6302.76,,,,,133253.52
1982-05-18,2483.19,6302.79,,,,,133497.86
1982-05-19,2640.00,6302.79,,,,,133497.86
1982-05-20,2296.19,6302.72,,,,,132934.94
1982-05-21,2005.16,6302.62,,,,,132131.95
1982-05-22,1837.74,6302.52,,,,,131334.08
1982-05-23,1840.72,6302.45,,,,,130780.14
1982-05-24,1532.46,6302.33,,,,,129832.96
1982-05-25,1950.00,6302.33,,,,,129832.96
1982-05-26,1859.37,6302.32,,,,,129752.38
1982-05-27,1752.20,6302.29,,,,,129518.72
1982-05-28,2765.94,6302.49,,,,,131097.44
1982-05-29,2019.16,6302.50,,,,,131175.11
1982-05-30,1430.96,6302.38,,,,,130224.94
1982-05-31,1364.91,6302.27,,,,,129361.95
1982-06-01,1316.04,6302.17,,,,,128580.55
1982-06-02,1200.43,6302.05,,,,,127649.18
1982-06-03,1155.55,6301.93,,,,,126708.12
1982-06-04,1521.40,6301.99,,,,,127186.93
1982-06-05,1293.02,6302.06,,,,,127728.45
1982-06-06,1274.53,6302.12,,,,,128193.64
1982-06-07,1333.69,6302.19,,,,,128736.50
1982-06-08,1267.47,6302.23,,,,,129048.84
1982-06-09,1012.78,6302.20,,,,,128816.33
1982-06-10,1089.75,6302.19,,,,,128736.50
1982-06-11,1150.25,6302.20,,,,,128816.33
1982-06-12,991.13,6302.17,,,,,128580.55
1982-06-13,1238.87,6302.20,,,,,128816.33
1982-06-14,1374.60,6302.26,,,,,129281.66
1982-06-15,1299.52,6302.29,,,,,129518.72
1982-06-16,1417.14,6302.34,,,,,129909.75
1982-06-17,1629.01,6302.43,,,,,130621.84
1982-06-18,1379.81,6302.45,,,,,130780.14
1982-06-19,1239.35,6302.43,,,,,130640.00
1982-06-20,1181.52,6302.40,,,,,130405.00
1982-06-21,1329.55,6302.41,,,,,130463.61
1982-06-22,1259.24,6302.40,,,,,130382.76
1982-06-23,1709.48,6302.50,,,,,131175.11
1982-06-24,1480.27,6302.54,,,,,131532.67
1982-06-25,949.27,6302.59,,,,,131890.23
1982-06-26,1435.09,6302.81,,,,,133659.66
1982-06-27,1399.12,6303.00,,,,,135205.02
1982-06-28,240.39,6302.91,,,,,134471.91
1982-06-29,1214.00,6302.86,,,,,134063.31
1982-06-30,1299.98,6302.85,,,,,133983.94
1982-07-01,996.85,6302.82,,,,,133700.00
1982-07-02,896.38,6302.78,,,,,133415.14
1982-07-03,1061.70,6302.79,,,,,133497.86
1982-07-04,1121.57,6302.81,,,,,133659.66
1982-07-05,1221.63,6302.84,,,,,133900.91
1982-07-06,1233.79,6302.88,,,,,134225.78
1982-07-07,1214.19,6302.92,,,,,134551.45
1982-07-08,1060.95,6302.92,,,,,134593.00
1982-07-09,988.11,6302.93,,,,,134634.88
1982-07-10,1051.45,6303.00,,,,,135205.02
1982-07-11,818.65,6302.99,,,,,135244.00
1982-07-12,830.69,6303.01,,,,,135283.05
1982-07-13,202.05,6302.86,,,,,134063.31
1982-07-14,1352.38,6302.99,,,,,135125.22
1982-07-15,851.23,6303.00,,,,,135205.02
1982-07-16,670.24,6302.97,,,,,134961.53
1982-07-17,732.77,6302.96,,,,,134877.77
1982-07-18,749.95,6302.96,,,,,134838.00
1982-07-19,732.92,6302.95,,,,,134798.17
1982-07-20,715.24,6302.95,,,,,134757.00
1982-07-21,704.64,6302.94,,,,,134714.64
1982-07-22,673.79,6302.93,,,,,134634.88
1982-07-23,646.71,6302.89,,,,,134309.02
1982-07-24,747.12,6302.86,,,,,134063.31
1982-07-25,912.91,6302.87,,,,,134146.44
1982-07-26,749.82,6302.76,,,,,133253.52
1982-07-27,683.70,6302.69,,,,,132691.61
1982-07-28,635.97,6302.59,,,,,131890.23
1982-07-29,699.46,6302.50,,,,,131175.11
1982-07-30,771.06,6302.43,,,,,130621.84
1982-07-31,651.11,6302.36,,,,,129910.00
1982-08-01,560.18,6302.24,,,,,129128.86
1982-08-02,605.09,6302.15,,,,,128424.91
1982-08-03,638.90,6302.05,,,,,127649.18
1982-08-04,634.44,6301.92,,,,,126626.58
1982-08-05,622.81,6301.73,,,,,125124.72
1982-08-06,716.83,6301.58,,,,,123730.00
1982-08-07,655.63,6301.35,,,,,122174.23
1982-08-08,756.77,6301.17,,,,,120799.23
1982-08-09,200.25,6300.84,,,,,118320.39
1982-08-10,1150.66,6300.76,,,,,117726.66
1982-08-11,883.71,6300.61,,,,,116623.28
1982-08-12,415.70,6300.33,,,,,114591.61
1982-08-13,683.01,6300.12,,,,,113090.15
1982-08-14,712.68,6299.92,,,,,111647.54
1982-08-15,628.34,6299.70,,,,,110037.63
1982-08-16,710.65,6299.50,,,,,108590.98
1982-08-17,613.93,6299.27,,,,,106952.50
1982-08-18,837.77,6299.10,,,,,105757.99
1982-08-19,669.41,6298.88,,,,,104229.54
1982-08-20,603.76,6298.64,,,,,102590.71
1982-08-21,717.06,6298.43,,,,,101176.61
1982-08-22,759.38,6298.23,,,,,99846.45
1982-08-23,532.58,6297.96,,,,,98066.45
1982-08-24,814.06,6297.78,,,,,96844.76
1982-08-25,555.44,6297.52,,,,,95110.10
1982-08-26,700.90,6297.30,,,,,93663.96
1982-08-27,648.79,6297.06,,,,,92114.45
1982-08-28,851.49,6296.88,,,,,90966.99
1982-08-29,576.41,6296.61,,,,,89273.91
1982-08-30,818.89,6296.41,,,,,88041.95
1982-08-31,735.45,6296.18,,,,,86644.50
1982-09-01,770.22,6295.96,,,,,85316.01
1982-09-02,695.67,6295.72,,,,,83839.65
1982-09-03,707.08,6295.48,,,,,82385.93
1982-09-04,690.80,6295.23,,,,,80899.92
1982-09-05,704.32,6294.98,,,,,79440.72
1982-09-06,717.59,6294.73,,,,,78007.84
1982-09-07,697.42,6294.55,,,,,76991.15
1982-09-08,567.31,6294.41,,,,,76212.27
1982-09-09,736.65,6294.33,,,,,75769.26
1982-09-10,428.15,6294.17,,,,,74890.88
1982-09-11,686.31,6294.12,,,,,74619.75
1982-09-12,740.95,6294.09,,,,,74457.00
1982-09-13,740.95,6294.06,,,,,74294.25
1982-09-14,782.04,6294.05,,,,,74213.00
1982-09-15,775.47,6294.03,,,,,74130.62
1982-09-16,736.04,6294.00,,,,,73970.03
1982-09-17,686.19,6293.97,,,,,73805.77
1982-09-18,635.96,6293.94,,,,,73639.08
1982-09-19,679.12,6293.92,,,,,73558.00
1982-09-20,672.43,6293.91,,,,,73475.55
1982-09-21,626.65,6293.90,,,,,73419.31
1982-09-22,622.50,6293.99,,,,,73916.16
1982-09-23,639.62,6294.14,,,,,74728.63
1982-09-24,643.44,6294.29,,,,,75548.68
1982-09-25,591.91,6294.42,,,,,76266.51
1982-09-26,595.34,6294.55,,,,,76991.15
1982-09-27,685.27,6294.71,,,,,77894.16
1982-09-28,718.89,6294.88,,,,,78863.86
1982-09-29,579.28,6295.00,,,,,79556.64
1982-09-30,821.88,6295.20,,,,,80724.67
1982-10-01,738.65,6295.37,,,,,81729.60
1982-10-02,713.82,6295.53,,,,,82685.27
1982-10-03,752.41,6295.70,,,,,83717.48
1982-10-04,509.04,6295.79,,,,,84266.98
1982-10-05,667.71,6295.93,,,,,85131.19
1982-10-06,600.49,6296.05,,,,,85862.07
1982-10-07,839.16,6296.25,,,,,87066.36
1982-10-08,568.81,6296.36,,,,,87734.42
1982-10-09,635.08,6296.49,,,,,88533.91
1982-10-10,699.96,6296.64,,,,,89462.09
1982-10-11,609.00,6296.76,,,,,90209.86
1982-10-12,646.45,6296.89,,,,,91031.91
1982-10-13,648.59,6297.02,,,,,91858.20
1982-10-14,620.70,6297.14,,,,,92629.17
1982-10-15,590.33,6297.25,,,,,93339.91
1982-10-16,560.90,6297.35,,,,,93992.27
1982-10-17,462.82,6297.42,,,,,94450.09
1982-10-18,664.23,6297.55,,,,,95307.41
1982-10-19,671.66,6297.62,,,,,95774.83
1982-10-20,547.00,6297.62,,,,,95774.83
1982-10-21,714.59,6297.67,,,,,96107.23
1982-10-22,614.56,6297.69,,,,,96241.23
1982-10-23,717.08,6297.74,,,,,96578.58
1982-10-24,679.20,6297.78,,,,,96844.76
1982-10-25,677.16,6297.82,,,,,97114.82
1982-10-26,777.18,6297.89,,,,,97591.20
1982-10-27,707.77,6297.94,,,,,97929.91
1982-10-28,537.00,6297.94,,,,,97929.91
1982-10-29,873.19,6298.04,,,,,98600.70
1982-10-30,730.75,6298.10,,,,,98992.94
1982-10-31,665.21,6298.14,,,,,99255.17
1982-11-01,698.06,6298.19,,,,,99582.56
1982-11-02,564.01,6298.20,,,,,99650.01
1982-11-03,594.55,6298.22,,,,,99782.01
1982-11-04,659.72,6298.26,,,,,100043.27
1982-11-05,629.02,6298.29,,,,,100243.64
1982-11-06,694.66,6298.34,,,,,100574.20
1982-11-07,428.29,6298.31,,,,,100376.42
1982-11-08,729.32,6298.37,,,,,100775.73
1982-11-09,797.68,6298.45,,,,,101310.63
1982-11-10,591.61,6298.47,,,,,101444.73
1982-11-11,523.00,6298.47,,,,,101444.73
1982-11-12,623.82,6298.50,,,,,101644.70
1982-11-13,691.99,6298.55,,,,,101979.88
1982-11-14,591.05,6298.57,,,,,102114.86
1982-11-15,597.24,6298.59,,,,,102250.22
1982-11-16,643.66,6298.64,,,,,102590.71
1982-11-17,645.47,6298.66,,,,,102726.51
1982-11-18,767.04,6298.69,,,,,102928.91
1982-11-19,749.25,6298.70,,,,,102998.82
1982-11-20,616.16,6298.67,,,,,102792.85
1982-11-21,651.49,6298.65,,,,,102656.97
1982-11-22,618.13,6298.62,,,,,102454.91
1982-11-23,272.44,6298.49,,,,,101579.09
1982-11-24,511.08,6298.43,,,,,101176.61
1982-11-25,544.70,6298.38,,,,,100840.81
1982-11-26,579.58,6298.34,,,,,100574.20
1982-11-27,646.97,6298.32,,,,,100441.25
1982-11-28,714.00,6298.32,,,,,100441.25
1982-11-29,748.35,6298.33,,,,,100509.38
1982-11-30,747.10,6298.38,,,,,100840.81
1982-12-01,603.97,6298.35,,,,,100642.41
1982-12-02,535.59,6298.30,,,,,100308.38
1982-12-03,778.18,6298.36,,,,,100707.41
1982-12-04,589.74,6298.39,,,,,100909.21
1982-12-05,687.38,6298.45,,,,,101310.63
1982-12-06,721.31,6298.52,,,,,101779.34
1982-12-07,485.00,6298.52,,,,,101779.34
1982-12-08,417.12,6298.50,,,,,101644.70
1982-12-09,658.99,6298.55,,,,,101979.88
1982-12-10,593.02,6298.58,,,,,102184.22
1982-12-11,523.28,6298.59,,,,,102250.22
1982-12-12,593.20,6298.62,,,,,102454.91
1982-12-13,699.48,6298.68,,,,,102862.48
1982-12-14,597.28,6298.71,,,,,103065.34
1982-12-15,804.50,6298.80,,,,,103679.22
1982-12-16,633.52,6298.84,,,,,103953.97
1982-12-17,593.02,6298.87,,,,,104162.27
1982-12-18,518.92,6298.88,,,,,104229.54
1982-12-19,624.25,6298.92,,,,,104505.74
1982-12-20,660.46,6298.97,,,,,104853.75
1982-12-21,799.92,6299.06,,,,,105478.38
1982-12-22,660.41,6299.11,,,,,105826.30
1982-12-23,768.15,6299.19,,,,,106387.91
1982-12-24,485.00,6299.19,,,,,106387.91
1982-12-25,485.00,6299.19,,,,,106387.91
1982-12-26,627.14,6299.23,,,,,106669.84
1982-12-27,490.00,6299.23,,,,,106669.84
1982-12-28,455.28,6299.22,,,,,106600.98
1982-12-29,524.72,6299.23,,,,,106669.84
1982-12-30,561.23,6299.25,,,,,106811.13
1982-12-31,667.57,6299.30,,,,,107163.34
1983-01-01,526.64,6299.31,,,,,107236.02
1983-01-02,596.53,6299.34,,,,,107447.31
1983-01-03,674.40,6299.39,,,,,107805.12
1983-01-04,639.08,6299.43,,,,,108090.90
1983-01-05,639.41,6299.47,,,,,108377.34
1983-01-06,536.29,6299.48,,,,,108447.33
1983-01-07,538.09,6299.49,,,,,108520.89
1983-01-08,644.26,6299.53,,,,,108805.04
1983-01-09,646.32,6299.57,,,,,109093.27
1983-01-10,506.00,6299.57,,,,,109093.27
1983-01-11,543.36,6299.58,,,,,109167.37
1983-01-12,541.54,6299.59,,,,,109237.87
1983-01-13,543.30,6299.60,,,,,109311.86
1983-01-14,545.59,6299.61,,,,,109382.46
1983-01-15,547.35,6299.62,,,,,109456.55
1983-01-16,545.64,6299.63,,,,,109527.24
1983-01-17,620.64,6299.66,,,,,109746.70
1983-01-18,624.03,6299.69,,,,,109962.95
1983-01-19,588.48,6299.71,,,,,110108.70
1983-01-20,562.60,6299.72,,,,,110183.28
1983-01-21,501.40,6299.71,,,,,110108.70
1983-01-22,655.13,6299.74,,,,,110329.13
1983-01-23,544.00,6299.74,,,,,110329.13
1983-01-24,615.87,6299.76,,,,,110471.68
1983-01-25,655.60,6299.79,,,,,110693.04
1983-01-26,621.87,6299.81,,,,,110839.55
1983-01-27,474.13,6299.79,,,,,110693.04
1983-01-28,589.04,6299.80,,,,,110764.53
1983-01-29,590.82,6299.81,,,,,110839.55
1983-01-30,706.14,6299.85,,,,,111133.38
1983-01-31,520.02,6299.84,,,,,111058.05
1983-02-01,558.00,6299.84,,,,,111058.05
1983-02-02,595.98,6299.85,,,,,111133.38
1983-02-03,413.86,6299.81,,,,,110839.55
1983-02-04,575.83,6299.85,,,,,110866.99
1983-02-05,492.34,6299.80,,,,,110764.53
1983-02-06,566.82,6299.81,,,,,110839.55
1983-02-07,775.36,6299.87,,,,,111280.59
1983-02-08,663.54,6299.90,,,,,111499.84
1983-02-09,665.65,6299.93,,,,,111723.27
1983-02-10,632.55,6299.95,,,,,111871.14
1983-02-11,531.82,6299.94,,,,,111795.42
1983-02-12,540.62,6299.93,,,,,111723.27
1983-02-13,837.59,6300.00,,,,,112240.15
1983-02-14,540.47,6299.99,,,,,112167.70
1983-02-15,615.53,6300.00,,,,,112240.15
1983-02-16,469.67,6299.97,,,,,112019.33
1983-02-17,694.33,6300.00,,,,,112240.15
1983-02-18,583.00,6300.00,,,,,112240.15
1983-02-19,582.00,6300.00,,,,,112240.15
1983-02-20,508.14,6299.98,,,,,112091.67
1983-02-21,546.53,6299.97,,,,,112019.33
1983-02-22,544.72,6299.96,,,,,111943.40
1983-02-23,583.00,6299.96,,,,,111943.40
1983-02-24,579.00,6299.96,,,,,111943.40
1983-02-25,617.28,6299.97,,,,,112019.33
1983-02-26,796.26,6300.03,,,,,112450.25
1983-02-27,615.56,6300.04,,,,,112522.77
1983-02-28,650.35,6300.06,,,,,112664.29
1983-03-01,646.50,6300.08,,,,,112806.10
1983-03-02,791.97,6300.14,,,,,113232.49
1983-03-03,579.00,6300.14,,,,,113232.49
1983-03-04,650.86,6300.16,,,,,113375.02
1983-03-05,542.16,6300.15,,,,,113301.95
1983-03-06,575.00,6300.15,,,,,113301.95
1983-03-07,611.84,6300.16,,,,,113375.02
1983-03-08,538.16,6300.15,,,,,113301.95
1983-03-09,539.98,6300.14,,,,,113232.49
1983-03-10,646.86,6300.16,,,,,113375.02
1983-03-11,641.89,6300.18,,,,,113517.61
1983-03-12,641.98,6300.20,,,,,113660.39
1983-03-13,857.24,6300.28,,,,,114230.13
1983-03-14,607.14,6300.29,,,,,114303.79
1983-03-15,528.86,6300.28,,,,,114230.13
1983-03-16,603.14,6300.29,,,,,114303.79
1983-03-17,711.11,6300.33,,,,,114591.61
1983-03-18,638.72,6300.35,,,,,114735.84
1983-03-19,566.00,6300.35,,,,,114735.84
1983-03-20,597.43,6300.36,,,,,114806.12
1983-03-21,637.91,6300.38,,,,,114950.73
1983-03-22,530.42,6300.37,,,,,114880.15
1983-03-23,674.47,6300.40,,,,,115095.30
1983-03-24,603.42,6300.41,,,,,115169.53
1983-03-25,488.95,6300.39,,,,,115024.64
1983-03-26,562.00,6300.39,,,,,115024.64
1983-03-27,708.08,6300.43,,,,,115314.38
1983-03-28,597.72,6300.44,,,,,115385.23
1983-03-29,488.81,6300.42,,,,,115240.06
1983-03-30,703.35,6300.46,,,,,115530.35
1983-03-31,561.00,6300.46,,,,,115530.35
1983-04-01,453.12,6300.43,,,,,115314.38
1983-04-02,597.72,6300.44,,,,,115385.23
1983-04-03,599.40,6300.45,,,,,115459.41
1983-04-04,415.85,6300.41,,,,,115169.53
1983-04-05,524.58,6300.40,,,,,115095.30
1983-04-06,599.42,6300.41,,,,,115169.53
1983-04-07,597.56,6300.42,,,,,115240.06
1983-04-08,635.19,6300.44,,,,,115385.23
1983-04-09,638.16,6300.46,,,,,115530.35
1983-04-10,530.23,6300.45,,,,,115459.41
1983-04-11,492.88,6300.43,,,,,115314.38
1983-04-12,712.45,6300.47,,,,,115604.85
1983-04-13,566.00,6300.47,,,,,115604.85
1983-04-14,566.00,6300.47,,,,,115604.85
1983-04-15,601.70,6300.48,,,,,115675.66
1983-04-16,566.00,6300.48,,,,,115675.66
1983-04-17,639.46,6300.50,,,,,115821.37
1983-04-18,639.44,6300.52,,,,,115967.04
1983-04-19,601.86,6300.53,,,,,116038.17
1983-04-20,751.14,6300.58,,,,,116405.38
1983-04-21,787.78,6300.64,,,,,116845.27
1983-04-22,750.67,6300.69,,,,,117211.55
1983-04-23,975.15,6300.80,,,,,118023.09
1983-04-24,868.10,6300.88,,,,,118618.32
1983-04-25,982.20,6300.98,,,,,119366.49
1983-04-26,893.53,6301.05,,,,,119891.18
1983-04-27,858.47,6301.11,,,,,120344.35
1983-04-28,945.93,6301.19,,,,,120951.16
1983-04-29,1070.33,6301.30,,,,,121788.83
1983-04-30,1117.06,6301.42,,,,,122711.26
1983-05-01,1086.41,6301.53,,,,,123560.99
1983-05-02,1667.31,6301.78,,,,,125555.00
1983-05-03,879.81,6301.79,,,,,125630.00
1983-05-04,1352.21,6301.92,,,,,126640.00
1983-05-05,1208.96,6301.98,,,,,127110.00
1983-05-06,2041.60,6302.18,,,,,128660.28
1983-05-07,1497.09,6302.21,,,,,128892.52
1983-05-08,1518.81,6302.23,,,,,129048.84
1983-05-09,1906.90,6302.29,,,,,129518.72
1983-05-10,1534.29,6302.21,,,,,128892.52
1983-05-11,1477.65,6302.12,,,,,128193.64
1983-05-12,1211.90,6301.97,,,,,127027.16
1983-05-13,1218.59,6301.87,,,,,126230.98
1983-05-14,1329.24,6301.82,,,,,125832.78
1983-05-15,1053.02,6301.73,,,,,125124.72
1983-05-16,1627.29,6301.80,,,,,125674.71
1983-05-17,1231.50,6301.77,,,,,125439.66
1983-05-18,1319.36,6301.76,,,,,125359.06
1983-05-19,1559.94,6301.81,,,,,125755.64
1983-05-20,1789.10,6301.92,,,,,126626.58
1983-05-21,1709.79,6302.01,,,,,127340.22
1983-05-22,2192.91,6302.22,,,,,128972.44
1983-05-23,1973.24,6302.35,,,,,129990.43
1983-05-24,1998.15,6302.45,,,,,130780.14
1983-05-25,1939.28,6302.52,,,,,131334.08
1983-05-26,1819.46,6302.55,,,,,131571.02
1983-05-27,1740.00,6302.55,,,,,131571.02
1983-05-28,1682.24,6302.63,,,,,132230.00
1983-05-29,1602.67,6302.71,,,,,132870.00
1983-05-30,2308.85,6302.90,,,,,134395.00
1983-05-31,2476.08,6303.08,,,,,135855.00
1983-06-01,1810.00,6303.08,,,,,135855.00
1983-06-02,2081.53,6303.18,,,,,136651.42
1983-06-03,1722.93,6303.23,,,,,137053.92
1983-06-04,2049.65,6303.33,,,,,137866.44
1983-06-05,1845.86,6303.29,,,,,137540.88
1983-06-06,1794.49,6303.23,,,,,137053.92
1983-06-07,1727.07,6303.18,,,,,136651.42
1983-06-08,1736.92,6303.15,,,,,136407.30
1983-06-09,1689.17,6303.12,,,,,136167.63
1983-06-10,1819.55,6303.13,,,,,136246.08
1983-06-11,2114.06,6303.19,,,,,136730.16
1983-06-12,2438.74,6303.29,,,,,137540.88
1983-06-13,1973.68,6303.26,,,,,137330.00
1983-06-14,1677.58,6303.19,,,,,136730.16
1983-06-15,1657.62,6303.14,,,,,136328.75
1983-06-16,1607.63,6303.10,,,,,136006.69
1983-06-17,1528.02,6303.06,,,,,135685.41
1983-06-18,1315.35,6302.98,,,,,135041.48
1983-06-19,1474.65,6303.06,,,,,135685.41
1983-06-20,1252.35,6303.14,,,,,136328.75
1983-06-21,1537.23,6303.26,,,,,137295.16
1983-06-22,1460.14,6303.25,,,,,137216.09
1983-06-23,1426.84,6303.20,,,,,136813.13
1983-06-24,1275.79,6303.14,,,,,136328.75
1983-06-25,1337.14,6303.11,,,,,136085.06
1983-06-26,1107.72,6303.04,,,,,135525.17
1983-06-27,1013.60,6302.96,,,,,134877.77
1983-06-28,1222.23,6302.97,,,,,134961.53
1983-06-29,1110.00,6302.97,,,,,134961.53
1983-06-30,1333.42,6303.02,,,,,135365.00
1983-07-01,1189.39,6303.03,,,,,135443.13
1983-07-02,1140.61,6303.02,,,,,135365.00
1983-07-03,1229.39,6303.03,,,,,135443.13
1983-07-04,1211.36,6303.04,,,,,135525.17
1983-07-05,1150.00,6303.04,,,,,135525.17
1983-07-06,1179.44,6303.05,,,,,135603.39
