date,id,qu,fb,af,qv,qd
1982-05-04,,,2497.50,,,11800.00
1982-05-05,,,2497.50,,,9940.00
1982-05-06,,,2497.50,,,8940.00
1982-05-07,,,2497.50,,,8990.00
1982-05-08,,,2497.50,,,9110.00
1982-05-09,,,2497.50,,,8580.00
1982-05-10,,,2497.50,,,8360.00
1982-05-11,,,2497.50,,,8220.00
1982-05-12,,,2497.50,,,8040.00
1982-05-13,,,2497.50,,,8140.00
1982-05-14,,,2497.50,,,8710.00
1982-05-15,,,2497.50,,,9640.00
1982-05-16,,,2497.50,,,10600.00
1982-05-17,,,2497.50,,,11600.00
1982-05-18,,,2497.50,,,11600.00
1982-05-19,,,2497.50,,,11600.00
1982-05-20,,,2497.50,,,10700.00
1982-05-21,,,2497.50,,,10400.00
1982-05-22,,,2497.50,,,10700.00
1982-05-23,,,2497.50,,,11300.00
1982-05-24,,,2497.50,,,11600.00
1982-05-25,,,2497.50,,,11800.00
1982-05-26,,,2497.50,,,12700.00
1982-05-27,,,2497.50,,,13500.00
1982-05-28,,,2497.50,,,12000.00
1982-05-29,,,2497.50,,,10600.00
1982-05-30,,,2497.50,,,9410.00
1982-05-31,,,2497.50,,,8520.00
1982-06-01,,,2497.50,,,8180.00
1982-06-02,,,2497.50,,,8530.00
1982-06-03,,,2497.50,,,9220.00
1982-06-04,,,2497.50,,,9460.00
1982-06-05,,,2497.50,,,9470.00
1982-06-06,,,2497.50,,,9500.00
1982-06-07,,,2497.50,,,8590.00
1982-06-08,,,2497.50,,,8250.00
1982-06-09,,,2497.50,,,8010.00
1982-06-10,,,2497.50,,,8100.00
1982-06-11,,,2497.50,,,8950.00
1982-06-12,,,2497.50,,,9950.00
1982-06-13,,,2497.50,,,11200.00
1982-06-14,,,2497.50,,,12000.00
1982-06-15,,,2497.50,,,13000.00
1982-06-16,,,2497.50,,,13600.00
1982-06-17,,,2497.50,,,13400.00
1982-06-18,,,2497.50,,,13800.00
1982-06-19,,,2497.50,,,14000.00
1982-06-20,,,2497.50,,,13900.00
1982-06-21,,,2497.50,,,13800.00
1982-06-22,,,2497.50,,,13900.00
1982-06-23,,,2497.50,,,13900.00
1982-06-24,,,2497.50,,,13800.00
1982-06-25,,,2497.50,,,13900.00
1982-06-26,,,2497.50,,,13500.00
1982-06-27,,,2497.50,,,13000.00
1982-06-28,,,2497.50,,,13300.00
1982-06-29,,,2497.50,,,13300.00
1982-06-30,,,2497.50,,,12700.00
1982-07-01,,,2497.50,,,12400.00
1982-07-02,,,2497.50,,,12700.00
1982-07-03,,,2497.50,,,12600.00
1982-07-04,,,2497.50,,,12200.00
1982-07-05,,,2497.50,,,11700.00
1982-07-06,,,2497.50,,,10700.00
1982-07-07,,,2497.50,,,10200.00
1982-07-08,,,2497.50,,,10400.00
1982-07-09,,,2497.50,,,10100.00
1982-07-10,,,2497.50,,,9660.00
1982-07-11,,,2497.50,,,8500.00
1982-07-12,,,2497.50,,,7230.00
1982-07-13,,,2497.50,,,6540.00
1982-07-14,,,2497.50,,,6370.00
1982-07-15,,,2497.50,,,6160.00
1982-07-16,,,2497.50,,,5630.00
1982-07-17,,,2497.50,,,5170.00
1982-07-18,,,2497.50,,,4870.00
1982-07-19,,,2497.50,,,4370.00
1982-07-20,,,2497.50,,,3880.00
1982-07-21,,,2497.50,,,3600.00
1982-07-22,,,2497.50,,,3210.00
1982-07-23,,,2497.50,,,2980.00
1982-07-24,,,2497.50,,,2640.00
1982-07-25,,,2497.50,,,2390.00
1982-07-26,,,2497.50,,,2240.00
1982-07-27,,,2497.50,,,2110.00
1982-07-28,,,2497.50,,,2170.00
1982-07-29,,,2497.50,,,2310.00
1982-07-30,,,2497.50,,,2060.00
1982-07-31,,,2497.50,,,2080.00
1982-08-01,,,2497.50,,,2090.00
1982-08-02,,,2497.50,,,2050.00
1982-08-03,,,2497.50,,,2020.00
1982-08-04,,,2497.50,,,2030.00
1982-08-05,,,2497.50,,,2070.00
1982-08-06,,,2497.50,,,2040.00
1982-08-07,,,2497.50,,,2030.00
1982-08-08,,,2497.50,,,1990.00
1982-08-09,,,2497.50,,,2190.00
1982-08-10,,,2497.50,,,2150.00
1982-08-11,,,2497.50,,,2050.00
1982-08-12,,,2497.50,,,2030.00
1982-08-13,,,2497.50,,,1950.00
1982-08-14,,,2497.50,,,1970.00
1982-08-15,,,2497.50,,,1950.00
1982-08-16,,,2497.50,,,1900.00
1982-08-17,,,2497.50,,,1990.00
1982-08-18,,,2497.50,,,1960.00
1982-08-19,,,2497.50,,,1950.00
1982-08-20,,,2497.50,,,1980.00
1982-08-21,,,2497.50,,,2000.00
1982-08-22,,,2497.50,,,1960.00
1982-08-23,,,2497.50,,,1960.00
1982-08-24,,,2497.50,,,1970.00
1982-08-25,,,2497.50,,,1890.00
1982-08-26,,,2497.50,,,1970.00
1982-08-27,,,2497.50,,,2020.00
1982-08-28,,,2497.50,,,1950.00
1982-08-29,,,2497.50,,,1980.00
1982-08-30,,,2497.50,,,2060.00
1982-08-31,,,2497.50,,,2120.00
1982-09-01,,,2497.50,,,1990.00
1982-09-02,,,2497.50,,,1970.00
1982-09-03,,,2497.50,,,1960.00
1982-09-04,,,2497.50,,,2020.00
1982-09-05,,,2497.50,,,1990.00
1982-09-06,,,2497.50,,,2080.00
1982-09-07,,,2497.50,,,2100.00
1982-09-08,,,2497.50,,,2130.00
1982-09-09,,,2497.50,,,2130.00
1982-09-10,,,2497.50,,,2140.00
1982-09-11,,,2497.50,,,2170.00
1982-09-12,,,2497.50,,,2270.00
1982-09-13,,,2497.50,,,2370.00
1982-09-14,,,2497.50,,,2450.00
1982-09-15,,,2497.50,,,2400.00
1982-09-16,,,2497.50,,,2210.00
1982-09-17,,,2497.50,,,2210.00
1982-09-18,,,2497.50,,,2030.00
1982-09-19,,,2497.50,,,2060.00
1982-09-20,,,2497.50,,,2500.00
1982-09-21,,,2497.50,,,2580.00
1982-09-22,,,2497.50,,,2310.00
1982-09-23,,,2497.50,,,2200.00
1982-09-24,,,2497.50,,,2170.00
1982-09-25,,,2497.50,,,2210.00
1982-09-26,,,2497.50,,,2680.00
1982-09-27,,,2497.50,,,2760.00
1982-09-28,,,2497.50,,,2520.00
1982-09-29,,,2497.50,,,2680.00
1982-09-30,,,2497.50,,,2690.00
1982-10-01,,,2497.50,,,2530.00
1982-10-02,,,2497.50,,,2520.00
1982-10-03,,,2497.50,,,2500.00
1982-10-04,,,2497.50,,,2590.00
1982-10-05,,,2497.50,,,2750.00
1982-10-06,,,2497.50,,,2660.00
1982-10-07,,,2497.50,,,2670.00
1982-10-08,,,2497.50,,,2740.00
1982-10-09,,,2497.50,,,2670.00
1982-10-10,,,2497.50,,,2650.00
1982-10-11,,,2497.50,,,2610.00
1982-10-12,,,2497.50,,,2610.00
1982-10-13,,,2497.42,,,1590.00
1982-10-14,,,2497.42,,,871.00
1982-10-15,,,2497.44,,,1130.00
1982-10-16,,,2497.44,,,1210.00
1982-10-17,,,2497.44,,,1190.00
1982-10-18,,,2497.44,,,1170.00
1982-10-19,,,2497.44,,,1140.00
1982-10-20,,,2497.44,,,1140.00
1982-10-21,,,2497.44,,,1130.00
1982-10-22,,,2497.44,,,1220.00
1982-10-23,,,2497.48,,,1320.00
1982-10-24,,,2497.48,,,1720.00
1982-10-25,,,2497.06,,,1700.00
1982-10-26,,,2496.56,,,1730.00
1982-10-27,,,2496.02,,,2300.00
1982-10-28,,,2495.47,,,1900.00
1982-10-29,,,2495.00,,,1870.00
1982-10-30,,,2494.50,,,2120.00
1982-10-31,,,2494.00,,,1910.00
1982-11-01,,,2493.50,,,1780.00
1982-11-02,,,2493.33,,,1580.00
1982-11-03,,,2493.50,,,1590.00
1982-11-04,,,2493.50,,,2620.00
1982-11-05,,,2493.35,,,2440.00
1982-11-06,,,2493.02,,,1700.00
1982-11-07,,,2493.08,,,1360.00
1982-11-08,,,2493.25,,,1250.00
1982-11-09,,,2493.20,,,1330.00
1982-11-10,,,2493.14,,,1330.00
1982-11-11,,,2493.14,,,1280.00
1982-11-12,,,2493.23,,,1230.00
1982-11-13,,,2493.12,,,1200.00
1982-11-14,,,2493.15,,,1190.00
1982-11-15,,,2493.10,,,1040.00
1982-11-16,,,2493.10,,,1100.00
1982-11-17,,,2493.13,,,1270.00
1982-11-18,,,2493.33,,,1500.00
1982-11-19,,,2493.23,,,2300.00
1982-11-20,,,2493.13,,,2210.00
1982-11-21,,,2493.19,,,2000.00
1982-11-22,,,2493.01,,,1910.00
1982-11-23,,,2493.13,,,1690.00
1982-11-24,,,2493.10,,,1770.00
1982-11-25,,,2493.30,,,2130.00
1982-11-26,,,2494.43,,,2430.00
1982-11-27,,,2493.43,,,2540.00
1982-11-28,,,2493.50,,,2670.00
1982-11-29,,,2493.46,,,3200.00
1982-11-30,,,2493.07,,,3030.00
1982-12-01,,,2493.30,,,2130.00
1982-12-02,,,2493.36,,,2810.00
1982-12-03,,,2493.18,,,3160.00
1982-12-04,,,2493.41,,,3340.00
1982-12-05,,,2493.33,,,3500.00
1982-12-06,,,2493.23,,,4150.00
1982-12-07,,,2493.23,,,3240.00
1982-12-08,,,2493.17,,,2460.00
1982-12-09,,,2493.13,,,2180.00
1982-12-10,,,2493.28,,,2080.00
1982-12-11,,,2493.40,,,2110.00
1982-12-12,,,2493.36,,,2120.00
1982-12-13,,,2493.21,,,2340.00
1982-12-14,,,2493.21,,,2360.00
1982-12-15,,,2493.37,,,2690.00
1982-12-16,,,2493.27,,,3230.00
1982-12-17,,,2493.27,,,3850.00
1982-12-18,,,2493.13,,,3480.00
1982-12-19,,,2493.07,,,3150.00
1982-12-20,,,2493.07,,,3040.00
1982-12-21,,,2493.50,,,4510.00
1982-12-22,,,2493.24,,,6650.00
1982-12-23,,,2493.24,,,4880.00
1982-12-24,,,2493.12,,,3930.00
1982-12-25,,,2493.16,,,3360.00
1982-12-26,,,2493.35,,,3260.00
1982-12-27,,,2493.30,,,3330.00
1982-12-28,,,2493.25,,,2490.00
1982-12-29,,,2493.28,,,2280.00
1982-12-30,,,2493.14,,,2440.00
1982-12-31,,,2493.27,,,2540.00
1983-01-01,,,2493.12,,,2600.00
1983-01-02,,,2493.22,,,2410.00
1983-01-03,,,2493.30,,,2710.00
1983-01-04,,,2493.21,,,3040.00
1983-01-05,,,2493.32,,,3150.00
1983-01-06,,,2493.40,,,4400.00
1983-01-07,,,2493.27,,,7500.00
1983-01-08,,,2493.30,,,8000.00
1983-01-09,,,2493.30,,,5900.00
1983-01-10,,,2493.19,,,5200.00
1983-01-11,,,2493.19,,,4600.00
1983-01-12,,,2493.13,,,4100.00
1983-01-13,,,2493.18,,,3730.00
1983-01-14,,,2493.13,,,3570.00
1983-01-15,,,2493.17,,,3380.00
1983-01-16,,,2493.20,,,3290.00
1983-01-17,,,2493.20,,,3370.00
1983-01-18,,,2493.25,,,3270.00
1983-01-19,,,2493.30,,,3240.00
1983-01-20,,,2493.25,,,3260.00
1983-01-21,,,2493.30,,,3160.00
1983-01-22,,,2493.30,,,3120.00
1983-01-23,,,2493.30,,,3130.00
1983-01-24,,,2493.35,,,3110.00
1983-01-25,,,2493.25,,,3370.00
1983-01-26,,,2493.25,,,3150.00
1983-01-27,,,2493.35,,,3310.00
1983-01-28,,,2493.27,,,3470.00
1983-01-29,,,2493.31,,,3300.00
1983-01-30,,,2493.26,,,3310.00
1983-01-31,,,2493.21,,,3190.00
1983-02-01,,,2492.91,,,3120.00
1983-02-02,,,2492.56,,,3070.00
1983-02-03,,,2492.03,,,3040.00
1983-02-04,,,2492.03,,,2720.00
1983-02-05,,,2493.67,,,1960.00
1983-02-06,,,2493.13,,,2200.00
1983-02-07,,,2493.32,,,2040.00
1983-02-08,,,2493.28,,,2050.00
1983-02-09,,,2493.28,,,1980.00
1983-02-10,,,2493.28,,,2210.00
1983-02-11,,,2493.14,,,2050.00
1983-02-12,,,2493.30,,,1970.00
1983-02-13,,,2493.30,,,3310.00
1983-02-14,,,2493.20,,,2940.00
1983-02-15,,,2493.05,,,2530.00
1983-02-16,,,2493.00,,,3040.00
1983-02-17,,,2493.20,,,2820.00
1983-02-18,,,2493.15,,,2950.00
1983-02-19,,,2493.22,,,3300.00
1983-02-20,,,2493.20,,,2990.00
1983-02-21,,,2493.30,,,2920.00
1983-02-22,,,2493.45,,,2910.00
1983-02-23,,,2493.32,,,2960.00
1983-02-24,,,2493.42,,,2910.00
1983-02-25,,,2493.32,,,3120.00
1983-02-26,,,2493.42,,,3670.00
1983-02-27,,,2493.36,,,3730.00
1983-02-28,,,2493.08,,,3950.00
1983-03-01,,,2493.08,,,3790.00
1983-03-02,,,2493.17,,,4300.00
1983-03-03,,,2493.21,,,5390.00
1983-03-04,,,2493.09,,,5930.00
1983-03-05,,,2493.14,,,5670.00
1983-03-06,,,2493.14,,,5690.00
1983-03-07,,,2493.14,,,5690.00
1983-03-08,,,2493.11,,,5300.00
1983-03-09,,,2493.13,,,5080.00
1983-03-10,,,2493.33,,,5610.00
1983-03-11,,,2493.44,,,6920.00
1983-03-12,,,2493.09,,,9470.00
1983-03-13,,,2493.37,,,9220.00
1983-03-14,,,2493.18,,,9870.00
1983-03-15,,,2493.03,,,8350.00
1983-03-16,,,2493.03,,,7140.00
1983-03-17,,,2493.03,,,7520.00
1983-03-18,,,2493.15,,,7660.00
1983-03-19,,,2492.98,,,7120.00
1983-03-20,,,2493.05,,,6410.00
1983-03-21,,,2493.50,,,5970.00
1983-03-22,,,2494.00,,,5740.00
1983-03-23,,,2494.50,,,5800.00
1983-03-24,,,2495.00,,,5610.00
1983-03-25,,,2495.50,,,5350.00
1983-03-26,,,2496.00,,,5170.00
1983-03-27,,,2496.50,,,5200.00
1983-03-28,,,2497.00,,,5120.00
1983-03-29,,,2497.50,,,4930.00
1983-03-30,,,2497.50,,,7520.00
1983-03-31,,,2497.50,,,8520.00
1983-04-01,,,2497.50,,,7410.00
1983-04-02,,,2497.50,,,7310.00
1983-04-03,,,2497.50,,,6920.00
1983-04-04,,,2497.50,,,6280.00
1983-04-05,,,2497.50,,,5950.00
1983-04-06,,,2497.50,,,5820.00
1983-04-07,,,2497.50,,,5670.00
1983-04-08,,,2497.50,,,5650.00
1983-04-09,,,2497.50,,,5690.00
1983-04-10,,,2497.50,,,5740.00
1983-04-11,,,2497.50,,,5410.00
1983-04-12,,,2497.50,,,5230.00
1983-04-13,,,2497.50,,,5100.00
1983-04-14,,,2497.50,,,5030.00
1983-04-15,,,2497.50,,,4720.00
1983-04-16,,,2497.50,,,4800.00
1983-04-17,,,2497.50,,,5080.00
1983-04-18,,,2497.50,,,5370.00
1983-04-19,,,2497.50,,,5720.00
1983-04-20,,,2497.50,,,6710.00
1983-04-21,,,2497.50,,,7520.00
1983-04-22,,,2497.50,,,8310.00
1983-04-23,,,2497.50,,,9010.00
1983-04-24,,,2497.50,,,12700.00
1983-04-25,,,2497.50,,,13100.00
1983-04-26,,,2497.50,,,10600.00
1983-04-27,,,2497.50,,,9170.00
1983-04-28,,,2497.50,,,8450.00
1983-04-29,,,2497.50,,,8350.00
1983-04-30,,,2497.50,,,8910.00
1983-05-01,,,2497.50,,,9530.00
1983-05-02,,,2497.50,,,9980.00
1983-05-03,,,2497.50,,,10000.00
1983-05-04,,,2497.50,,,10200.00
1983-05-05,,,2497.50,,,11400.00
1983-05-06,,,2497.50,,,11700.00
1983-05-07,,,2497.50,,,9550.00
1983-05-08,,,2497.50,,,9030.00
1983-05-09,,,2497.50,,,8470.00
1983-05-10,,,2497.50,,,8210.00
1983-05-11,,,2497.50,,,7840.00
1983-05-12,,,2497.50,,,7250.00
1983-05-13,,,2497.50,,,6920.00
1983-05-14,,,2497.50,,,6770.00
1983-05-15,,,2497.50,,,6860.00
1983-05-16,,,2497.50,,,6790.00
1983-05-17,,,2497.50,,,6280.00
1983-05-18,,,2497.50,,,6430.00
1983-05-19,,,2497.50,,,6920.00
1983-05-20,,,2497.50,,,7350.00
1983-05-21,,,2497.50,,,8600.00
1983-05-22,,,2497.50,,,9530.00
1983-05-23,,,2497.50,,,10300.00
1983-05-24,,,2497.50,,,11400.00
1983-05-25,,,2497.50,,,12600.00
1983-05-26,,,2497.50,,,13800.00
1983-05-27,,,2497.50,,,14900.00
1983-05-28,,,2497.50,,,15900.00
1983-05-29,,,2497.50,,,17000.00
1983-05-30,,,2497.50,,,18000.00
1983-05-31,,,2497.50,,,17900.00
1983-06-01,,,2497.50,,,16300.00
1983-06-02,,,2497.50,,,15400.00
1983-06-03,,,2497.50,,,14700.00
1983-06-04,,,2497.50,,,14400.00
1983-06-05,,,2497.50,,,14000.00
1983-06-06,,,2497.50,,,13300.00
1983-06-07,,,2497.50,,,13000.00
1983-06-08,,,2497.50,,,13200.00
1983-06-09,,,2497.50,,,14300.00
1983-06-10,,,2497.50,,,14800.00
1983-06-11,,,2497.50,,,15000.00
1983-06-12,,,2497.50,,,14000.00
1983-06-13,,,2497.50,,,12000.00
1983-06-14,,,2497.50,,,11200.00
1983-06-15,,,2497.50,,,10800.00
1983-06-16,,,2497.50,,,10800.00
1983-06-17,,,2497.50,,,10600.00
1983-06-18,,,2497.50,,,10700.00
1983-06-19,,,2497.50,,,10500.00
1983-06-20,,,2497.50,,,9660.00
1983-06-21,,,2497.50,,,8930.00
1983-06-22,,,2497.50,,,8390.00
1983-06-23,,,2497.50,,,8330.00
1983-06-24,,,2497.50,,,8780.00
1983-06-25,,,2497.50,,,8930.00
1983-06-26,,,2497.50,,,8580.00
1983-06-27,,,2497.50,,,8660.00
1983-06-28,,,2497.50,,,9260.00
1983-06-29,,,2497.50,,,8540.00
1983-06-30,,,2497.50,,,8150.00
1983-07-01,,,2497.50,,,7960.00
1983-07-02,,,2497.50,,,10400.00
1983-07-03,,,2497.50,,,9490.00
1983-07-04,,,2497.50,,,8100.00
1983-07-05,,,2497.50,,,7450.00
1983-07-06,,,2497.50,,,7230.00
1983-07-07,,,2497.50,,,7470.00
1983-07-08,,,2497.50,,,7080.00
1983-07-09,,,2497.50,,,6120.00
1983-07-10,,,2497.50,,,5930.00
1983-07-11,,,2497.50,,,5440.00
1983-07-12,,,2497.50,,,4380.00
1983-07-13,,,2497.50,,,3900.00
1983-07-14,,,2497.50,,,3790.00
1983-07-15,,,2497.50,,,3850.00
1983-07-16,,,2497.50,,,3220.00
1983-07-17,,,2497.50,,,2850.00
1983-07-18,,,2497.50,,,2590.00
1983-07-19,,,2497.50,,,2420.00
1983-07-20,,,2497.50,,,2290.00
1983-07-21,,,2497.50,,,2280.00
1983-07-22,,,2497.50,,,2150.00
1983-07-23,,,2497.50,,,2140.00
1983-07-24,,,2497.50,,,2300.00
1983-07-25,,,2497.50,,,2160.00
1983-07-26,,,2497.50,,,2140.00
1983-07-27,,,2497.50,,,2140.00
1983-07-28,,,2497.50,,,2020.00
1983-07-29,,,2497.50,,,1990.00
1983-07-30,,,2497.50,,,2060.00
1983-07-31,,,2497.50,,,2120.00
1983-08-01,,,2497.50,,,2110.00
1983-08-02,,,2497.50,,,2090.00
1983-08-03,,,2497.50,,,2010.00
1983-08-04,,,2497.50,,,2120.00
1983-08-05,,,2497.50,,,2080.00
1983-08-06,,,2497.50,,,2030.00
1983-08-07,,,2497.50,,,1980.00
1983-08-08,,,2497.50,,,1930.00
1983-08-09,,,2497.50,,,2000.00
1983-08-10,,,2497.50,,,2110.00
1983-08-11,,,2497.50,,,2530.00
1983-08-12,,,2497.50,,,2350.00
1983-08-13,,,2497.50,,,2310.00
1983-08-14,,,2497.50,,,2260.00
1983-08-15,,,2497.50,,,2340.00
1983-08-16,,,2497.50,,,2400.00
1983-08-17,,,2497.50,,,2280.00
1983-08-18,,,2497.50,,,2220.00
1983-08-19,,,2497.50,,,2060.00
1983-08-20,,,2497.50,,,2150.00
1983-08-21,,,2497.50,,,2300.00
1983-08-22,,,2497.50,,,2310.00
1983-08-23,,,2497.50,,,2360.00
1983-08-24,,,2497.50,,,2400.00
1983-08-25,,,2497.50,,,2330.00
1983-08-26,,,2497.50,,,2290.00
1983-08-27,,,2497.50,,,2230.00
1983-08-28,,,2497.50,,,2190.00
1983-08-29,,,2497.50,,,2140.00
1983-08-30,,,2497.50,,,2090.00
1983-08-31,,,2497.50,,,2050.00
1983-09-01,,,2497.50,,,2210.00
1983-09-02,,,2497.50,,,2560.00
1983-09-03,,,2497.50,,,2240.00
1983-09-04,,,2497.50,,,1990.00
1983-09-05,,,2497.50,,,1850.00
1983-09-06,,,2497.50,,,1860.00
1983-09-07,,,2497.50,,,1900.00
1983-09-08,,,2497.50,,,1940.00
1983-09-09,,,2497.50,,,1910.00
1983-09-10,,,2497.50,,,1890.00
1983-09-11,,,2497.50,,,1930.00
1983-09-12,,,2497.50,,,1970.00
1983-09-13,,,2497.50,,,1930.00
1983-09-14,,,2497.50,,,1930.00
1983-09-15,,,2497.50,,,1910.00
1983-09-16,,,2497.50,,,1860.00
1983-09-17,,,2497.50,,,1610.00
1983-09-18,,,2497.50,,,2150.00
1983-09-19,,,2497.50,,,2290.00
1983-09-20,,,2497.50,,,2290.00
1983-09-21,,,2497.50,,,2220.00
1983-09-22,,,2497.50,,,2140.00
1983-09-23,,,2497.50,,,1980.00
1983-09-24,,,2497.50,,,1880.00
1983-09-25,,,2497.50,,,1900.00
1983-09-26,,,2497.50,,,1990.00
1983-09-27,,,2497.50,,,2050.00
1983-09-28,,,2497.50,,,2100.00
1983-09-29,,,2497.50,,,2020.00
1983-09-30,,,2497.50,,,2090.00
1983-10-01,,,2497.50,,,2460.00
1983-10-02,,,2497.50,,,2280.00
1983-10-03,,,2497.50,,,2260.00
1983-10-04,,,2497.50,,,2090.00
1983-10-05,,,2497.50,,,1970.00
1983-10-06,,,2497.50,,,1900.00
1983-10-07,,,2497.50,,,1890.00
1983-10-08,,,2497.50,,,1970.00
1983-10-09,,,2497.50,,,2010.00
1983-10-10,,,2497.50,,,2130.00
1983-10-11,,,2497.50,,,2100.00
1983-10-12,,,2497.50,,,2030.00
1983-10-13,,,2497.50,,,1910.00
1983-10-14,,,2497.50,,,1940.00
1983-10-15,,,2497.00,,,2310.00
1983-10-16,,,2496.50,,,2140.00
1983-10-17,,,2496.00,,,2110.00
1983-10-18,,,2495.50,,,2090.00
1983-10-19,,,2495.00,,,2060.00
1983-10-20,,,2494.50,,,2010.00
1983-10-21,,,2494.00,,,2020.00
1983-10-22,,,2493.50,,,1970.00
1983-10-23,,,2493.00,,,2000.00
1983-10-24,,,2494.73,,,1500.00
1983-10-25,,,2495.36,,,1670.00
1983-10-26,,,2494.88,,,2010.00
1983-10-27,,,2494.35,,,2000.00
