date,qu,gain,qd
1982-09-09,5932.25,1020.00,7210.00
1982-09-10,5252.46,680.00,6600.00
1982-09-11,5596.56,650.00,6580.00
1982-09-12,5389.49,520.00,6900.00
1982-09-13,5944.23,730.00,7130.00
1982-09-14,6386.72,720.00,7120.00
1982-09-15,6011.21,770.00,7150.00
1982-09-16,6920.38,760.00,7140.00
1982-09-17,6476.94,830.00,6980.00
1982-09-18,5886.70,640.00,6540.00
1982-09-19,5892.74,600.00,6510.00
1982-09-20,5246.39,590.00,6500.00
1982-09-21,5540.98,250.00,7060.00
1982-09-22,5298.35,570.00,7450.00
1982-09-23,4818.40,560.00,7450.00
1982-09-24,5124.64,550.00,7440.00
1982-09-25,5385.18,560.00,7450.00
1982-09-26,7096.26,720.00,7420.00
1982-09-27,7712.26,640.00,7530.00
1982-09-28,7549.83,380.00,8000.00
1982-09-29,7584.31,670.00,8280.00
1982-09-30,8113.64,630.00,8280.00
1982-10-01,7003.58,710.00,8350.00
1982-10-02,7217.01,660.00,8310.00
1982-10-03,6741.92,670.00,8300.00
1982-10-04,5954.78,640.00,8280.00
1982-10-05,6736.04,630.00,8280.00
1982-10-06,6078.14,620.00,8290.00
1982-10-07,6134.00,650.00,8310.00
1982-10-08,5975.68,600.00,8310.00
1982-10-09,5701.68,600.00,8300.00
1982-10-10,5552.76,570.00,8270.00
1982-10-11,5903.05,1240.00,7050.00
1982-10-12,5439.68,860.00,5590.00
1982-10-13,5829.78,910.00,4600.00
1982-10-14,5465.21,720.00,3700.00
1982-10-15,5249.37,530.00,3480.00
1982-10-16,5241.96,520.00,3470.00
1982-10-17,5276.78,510.00,3460.00
1982-10-18,4880.54,510.00,3460.00
1982-10-19,5389.76,510.00,3450.00
1982-10-20,4879.82,490.00,3440.00
1982-10-21,4595.22,500.00,3440.00
1982-10-22,5127.24,500.00,3450.00
1982-10-23,4912.59,500.00,3450.00
1982-10-24,4816.12,500.00,3440.00
1982-10-25,5132.03,500.00,3450.00
1982-10-26,4997.28,-80.00,4050.00
1982-10-27,5278.63,450.00,4880.00
1982-10-28,5161.93,420.00,4830.00
1982-10-29,4926.43,420.00,4880.00
1982-10-30,5909.82,500.00,5060.00
1982-10-31,5694.38,470.00,5100.00
1982-11-01,5273.63,460.00,5160.00
1982-11-02,5066.81,400.00,5280.00
1982-11-03,4574.90,440.00,5340.00
1982-11-04,4540.48,460.00,5350.00
1982-11-05,4504.53,450.00,5350.00
1982-11-06,4525.80,450.00,5340.00
1982-11-07,4740.02,440.00,5350.00
1982-11-08,4880.40,610.00,5080.00
1982-11-09,4523.40,450.00,4870.00
1982-11-10,4684.89,430.00,4850.00
1982-11-11,4364.28,420.00,4860.00
1982-11-12,4788.09,410.00,4840.00
1982-11-13,4247.13,540.00,4690.00
1982-11-14,4468.22,400.00,4520.00
1982-11-15,3792.27,400.00,4520.00
1982-11-16,4061.72,500.00,4420.00
1982-11-17,4319.02,440.00,4370.00
1982-11-18,4774.56,620.00,4200.00
1982-11-19,5043.43,530.00,4100.00
1982-11-20,4945.10,400.00,4200.00
1982-11-21,4454.99,470.00,4290.00
1982-11-22,4319.09,460.00,4280.00
1982-11-23,4327.40,440.00,4260.00
1982-11-24,3460.61,420.00,4240.00
1982-11-25,3467.60,410.00,4240.00
1982-11-26,3846.33,430.00,4260.00
1982-11-27,3908.68,590.00,4040.00
1982-11-28,4152.94,500.00,3920.00
1982-11-29,4404.02,510.00,3910.00
1982-11-30,4888.80,490.00,3900.00
1982-12-01,4424.78,500.00,3930.00
1982-12-02,4637.60,490.00,3910.00
1982-12-03,3917.36,480.00,3900.00
1982-12-04,4486.08,500.00,3910.00
1982-12-05,4440.65,490.00,3910.00
1982-12-06,4725.18,530.00,3950.00
1982-12-07,4636.97,490.00,3920.00
1982-12-08,3891.93,420.00,3840.00
1982-12-09,3343.56,370.00,3960.00
1982-12-10,3595.01,490.00,4040.00
1982-12-11,3669.96,450.00,4000.00
1982-12-12,3058.07,250.00,4250.00
1982-12-13,3806.94,470.00,4500.00
1982-12-14,4700.51,460.00,4480.00
1982-12-15,4395.93,460.00,4480.00
1982-12-16,5009.97,530.00,4460.00
1982-12-17,3883.66,470.00,4320.00
1982-12-18,4451.72,480.00,4300.00
1982-12-19,4041.32,450.00,4290.00
1982-12-20,4312.53,470.00,4290.00
1982-12-21,5100.90,520.00,4340.00
1982-12-22,4937.60,520.00,4340.00
1982-12-23,4605.35,520.00,4340.00
1982-12-24,4378.85,490.00,4310.00
1982-12-25,3768.80,450.00,4280.00
1982-12-26,3034.26,450.00,4290.00
1982-12-27,3896.55,240.00,4390.00
1982-12-28,3473.30,250.00,4980.00
1982-12-29,2490.78,340.00,5980.00
1982-12-30,3246.08,620.00,6290.00
1982-12-31,3012.38,610.00,6310.00
1983-01-01,3196.39,650.00,6330.00
1983-01-02,3224.55,650.00,6340.00
1983-01-03,3585.55,650.00,6330.00
1983-01-04,4812.60,670.00,6370.00
1983-01-05,5608.94,970.00,5700.00
1983-01-06,5450.89,610.00,5260.00
1983-01-07,4885.93,600.00,5280.00
1983-01-08,4764.28,640.00,5320.00
1983-01-09,4327.86,600.00,5270.00
1983-01-10,4302.99,570.00,5250.00
1983-01-11,3921.74,550.00,5220.00
1983-01-12,3869.34,530.00,5200.00
1983-01-13,3511.66,530.00,5190.00
1983-01-14,3866.48,520.00,5200.00
1983-01-15,3425.26,510.00,5180.00
1983-01-16,3313.18,500.00,5180.00
1983-01-17,3267.08,530.00,5210.00
1983-01-18,4268.37,530.00,5200.00
1983-01-19,3813.82,530.00,5200.00
1983-01-20,3526.33,510.00,5190.00
1983-01-21,3539.98,520.00,5200.00
1983-01-22,3962.14,530.00,5200.00
1983-01-23,3855.44,530.00,5200.00
1983-01-24,4320.33,510.00,5200.00
1983-01-25,4216.89,760.00,4850.00
1983-01-26,3792.40,470.00,4540.00
1983-01-27,3436.79,480.00,4540.00
1983-01-28,4053.75,510.00,4570.00
1983-01-29,3485.71,480.00,4540.00
1983-01-30,3645.77,510.00,4550.00
1983-01-31,3475.03,490.00,4530.00
1983-02-01,3600.74,490.00,4540.00
1983-02-02,3672.57,530.00,4450.00
1983-02-03,3243.91,460.00,4380.00
1983-02-04,2873.91,450.00,4370.00
1983-02-05,2944.58,440.00,4370.00
1983-02-06,2636.58,450.00,4370.00
1983-02-07,4214.44,590.00,4560.00
1983-02-08,4022.39,430.00,4480.00
1983-02-09,3962.44,600.00,4620.00
1983-02-10,4340.07,530.00,4490.00
1983-02-11,4081.49,510.00,4460.00
1983-02-12,3435.12,510.00,4470.00
1983-02-13,3171.83,820.00,3990.00
1983-02-14,3720.00,560.00,3720.00
1983-02-15,3586.37,540.00,3700.00
1983-02-16,3749.07,550.00,3710.00
1983-02-17,4250.47,530.00,3710.00
1983-02-18,4062.26,540.00,3710.00
1983-02-19,3798.71,550.00,3720.00
1983-02-20,3571.73,520.00,3690.00
1983-02-21,3162.07,680.00,3430.00
1983-02-22,3573.45,540.00,3270.00
1983-02-23,3402.73,570.00,3290.00
1983-02-24,3299.75,540.00,3260.00
1983-02-25,3230.49,580.00,3310.00
1983-02-26,3652.85,590.00,3310.00
1983-02-27,3288.90,570.00,3290.00
1983-02-28,3658.20,580.00,3310.00
1983-03-01,4376.78,550.00,3370.00
1983-03-02,3935.69,760.00,3470.00
1983-03-03,3949.04,760.00,3490.00
1983-03-04,3673.05,710.00,3440.00
1983-03-05,3813.04,700.00,3430.00
1983-03-06,3592.12,700.00,3400.00
1983-03-07,3904.95,650.00,3400.00
1983-03-08,3387.60,610.00,3350.00
1983-03-09,4025.42,640.00,3370.00
1983-03-10,3623.75,640.00,3390.00
1983-03-11,4690.27,1350.00,2910.00
1983-03-12,4291.67,850.00,2350.00
1983-03-13,4758.18,840.00,2340.00
1983-03-14,5365.47,900.00,2400.00
1983-03-15,4246.06,780.00,2280.00
1983-03-16,4248.11,730.00,2230.00
1983-03-17,4187.23,710.00,2210.00
1983-03-18,4274.88,710.00,2210.00
1983-03-19,4308.45,690.00,2200.00
1983-03-20,2981.77,-430.00,3380.00
1983-03-21,2725.86,-210.00,6070.00
1983-03-22,3838.19,760.00,7400.00
1983-03-23,3900.31,770.00,7440.00
1983-03-24,3527.47,760.00,7430.00
1983-03-25,3890.56,730.00,7460.00
1983-03-26,4053.63,750.00,7480.00
1983-03-27,3798.25,770.00,7480.00
1983-03-28,3857.81,740.00,7510.00
1983-03-29,3680.04,730.00,7500.00
1983-03-30,4316.57,860.00,7660.00
1983-03-31,5397.95,900.00,7690.00
1983-04-01,4251.23,790.00,7580.00
1983-04-02,4166.30,800.00,7590.00
1983-04-03,4086.18,780.00,7600.00
1983-04-04,4257.82,740.00,7550.00
1983-04-05,3695.25,720.00,7540.00
1983-04-06,3685.82,720.00,7350.00
1983-04-07,4686.97,1770.00,5510.00
1983-04-08,3519.07,550.00,4080.00
1983-04-09,3703.34,540.00,4070.00
1983-04-10,3880.87,530.00,4070.00
1983-04-11,3965.29,530.00,4070.00
1983-04-12,3638.79,320.00,4340.00
1983-04-13,3589.98,180.00,5090.00
1983-04-14,3112.26,260.00,6230.00
1983-04-15,3677.94,680.00,6740.00
1983-04-16,3269.79,110.00,7930.00
1983-04-17,4114.82,830.00,8750.00
1983-04-18,4536.91,850.00,8800.00
1983-04-19,5189.77,890.00,8870.00
1983-04-20,5962.45,1000.00,8970.00
1983-04-21,7023.49,1130.00,9090.00
1983-04-22,8730.39,1420.00,9460.00
1983-04-23,9468.23,1490.00,9520.00
1983-04-24,10778.07,1650.00,9680.00
1983-04-25,10565.90,930.00,10100.00
1983-04-26,10072.02,1520.00,11400.00
1983-04-27,8925.85,800.00,11400.00
1983-04-28,9419.11,1300.00,13100.00
1983-04-29,9295.81,1300.00,13200.00
1983-04-30,10762.03,1100.00,13600.00
1983-05-01,11251.50,1600.00,14400.00
1983-05-02,12045.49,1300.00,14500.00
1983-05-03,12181.02,1800.00,15600.00
1983-05-04,12699.77,1800.00,15600.00
1983-05-05,13328.70,1900.00,15700.00
1983-05-06,12469.52,1700.00,15800.00
1983-05-07,11676.93,1700.00,16400.00
1983-05-08,13086.35,1700.00,16400.00
1983-05-09,13318.16,1800.00,16500.00
1983-05-10,12937.24,1600.00,16300.00
1983-05-11,11787.08,1400.00,16100.00
1983-05-12,11270.95,1500.00,16200.00
1983-05-13,10628.31,1500.00,16200.00
1983-05-14,9631.70,1400.00,16100.00
1983-05-15,9543.12,1400.00,16100.00
1983-05-16,9447.75,1400.00,16100.00
1983-05-17,9692.40,1300.00,16000.00
1983-05-18,9971.08,1500.00,16200.00
1983-05-19,10706.16,1500.00,16200.00
1983-05-20,13082.94,1600.00,16300.00
1983-05-21,11270.16,2200.00,16100.00
1983-05-22,15170.28,2200.00,15000.00
1983-05-23,17164.79,2200.00,14600.00
1983-05-24,20627.72,2300.00,15200.00
1983-05-25,25486.67,2800.00,16700.00
1983-05-26,29991.97,3400.00,17700.00
1983-05-27,34699.41,3500.00,17900.00
1983-05-28,37889.62,3600.00,18000.00
1983-05-29,40312.37,3700.00,18000.00
1983-05-30,42994.91,3600.00,17900.00
1983-05-31,40806.93,2900.00,17800.00
1983-06-01,35282.48,2500.00,18200.00
1983-06-02,32381.07,2000.00,18700.00
1983-06-03,31154.41,2100.00,19600.00
