date,qt,qu,fb,mm,mx,mn,af,qj,qd
1982-05-05,,,2240.80,,,,38838.50,,
1982-05-06,,,2240.75,,,,38798.25,,
1982-05-07,,,2240.70,,,,38758.00,,
1982-05-08,,,2240.73,,,,38784.67,,
1982-05-09,,,2240.77,,,,38811.33,,
1982-05-10,,,2240.80,,,,38838.00,,
1982-05-11,,,2240.85,,,,38878.50,,
1982-05-12,,,2240.90,,,,38919.00,,
1982-05-13,,,2240.90,,,,38919.00,,
1982-05-14,,,2240.80,,,,38839.00,,
1982-05-15,,,2240.70,,,,38759.00,,
1982-05-16,,,2240.60,,,,38679.00,,
1982-05-17,,,2240.50,,,,38599.00,,
1982-05-18,,,2240.40,,,,38520.50,,
1982-05-19,,,2240.30,,,,38442.00,,
1982-05-20,,,2240.20,,,,38364.67,,
1982-05-21,,,2240.10,,,,38287.33,,
1982-05-22,,,2240.00,,,,38210.00,,
1982-05-23,,,2239.77,,,,38028.00,,
1982-05-24,,,2239.53,,,,37846.00,,
1982-05-25,,,2239.30,,,,37664.00,,
1982-05-26,,,2239.05,,,,37482.00,,
1982-05-27,,,2238.80,,,,37300.00,,
1982-05-28,,,2238.80,,,,37300.00,,
1982-05-29,,,2238.57,,,,37125.00,,
1982-05-30,,,2238.33,,,,36950.00,,
1982-05-31,,,2238.10,,,,36775.00,,
1982-06-01,,,2237.83,,,,36569.00,,
1982-06-02,,,2237.55,,,,36363.00,,
1982-06-03,,,2237.28,,,,36157.00,,
1982-06-04,,,2237.00,,,,35951.00,,
1982-06-05,,,2236.80,,,,35803.00,,
1982-06-06,,,2236.65,,,,35692.00,,
1982-06-07,,,2236.50,,,,35581.00,,
1982-06-08,,,2236.30,,,,35433.00,,
1982-06-09,,,2236.30,,,,35433.00,,
1982-06-10,,,2236.30,,,,35433.00,,
1982-06-11,,,2236.15,,,,35322.00,,
1982-06-12,,,2236.00,,,,35211.00,,
1982-06-13,,,2235.75,,,,35026.00,,
1982-06-14,,,2235.50,,,,34841.00,,
1982-06-15,,,2235.50,,,,34841.00,,
1982-06-16,,,2235.40,,,,34767.00,,
1982-06-17,,,2235.20,,,,34620.00,,
1982-06-18,,,2235.00,,,,34473.00,,
1982-06-19,,,2234.80,,,,34326.00,,
1982-06-20,,,2234.50,,,,34107.00,,
1982-06-21,,,2234.20,,,,33888.00,,
1982-06-22,,,2234.10,,,,33815.00,,
1982-06-23,,,2234.00,,,,33742.00,,
1982-06-24,,,2233.90,,,,33669.00,,
1982-06-25,,,2233.70,,,,33523.00,,
1982-06-26,,,2233.47,,,,33355.00,,
1982-06-27,,,2233.23,,,,33187.00,,
1982-06-28,,,2233.00,,,,33019.00,,
1982-06-29,,,2232.90,,,,32947.00,,
1982-06-30,,,2232.80,,,,32875.00,,
1982-07-01,,,2232.70,,,,32803.00,,
1982-07-02,,,2232.60,,,,32731.00,,
1982-07-03,,,2232.40,,,,32446.00,,
1982-07-04,,,2232.20,,,,32091.00,,
1982-07-05,,,2231.95,,,,31878.00,,
1982-07-06,,,2231.70,,,,31738.00,,
1982-07-07,,,2231.55,,,,31598.00,,
1982-07-08,,,2231.40,,,,31390.50,,
1982-07-09,,,2231.20,,,,31183.00,,
1982-07-10,,,2231.00,,,,30910.00,,
1982-07-11,,,2230.70,,,,30706.00,,
1982-07-12,,,2230.40,,,,30503.00,,
1982-07-13,,,2230.00,,,,29570.00,,
1982-07-14,,,2229.70,,,,29438.00,,
1982-07-15,,,2229.40,,,,29306.00,,
1982-07-16,,,2229.05,,,,29372.00,,
1982-07-17,,,2228.70,,,,29438.00,,
1982-07-18,,,2228.35,,,,29504.00,,
1982-07-19,,,2228.00,,,,29570.00,,
1982-07-20,,,2227.60,,,,29306.00,,
1982-07-21,,,2227.00,,,,28916.00,,
1982-07-22,,,2226.54,,,,28623.00,,
1982-07-23,,,2226.08,,,,28330.00,,
1982-07-24,,,2225.62,,,,28037.00,,
1982-07-25,,,2225.16,,,,27744.00,,
1982-07-26,,,2224.70,,,,27451.00,,
1982-07-27,,,2224.30,,,,27163.00,,
1982-07-28,,,2223.80,,,,26875.00,,
1982-07-29,,,2223.30,,,,26587.00,,
1982-07-30,,,2222.80,,,,26283.50,,
1982-07-31,,,2222.30,,,,25980.00,,
1982-08-01,,,2221.50,,,,25504.00,,
1982-08-02,,,2220.70,,,,25028.00,,
1982-08-03,,,2220.10,,,,24680.00,,
1982-08-04,,,2219.50,,,,24332.00,,
1982-08-05,,,2218.90,,,,23994.60,,
1982-08-06,,,2218.30,,,,23657.20,,
1982-08-07,,,2217.70,,,,23319.80,,
1982-08-08,,,2217.10,,,,22982.40,,
1982-08-09,,,2216.50,,,,22645.00,,
1982-08-10,,,2216.00,,,,22371.00,,
1982-08-11,,,2215.40,,,,22044.00,,
1982-08-12,,,2214.85,,,,21749.00,,
1982-08-13,,,2214.30,,,,21454.00,,
1982-08-14,,,2213.60,,,,21087.33,,
1982-08-15,,,2212.90,,,,20720.67,,
1982-08-16,,,2212.20,,,,20354.00,,
1982-08-17,,,2211.80,,,,20149.00,,
1982-08-18,,,2211.20,,,,19844.50,,
1982-08-19,,,2210.60,,,,19540.00,,
1982-08-20,,,2210.10,,,,19290.00,,
1982-08-21,,,2209.37,,,,18933.33,,
1982-08-22,,,2208.63,,,,18576.67,,
1982-08-23,,,2207.90,,,,18220.00,,
1982-08-24,,,2207.20,,,,17887.50,,
1982-08-25,,,2206.50,,,,17555.00,,
1982-08-26,,,2205.80,,,,17228.00,,
1982-08-27,,,2205.30,,,,16996.33,,
1982-08-28,,,2204.80,,,,16764.67,,
1982-08-29,,,2204.30,,,,16533.00,,
1982-08-30,,,2203.40,,,,16140.00,,
1982-08-31,,,2202.90,,,,15921.33,,
1982-09-01,,,2202.40,,,,15702.67,,
1982-09-02,,,2201.90,,,,15484.00,,
1982-09-03,,,2201.05,,,,15131.25,,
1982-09-04,,,2200.20,,,,14778.50,,
1982-09-05,,,2199.35,,,,14425.75,,
1982-09-06,,,2198.50,,,,14073.00,,
1982-09-07,,,2197.60,,,,13717.00,,
1982-09-08,,,2196.93,,,,13459.67,,
1982-09-09,,,2196.27,,,,13202.33,,
1982-09-10,,,2195.60,,,,12945.00,,
1982-09-11,,,2194.80,,,,12648.33,,
1982-09-12,,,2194.00,,,,12351.67,,
1982-09-13,,,2193.20,,,,12055.00,,
1982-09-14,,,2192.65,,,,11857.50,,
1982-09-15,,,2192.10,,,,11660.00,,
1982-09-16,,,2191.70,,,,11519.00,,
1982-09-17,,,2191.25,,,,11362.00,,
1982-09-18,,,2190.80,,,,11205.00,,
1982-09-19,,,2190.20,,,,10998.00,,
1982-09-20,,,2189.50,,,,10764.00,,
1982-09-21,,,2189.37,,,,10720.00,,
1982-09-22,,,2189.23,,,,10676.00,,
1982-09-23,,,2189.10,,,,10632.00,,
1982-09-24,,,2188.90,,,,10566.00,,
1982-09-25,,,2188.53,,,,10447.33,,
1982-09-26,,,2188.17,,,,10328.67,,
1982-09-27,,,2187.80,,,,10210.00,,
1982-09-28,,,2187.73,,,,10188.67,,
1982-09-29,,,2187.67,,,,10167.33,,
1982-09-30,,,2187.60,,,,10146.00,,
1982-10-01,,,2187.70,,,,10178.00,,
1982-10-02,,,2187.80,,,,10210.00,,
1982-10-03,,,2187.90,,,,10242.00,,
1982-10-04,,,2188.00,,,,10274.00,,
1982-10-05,,,2188.34,,,,10387.29,,
1982-10-06,,,2188.69,,,,10500.57,,
1982-10-07,,,2189.03,,,,10613.86,,
1982-10-08,,,2189.37,,,,10727.14,,
1982-10-09,,,2189.71,,,,10840.43,,
1982-10-10,,,2190.06,,,,10953.71,,
1982-10-11,,,2190.40,,,,11067.00,,
1982-10-12,,,2190.74,,,,11187.43,,
1982-10-13,,,2191.09,,,,11307.86,,
1982-10-14,,,2191.43,,,,11428.29,,
1982-10-15,,,2191.77,,,,11548.71,,
1982-10-16,,,2192.11,,,,11669.14,,
1982-10-17,,,2192.46,,,,11789.57,,
1982-10-18,,,2192.80,,,,11910.00,,
1982-10-19,,,2193.04,,,,11998.86,,
1982-10-20,,,2193.29,,,,12087.71,,
1982-10-21,,,2193.53,,,,12176.57,,
1982-10-22,,,2193.77,,,,12265.43,,
1982-10-23,,,2194.01,,,,12354.29,,
1982-10-24,,,2194.26,,,,12443.14,,
1982-10-25,,,2194.50,,,,12532.00,,
1982-10-26,,,2194.80,,,,12645.57,,
1982-10-27,,,2195.10,,,,12759.14,,
1982-10-28,,,2195.40,,,,12872.71,,
1982-10-29,,,2195.70,,,,12986.29,,
1982-10-30,,,2196.00,,,,13099.86,,
1982-10-31,,,2196.30,,,,13213.43,,
1982-11-01,,,2196.60,,,,13327.00,,
1982-11-02,,,2196.89,,,,13439.29,,
1982-11-03,,,2197.17,,,,13551.57,,
1982-11-04,,,2197.46,,,,13663.86,,
1982-11-05,,,2197.74,,,,13776.14,,
1982-11-06,,,2198.03,,,,13888.43,,
1982-11-07,,,2198.31,,,,14000.71,,
1982-11-08,,,2198.60,,,,14113.00,,
1982-11-09,,,2198.73,,,,14164.86,,
1982-11-10,,,2198.86,,,,14216.71,,
1982-11-11,,,2198.99,,,,14268.57,,
1982-11-12,,,2199.11,,,,14320.43,,
1982-11-13,,,2199.24,,,,14372.29,,
1982-11-14,,,2199.37,,,,14424.14,,
1982-11-15,,,2199.50,,,,14476.00,,
1982-11-16,,,2199.83,,,,14613.86,,
1982-11-17,,,2200.16,,,,14751.71,,
1982-11-18,,,2200.49,,,,14889.57,,
1982-11-19,,,2200.81,,,,15027.43,,
1982-11-20,,,2201.14,,,,15165.29,,
1982-11-21,,,2201.47,,,,15303.14,,
1982-11-22,,,2201.80,,,,15441.00,,
1982-11-23,,,2202.04,,,,15547.14,,
1982-11-24,,,2202.29,,,,15653.29,,
1982-11-25,,,2202.53,,,,15759.43,,
1982-11-26,,,2202.77,,,,15865.57,,
1982-11-27,,,2203.01,,,,15971.71,,
1982-11-28,,,2203.26,,,,16077.86,,
1982-11-29,,,2203.50,,,,16184.00,,
1982-11-30,,,2204.00,,,,16410.50,,
1982-12-01,,,2204.50,,,,16637.00,,
1982-12-02,,,2205.00,,,,16863.50,,
1982-12-03,,,2205.50,,,,17090.00,,
1982-12-04,,,2205.83,,,,17245.00,,
1982-12-05,,,2206.17,,,,17400.00,,
1982-12-06,,,2206.50,,,,17555.00,,
1982-12-07,,,2206.74,,,,17670.57,,
1982-12-08,,,2206.99,,,,17786.14,,
1982-12-09,,,2207.23,,,,17901.71,,
1982-12-10,,,2207.47,,,,18017.29,,
1982-12-11,,,2207.71,,,,18132.86,,
1982-12-12,,,2207.96,,,,18248.43,,
1982-12-13,,,2208.20,,,,18364.00,,
1982-12-14,,,2209.07,,,,18789.67,,
1982-12-15,,,2209.93,,,,19215.33,,
1982-12-16,,,2210.80,,,,19641.00,,
1982-12-17,,,2215.50,,,,22099.00,,
1982-12-18,,,2215.80,,,,22262.00,,
1982-12-19,,,2214.90,,,,21778.50,,
1982-12-20,,,2214.00,,,,21295.00,,
1982-12-21,,,2213.60,,,,21083.00,,
1982-12-22,,,2213.00,,,,20769.00,,
1982-12-23,,,2213.10,,,,20821.00,,
1982-12-24,,,2211.60,,,,20066.00,,
1982-12-25,,,2210.10,,,,19311.00,,
1982-12-26,,,2208.60,,,,18556.00,,
1982-12-27,,,2208.50,,,,18508.00,,
1982-12-28,,,2209.00,,,,18749.00,,
1982-12-29,,,2209.50,,,,18990.00,,
1982-12-30,,,2209.80,,,,19140.00,,
1982-12-31,,,2210.10,,,,19290.00,,
1983-01-01,,,2210.30,,,,19390.00,,
1983-01-02,,,2210.50,,,,19490.00,,
1983-01-03,,,2210.70,,,,19590.00,,
1983-01-04,,,2211.19,,,,19841.14,,
1983-01-05,,,2211.67,,,,20092.29,,
1983-01-06,,,2212.16,,,,20343.43,,
1983-01-07,,,2212.64,,,,20594.57,,
1983-01-08,,,2213.13,,,,20845.71,,
1983-01-09,,,2213.61,,,,21096.86,,
1983-01-10,,,2214.10,,,,21348.00,,
1983-01-11,,,2214.55,,,,21588.50,,
1983-01-12,,,2215.00,,,,21829.00,,
1983-01-13,,,2215.30,,,,21992.20,,
1983-01-14,,,2215.60,,,,22155.40,,
1983-01-15,,,2215.90,,,,22318.60,,
1983-01-16,,,2216.20,,,,22481.80,,
1983-01-17,,,2216.50,,,,22645.00,,
1983-01-18,,,2216.93,,,,22886.00,,
1983-01-19,,,2217.36,,,,23127.00,,
1983-01-20,,,2217.79,,,,23368.00,,
1983-01-21,,,2218.21,,,,23609.00,,
1983-01-22,,,2218.64,,,,23850.00,,
1983-01-23,,,2219.07,,,,24091.00,,
1983-01-24,,,2219.50,,,,24332.00,,
1983-01-25,,,2220.10,,,,24680.50,,
1983-01-26,,,2220.70,,,,25029.00,,
1983-01-27,,,2222.50,,,,26100.00,,
1983-01-28,,,2222.50,,,,26100.00,,
1983-01-29,,,2221.83,,,,25703.33,,
1983-01-30,,,2221.17,,,,25306.67,,
1983-01-31,,,2220.50,,,,24910.00,,
1983-02-01,,,2220.80,,,,25087.00,,
1983-02-02,,,2221.23,,,,25344.67,,
1983-02-03,,,2221.67,,,,25602.33,,
1983-02-04,,,2222.10,,,,25860.00,,
1983-02-05,,,2222.33,,,,26000.67,,
1983-02-06,,,2222.57,,,,26141.33,,
1983-02-07,,,2222.80,,,,26282.00,,
1983-02-08,,,2223.70,,,,26839.67,,
1983-02-09,,,2224.60,,,,27397.33,,
1983-02-10,,,2225.50,,,,27955.00,,
1983-02-11,,,2226.30,,,,28474.75,,
1983-02-12,,,2227.10,,,,28994.50,,
1983-02-13,,,2227.90,,,,29514.25,,
1983-02-14,,,2228.70,,,,30034.00,,
1983-02-15,,,2229.65,,,,30690.25,,
1983-02-16,,,2230.60,,,,31346.50,,
1983-02-17,,,2231.55,,,,32002.75,,
1983-02-18,,,2232.50,,,,32659.00,,
1983-02-19,,,2232.53,,,,32683.00,,
1983-02-20,,,2232.57,,,,32707.00,,
1983-02-21,,,2232.60,,,,32731.00,,
1983-02-22,,,2232.45,,,,32624.00,,
1983-02-23,,,2232.30,,,,32517.00,,
1983-02-24,,,2232.30,,,,32517.00,,
1983-02-25,,,2232.30,,,,32517.00,,
1983-02-26,,,2231.63,,,,32049.33,,
1983-02-27,,,2230.97,,,,31581.67,,
1983-02-28,,,2230.30,,,,31114.00,,
1983-03-01,,,2231.20,,,,31749.00,,
1983-03-02,,,2232.10,,,,32384.00,,
1983-03-03,,,2233.00,,,,33019.00,,
1983-03-04,,,2233.58,,,,33437.50,,
1983-03-05,,,2234.15,,,,33856.00,,
1983-03-06,,,2234.73,,,,34274.50,,
1983-03-07,,,2235.30,,,,34693.00,,
1983-03-08,,,2235.80,,,,35063.00,,
1983-03-09,,,2236.50,,,,35581.00,,
1983-03-10,,,2237.10,,,,36028.00,,
1983-03-11,,,2237.70,,,,36475.00,,
1983-03-12,,,2238.60,,,,37156.67,,
1983-03-13,,,2239.50,,,,37838.33,,
1983-03-14,,,2240.40,,,,38520.00,,
1983-03-15,,,2240.60,,,,38678.00,,
1983-03-16,,,2240.00,,,,38210.00,,
1983-03-17,,,2240.00,,,,38210.00,,
1983-03-18,,,2239.80,,,,38058.00,,
1983-03-19,,,2239.80,,,,38058.00,,
1983-03-20,,,2239.80,,,,38058.00,,
1983-03-21,,,2239.80,,,,38058.00,,
1983-03-22,,,2239.80,,,,38058.00,,
1983-03-23,,,2239.80,,,,38058.00,,
1983-03-24,,,2239.90,,,,38134.00,,
1983-03-25,,,2240.00,,,,38210.00,,
1983-03-26,,,2240.40,,,,38520.00,,
1983-03-27,,,2239.60,,,,37906.00,,
1983-03-28,,,2239.80,,,,38058.00,,
1983-03-29,,,2240.55,,,,38529.00,,
1983-03-30,,,2241.30,,,,39000.00,,
1983-03-31,,,2241.10,,,,39000.00,,
1983-04-01,,,2241.07,,,,38980.13,,
1983-04-02,,,2241.04,,,,38960.25,,
1983-04-03,,,2241.02,,,,38940.38,,
1983-04-04,,,2240.99,,,,38920.50,,
1983-04-05,,,2240.96,,,,38900.63,,
1983-04-06,,,2240.93,,,,38880.75,,
1983-04-07,,,2240.90,,,,38860.88,,
1983-04-08,,,2240.88,,,,38841.00,,
1983-04-09,,,2240.85,,,,38821.13,,
1983-04-10,,,2240.82,,,,38801.25,,
1983-04-11,,,2240.79,,,,38781.38,,
1983-04-12,,,2240.76,,,,38761.50,,
1983-04-13,,,2240.73,,,,38741.63,,
1983-04-14,,,2240.71,,,,38721.75,,
1983-04-15,,,2240.68,,,,38701.88,,
1983-04-16,,,2240.65,,,,38682.00,,
1983-04-17,,,2240.62,,,,38662.13,,
1983-04-18,,,2240.59,,,,38642.25,,
1983-04-19,,,2240.57,,,,38622.38,,
1983-04-20,,,2240.54,,,,38602.50,,
1983-04-21,,,2240.51,,,,38582.63,,
1983-04-22,,,2240.48,,,,38562.75,,
1983-04-23,,,2240.45,,,,38542.88,,
1983-04-24,,,2240.43,,,,38523.00,,
1983-04-25,,,2240.40,,,,38503.13,,
1983-04-26,,,2240.37,,,,38483.25,,
1983-04-27,,,2240.34,,,,38463.38,,
1983-04-28,,,2240.31,,,,38443.50,,
1983-04-29,,,2240.28,,,,38423.63,,
1983-04-30,,,2240.26,,,,38403.75,,
1983-05-01,,,2240.23,,,,38383.88,,
1983-05-02,,,2240.20,,,,38364.00,,
1983-05-03,,,2240.30,,,,38442.00,,
1983-05-04,,,2240.40,,,,38520.00,,
1983-05-05,,,2240.50,,,,38599.00,,
1983-05-06,,,2240.48,,,,38579.25,,
1983-05-07,,,2240.45,,,,38559.50,,
1983-05-08,,,2240.43,,,,38539.75,,
1983-05-09,,,2240.40,,,,38520.00,,
1983-05-10,,,2240.40,,,,38520.00,,
1983-05-11,,,2240.30,,,,38599.00,,
1983-05-12,,,2240.38,,,,38630.80,,
1983-05-13,,,2240.46,,,,38662.60,,
1983-05-14,,,2240.54,,,,38694.40,,
1983-05-15,,,2240.62,,,,38726.20,,
1983-05-16,,,2240.70,,,,38758.00,,
1983-05-17,,,2240.40,,,,38520.00,,
1983-05-18,,,2240.50,,,,38599.00,,
1983-05-19,,,2240.50,,,,38599.00,,
1983-05-20,,,2240.43,,,,38540.25,,
1983-05-21,,,2240.35,,,,38481.50,,
1983-05-22,,,2240.28,,,,38422.75,,
1983-05-23,,,2240.20,,,,38364.00,,
1983-05-24,,,2240.10,,,,38287.00,,
1983-05-25,,,2240.00,,,,38210.00,,
1983-05-26,,,2239.80,,,,38058.00,,
1983-05-27,,,2239.90,,,,38134.00,,
1983-05-28,,,2239.97,,,,38185.00,,
1983-05-29,,,2240.03,,,,38236.00,,
1983-05-30,,,2240.10,,,,38287.00,,
1983-05-31,,,2240.10,,,,38287.00,,
1983-06-01,,,2240.10,,,,38287.00,,
1983-06-02,,,2240.10,,,,38287.00,,
1983-06-03,,,2240.10,,,,38287.00,,
1983-06-04,,,2240.00,,,,38210.67,,
1983-06-05,,,2239.90,,,,38134.33,,
1983-06-06,,,2239.80,,,,38058.00,,
1983-06-07,,,2239.80,,,,38058.00,,
1983-06-08,,,2239.80,,,,38058.00,,
1983-06-09,,,2239.75,,,,38020.00,,
1983-06-10,,,2239.70,,,,37982.00,,
1983-06-11,,,2239.53,,,,37855.33,,
1983-06-12,,,2239.37,,,,37728.67,,
1983-06-13,,,2239.20,,,,37602.00,,
1983-06-14,,,2239.10,,,,37526.00,,
1983-06-15,,,2239.00,,,,37450.00,,
1983-06-16,,,2238.90,,,,37375.00,,
1983-06-17,,,2238.80,,,,37300.00,,
1983-06-18,,,2238.70,,,,37225.00,,
1983-06-19,,,2238.50,,,,37075.00,,
1983-06-20,,,2238.30,,,,36925.00,,
1983-06-21,,,2238.15,,,,36812.50,,
1983-06-22,,,2238.00,,,,36700.00,,
1983-06-23,,,2237.80,,,,36550.00,,
1983-06-24,,,2237.55,,,,36363.25,,
1983-06-25,,,2237.30,,,,36176.50,,
1983-06-26,,,2237.05,,,,35989.75,,
1983-06-27,,,2236.80,,,,35803.00,,
1983-06-28,,,2236.70,,,,35729.00,,
1983-06-29,,,2236.50,,,,35581.00,,
1983-06-30,,,2236.30,,,,35433.00,,
1983-07-01,,,2236.10,,,,35285.00,,
1983-07-02,,,2235.78,,,,35045.25,,
1983-07-03,,,2235.45,,,,34805.50,,
1983-07-04,,,2235.13,,,,34565.75,,
1983-07-05,,,2234.80,,,,34326.00,,
1983-07-06,,,2234.70,,,,34253.00,,
1983-07-07,,,2234.40,,,,34035.00,,
1983-07-08,,,2234.10,,,,33817.00,,
1983-07-09,,,2233.80,,,,33599.00,,
1983-07-10,,,2233.50,,,,33381.00,,
1983-07-11,,,2233.20,,,,33163.00,,
1983-07-12,,,2232.95,,,,32983.75,,
1983-07-13,,,2232.70,,,,32804.50,,
1983-07-14,,,2232.45,,,,32625.25,,
1983-07-15,,,2232.20,,,,32446.00,,
1983-07-16,,,2231.95,,,,32268.50,,
1983-07-17,,,2231.70,,,,32091.00,,
1983-07-18,,,2231.30,,,,31808.00,,
1983-07-19,,,2231.00,,,,31599.00,,
1983-07-20,,,2230.70,,,,31390.00,,
1983-07-21,,,2230.50,,,,31252.00,,
1983-07-22,,,2230.20,,,,31046.00,,
1983-07-23,,,2229.73,,,,30731.00,,
1983-07-24,,,2229.27,,,,30416.00,,
1983-07-25,,,2228.80,,,,30101.00,,
1983-07-26,,,2228.40,,,,29835.50,,
1983-07-27,,,2228.00,,,,29570.00,,
1983-07-28,,,2227.64,,,,29336.20,,
1983-07-29,,,2227.28,,,,29102.40,,
1983-07-30,,,2226.92,,,,28868.60,,
1983-07-31,,,2226.56,,,,28634.80,,
1983-08-01,,,2226.20,,,,28401.00,,
1983-08-02,,,2225.78,,,,28132.50,,
1983-08-03,,,2225.35,,,,27864.00,,
1983-08-04,,,2224.93,,,,27595.50,,
