date,qd,qu,mm,mx,mn
1982-05-20,1030.00,845.78,,72.29,37.46
1982-05-21,745.00,817.96,,76.77,44.38
1982-05-22,590.00,744.01,,76.46,49.10
1982-05-23,590.00,688.35,,76.46,42.97
1982-05-24,590.00,679.79,,82.20,44.23
1982-05-25,595.00,748.94,,87.78,44.93
1982-05-26,590.00,688.35,,70.25,47.45
1982-05-27,595.00,637.76,,56.73,38.33
1982-05-28,560.00,607.04,,60.42,33.30
1982-05-29,540.00,659.72,,62.31,33.06
1982-05-30,540.00,582.77,,68.28,32.98
1982-05-31,490.00,468.62,,77.40,41.79
1982-06-01,395.00,437.76,,67.26,48.08
1982-06-02,355.00,376.38,,70.33,39.19
1982-06-03,355.00,534.58,,71.04,43.99
1982-06-04,420.00,441.38,,57.20,44.23
1982-06-05,460.00,489.93,,58.85,39.90
1982-06-06,425.00,395.07,,68.60,36.29
1982-06-07,355.00,355.00,,65.69,46.90
1982-06-08,325.00,325.00,,69.62,32.90
1982-06-09,310.00,288.62,,77.48,36.84
1982-06-10,248.00,226.62,,86.29,41.24
1982-06-11,252.00,230.62,,83.06,48.39
1982-06-12,320.00,294.23,,72.37,54.92
1982-06-13,355.00,312.36,,74.65,44.93
1982-06-14,355.00,355.00,,81.73,49.49
1982-06-15,375.00,353.61,,87.23,51.30
1982-06-16,410.00,341.59,,90.30,52.80
1982-06-17,470.00,375.93,,89.90,57.20
1982-06-18,515.00,356.79,,89.59,51.22
1982-06-19,500.00,316.13,,90.61,51.62
1982-06-20,490.00,353.17,,92.81,53.82
1982-06-21,490.00,374.55,,85.50,59.48
1982-06-22,490.00,378.83,,80.23,53.90
1982-06-23,490.00,442.96,,87.39,50.04
1982-06-24,490.00,348.36,,85.82,50.36
1982-06-25,470.00,379.88,,85.97,59.71
1982-06-26,470.00,336.95,,91.71,49.65
1982-06-27,475.00,294.31,,85.19,59.95
1982-06-28,465.00,278.46,,70.72,57.91
1982-06-29,410.00,278.92,,71.74,54.92
1982-06-30,315.00,299.88,,79.29,52.17
1982-07-01,252.00,327.63,,69.23,56.88
1982-07-02,210.00,361.25,,71.27,51.38
1982-07-03,189.00,375.54,,72.76,49.26
1982-07-04,185.00,376.58,,72.37,51.30
1982-07-05,150.00,361.75,,73.87,49.49
1982-07-06,164.00,350.54,,82.04,44.38
1982-07-07,220.00,335.96,,75.04,57.20
1982-07-08,256.00,326.58,,77.09,52.17
1982-07-09,287.00,302.13,,83.93,51.62
1982-07-10,301.00,265.71,,87.78,55.00
1982-07-11,305.00,239.46,,91.16,59.24
1982-07-12,325.00,224.17,,93.44,60.42
1982-07-13,360.00,203.71,,90.30,59.32
1982-07-14,425.00,193.08,,81.81,52.95
1982-07-15,460.00,177.67,,76.85,50.67
1982-07-16,460.00,162.54,,76.46,50.36
1982-07-17,460.00,152.46,,86.44,46.19
1982-07-18,460.00,137.33,,92.26,51.14
1982-07-19,440.00,127.42,,94.07,54.37
1982-07-20,430.00,112.37,,95.64,54.37
1982-07-21,425.00,107.37,,93.52,56.25
1982-07-22,425.00,97.29,,89.98,59.40
1982-07-23,425.00,92.25,,90.14,56.80
1982-07-24,425.00,82.17,,91.24,57.59
1982-07-25,420.00,72.12,,96.19,56.73
1982-07-26,420.00,77.17,,97.14,64.43
1982-07-27,420.00,67.08,,86.76,63.49
1982-07-28,405.00,63.40,,88.65,66.40
1982-07-29,390.00,76.78,,95.33,55.15
1982-07-30,390.00,26.66,,100.36,60.74
1982-07-31,410.00,10.84,,95.80,59.71
1982-08-01,425.00,-18.67,,84.32,63.09
1982-08-02,405.00,-109.16,,82.67,43.75
1982-08-03,380.00,-34.64,,81.49,52.17
1982-08-04,375.00,18.40,,85.89,49.34
1982-08-05,375.00,-4.91,,91.63,49.34
1982-08-06,390.00,-19.92,,97.53,52.80
1982-08-07,425.00,-38.20,,91.63,68.99
1982-08-08,440.00,-2.71,,91.71,70.88
1982-08-09,435.00,-7.71,,91.16,61.84
1982-08-10,435.00,26.06,,87.07,56.57
1982-08-11,435.00,-48.33,,73.00,56.65
1982-08-12,435.00,0.41,,83.77,45.01
1982-08-13,435.00,-15.85,,91.24,48.55
1982-08-14,435.00,-3.65,,86.13,52.17
1982-08-15,435.00,-0.88,,87.70,51.93
1982-08-16,435.00,11.15,,90.61,54.29
1982-08-17,435.00,27.14,,93.13,54.29
1982-08-18,435.00,3.15,,89.51,54.29
1982-08-19,435.00,11.15,,94.39,57.20
1982-08-20,435.00,4.55,,93.05,56.65
1982-08-21,450.00,46.00,,96.43,55.70
1982-08-22,455.00,-12.37,,96.82,58.77
1982-08-23,455.00,-8.41,,92.73,51.77
1982-08-24,450.00,-64.91,,91.48,50.67
1982-08-25,450.00,-26.66,,96.59,52.80
1982-08-26,445.00,-13.87,,94.86,55.70
1982-08-27,440.00,-18.87,,91.16,61.05
1982-08-28,455.00,-42.76,,88.33,66.87
1982-08-29,465.00,26.93,,80.31,61.21
1982-08-30,465.00,-69.44,,77.72,50.12
1982-08-31,445.00,-8.69,,81.81,45.48
1982-09-01,435.00,-41.76,,89.67,45.56
1982-09-02,430.00,-4.47,,92.58,55.00
1982-09-03,430.00,3.10,,85.58,57.67
1982-09-04,415.00,11.46,,76.70,46.35
1982-09-05,405.00,61.80,,83.46,43.75
1982-09-06,405.00,20.32,,89.35,52.48
1982-09-07,385.00,64.44,,88.65,50.04
1982-09-08,335.00,-9.55,,94.39,50.91
1982-09-09,305.00,26.37,,89.67,53.74
1982-09-10,296.00,-64.36,,64.98,46.98
1982-09-11,274.00,-4.62,,66.08,34.32
1982-09-12,265.00,27.23,,66.24,50.12
1982-09-13,260.00,-37.20,,66.08,38.41
1982-09-14,260.00,-26.06,,55.31,44.93
1982-09-15,236.00,40.44,,59.16,38.49
1982-09-16,178.00,60.71,,59.16,37.46
1982-09-17,144.00,67.02,,76.54,43.05
1982-09-18,154.00,33.04,,78.19,48.63
1982-09-19,168.00,113.02,,61.05,47.45
1982-09-20,141.00,122.67,,67.10,40.84
1982-09-21,120.00,120.00,,75.12,38.80
1982-09-22,117.00,95.00,,81.96,43.99
1982-09-23,117.00,73.02,,84.79,45.33
1982-09-24,117.00,80.34,,71.43,56.41
1982-09-25,117.00,76.68,,79.37,49.10
1982-09-26,115.00,78.35,,65.45,40.69
1982-09-27,147.00,44.36,,63.88,46.82
1982-09-28,168.00,72.70,,58.14,40.29
1982-09-29,141.00,104.34,,58.53,38.72
1982-09-30,126.00,41.69,,65.14,34.95
1982-10-01,129.00,70.36,,66.95,33.77
1982-10-02,132.00,77.01,,71.43,32.98
1982-10-03,132.00,73.36,,64.75,50.12
1982-10-04,132.00,88.01,,55.08,40.84
1982-10-05,132.00,73.35,,61.92,28.03
1982-10-06,120.00,101.67,,61.76,37.54
1982-10-07,115.00,78.34,,54.29,39.19
1982-10-08,123.00,82.68,,56.80,41.87
1982-10-09,129.00,110.67,,63.49,34.40
1982-10-10,129.00,85.02,,66.40,31.49
1982-10-11,129.00,70.35,,71.35,32.28
1982-10-12,129.00,92.35,,73.87,34.56
1982-10-13,117.00,76.68,,76.07,33.30
1982-10-14,112.00,93.67,,75.60,35.58
1982-10-15,112.00,68.01,,72.92,39.82
1982-10-16,112.00,93.67,,73.79,35.11
1982-10-17,112.00,53.36,,60.03,38.17
1982-10-18,112.00,93.67,,52.24,30.31
1982-10-19,112.00,53.35,,54.84,20.72
1982-10-20,112.00,93.67,,60.26,25.59
1982-10-21,112.00,93.67,,69.31,37.07
1982-10-22,96.00,96.00,,71.04,59.16
1982-10-23,84.00,84.00,,68.91,50.12
1982-10-24,84.00,84.00,,67.73,39.59
1982-10-25,31.00,107.98,,67.58,44.93
1982-10-26,0.05,113.68,,57.67,39.43
1982-10-27,0.12,44.11,,50.36,31.10
1982-10-28,0.30,117.60,,55.55,24.49
1982-10-29,0.35,194.62,,47.53,42.89
1982-10-30,0.35,161.63,,,
1982-10-31,0.25,157.87,,,
1982-11-01,0.25,113.88,,51.69,27.40
1982-11-02,0.25,124.88,,52.09,21.98
1982-11-03,0.20,113.83,,52.09,27.48
1982-11-04,0.20,102.83,,48.24,26.69
1982-11-05,0.20,73.52,,50.28,27.79
1982-11-06,0.16,121.12,,49.89,28.42
1982-11-07,0.12,95.42,,41.71,19.38
1982-11-08,0.12,99.09,,41.32,23.16
1982-11-09,0.12,99.09,,38.33,22.45
1982-11-10,0.08,96.67,,40.92,25.12
1982-11-11,0.08,85.52,,44.54,20.72
1982-11-12,0.05,96.65,,37.94,17.34
1982-11-13,0.05,59.49,,45.25,17.73
1982-11-14,0.03,81.77,,41.79,14.04
1982-11-15,0.00,59.44,,43.99,12.78
1982-11-16,0.03,78.05,,42.97,22.45
1982-11-17,0.03,122.62,,57.51,34.08
1982-11-18,0.08,200.70,,49.10,36.29
1982-11-19,0.20,197.09,,47.45,34.40
1982-11-20,0.08,156.11,,42.81,25.20
1982-11-21,0.05,122.65,,36.52,27.48
1982-11-22,0.05,96.64,,36.91,17.97
1982-11-23,0.03,85.47,,32.98,11.76
1982-11-24,0.03,55.76,,32.83,10.26
1982-11-25,0.03,59.48,,35.73,11.13
1982-11-26,0.03,85.48,,31.96,18.12
1982-11-27,0.05,74.35,,37.07,21.74
1982-11-28,0.05,122.64,,52.01,28.34
1982-11-29,0.12,225.51,,44.85,33.22
1982-11-30,0.08,154.71,,40.92,31.65
1982-12-01,0.05,143.36,,43.05,33.14
1982-12-02,0.05,165.99,,36.60,30.94
1982-12-03,0.08,117.00,,52.01,34.08
1982-12-04,0.05,222.56,,53.90,32.67
1982-12-05,0.08,320.65,,42.50,28.50
1982-12-06,0.12,494.17,,48.39,29.21
1982-12-07,0.08,302.97,,38.72,20.64
1982-12-08,0.08,165.41,,34.56,13.41
1982-12-09,0.08,100.05,,35.66,16.79
1982-12-10,0.08,100.05,,38.57,16.00
1982-12-11,0.08,146.19,,39.27,15.06
1982-12-12,0.08,169.25,,31.33,17.34
1982-12-13,47.00,104.68,,43.99,26.77
1982-12-14,181.00,142.55,,37.62,27.87
1982-12-15,189.00,169.77,,38.96,32.90
1982-12-16,189.00,227.45,,46.19,30.15
1982-12-17,227.00,227.00,,46.27,30.62
1982-12-18,248.00,190.33,,40.61,23.71
1982-12-19,248.00,178.79,,40.84,29.60
1982-12-20,248.00,248.00,,35.03,28.34
1982-12-21,380.00,299.26,,46.82,34.08
1982-12-22,443.00,631.40,,37.70,30.23
1982-12-23,466.00,258.38,,34.56,16.00
1982-12-24,466.00,119.96,,30.47,7.90
1982-12-25,466.00,92.44,,21.19,7.27
1982-12-26,466.00,81.32,,31.41,17.73
1982-12-27,466.00,58.69,,21.58,13.01
1982-12-28,466.00,-16.74,,13.88,5.15
1982-12-29,466.00,-20.52,,18.75,-0.35
1982-12-30,466.00,26.16,,20.17,-0.35
1982-12-31,461.00,4.04,,11.60,0.98
1983-01-01,461.00,0.33,,15.77,3.19
1983-01-02,461.00,-14.53,,17.49,-1.37
1983-01-03,273.00,109.54,,25.91,15.69
1983-01-04,130.00,130.00,,47.29,24.02
1983-01-05,130.00,371.48,,53.74,37.78
1983-01-06,282.00,701.80,,51.14,38.25
1983-01-07,543.00,1360.31,,53.11,37.46
1983-01-08,646.00,1367.52,,46.82,30.39
1983-01-09,651.00,669.86,,43.52,30.23
1983-01-10,646.00,385.77,,53.74,30.78
1983-01-11,646.00,347.90,,48.24,24.18
1983-01-12,646.00,244.77,,41.79,21.19
1983-01-13,502.00,245.66,,42.57,18.67
1983-01-14,421.00,160.95,,41.63,19.62
1983-01-15,421.00,157.23,,38.64,18.36
1983-01-16,421.00,183.23,,41.95,28.11
1983-01-17,313.00,216.41,,43.28,27.17
1983-01-18,235.00,235.00,,41.08,24.89
1983-01-19,235.00,235.00,,38.33,32.75
1983-01-20,248.00,225.71,,41.16,33.53
1983-01-21,269.00,213.27,,39.59,29.76
1983-01-22,277.00,172.99,,39.12,-1.61
1983-01-23,277.00,217.55,,45.01,30.55
1983-01-24,265.00,210.02,,41.55,27.95
1983-01-25,256.00,256.00,,36.68,25.67
1983-01-26,269.00,225.02,,46.74,33.77
1983-01-27,277.00,236.68,,50.36,28.34
1983-01-28,277.00,317.32,,45.72,23.31
1983-01-29,277.00,277.00,,39.82,32.83
1983-01-30,277.00,218.36,,44.78,25.51
1983-01-31,277.00,181.69,,40.84,22.53
1983-02-01,277.00,174.37,,35.66,29.29
1983-02-02,277.00,200.02,,32.83,25.51
1983-02-03,277.00,174.36,,38.09,19.22
1983-02-04,277.00,126.71,,36.68,13.25
1983-02-05,277.00,97.39,,37.39,13.88
1983-02-06,277.00,174.36,,32.98,25.59
1983-02-07,277.00,145.04,,39.04,25.44
1983-02-08,277.00,192.70,,44.78,29.37
1983-02-09,210.00,155.01,,45.56,35.66
1983-02-10,177.00,297.96,,47.29,35.11
1983-02-11,308.00,542.60,,45.25,34.08
1983-02-12,470.00,686.27,,53.97,38.25
1983-02-13,735.00,1699.34,,46.11,32.51
1983-02-14,843.00,1006.46,,47.84,27.95
1983-02-15,843.00,660.97,,43.68,32.67
1983-02-16,843.00,947.02,,50.99,34.01
1983-02-17,843.00,816.99,,56.65,48.55
1983-02-18,950.00,1432.96,,55.86,38.49
1983-02-19,1220.00,1554.36,,48.86,29.29
1983-02-20,1330.00,817.32,,51.14,33.53
1983-02-21,1320.00,736.74,,51.93,38.33
1983-02-22,1120.00,1380.05,,53.27,40.61
1983-02-23,1220.00,1818.13,,52.09,38.41
1983-02-24,1330.00,1434.01,,59.64,33.14
1983-02-25,1330.00,1367.15,,52.56,34.48
1983-02-26,1330.00,1590.05,,48.55,28.42
1983-02-27,1500.00,1202.79,,48.24,33.14
1983-02-28,1230.00,1185.42,,51.69,36.29
1983-03-01,1010.00,1552.40,,55.39,37.78
1983-03-02,1120.00,1916.38,,56.49,34.63
1983-03-03,1430.00,2244.63,,50.12,35.81
1983-03-04,1750.00,4767.64,,49.41,35.58
1983-03-05,1760.00,3818.23,,48.24,33.85
1983-03-06,1180.00,2392.00,,51.07,32.04
1983-03-07,866.00,2101.47,,55.70,39.27
1983-03-08,1370.00,1965.79,,55.55,42.89
1983-03-09,1790.00,2325.81,,64.27,39.04
1983-03-10,1800.00,2468.40,,65.14,41.79
1983-03-11,1800.00,2803.22,,51.69,37.07
1983-03-12,1810.00,2528.91,,53.82,32.28
1983-03-13,1840.00,3152.04,,56.65,41.24
1983-03-14,2320.00,3681.68,,52.17,33.85
1983-03-15,2590.00,2388.38,,48.71,30.47
1983-03-16,2370.00,1800.21,,50.67,25.51
1983-03-17,2110.00,1605.80,,44.30,33.14
1983-03-18,1950.00,1486.80,,48.31,26.69
1983-03-19,1830.00,1220.01,,52.72,24.57
1983-03-20,1800.00,1081.09,,53.27,25.36
1983-03-21,1800.00,1036.42,,52.87,29.45
1983-03-22,1800.00,1018.88,,51.22,38.01
1983-03-23,1500.00,988.17,,49.81,35.81
1983-03-24,1330.00,906.16,,45.96,32.83
1983-03-25,871.00,910.99,,53.74,33.30
1983-03-26,214.00,809.79,,51.07,24.81
1983-03-27,193.00,774.43,,50.75,33.45
1983-03-28,317.00,857.20,,50.36,29.45
1983-03-29,317.00,820.64,,48.00,37.07
1983-03-30,744.00,2185.64,,50.52,39.04
1983-03-31,1070.00,2915.38,,52.80,32.59
1983-04-01,1230.00,1698.55,,55.47,27.09
1983-04-02,1600.00,1600.00,,46.27,30.86
1983-04-03,1690.00,1445.36,,44.54,30.00
1983-04-04,1690.00,1157.90,,51.22,34.48
1983-04-05,1560.00,1055.80,,50.44,27.87
1983-04-06,1100.00,1059.01,,56.41,22.29
1983-04-07,885.00,1077.66,,60.50,25.44
1983-04-08,885.00,1102.26,,54.05,34.16
1983-04-09,885.00,1212.94,,45.25,37.70
1983-04-10,885.00,1129.07,,48.86,29.21
1983-04-11,885.00,909.88,,49.10,21.74
1983-04-12,726.00,775.76,,46.11,29.68
1983-04-13,443.00,679.34,,54.84,24.41
1983-04-14,344.00,771.08,,55.78,24.41
1983-04-15,407.00,693.10,,60.50,26.85
1983-04-16,557.00,760.18,,65.53,27.64
1983-04-17,810.00,830.73,,67.10,31.73
1983-04-18,890.00,1018.54,,64.67,46.43
1983-04-19,1060.00,1176.10,,61.92,39.35
1983-04-20,1150.00,1353.17,,61.44,37.94
1983-04-21,1310.00,1750.33,,62.15,39.90
1983-04-22,1700.00,2213.68,,63.96,34.24
1983-04-23,1840.00,2236.75,,58.53,46.82
1983-04-24,1860.00,2331.92,,55.63,36.60
1983-04-25,1860.00,2290.16,,50.44,30.31
1983-04-26,1860.00,1989.47,,53.90,31.41
1983-04-27,1860.00,1839.12,,58.69,33.14
1983-04-28,1860.00,1655.35,,59.32,42.26
1983-04-29,1860.00,1709.66,,64.43,38.09
1983-04-30,1860.00,1743.06,,59.71,46.03
1983-05-01,1860.00,1910.12,,60.66,37.54
1983-05-02,1860.00,1905.93,,62.31,35.11
1983-05-03,1740.00,1869.47,,63.49,40.77
1983-05-04,1700.00,1816.93,,67.97,38.57
1983-05-05,1610.00,1898.17,,53.82,43.28
1983-05-06,1700.00,2285.73,,58.06,38.88
1983-05-07,1870.00,2026.03,,61.29,38.33
1983-05-08,1870.00,1823.61,,49.65,34.48
1983-05-09,1860.00,1611.19,,49.18,31.25
1983-05-10,1550.00,1507.83,,51.69,30.23
1983-05-11,1070.00,1251.34,,60.89,38.33
1983-05-12,913.00,1090.12,,63.17,29.52
1983-05-13,913.00,963.60,,60.26,31.49
1983-05-14,317.00,945.34,,64.98,32.43
1983-05-15,7.00,978.88,,56.25,39.98
1983-05-16,511.00,948.78,,61.36,32.28
1983-05-17,810.00,878.68,,70.25,33.61
1983-05-18,716.00,780.38,,64.35,50.83
1983-05-19,571.00,824.23,,70.64,39.12
1983-05-20,511.00,832.49,,77.40,41.47
1983-05-21,613.00,843.90,,75.83,44.07
1983-05-22,660.00,890.91,,79.37,39.35
1983-05-23,744.00,897.94,,85.58,40.92
1983-05-24,805.00,946.11,,89.20,46.19
1983-05-25,805.00,963.21,,90.06,51.77
1983-05-26,847.00,988.69,,90.61,49.02
1983-05-27,871.00,985.14,,93.60,49.89
1983-05-28,964.00,964.00,,95.09,53.27
1983-05-29,997.00,926.76,,92.81,53.42
1983-05-30,913.00,961.29,,87.94,51.46
1983-05-31,1100.00,1288.78,,66.63,54.21
1983-06-01,1410.00,1265.12,,68.52,51.77
1983-06-02,1290.00,1106.30,,76.93,49.18
1983-06-03,1000.00,837.52,,76.30,49.96
1983-06-04,735.00,692.23,,77.88,44.30
1983-06-05,613.00,565.97,,75.75,44.46
1983-06-06,502.00,480.62,,77.95,46.19
1983-06-07,430.00,477.03,,82.67,46.11
1983-06-08,407.00,471.15,,82.67,55.08
1983-06-09,394.00,415.38,,81.33,52.95
1983-06-10,398.00,445.03,,76.38,49.34
1983-06-11,398.00,470.69,,61.44,40.06
1983-06-12,398.00,467.00,,67.34,37.70
1983-06-13,448.00,349.07,,76.62,36.13
1983-06-14,443.00,267.68,,86.21,46.35
1983-06-15,425.00,258.24,,74.18,55.94
1983-06-16,425.00,271.06,,78.35,40.84
1983-06-17,448.00,174.33,,84.95,51.38
1983-06-18,475.00,222.72,,66.87,41.95
1983-06-19,484.00,183.73,,66.55,47.92
1983-06-20,484.00,209.31,,65.77,41.71
1983-06-21,484.00,183.56,,74.97,45.17
1983-06-22,484.00,187.85,,84.79,51.07
1983-06-23,506.00,168.26,,85.11,50.91
1983-06-24,515.00,177.63,,73.63,49.49
1983-06-25,515.00,148.12,,85.03,42.10
1983-06-26,515.00,177.63,,84.56,54.84
1983-06-27,515.00,156.55,,74.81,49.41
1983-06-28,515.00,127.03,,80.86,45.25
1983-06-29,515.00,137.66,,70.41,56.25
1983-06-30,502.00,167.89,,76.07,50.59
1983-07-01,466.00,261.36,,64.51,53.97
1983-07-02,421.00,379.23,,68.52,50.36
1983-07-03,403.00,403.00,,74.34,39.35
1983-07-04,403.00,265.18,,85.19,48.08
1983-07-05,416.00,261.48,,91.63,55.63
1983-07-06,452.00,97.01,,91.16,65.45
1983-07-07,470.00,152.61,,82.59,51.46
1983-07-08,470.00,69.07,,72.37,55.00
1983-07-09,470.00,137.81,,68.83,48.55
1983-07-10,470.00,109.26,,76.46,42.02
1983-07-11,470.00,117.55,,87.31,43.91
1983-07-12,488.00,135.56,,93.83,50.12
1983-07-13,511.00,88.07,,98.24,59.71
1983-07-14,506.00,87.21,,73.94,55.94
1983-07-15,502.00,79.26,,70.64,48.63
1983-07-16,502.00,38.80,,74.34,42.42
1983-07-17,502.00,133.07,,78.19,51.22
1983-07-18,488.00,98.58,,88.25,48.24
1983-07-19,470.00,-17.80,,85.34,63.17
1983-07-20,466.00,135.99,,78.98,56.49
1983-07-21,493.00,62.47,,90.53,47.21
1983-07-22,515.00,11.36,,93.28,53.19
1983-07-23,497.00,42.10,,94.94,61.36
1983-07-24,484.00,25.03,,90.22,59.24
1983-07-25,493.00,-4.46,,82.83,64.35
