date,inflow(m3/d),storage(m3),wse(m),avg air temperature (C),min air temperature (C),max air temperature (C)
1991-01-07,604401.0283008,153185881.2,881.685816,-11.1833028,-13.2722084,-1.5998927999999957
1991-01-08,629086.9349375999,153814956.0,881.7650639999999,-7.3166052,-9.538845199999999,-0.35543839999999705
1991-01-09,678409.8167808,154493370.0,881.850408,-8.133278399999998,-9.227731599999998,-6.2665967999999985
1991-01-10,703095.7234176,155196453.6,881.9388,-6.161040399999997,-8.605504399999997,-4.322136799999999
1991-01-11,962114.25024,156158568.0,882.0607200000001,-4.272136399999999,-5.955483199999998,-3.3887959999999993
1991-01-12,1270480.1246208,157429052.4,882.2192160000001,0.5223464,-3.233239199999998,5.950167600000004
1991-01-13,1517192.3966976,158946232.8,882.408192,2.283471600000002,0.11123200000000466,4.550156400000002
1991-01-14,1840335.5630592,160784118.0,882.636792,1.4667984000000018,-1.1332223999999975,5.483497200000002
1991-01-15,2118021.4305792,162770020.8,882.8806320000001,-0.4109943999999963,-5.488812799999998,2.294582800000004
1991-01-16,1826977.28256,164472223.2,883.0909440000001,-0.0609915999999977,-3.855466399999999,4.2390428000000036
1991-01-17,1561524.2726399999,166026408.0,883.2799200000001,2.6445856000000028,-2.0665631999999974,7.505735600000001
1991-01-18,1260595.97568,167284557.6,883.4323200000001,0.07234280000000481,-4.011023199999997,8.050184400000003
1991-01-19,1233487.9632384,168518037.6,883.581672,-6.238818799999999,-8.838839599999998,-4.944363999999997
1991-01-20,1332158.19264,169850196.0,883.7432160000001,-10.249961999999998,-11.327748399999999,-9.227731599999998
1991-01-21,1319827.4721792,171170019.6,883.9017120000001,-6.772156399999998,-10.861078,0.5001240000000031
1991-01-22,811038.4588799999,171318037.2,883.9200000000001,-5.5110351999999985,-8.294390799999999,1.672355600000003
1991-01-23,1112162.4815616,171194689.2,883.90476,-5.144365599999999,-9.772180399999998,1.205685200000005
1991-01-24,1235518.6176,171194689.2,883.90476,-5.055475999999999,-9.694401999999998,-0.044324799999994724
1991-01-25,964242.7674624,170935658.4,883.87428,-7.5943852,-10.549964399999999,-5.255477599999999
1991-01-26,841008.96,170565614.4,883.82856,-9.505511599999998,-14.205549199999998,-1.8332279999999983
1991-01-27,828678.2395392,170183235.6,883.7828400000001,-5.8332599999999974,-12.805537999999999,1.2834636000000046
