date,inflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),outflow(m3/d)
1982-03-14,458414.10570240003,,2.994588400000005,-1.3332239999999977,229977.72288
1982-03-15,514685.2506624,,5.6557208000000045,-5.216588399999999,286248.86784
1982-03-16,351694.656,,0.23901080000000263,-6.222151999999998,325394.01216
1982-03-17,344379.40715519997,,2.950143600000004,-7.838831599999997,318054.2976
1982-03-18,385946.65728,,2.511251200000004,-2.1610083999999983,359646.01344
1982-03-19,251850.0722688,,3.4279252000000042,-6.005483599999998,386558.30016
1982-03-20,251850.0722688,,2.1612484000000016,-7.055491999999997,386558.30016
1982-03-21,246956.9292288,,3.9945964000000025,-10.022182399999998,381665.15712
1982-03-22,246956.9292288,,4.261265200000004,-9.588845599999999,381665.15712
1982-03-23,246956.9292288,,7.100176800000003,-8.322168799999998,381665.15712
