date,inflow(m3/d),storage(m3),max air temperature (C),min air temperature (C),avg air temperature (C),outflow(m3/d),wse(m)
1982-01-23,306017.1657216,4764933.24,4.461266800000004,0.41679000000000244,2.505695600000003,281355.72479999997,1034.8020960000001
1982-01-24,429104.17889279994,4880880.36,2.1279148000000028,-2.7776799999999984,-0.4776615999999976,313161.15456,1034.844768
1982-01-25,408846.5667072,4912950.84,2.2056932000000025,-2.5443447999999975,-0.4165499999999973,376772.01408,1034.85696
1982-01-26,428150.016,4912950.84,0.49456840000000213,-3.322128799999998,-1.2221119999999956,428150.016,1034.85696
1982-01-27,459955.44576,4912950.84,0.6501252000000051,-13.122207199999998,-2.438788399999998,459955.44576,1034.85696
1982-01-28,472188.30336,4912950.84,1.3501308000000023,-3.322128799999998,-1.166556,472188.30336,1034.85696
1982-01-29,477081.4464,4912950.84,1.2723524000000026,-0.9109983999999969,0.2001216000000028,477081.4464,1034.85696
1982-01-30,477081.4464,4912950.84,3.9945964000000025,-0.4443279999999987,1.4223536000000045,477081.4464,1034.85696
1982-01-31,477081.4464,4912950.84,1.427909200000002,-3.944355999999999,-1.3610019999999956,477081.4464,1034.85696
1982-02-01,477081.4464,4912950.84,1.583466000000005,-1.766560799999997,-0.2443263999999985,477081.4464,1034.85696
1982-02-02,477081.4464,4912950.84,4.072374800000002,-2.622123199999997,0.6834588000000004,477081.4464,1034.85696
1982-02-03,472188.30336,4912950.84,4.305710000000001,-10.633298399999997,-3.283239599999998,472188.30336,1034.85696
1982-02-04,452615.7312,4912950.84,-3.0110151999999992,-17.250018,-11.149969199999997,452615.7312,1034.85696
1982-02-05,437936.30208,4912950.84,-1.144333599999996,-21.916722,-14.066659199999998,437936.30208,1034.85696
1982-02-06,423256.87296,4912950.84,-3.555463999999997,-18.1833588,-10.611075999999997,423256.87296,1034.85696
1982-02-07,408577.44384,4912950.84,0.10012080000000267,-20.9833812,-12.211088799999999,408577.44384,1034.85696
1982-02-08,396344.58624,4912950.84,-1.6110039999999977,-15.8500068,-9.555511999999998,396344.58624,1034.85696
1982-02-09,381665.15712,4912950.84,-1.8443391999999985,-18.027801999999998,-11.605528399999999,381665.15712,1034.85696
1982-02-10,369432.29952,4912950.84,0.7279036000000048,-21.138938,-11.405526799999997,369432.29952,1034.85696
1982-02-11,354752.8704,4912950.84,-0.05543599999999671,-18.1055804,-6.422153599999998,354752.8704,1034.85696
1982-02-12,443612.3480064,5006695.32,1.1112400000000022,0.0001200000000025625,0.5556800000000024,349859.72736,1034.85696
1982-02-13,623728.9433088,5285461.8,5.000160000000005,0.5556800000000024,2.7779200000000017,344966.58432,1034.99412
1982-02-14,1670152.048128,6515241.36,4.444600000000001,3.3334800000000016,3.8890400000000014,440382.8736,1035.442176
1982-02-15,2408527.332864,8128633.2,3.8890400000000014,0.5556800000000024,2.222360000000002,795135.744,1036.0152
1982-02-16,3080894.1179903997,10133038.2,2.7779200000000017,0.0001200000000025625,0.5556800000000024,1076491.4688,1036.691856
1982-02-17,3664009.9740671995,12534623.76,3.3334800000000016,-2.7776799999999984,1.666800000000002,1262430.90432,1037.463
1982-02-18,3996352.249344,15185372.28,0.5556800000000024,-2.7776799999999984,-1.110999999999997,1345614.336,1038.25548
1982-02-19,3719473.7504256,17488279.44,4.444600000000001,0.0001200000000025625,2.222360000000002,1416564.91008,1038.898608
1982-02-20,3029222.527488,19012860.72,5.000160000000005,0.0001200000000025625,2.7779200000000017,1504641.4848,1039.3070400000001
1982-02-21,3150327.817728,20536208.52,-0.5554399999999973,-4.444359999999998,-2.7776799999999984,1626970.0607999999,1039.7002320000001
1982-02-22,3048795.099648,21911538.72,-2.2221199999999968,-8.333279999999998,-5.5554799999999975,1673454.91968,1040.041608
