date,storage(m3),avg water temperature (C),min air temperature (C),max air temperature (C),avg air temperature (C),power discharge (m3/d)
1999-09-29,401907144.34679997,9.339083600000006,2.6668079999999996,23.833644000000007,11.511323200000003,733922.5245696
1999-09-30,401850675.63240004,9.4501956,5.9446120000000064,26.667,14.639126000000005,733922.5245696
1999-10-01,401760360.22679996,9.394639600000001,7.166844000000001,21.000288000000005,13.294670800000002,731451.4873344001
1999-10-02,401703928.5168,9.361306000000003,3.0001440000000024,20.333616,10.989096800000006,733922.5245696
1999-10-03,401658746.14440006,9.433528800000001,4.222376000000004,23.000304000000007,12.0335496,733922.5245696
1999-10-04,401613576.10679996,9.394639600000001,4.833492000000003,26.166996000000005,13.644673600000004,733922.5245696
1999-10-05,401557144.3968,9.466862400000004,7.000176000000003,24.889208000000004,14.872461200000004,743782.2077951999
1999-10-06,401410360.2768,9.416862000000005,9.722420000000003,16.000248,13.028002000000004,748724.2822655999
1999-10-07,401410360.2768,9.355750400000005,4.555712000000003,17.778040000000004,10.894651600000003,741311.17056
1999-10-08,401365177.90440005,9.489084800000004,5.666832000000003,23.722532000000008,13.400227200000003,733922.5245696
1999-10-09,401263576.1568,9.416862000000005,7.555736000000003,21.666960000000003,13.694674000000003,736393.5618048001
1999-10-10,401320044.8712,9.466862400000004,6.666840000000004,25.333656000000005,14.194678000000003,726509.412864
1999-10-11,401218430.7888,9.439084400000006,9.333528000000001,26.11144,15.1280188,724062.841344
1999-10-12,401161962.07440007,9.4113064,6.666840000000004,22.88919200000001,13.989120800000002,743782.2077951999
1999-10-13,401071646.6688,9.522418400000003,7.277956000000003,25.722548000000003,14.589125600000003,753666.356736
1999-10-14,400970044.92120004,9.427973200000004,6.4446160000000035,19.500276,12.111328000000004,731451.4873344001
1999-10-15,400868393.83440006,9.477973600000006,0.7223480000000002,10.777984000000004,5.616831600000001,748724.2822655999
1999-10-16,400721646.7188,9.500196000000003,-2.9999039999999972,10.889096000000006,3.4334808000000017,753666.356736
1999-10-17,400676476.6812,9.394639600000001,-1.3332239999999977,15.833580000000005,5.894611600000001,743782.2077951999
1999-10-18,400574862.5988,9.461306800000003,2.055692000000004,17.166924,8.361298000000001,753666.356736
1999-10-19,400529692.5612,9.516862800000006,1.3890200000000021,17.722484,8.266852800000006,738864.59904
1999-10-20,400529692.5612,9.472418000000001,2.222360000000002,20.833620000000003,9.755753600000006,733922.5245696
1999-10-21,400529692.5612,9.477973600000006,3.1668120000000037,23.111416,10.839095600000004,733922.5245696
1999-10-22,400529692.5612,9.489084800000004,3.944596000000004,24.889208000000004,11.450211600000003,746253.2450304
1999-10-23,400473260.8512,9.500196000000003,4.833492000000003,24.389204000000007,12.272440400000004,746253.2450304
1999-10-24,400428078.4788,9.511307200000001,3.8890400000000014,20.94473200000001,10.472426000000006,738864.59904
1999-10-25,400428078.4788,9.472418000000001,4.277932000000003,23.44475200000001,11.066875200000005,733922.5245696
1999-10-26,400326476.7312,9.489084800000004,4.222376000000004,23.111416,11.789103200000003,738864.59904
1999-10-27,400224862.6488,9.555752000000005,1.444576000000005,16.333584000000002,10.044644800000004,743782.2077951999
1999-10-28,400868393.83440006,9.489084800000004,5.611276000000004,12.389108000000004,8.961302800000006,743782.2077951999
1999-10-29,401116792.03679997,9.561307600000003,2.2779160000000047,10.500204000000004,6.211280800000004,743782.2077951999
1999-10-30,401263576.1568,9.566863200000004,1.055684000000003,16.444696000000008,7.155732800000006,733922.5245696
1999-10-31,401218430.7888,9.377972800000006,2.4445840000000025,14.389124000000002,6.911286400000002,733922.5245696
1999-11-01,401365177.90440005,9.566863200000004,0.5556800000000024,10.611316000000006,5.094605200000004,733922.5245696
1999-11-02,401320044.8712,9.539085200000006,0.9445720000000044,16.500252000000003,6.639062000000006,738864.59904
1999-11-03,401410360.2768,9.533529600000001,2.055692000000004,17.778040000000004,7.822404800000001,746253.2450304
1999-11-04,401511962.02440006,9.583530000000003,4.833492000000003,16.444696000000008,9.389084000000004,741311.17056
1999-11-05,401466828.99120003,9.605752400000004,6.500172000000006,17.222480000000004,10.4835372,733922.5245696
1999-11-06,401557144.3968,9.627974800000004,5.222384000000002,22.61141200000001,12.789111200000004,733922.5245696
1999-11-07,401658746.14440006,9.539085200000006,9.444640000000003,21.22251200000001,13.983565200000005,733922.5245696
1999-11-08,401658746.14440006,9.616863600000006,5.500164000000002,15.444688,10.233535200000006,746253.2450304
1999-11-09,401658746.14440006,9.611308000000001,1.6112440000000028,13.611340000000006,7.133510400000006,758583.9654912
1999-11-10,401613576.10679996,9.616863600000006,6.1668360000000035,12.333552000000005,8.955747200000001,733922.5245696
1999-11-11,401850675.63240004,9.555752000000005,8.111296000000003,16.555808000000006,11.000208,733922.5245696
