date,avg gain (m3/d),computed flow(m3/d),inflow(m3/d),wse(m),outflow(m3/d),total avg discharge (m3/d),spill(m3/d),storage(m3)
1982-02-09,,,2816957.9824128,902.1470400000001,10153271.808,,,78116288.4
1982-02-10,,,2255249.627136,902.302488,10153271.808,,,79103072.4
1982-02-11,,,2656903.2735744,902.4366,10153271.808,,,79843160.4
1982-02-12,,,2359204.4510208,902.55852,10153271.808,,,80583248.4
1982-02-13,,,5219124.229324799,902.6804400000001,10153271.808,,,81323336.4
1982-02-14,,,2496334.7847168,902.866368,10030943.232,,,82556816.4
1982-02-15,,,10057146.0129792,903.6832320000001,7706700.288,,,87737432.4
1982-02-16,,,16641970.9304832,904.7530800000001,7706700.288,,,94644920.4
1982-02-17,,,15613089.743462399,905.7772080000001,7706700.288,,,101552408.4
1982-02-18,,,13535436.742963199,906.600168,8465137.4592,,,107103068.4
1982-02-19,,,13862616.752332801,907.218912,9737354.6496,,,111420248.4
1982-02-20,,,14164034.3635968,907.834608,10153271.808,,,115614080.4
1982-02-21,,,16558640.704512,908.438112,10153271.808,,,119931260.4
1982-02-22,,,20517902.929612797,909.17268,10153271.808,,,125235224.4
1982-02-23,,,18418695.6340224,909.8432400000002,10153271.808,,,130169144.4
1982-02-24,,,14576991.1704576,910.4071200000001,10153271.808,,,134239628.4
1982-02-25,,,12158922.2086656,910.8704160000001,10153271.808,,,137816720.4
1982-02-26,,,10801001.61792,911.2117920000001,10887243.264,,,140283680.4
1982-02-27,,,9953166.7233792,911.437344,11376557.568,,,142010552.4
1982-02-28,,,9679762.3560192,911.629368,11376557.568,,,143490728.4
1982-03-01,,,9776915.7110784,911.8031040000001,11376557.568,,,144847556.4
1982-03-02,,,10051739.08992,912.0682800000001,11376557.568,,,146944472.4
1982-03-03,,,11122627.9099392,912.3365040000001,11376557.568,,,148918040.4
1982-03-04,,,10472598.322790401,912.5224320000001,11939269.0176,,,150398216.4
1982-03-05,,,9553201.2112896,912.5407200000001,13040226.2016,,,150521564.4
1982-03-06,,,8792904.6457344,912.4797599999999,13456143.36,,,150028172.4
1982-03-07,,,8502276.4148736,912.406608,13456143.36,,,149411432.4
1982-03-08,,,9481051.8171648,912.2359200000001,14263511.9616,,,148054604.4
1982-03-09,,,7777968.9163776,911.9951280000001,14679429.12,,,146081036.4
1982-03-10,,,7804685.477376,911.751288,14679429.12,,,144354164.4
1982-03-11,,,10493859.0292992,911.577552,14679429.12,,,142997336.4
1982-03-12,,,11562227.8806528,911.4403920000001,14679429.12,,,141887204.4
1982-03-13,,,11136915.887616001,911.269704,14679429.12,,,140530376.4
1982-03-14,,,11127594.4501248,911.10816,14679429.12,,,139420244.4
1982-03-15,,,10885848.7182336,910.952712,14679429.12,,,138186764.4
1982-03-16,,,10305791.0765568,910.7424000000001,14850689.1264,,,136583240.4
1982-03-17,,,9465932.0051712,910.608288,15364469.1456,,,135596456.4
1982-03-18,,,9867805.8430464,910.4589360000001,16440960.6144,,,134486324.4
1982-03-19,,,9378124.5533184,910.355304,16930274.9184,,,133746236.4
1982-03-20,,,8600995.5757056,910.2973920000001,17126000.64,,,133376192.4
1982-03-21,,,8085845.4764543995,910.2090000000001,17126000.64,,,132636104.4
1982-03-22,,,7794214.1512704,910.0444080000001,17297260.6464,,,131402624.4
1982-03-23,,,7478948.9452032,909.788376,17664246.3744,,,129429056.4
1982-03-24,,,7839206.601523199,909.623784,17859972.096,,,128318924.4
1982-03-25,,,7979590.8753408,909.498816,18031232.1024,,,127332140.4
1982-03-26,,,8803963.1490048,909.3708,18104629.248,,,126468704.4
1982-03-27,,,10223830.9306368,909.2366880000001,18104629.248,,,125481920.4
1982-03-28,,,10956848.223744,909.105624,18104629.248,,,124495136.4
1982-03-29,,,11160916.754227199,908.9410320000001,18104629.248,,,123385004.4
1982-03-30,,,13232575.6545024,908.739864,18104629.248,,,121781480.4
1982-03-31,,,7889459.180543999,908.462496,18104629.248,,,119931260.4
1982-04-01,,,10060669.075968,908.169888,18104629.248,,,117834344.4
1982-04-02,,,9115313.84064,907.8010800000001,18104629.248,,,115120688.4
1982-04-03,,,8962647.777792,907.3774080000001,18104629.248,,,112160336.4
1982-04-04,,,9138531.804364799,906.9324,18104629.248,,,109076636.4
1982-04-05,,,8343934.3060992,906.4081440000001,18104629.248,,,105499544.4
1982-04-06,,,8100451.5084288,905.832072,18104629.248,,,101552408.4
1982-04-07,,,7626061.2907008,905.1858960000001,18104629.248,,,97235228.4
1982-04-08,,,7504760.2747392,904.484856,18104629.248,,,92671352.4
1982-04-09,,,7363593.0980352005,903.725904,18104629.248,,,87725097.6
1982-04-10,,,8093845.765324799,902.948664,18104629.248,,,82926860.4
1982-04-11,,,12610265.7226752,902.372592,18104629.248,,,79349768.4
1982-04-12,,,21841351.3276416,902.2171440000001,18275889.2544,,,78486332.4
1982-04-13,,,23828334.387609597,902.351256,18349286.4,,,79349768.4
1982-04-14,,,31836941.6011776,903.707616,18349286.4,,,87860780.4
1982-04-15,,,22479270.3857664,903.707616,18349286.4,,,87860780.4
1982-04-16,,,18544767.464447998,903.567408,18226957.824,,,86873996.4
1982-04-17,,,17680344.8150016,903.3662400000001,18104629.248,,,85640516.4
1982-04-18,,,16376860.440576,903.10716,18104629.248,,,83913644.4
1982-04-19,,,15254960.6043648,902.753592,18178026.3936,,,81816728.4
1982-04-20,,,14592796.0224768,902.25372,18520546.4064,,,78733028.4
1982-04-21,,,14356824.1993728,901.7386080000001,18593943.552,,,75525980.4
1982-04-22,,,15511777.2168192,901.336272,18887532.1344,,,73182368.4
1982-04-23,,,17654215.431167997,901.03452,19572572.16,,,71332148.4
1982-04-24,,,22945880.5060608,900.8424960000001,19817229.312,,,70222016.4
1982-04-25,,,26983971.265536,900.72972,19817229.312,,,69605276.4
1982-04-26,,,31881469.2028416,900.571224,20477803.6224,,,68618492.4
1982-04-27,,,29732498.642534398,900.370056,20967117.9264,,,67385012.4
1982-04-28,,,32434590.0920832,900.1658400000001,21529829.376,,,66274880.4
1982-04-29,,,31719506.1682176,899.8732320000001,22092540.8256,,,64548008.4
1982-04-30,,,30935110.8731904,899.51052,22435060.8384,,,62451092.4
1982-05-01,,,31500929.468620803,899.150856,22508457.984,,,60477524.4
1982-05-02,,,36075382.1024256,898.8826320000001,22508457.984,,,58997348.4
1982-05-03,,,44360794.4177664,898.754616,22826512.2816,,,58257260.4
1982-05-04,,,45654468.0403968,898.5900240000001,23242429.44,,,57393824.4
1982-05-05,,,38681323.2912384,898.27608,23609415.168,,,55666952.4
1982-05-06,,,34099286.2857216,897.81888,24049798.0416,,,53076644.4
1982-05-07,,,33166408.5651456,897.2763360000001,24392318.0544,,,50239640.4
1982-05-08,,,34068948.7988736,896.700264,24465715.2,,,47155940.4
1982-05-09,,,32241995.9820288,896.087616,24465715.2,,,44072240.4
1982-05-10,,,27979652.4770304,895.4658240000001,24465715.2,,,40865192.4
1982-05-11,,,26162167.891967997,894.7343040000001,24955029.504,,,37288100.4
1982-05-12,,,25166853.6662016,893.9082960000001,25150755.2256,,,33340964.400000002
1982-05-13,,,25147672.5454848,893.088384,25077358.08,,,29640524.400000002
1982-05-14,,,27046701.3593088,892.302,25003960.9344,,,26063432.400000002
1982-05-15,,,30237544.401407998,891.765552,24000866.6112,,,23719820.4
1982-05-16,,,33869088.3714048,891.4333200000001,23756209.4592,,,22362992.4
1982-05-17,,,37622422.6716672,891.131568,24049798.0416,,,21129512.4
1982-05-18,,,39639743.2184832,890.8938240000001,24221058.048,,,20019380.4
1982-05-19,,,41045665.5424512,890.7109440000002,24221058.048,,,19279292.4
1982-05-20,,,38015709.0435072,890.543304,24221058.048,,,18662552.4
1982-05-21,,,37073093.9682816,890.57988,23413689.446399998,,,18785900.4
1982-05-22,,,37150430.0940288,890.8023840000001,22997772.288,,,19772684.4
1982-05-23,,,38551483.740672,891.0828,22997772.288,,,20882816.4
1982-05-24,,,39502466.090495996,891.4028400000001,22997772.288,,,22239644.4
1982-05-25,,,41749397.374464,891.9331920000001,22190403.6864,,,24583256.4
1982-05-26,,,43273611.431424,892.9055040000001,20355475.0464,,,28900436.400000002
1982-05-27,,,46533961.5704064,894.1308,19327915.008,,,34574444.4
1982-05-28,,,37922470.20288,895.2738,19327915.008,,,40125104.4
1982-05-29,,,32058894.569472,896.3406,19327915.008,,,45429068.4
1982-05-30,,,26947395.021312002,897.325104,19327915.008,,,50609684.4
1982-05-31,,,23347411.8239232,898.236456,19327915.008,,,55543604.4
1982-06-01,,,20627925.250867203,899.1752400000001,19327915.008,,,60724220.4
1982-06-02,,,22556484.182937596,899.9982,19327915.008,,,65411444.4
1982-06-03,,,22806401.463705603,900.796776,19327915.008,,,70098668.4
1982-06-04,,,23753983.0791168,901.5679200000001,19327915.008,,,74662544.4
1982-06-05,,,23344549.3352448,902.302488,19327915.008,,,79103072.4
1982-06-06,,,21912301.9017216,903.009624,19327915.008,,,83543600.4
1982-06-07,,,18764591.91552,903.667992,19327915.008,,,87737432.4
1982-06-08,,,18606372.1353216,904.29588,19327915.008,,,91684568.4
1982-06-09,,,18443577.266380798,905.140176,17688712.0896,,,97235228.4
1982-06-10,,,18870552.9280512,906.23136,15731454.8736,,,104512760.4
1982-06-11,,,21056833.7040384,907.3591200000001,15168743.424,,,112407032.4
1982-06-12,,,24610552.233984,908.681952,13529540.5056,,,121781480.4
1982-06-13,,,29012741.7670656,910.093176,12722171.904,,,132019364.4
1982-06-14,,,29307675.9638016,911.358096,12722171.904,,,141640508.4
1982-06-15,,,33035027.6745216,912.8942880000001,12404117.6064,,,153481916.4
1982-06-16,,,34737816.986726396,914.342088,11914803.3024,,,165076628.4
1982-06-17,,,37121511.6186624,916.036776,11743543.296,,,180001736.4
1982-06-18,,,36226237.7023488,918.0057840000001,11743543.296,,,196160324.4
1982-06-19,,,37041826.784256,920.438088,11743543.296,,,217992920.4
1982-06-20,,,35591376.858624004,922.8338160000001,11743543.296,,,240442256.4
1982-06-21,,,34560709.6743936,925.0131360000001,11743543.296,,,261781460.4
1982-06-22,,,34046807.3266176,926.6712480000001,12893431.9104,,,278310092.4
1982-06-23,,,34090454.1625344,928.247064,13456143.36,,,294962072.4
1982-06-24,,,31872025.4367744,929.51808,17321726.3616,,,308160308.4
1982-06-25,,,30995027.4097152,930.5422080000001,19572572.16,,,319384976.4
1982-06-26,,,28817847.8797824,931.2737280000001,19572572.16,,,327402596.4
1982-06-27,,,29198779.0654464,931.538904,21089446.5024,,,330362948.4
1982-06-28,,,30175670.6076672,931.767504,23536018.0224,,,332706560.4
1982-06-29,,,29695139.495424002,931.8498000000001,25077358.08,,,333816692.4
1982-06-30,,,25290674.6508288,931.83456,26178315.264,,,333569996.4
1982-07-01,,,25146620.519731198,931.7614080000001,25689000.96,,,332829908.4
1982-07-02,,,22985392.6361088,931.797984,24172126.6176,,,332953256.4
1982-07-03,,,22795098.3032832,931.83456,22386129.408,,,333693344.4
1982-07-04,,,21076528.604774397,931.837608,22019143.68,,,333693344.4
1982-07-05,,,18368956.8350208,931.749216,22019143.68,,,332583212.4
1982-07-06,,,16299377.5205376,931.511472,22019143.68,,,329869556.4
1982-07-07,,,15466001.86368,931.3316400000001,20502269.3376,,,327895988.4
1982-07-08,,,15805561.5249408,931.215816,19572572.16,,,326662508.4
1982-07-09,,,14919021.8689536,931.3865040000001,15560194.8672,,,328636076.4
1982-07-10,,,13795164.775526399,931.551096,13456143.36,,,330362948.4
1982-07-11,,,13498053.1301376,931.5541440000001,13456143.36,,,330486296.4
1982-07-12,,,13510677.439180799,931.3194480000001,13456143.36,,,327772640.4
1982-07-13,,,14790576.864153601,931.1152320000001,13456143.36,,,325429028.4
1982-07-14,,,14837135.1201792,931.218864,13456143.36,,,326662508.4
1982-07-15,,,13567658.089881599,931.3438320000001,13456143.36,,,328142684.4
1982-07-16,,,12147447.7882368,931.3316400000001,13456143.36,,,328019336.4
1982-07-17,,,10499584.006656,931.2615360000001,12673240.4736,,,327155900.4
1982-07-18,,,9959283.1521792,931.1640000000001,12232857.6,,,326045768.4
1982-07-19,,,10067764.133376,931.0908480000002,11768009.0112,,,325182332.4
1982-07-20,,,9379103.1819264,930.99636,11327626.1376,,,324195548.4
1982-07-21,,,9363909.9727872,931.0878,11254228.992,,,325305680.4
1982-07-22,,,8727018.4747008,931.139616,11180831.8464,,,325799072.4
1982-07-23,,,8692032.5019648,931.066464,11131900.416,,,325058984.4
1982-07-24,,,8386945.0334208,931.1152320000001,11131900.416,,,325552376.4
1982-07-25,,,6847684.5616128,931.1822880000001,11131900.416,,,326292464.4
1982-07-26,,,7071790.512844799,931.1457120000001,11058503.2704,,,325799072.4
1982-07-27,,,7208627.2579584,931.0756080000001,11009571.84,,,325058984.4
1982-07-28,,,7067827.0669824,931.136568,10936174.6944,,,325675724.4
1982-07-29,,,6998711.4215424,931.1457120000001,10887243.264,,,325799072.4
1982-07-30,,,6568481.8197504,931.1670480000001,10887243.264,,,326169116.4
1982-07-31,,,6375349.463961599,931.252392,10887243.264,,,327155900.4
1982-08-01,,,4981904.6547456,931.3285920000001,10887243.264,,,327895988.4
1982-08-02,,,5496076.1253888,931.28592,10887243.264,,,327402596.4
1982-08-03,,,4870585.6505856,931.1670480000001,10887243.264,,,326045768.4
1982-08-04,,,4788356.381798401,931.0969440000001,10813846.1184,,,325305680.4
1982-08-05,,,4556641.5931392005,931.051224,10764914.688,,,324812288.4
1982-08-06,,,4816785.5428607995,930.999408,10764914.688,,,324318896.4
1982-08-07,,,3863332.1558016,931.0268400000001,10764914.688,,,324565592.4
1982-08-08,,,4151660.6094336,931.0878,10764914.688,,,325305680.4
1982-08-09,,,4856860.3843584005,931.14876,10764914.688,,,326045768.4
1982-08-10,,,3656890.450944,931.188384,10764914.688,,,326415812.4
1982-08-11,,,3946515.5874815998,931.218864,10764914.688,,,326785856.4
1982-08-12,,,3948546.2418432003,931.252392,10764914.688,,,327155900.4
1982-08-13,,,3531577.0576896,931.2737280000001,10691517.5424,,,327279248.4
1982-08-14,,,3608228.1434112,931.288968,10642586.112,,,327525944.4
1982-08-15,,,3366604.740096,931.295064,10642586.112,,,327525944.4
1982-08-16,,,3678151.1574528003,931.28592,10642586.112,,,327402596.4
1982-08-17,,,3585475.0282751997,931.267632,10642586.112,,,327279248.4
1982-08-18,,,3201559.0253568,931.228008,10569188.9664,,,326909204.4
1982-08-19,,,3328095.7043712,931.19448,10520257.536,,,326415812.4
1982-08-20,,,3226562.9862912,931.1457120000001,10446860.3904,,,325799072.4
1982-08-21,,,3285500.894208,931.0908480000002,10397928.959999999,,,325305680.4
1982-08-22,,,2907872.580096,931.106088,10397928.959999999,,,325429028.4
1982-08-23,,,2726703.95904,931.1640000000001,10397928.959999999,,,326169116.4
1982-08-24,,,3002726.1579263997,931.2097200000001,10397928.959999999,,,326662508.4
1982-08-25,,,2628792.1668096,931.22496,10397928.959999999,,,326785856.4
1982-08-26,,,4464063.3268224,931.212768,10397928.959999999,,,326662508.4
1982-08-27,,,157534.7401728,931.1822880000001,10324531.8144,,,326292464.4
1982-08-28,,,2528017.8859007997,931.1274240000001,10275600.384,,,325675724.4
1982-08-29,,,2281843.8595583998,931.0573200000001,10275600.384,,,324812288.4
1982-08-30,,,2575701.5648256,931.048176,10030943.232,,,324812288.4
1982-08-31,,,2351155.23072,931.07256,9908614.656,,,325058984.4
1982-09-01,,,2128810.8109824,931.0756080000001,9639491.7888,,,325058984.4
1982-09-02,,,2291214.22848,931.1670480000001,9419300.352,,,326169116.4
1982-09-03,,,2608999.4032128,931.3499280000001,9199108.9152,,,328019336.4
1982-09-04,,,1975557.5709696,931.3956480000002,9125711.7696,,,328636076.4
1982-09-05,,,1230136.160256,931.3255440000001,9125711.7696,,,327895988.4
1982-09-06,,,2060771.6570111997,931.28592,8881054.6176,,,327402596.4
1982-09-07,,,2408453.9357184,930.801288,8587466.0352,,,321851936.4
1982-09-08,,,2387780.4063744,930.057576,8269411.7376,,,313710968.4
1982-09-09,,,2406496.6785024,929.310816,8147083.1616,,,305693348.4
1982-09-10,,,2172628.9069056,928.5671040000001,8147083.1616,,,297552380.4
1982-09-11,,,2460101.0605055997,927.8112000000001,8073686.016,,,289658108.4
1982-09-12,,,2438497.833984,927.0644400000001,7951357.4399999995,,,281887184.4
1982-09-13,,,2848029.4407168,926.3268240000001,7829028.864,,,274362956.4
1982-09-14,,,2616803.9663616,925.580064,7780097.4336,,,266715380.4
1982-09-15,,,3069395.2318463996,924.8546400000001,7462043.136,,,259561196.4
1982-09-16,,,2429934.833664,924.159696,7046125.9776,,,252653708.4
1982-09-17,,,2843943.6662784,923.4769440000001,6923797.4015999995,,,245992916.4
1982-09-18,,,2674347.328512,922.782,6923797.4015999995,,,239332124.4
1982-09-19,,,3392000.1524736,922.0992480000001,6923797.4015999995,,,232918028.4
1982-09-20,,,4311837.646848001,921.462216,6507880.243199999,,,226873976.4
1982-09-21,,,3182965.0818048,920.8221360000001,6312154.5216,,,220953272.4
1982-09-22,,,2696048.4178944,920.169864,6312154.5216,,,214909220.4
1982-09-23,,,2632315.2297984003,919.499304,6312154.5216,,,208865168.4
1982-09-24,,,2620008.9750528,918.8287440000001,6238757.376,,,202944464.4
1982-09-25,,,2438669.0939904,918.1734240000001,6189825.9456,,,197023760.4
1982-09-26,,,3427548.8366592,917.515056,6140894.5152,,,191226404.4
1982-09-27,,,2750411.2370688003,916.8384000000001,6116428.8,,,185429048.4
1982-09-28,,,2840347.206144,916.1586960000001,6116428.8,,,179631692.4
1982-09-29,,,2880006.1304832003,915.4759440000001,6116428.8,,,173834336.4
1982-09-30,,,3717173.9731968,914.768808,6116428.8,,,168036980.4
1982-10-01,,,2616779.5006464,914.061672,6116428.8,,,162325968.0
1982-10-02,,,2868923.1614976004,913.3362480000001,6116428.8,,,156528612.0
1982-10-03,,,3340181.76768,912.6047280000001,6116428.8,,,150607908.0
1982-10-04,,,890160.5818368,911.857968,6116428.8,,,144810552.0
1982-10-05,,,3983972.5974528003,911.1996,6116428.8,,,140123328.0
1982-10-06,,,1703743.4750976,910.379688,6116428.8,,,133215840.0
1982-10-07,,,2576875.9191552,909.5414880000001,6116428.8,,,127541832.0
1982-10-08,,,2865571.3585151997,908.752056,6116428.8,,,121744476.0
1982-10-09,,,2598307.8856703998,907.9443360000001,6116428.8,,,115947120.0
1982-10-10,,,2645722.441728,907.13052,6116428.8,,,110273112.0
1982-10-11,,,2639606.012928,906.30756,6116428.8,,,104599104.0
1982-10-12,,,2748772.0341503997,905.463264,6116428.8,,,98925096.0
1982-10-13,,,2799195.8731776,904.5854400000001,6116428.8,,,93251088.0
1982-10-14,,,2536727.680512,903.692376,6116428.8,,,87453732.0
1982-10-15,,,2564325.0072576003,902.951712,4966540.1855999995,,,82889856.0
1982-10-16,,,2598968.4599808,902.3055360000001,4403828.736,,,78819372.0
1982-10-17,,,2023388.0441856,901.647168,4403828.736,,,74748888.0
1982-10-18,,,3052636.2169344,901.452096,1467942.912,,,73885452.0
1982-10-19,,,2504163.8135808,901.513056,151687.43424,,,74255496.0
1982-10-20,,,2392722.4808448,901.5313440000001,366985.728,,,74255496.0
1982-10-21,,,2393016.0694272,901.5100080000001,366985.728,,,74132148.0
1982-10-22,,,2837533.648896,901.500864,366985.728,,,74132148.0
1982-10-23,,,3073529.9377152,901.494768,366985.728,,,74132148.0
1982-10-24,,,3530818.6205184003,901.4978160000001,366985.728,,,74008800.0
1982-10-25,,,3207626.5227264,901.488672,366985.728,,,74008800.0
1982-10-26,,,4835183.760691199,901.516104,366985.728,,,74132148.0
1982-10-27,,,4543650.298368,901.5618240000001,300928.29696,,,74502192.0
1982-10-28,,,3605928.3661823994,901.589256,269122.8672,,,74625540.0
1982-10-29,,,4617218.7039744,901.662408,269122.8672,,,75118932.0
1982-10-30,,,4006848.0411648,901.7142240000001,269122.8672,,,75365628.0
1982-10-31,,,4043448.751104,901.762992,269122.8672,,,75735672.0
1982-11-01,,,3285990.208512,901.787376,269122.8672,,,75859020.0
1982-11-02,,,3318187.0897152,901.820904,269122.8672,,,76105716.0
1982-11-03,,,2920325.6291328003,901.8330960000001,269122.8672,,,76105716.0
1982-11-04,,,3008964.9153023995,901.8483360000001,269122.8672,,,76229064.0
1982-11-05,,,3067535.8374912,901.8666240000001,269122.8672,,,76352412.0
1982-11-06,,,2678995.8144,901.875768,269122.8672,,,76352412.0
1982-11-07,,,2878317.9961344,901.88796,269122.8672,,,76475760.0
1982-11-08,,,2665637.5339007997,901.894056,269122.8672,,,76475760.0
1982-11-09,,,3266613.3620736003,901.881864,425703.44448,,,76475760.0
1982-11-10,,,2768442.4691712,902.738352,366985.728,,,81779724.0
1982-11-11,,,2684916.5174784,904.7165040000001,366985.728,,,94484568.0
1982-11-12,,,2248766.212608,906.5453040000001,366985.728,,,106572672.0
1982-11-13,,,2499613.1905536,908.2552320000001,366985.728,,,118537428.0
1982-11-14,,,2159857.8035712,909.8798160000001,366985.728,,,130255488.0
1982-11-15,,,1854819.2664576,911.4038160000001,366985.728,,,141726852.0
1982-11-16,,,2125923.8565888,912.8150400000001,366985.728,,,152704824.0
1982-11-17,,,3548042.4840192,914.168352,366985.728,,,163559448.0
1982-11-18,,,4607432.4178944,915.4668,366985.728,,,174167376.0
1982-11-19,,,4134192.0887808,916.725624,366985.728,,,184651956.0
1982-11-20,,,3164199.8782463996,917.8991040000001,366985.728,,,194889840.0
1982-11-21,,,2794792.0444416,919.0085760000001,366985.728,,,204757680.0
1982-11-22,,,2559529.7270784,919.877256,2172555.50976,,,212405256.0
1982-11-23,,,1696795.2119808,920.5874400000001,2935885.824,,,218942700.0
1982-11-24,,,1720404.6271488,921.2610480000001,2935885.824,,,225233448.0
1982-11-25,,,1852910.940672,921.89808,2935885.824,,,231154152.0
1982-11-26,,,2188482.6903552,922.4985360000001,2935885.824,,,236828160.0
1982-11-27,,,2268730.2362112,923.065464,2935885.824,,,242255472.0
1982-11-28,,,3154486.9893119996,923.6232480000001,2935885.824,,,247682784.0
1982-11-29,,,3930515.0097407997,923.979864,2935885.824,,,250889832.0
1982-11-30,,,3348328.8508416,924.0926400000001,2935885.824,,,252246660.0
1982-12-01,,,2972559.9310848,924.220656,2935885.824,,,253480140.0
1982-12-02,,,2824664.6827008,924.345624,2935885.824,,,254713620.0
1982-12-03,,,3066728.4688896,924.470592,2935885.824,,,256070448.0
1982-12-04,,,3117641.6222208,924.607752,2935885.824,,,257303928.0
1982-12-05,,,3204935.2940544,924.741864,2935885.824,,,258537408.0
1982-12-06,,,4221461.2948992,924.903408,2935885.824,,,260017584.0
1982-12-07,,,3825606.0229632,925.040568,2935885.824,,,261621108.0
1982-12-08,,,2679191.5401215996,925.171632,2935885.824,,,262977936.0
1982-12-09,,,2399597.346816,925.226496,2935885.824,,,263347980.0
1982-12-10,,,2725505.1389952,925.217352,2935885.824,,,263347980.0
1982-12-11,,,2535039.5461632,925.2204,2935885.824,,,263347980.0
1982-12-12,,,2689540.5376512,925.2234480000001,2935885.824,,,263347980.0
1982-12-13,,,3542268.5752319996,925.238688,2935885.824,,,263594676.0
1982-12-14,,,3079279.3807872,925.244784,2935885.824,,,263594676.0
1982-12-15,,,4601634.043392,925.287456,2935885.824,,,264088068.0
1982-12-16,,,2967838.0480512,925.308792,2935885.824,,,264211416.0
1982-12-17,,,3768209.455104,925.3240320000001,2935885.824,,,264458112.0
1982-12-18,,,3325086.4214016,925.366704,2935885.824,,,264704808.0
1982-12-19,,,3537742.41792,925.384992,2935885.824,,,265074852.0
1982-12-20,,,3544813.0096128,925.4185200000001,2935885.824,,,265321548.0
1982-12-21,,,6456428.8441344,925.5008160000001,2935885.824,,,266308332.0
1982-12-22,,,7042896.503193599,925.6074960000001,3425200.128,,,267048420.0
1982-12-23,,,6406690.0451328,925.650168,3669857.28,,,267665160.0
1982-12-24,,,4976399.8688256,925.674552,3669857.28,,,267911856.0
1982-12-25,,,3880433.6907264,925.671504,3669857.28,,,267911856.0
1982-12-26,,,3936117.6585215996,925.6806480000001,3669857.28,,,268035204.0
1982-12-27,,,3810363.8823936,925.6074960000001,4477225.8816,,,267171768.0
1982-12-28,,,2759977.3317119996,925.4703360000001,4893143.04,,,265814940.0
1982-12-29,,,2785201.4840832003,925.3209840000001,4893143.04,,,264334764.0
1982-12-30,,,2433262.1709312,925.17468,4893143.04,,,262977936.0
1982-12-31,,,2697198.3065088,925.040568,4893143.04,,,261621108.0
1983-01-01,,,2451122.1430272,924.894264,4893143.04,,,260140932.0
1983-01-02,,,2538611.5405824,924.754056,4893143.04,,,258660756.0
1983-01-03,,,3890586.9625344,924.6229920000001,4893143.04,,,257427276.0
