date,canal discharge (m3/d),outflow(m3/d)
1982-04-19,,1103403.75552
1982-04-20,,1074044.89728
1982-04-21,,1052025.7536
1982-04-22,,990861.4656
1982-04-23,,1076491.4688
1982-04-24,,1198820.0448
1982-04-25,,1414118.33856
1982-04-26,,1568252.34432
1982-04-27,,1932791.5008
1982-04-28,,2177448.6528
1982-04-29,,2519968.6656
1982-04-30,,2642297.2416
1982-05-01,,2911420.1088
1982-05-02,,3400734.4128
1982-05-03,,3890048.7168
1982-05-04,,5015471.616
1982-05-05,,4208103.0144
1982-05-06,,3865583.0016
1982-05-07,,3890048.7168
1982-05-08,,4110240.1536
1982-05-09,,4134705.8688
1982-05-10,,3914514.432
1982-05-11,,3963445.8624
1982-05-12,,3792185.856
1982-05-13,,4452760.1663999995
1982-05-14,,5064403.0464
1982-05-15,,5994100.223999999
1982-05-16,,6972728.8319999995
1982-05-17,,7462043.136
1982-05-18,,7755631.7184
1982-05-19,,8196014.592
1982-05-20,,6483414.528
1982-05-21,,6752537.3952
1982-05-22,,7388645.9904
1982-05-23,,7510974.5664
1982-05-24,,7657768.8576
1982-05-25,,7829028.864
1982-05-26,,8538534.6048
1982-05-27,,8954451.7632
1982-05-28,,8978917.4784
1982-05-29,,6777003.1104
1982-05-30,,5382457.344
1982-05-31,,4697417.3184
1982-06-01,,4721883.0336
1982-06-02,,4942074.4704
1982-06-03,,4966540.1855999995
1982-06-04,,5431388.7743999995
1982-06-05,,5602648.7808
1982-06-06,,5822840.2176
1982-06-07,,5211197.3376
1982-06-08,,4942074.4704
1982-06-09,,4648485.888
1982-06-10,,4305965.8752
1982-06-11,,4354897.3056
1982-06-12,,4428294.4512
1982-06-13,,5431388.7743999995
1982-06-14,,6043031.6544
1982-06-15,,6189825.9456
1982-06-16,,6654674.5344
1982-06-17,,6923797.4015999995
1982-06-18,,7266317.4144
1982-06-19,,7364180.2752
1982-06-20,,7584371.712
1982-06-21,,7413111.7056
1982-06-22,,7633303.1424
1982-06-23,,7829028.864
1982-06-24,,8440671.743999999
1982-06-25,,8636397.4656
1982-06-26,,8244946.0224
1982-06-27,,8073686.016
1982-06-28,,8244946.0224
1982-06-29,,8538534.6048
1982-06-30,,8293877.4528
1982-07-01,,8024754.5856
1982-07-02,,7364180.2752
1982-07-03,,6483414.528
1982-07-04,,5896237.3632
1982-07-05,,5994100.223999999
1982-07-06,,6263223.0912
1982-07-07,,5406923.0592
1982-07-08,,5602648.7808
1982-07-09,,6850400.256
1982-07-10,,7168454.5536
1982-07-11,,6287688.8064
1982-07-12,,5676045.9264
1982-07-13,,5309060.1984
1982-07-14,,4966540.1855999995
1982-07-15,,5015471.616
1982-07-16,,4917608.7552
1982-07-17,,4599554.4576
1982-07-18,,4134705.8688
1982-07-19,,3987911.5776
1982-07-20,,3890048.7168
1982-07-21,,3669857.28
1982-07-22,,3474131.5584
1982-07-23,,3376268.6976
1982-07-24,,3205008.6912
1982-07-25,,3033748.6848
1982-07-26,,2886954.3936
1982-07-27,,2691228.672
1982-07-28,,2764625.8176
1982-07-29,,2691228.672
1982-07-30,,2568900.096
1982-07-31,,2495502.9504
1982-08-01,,2519968.6656
1982-08-02,,2519968.6656
1982-08-03,,2395193.51808
1982-08-04,,2336475.8016
1982-08-05,,2255738.94144
1982-08-06,,2206807.51104
1982-08-07,,2175002.08128
1982-08-08,,2172555.50976
1982-08-09,,2199467.79648
1982-08-10,,2192128.08192
1982-08-11,,2167662.36672
1982-08-12,,2145643.22304
1982-08-13,,2221486.9401599998
1982-08-14,,2209254.08256
1982-08-15,,2197021.22496
1982-08-16,,2189681.5104
1982-08-17,,2285097.79968
1982-08-18,,2267971.79904
1982-08-19,,2287544.3712
1982-08-20,,2231273.2262399998
1982-08-21,,2199467.79648
1982-08-22,,2194574.65344
1982-08-23,,2206807.51104
1982-08-24,,2170108.93824
1982-08-25,,2152982.9376
1982-08-26,,2143196.65152
1982-08-27,,2172555.50976
1982-08-28,,2160322.65216
1982-08-29,,2233719.79776
1982-08-30,,2519968.6656
1982-08-31,,2289990.94272
1982-09-01,,2023314.64704
1982-09-02,,1974383.21664
1982-09-03,,1962150.35904
1982-09-04,,1959703.78752
1982-09-05,,1937684.64384
1982-09-06,,1915665.50016
1982-09-07,,1896092.928
1982-09-08,,1896092.928
1982-09-09,,1874073.7843199999
1982-09-10,,1876520.3558399999
1982-09-11,,1874073.7843199999
1982-09-12,,1866734.0697599999
1982-09-13,,1952364.07296
1982-09-14,,1898539.49952
1982-09-15,,1910772.35712
1982-09-16,,2045333.79072
1982-09-17,,1925451.78624
1982-09-18,,1876520.3558399999
1982-09-19,,1837375.21152
1982-09-20,,1830035.49696
1982-09-21,,1815356.06784
1982-09-22,,1788443.78112
1982-09-23,,1773764.352
1982-09-24,,1751745.20832
1982-09-25,,1847161.4976
1982-09-26,,1947470.92992
1982-09-27,,2069799.50592
1982-09-28,,2079585.792
1982-09-29,,2111391.22176
1982-09-30,,2003742.07488
1982-10-01,,1986616.07424
1982-10-02,,2060013.21984
1982-10-03,,1962150.35904
1982-10-04,,1954810.64448
1982-10-05,,1964596.93056
1982-10-06,,1847161.4976
1982-10-07,,1878966.92736
1982-10-08,,1871627.2127999999
1982-10-09,,1798230.0672
1982-10-10,,1773764.352
1982-10-11,,1795783.49568
1982-10-12,,1834928.64
1982-10-13,,1854501.2121599999
1982-10-14,,1834928.64
1982-10-15,,1815356.06784
1982-10-16,,1795783.49568
1982-10-17,,1754191.77984
1982-10-18,,1734619.20768
1982-10-19,,1715046.63552
1982-10-20,,1678348.06272
1982-10-21,,1658775.49056
1982-10-22,,1678348.06272
1982-10-23,,1715046.63552
1982-10-24,,1815356.06784
1982-10-25,,1754191.77984
1982-10-26,,1834928.64
1982-10-27,,2047780.36224
1982-10-28,,1834928.64
1982-10-29,,1834928.64
1982-10-30,,1896092.928
1982-10-31,,1896092.928
1982-11-01,,1815356.06784
1982-11-02,,1773764.352
1982-11-03,,1715046.63552
1982-11-04,,1715046.63552
1982-11-05,,1697920.63488
1982-11-06,,1678348.06272
1982-11-07,,1678348.06272
1982-11-08,,1639202.9184
1982-11-09,,1658775.49056
1982-11-10,,1639202.9184
1982-11-11,,1639202.9184
1982-11-12,,1639202.9184
1982-11-13,,1639202.9184
1982-11-14,,1590271.488
1982-11-15,,1565805.7728
1982-11-16,,1590271.488
1982-11-17,,1663668.6336
1982-11-18,,1737065.7792
1982-11-19,,1785997.2096
1982-11-20,,1737065.7792
1982-11-21,,1737065.7792
1982-11-22,,1541340.0576
1982-11-23,,1443477.1968
1982-11-24,,1492408.6272
1982-11-25,,1541340.0576
1982-11-26,,1565805.7728
1982-11-27,,1614737.2031999999
1982-11-28,,1663668.6336
1982-11-29,,1663668.6336
1982-11-30,,1614737.2031999999
1982-12-01,,1541340.0576
1982-12-02,,1492408.6272
1982-12-03,,1489962.05568
1982-12-04,,1492408.6272
1982-12-05,,1477729.19808
1982-12-06,,1536446.91456
1982-12-07,,1448370.33984
1982-12-08,,1426351.19616
1982-12-09,,1411671.76704
1982-12-10,,1460603.19744
1982-12-11,,1460603.19744
1982-12-12,,1475282.62656
1982-12-13,,1526660.62848
1982-12-14,,1502194.91328
1982-12-15,,1441030.62528
1982-12-16,,1443477.1968
1982-12-17,,1414118.33856
1982-12-18,,1387206.05184
1982-12-19,,1382312.9088
1982-12-20,,1350507.47904
1982-12-21,,1438584.05376
1982-12-22,,1428797.76768
1982-12-23,,1423904.62464
1982-12-24,,1348060.90752
1982-12-25,,1277110.33344
1982-12-26,,1291789.76256
1982-12-27,,1335828.04992
1982-12-28,,1220839.18848
1982-12-29,,1169461.18656
1982-12-30,,1135209.18528
1982-12-31,,1171907.75808
1983-01-01,,1218392.61696
1983-01-02,,1237965.18912
1983-01-03,,1294236.33408
1983-01-04,,1328488.33536
1983-01-05,,1379866.33728
1983-01-06,,1338274.62144
1983-01-07,,1316255.47776
1983-01-08,,1338274.62144
1983-01-09,,1291789.76256
1983-01-10,,1252644.61824
1983-01-11,,1247751.4752
1983-01-12,,1235518.6176
1983-01-13,,1213499.47392
1983-01-14,,1274663.76192
1983-01-15,,1272217.1904
1983-01-16,,1257537.76128
1983-01-17,,1206159.75936
1983-01-18,,1213499.47392
1983-01-19,,1213499.47392
1983-01-20,,1196373.47328
1983-01-21,,1179247.47264
1983-01-22,,1189033.75872
1983-01-23,,1225732.33152
1983-01-24,,1189033.75872
1983-01-25,,1203713.18784
1983-01-26,,1181694.04416
1983-01-27,,1171907.75808
1983-01-28,,1201266.61632
1983-01-29,,1162121.472
1983-01-30,,1164568.04352
1983-01-31,,1152335.18592
1983-02-01,,1152335.18592
1983-02-02,,1144995.47136
1983-02-03,,1103403.75552
1983-02-04,,1098510.61248
1983-02-05,,1081384.61184
1983-02-06,,1086277.75488
1983-02-07,,1174354.3296
1983-02-08,,1159674.90048
1983-02-09,,1191480.33024
1983-02-10,,1157228.32896
1983-02-11,,1125422.8991999999
1983-02-12,,1120529.7561599999
1983-02-13,,1184140.61568
1983-02-14,,1135209.18528
1983-02-15,,1103403.75552
1983-02-16,,1154781.75744
1983-02-17,,1130316.04224
1983-02-18,,1132762.61376
1983-02-19,,1142548.89984
1983-02-20,,1091170.89792
1983-02-21,,1093617.46944
1983-02-22,,1088724.3264
1983-02-23,,1093617.46944
1983-02-24,,1098510.61248
1983-02-25,,1105850.32704
1983-02-26,,1154781.75744
1983-02-27,,1115636.6131199999
1983-02-28,,1135209.18528
1983-03-01,,1142548.89984
1983-03-02,,1144995.47136
1983-03-03,,1162121.472
1983-03-04,,1179247.47264
1983-03-05,,1157228.32896
1983-03-06,,1142548.89984
1983-03-07,,1120529.7561599999
1983-03-08,,1110743.4700799999
1983-03-09,,1103403.75552
1983-03-10,,1105850.32704
1983-03-11,,1157228.32896
1983-03-12,,1184140.61568
1983-03-13,,1215946.04544
1983-03-14,,1267324.04736
1983-03-15,,1186587.1872
1983-03-16,,1152335.18592
1983-03-17,,1127869.47072
1983-03-18,,1122976.3276799999
1983-03-19,,1120529.7561599999
1983-03-20,,1066705.18272
1983-03-21,,1069151.75424
1983-03-22,,1103403.75552
1983-03-23,,1098510.61248
1983-03-24,,1086277.75488
1983-03-25,,1081384.61184
1983-03-26,,1054472.32512
1983-03-27,,1064258.6112
1983-03-28,,1091170.89792
1983-03-29,,1052025.7536
1983-03-30,,1130316.04224
1983-03-31,,1122976.3276799999
1983-04-01,,1091170.89792
1983-04-02,,1115636.6131199999
1983-04-03,,1120529.7561599999
1983-04-04,,1047132.61056
1983-04-05,,1037346.32448
1983-04-06,,1044686.03904
1983-04-07,,1056918.89664
1983-04-08,,1078938.04032
1983-04-09,,1069151.75424
1983-04-10,,1088724.3264
1983-04-11,,1081384.61184
1983-04-12,,1044686.03904
1983-04-13,,1015327.1808
1983-04-14,,1020220.32384
1983-04-15,,1015327.1808
1983-04-16,,1042239.46752
1983-04-17,,1113190.0415999999
1983-04-18,,1237965.18912
1983-04-19,,1379866.33728
1983-04-20,,1463049.76896
1983-04-21,,1690580.92032
1983-04-22,,1971936.64512
1983-04-23,,2236166.3692799998
1983-04-24,,2568900.096
1983-04-25,,2519968.6656
1983-04-26,,2314456.65792
1983-04-27,,2086925.50656
1983-04-28,,1991509.21728
1983-04-29,,2074692.64896
1983-04-30,,2277758.08512
1983-05-01,,2360941.5168
1983-05-02,,2642297.2416
1983-05-03,,2911420.1088
1983-05-04,,2960351.5392
1983-05-05,,3302871.552
1983-05-06,,3302871.552
1983-05-07,,3009282.9696
1983-05-08,,3278405.8368
1983-05-09,,3425200.128
1983-05-10,,2960351.5392
1983-05-11,,2789091.5328
1983-05-12,,2593365.8112
1983-05-13,,2424552.37632
1983-05-14,,2434338.6624
1983-05-15,,2666762.9568
1983-05-16,,2519968.6656
1983-05-17,,2346262.08768
1983-05-18,,2740160.1023999997
1983-05-19,,2984817.2544
1983-05-20,,3792185.856
1983-05-21,,4770814.464
1983-05-22,,5700511.6416
1983-05-23,,6556811.6736
1983-05-24,,7706700.288
1983-05-25,,8514068.8896
1983-05-26,,9125711.7696
1983-05-27,,9345903.2064
1983-05-28,,9639491.7888
1983-05-29,,10030943.232
1983-05-30,,9908614.656
1983-05-31,,8538534.6048
1983-06-01,,7682234.5728
1983-06-02,,7217385.984
1983-06-03,,7462043.136
1983-06-04,,7657768.8576
1983-06-05,,7315248.8448
1983-06-06,,6850400.256
1983-06-07,,7021660.2624
1983-06-08,,7095057.408
1983-06-09,,7510974.5664
1983-06-10,,7413111.7056
1983-06-11,,7951357.4399999995
1983-06-12,,8954451.7632
1983-06-13,,7143988.8384
1983-06-14,,6238757.376
1983-06-15,,6067497.3696
1983-06-16,,6116428.8
1983-06-17,,6116428.8
1983-06-18,,6630208.8192
1983-06-19,,6703605.9648
1983-06-20,,6214291.6608
1983-06-21,,5602648.7808
1983-06-22,,5235663.0528
1983-06-23,,5284594.4832
1983-06-24,,5504785.92
1983-06-25,,5896237.3632
1983-06-26,,5969634.5088
1983-06-27,,5676045.9264
1983-06-28,,5406923.0592
1983-06-29,,5113334.4768
1983-06-30,,5309060.1984
1983-07-01,,5211197.3376
1983-07-02,,6043031.6544
1983-07-03,,6312154.5216
1983-07-04,,4575088.7424
1983-07-05,,3816651.5712
1983-07-06,,3890048.7168
1983-07-07,,4159171.584
1983-07-08,,4232568.7296
1983-07-09,,4403828.736
1983-07-10,,5700511.6416
1983-07-11,,4599554.4576
1983-07-12,,3571994.4192
1983-07-13,,3351802.9824
1983-07-14,,3400734.4128
1983-07-15,,3938980.1472
1983-07-16,,3180542.976
1983-07-17,,2666762.9568
1983-07-18,,2568900.096
1983-07-19,,2302223.80032
1983-07-20,,2231273.2262399998
1983-07-21,,3082680.1152
1983-07-22,,2935885.824
1983-07-23,,2544434.3808
1983-07-24,,2373174.3744
1983-07-25,,2138303.50848
1983-07-26,,2162769.22368
1983-07-27,,2165215.7952
1983-07-28,,2094265.22112
1983-07-29,,2047780.36224
1983-07-30,,1959703.78752
1983-07-31,,1915665.50016
1983-08-01,,1915665.50016
1983-08-02,,2047780.36224
1983-08-03,,1795783.49568
1983-08-04,,1717493.20704
1983-08-05,,1734619.20768
1983-08-06,,1678348.06272
1983-08-07,,1622076.9177599999
1983-08-08,,1602504.3456
1983-08-09,,1602504.3456
1983-08-10,,1580485.20192
1983-08-11,,1658775.49056
1983-08-12,,1622076.9177599999
1983-08-13,,1565805.7728
1983-08-14,,1602504.3456
1983-08-15,,1602504.3456
1983-08-16,,1697920.63488
1983-08-17,,1602504.3456
1983-08-18,,1622076.9177599999
1983-08-19,,1604950.9171199999
1983-08-20,,2162769.22368
1983-08-21,,2255738.94144
1983-08-22,,2255738.94144
1983-08-23,,2094265.22112
1983-08-24,,2047780.36224
1983-08-25,,1981722.9312
1983-08-26,,2025761.21856
1983-08-27,,1981722.9312
1983-08-28,,1981722.9312
1983-08-29,,1981722.9312
1983-08-30,,1981722.9312
1983-08-31,,1937684.64384
1983-09-01,,1915665.50016
1983-09-02,,1981722.9312
1983-09-03,,1959703.78752
1983-09-04,,1896092.928
1983-09-05,,1874073.7843199999
1983-09-06,,1834928.64
1983-09-07,,1815356.06784
1983-09-08,,1854501.2121599999
1983-09-09,,1874073.7843199999
1983-09-10,,1815356.06784
1983-09-11,,1795783.49568
1983-09-12,,1795783.49568
1983-09-13,,1754191.77984
1983-09-14,,1754191.77984
1983-09-15,,1697920.63488
1983-09-16,,1658775.49056
1983-09-17,,1658775.49056
1983-09-18,,1639202.9184
1983-09-19,,1658775.49056
1983-09-20,,1658775.49056
1983-09-21,,1639202.9184
1983-09-22,,1639202.9184
1983-09-23,,1639202.9184
1983-09-24,,1489962.05568
1983-09-25,,1438584.05376
1983-09-26,,1404332.05248
1983-09-27,,1641649.48992
1983-09-28,,2329136.08704
1983-09-29,,1962150.35904
1983-09-30,,2593365.8112
1983-10-01,,2642297.2416
1983-10-02,,3327337.2672
1983-10-03,,3278405.8368
1983-10-04,,2666762.9568
1983-10-05,,2385407.232
1983-10-06,,2243506.08384
1983-10-07,,2135856.93696
1983-10-08,,2030654.3616
1983-10-09,,2201914.368
1983-10-10,,2740160.1023999997
1983-10-11,,2495502.9504
1983-10-12,,2228826.65472
1983-10-13,,2108944.65024
1983-10-14,,2312010.0864
1983-10-15,,2544434.3808
1983-10-16,,2294884.08576
1983-10-17,,2160322.65216
1983-10-18,,2113837.79328
1983-10-19,,2035547.50464
1983-10-20,,1967043.50208
1983-10-21,,1925451.78624
1983-10-22,,1898539.49952
1983-10-23,,2099158.36416
1983-10-24,,2740160.1023999997
1983-10-25,,2238612.9408
1983-10-26,,2128517.2224
1983-10-27,,2045333.79072
1983-10-28,,1974383.21664
1983-10-29,,1945024.3584
1983-10-30,,1925451.78624
1983-10-31,,1915665.50016
1983-11-01,,1952364.07296
1983-11-02,,2028207.79008
1983-11-03,,2152982.9376
1983-11-04,,2013528.36096
1983-11-05,,2299777.2288
1983-11-06,,2617831.5264
1983-11-07,,2862488.6784
1983-11-08,,2862488.6784
1983-11-09,,2471037.2352
1983-11-10,,2348708.6592
1983-11-11,,2471037.2352
1983-11-12,,2471037.2352
1983-11-13,,2434338.6624
1983-11-14,,2302223.80032
1983-11-15,,2214147.2256
1983-11-16,,2162769.22368
1983-11-17,,2226380.0831999998
1983-11-18,,2184788.36736
1983-11-19,,2079585.792
1983-11-20,,2104051.5072
1983-11-21,,2050226.93376
1983-11-22,,1935238.07232
1983-11-23,,1957257.216
1983-11-24,,1993955.7888
1983-11-25,,2047780.36224
1983-11-26,,1913218.92864
1983-11-27,,1825142.35392
1983-11-28,,1866734.0697599999
1983-11-29,,1790890.35264
1983-11-30,,1634309.77536
1983-12-01,,1771317.78048
1983-12-02,,1842268.35456
1983-12-03,,1849608.06912
1983-12-04,,1849608.06912
1983-12-05,,1741958.92224
1983-12-06,,1722386.35008
1983-12-07,,1673454.91968
1983-12-08,,1761531.4944
1983-12-09,,1749298.6368
1983-12-10,,1854501.2121599999
1983-12-11,,1771317.78048
1983-12-12,,1788443.78112
1983-12-13,,1729726.06464
1983-12-14,,1695474.06336
1983-12-15,,1629416.63232
1983-12-16,,1604950.9171199999
1983-12-17,,1617183.7747199999
1983-12-18,,1465496.34048
1983-12-19,,1521767.48544
1983-12-20,,1345614.336
1983-12-21,,1149888.6144
1983-12-22,,1003094.3232
1983-12-23,,905231.4624
1983-12-24,,1125422.8991999999
1983-12-25,,1370080.0511999999
1983-12-26,,1580485.20192
1983-12-27,,1646542.63296
1983-12-28,,1543786.62912
1983-12-29,,1538893.48608
1983-12-30,,1604950.9171199999
1983-12-31,,1602504.3456
1984-01-01,,1553572.9152
1984-01-02,,1492408.6272
1984-01-03,,1477729.19808
1984-01-04,,1477729.19808
1984-01-05,,1470389.48352
1984-01-06,,1492408.6272
1984-01-07,,1485068.91264
1984-01-08,,1460603.19744
1984-01-09,,1441030.62528
1984-01-10,,1399438.90944
1984-01-11,,1431244.3392
1984-01-12,,1421458.05312
1984-01-13,,1387206.05184
1984-01-14,,1345614.336
1984-01-15,,1272217.1904
1984-01-16,,1174354.3296
1984-01-17,,1027560.0384
1984-01-18,,807368.6015999999
1984-01-19,,1274663.76192
1984-01-20,,1357847.1935999999
1984-01-21,,1445923.76832
1984-01-22,,1526660.62848
1984-01-23,,1511981.19936
1984-01-24,,1509534.62784
1984-01-25,,1504641.4848
1984-01-26,,1453263.48288
1984-01-27,,1416564.91008
1984-01-28,,1330934.90688
1984-01-29,,1301576.04864
1984-01-30,,1279556.90496
1984-01-31,,1269770.61888
1984-02-01,,1267324.04736
1984-02-02,,1247751.4752
1984-02-03,,1360293.7651199999
1984-02-04,,1421458.05312
1984-02-05,,1311362.33472
1984-02-06,,1242858.33216
1984-02-07,,1237965.18912
1984-02-08,,1218392.61696
1984-02-09,,1211052.9024
1984-02-10,,1294236.33408
1984-02-11,,1235518.6176
1984-02-12,,1237965.18912
1984-02-13,,1264877.47584
1984-02-14,,1321148.6208
1984-02-15,,1223285.76
1984-02-16,,1233072.04608
1984-02-17,,1233072.04608
1984-02-18,,1203713.18784
1984-02-19,,1176800.90112
1984-02-20,,1162121.472
1984-02-21,,1184140.61568
1984-02-22,,1220839.18848
1984-02-23,,1189033.75872
1984-02-24,,1193926.90176
1984-02-25,,1201266.61632
1984-02-26,,1176800.90112
1984-02-27,,1157228.32896
1984-02-28,,1149888.6144
1984-02-29,,1157228.32896
1984-03-01,,1149888.6144
1984-03-02,,1176800.90112
1984-03-03,,1184140.61568
1984-03-04,,1157228.32896
1984-03-05,,1113190.0415999999
1984-03-06,,1115636.6131199999
1984-03-07,,1125422.8991999999
1984-03-08,,1132762.61376
1984-03-09,,1164568.04352
1984-03-10,,1157228.32896
1984-03-11,,1189033.75872
1984-03-12,,1186587.1872
1984-03-13,,1149888.6144
1984-03-14,,1198820.0448
1984-03-15,,1189033.75872
1984-03-16,,1223285.76
1984-03-17,,1181694.04416
1984-03-18,,1171907.75808
1984-03-19,,1149888.6144
1984-03-20,,1149888.6144
1984-03-21,,1159674.90048
1984-03-22,,1167014.61504
1984-03-23,,1130316.04224
1984-03-24,,1140102.32832
1984-03-25,,1140102.32832
1984-03-26,,1174354.3296
1984-03-27,,1110743.4700799999
1984-03-28,,1078938.04032
1984-03-29,,1127869.47072
1984-03-30,,1113190.0415999999
1984-03-31,,1113190.0415999999
1984-04-01,,1110743.4700799999
1984-04-02,,1125422.8991999999
1984-04-03,,1113190.0415999999
1984-04-04,,1142548.89984
1984-04-05,,1159674.90048
1984-04-06,,1220839.18848
1984-04-07,,1252644.61824
1984-04-08,,1196373.47328
1984-04-09,,1230625.47456
1984-04-10,,1186587.1872
1984-04-11,,1191480.33024
1984-04-12,,1159674.90048
1984-04-13,,1154781.75744
1984-04-14,,1127869.47072
1984-04-15,,1228178.90304
1984-04-16,,1431244.3392
1984-04-17,,1678348.06272
1984-04-18,,1979276.35968
1984-04-19,,2187234.93888
1984-04-20,,2228826.65472
1984-04-21,,2008635.21792
1984-04-22,,2111391.22176
1984-04-23,,2334029.23008
1984-04-24,,2280204.65664
1984-04-25,,2336475.8016
1984-04-26,,2108944.65024
1984-04-27,,1942577.78688
1984-04-28,,1876520.3558399999
1984-04-29,,1937684.64384
1984-04-30,,1817802.63936
1984-05-01,,1844714.92608
1984-05-02,,1930344.92928
1984-05-03,,1949917.50144
1984-05-04,,1896092.928
1984-05-05,,2052673.50528
1984-05-06,,1915665.50016
1984-05-07,,1778657.49504
1984-05-08,,1830035.49696
1984-05-09,,2133410.36544
1984-05-10,,2495502.9504
1984-05-11,,2764625.8176
1984-05-12,,3571994.4192
1984-05-13,,4844211.6096
1984-05-14,,7217385.984
1984-05-15,,9761820.3648
1984-05-16,,9957546.0864
1984-05-17,,6850400.256
1984-05-18,,6899331.6864
1984-05-19,,8000288.870399999
1984-05-20,,9688423.2192
1984-05-21,,9688423.2192
1984-05-22,,8734260.3264
1984-05-23,,9125711.7696
1984-05-24,,11034037.5552
1984-05-25,,8978917.4784
1984-05-26,,8465137.4592
1984-05-27,,7902426.0095999995
1984-05-28,,8000288.870399999
1984-05-29,,8881054.6176
1984-05-30,,10593654.6816
1984-05-31,,12477514.752
1984-06-01,,11180831.8464
1984-06-02,,9223574.6304
1984-06-03,,8783191.7568
1984-06-04,,8514068.8896
1984-06-05,,9272506.0608
1984-06-06,,9174643.2
1984-06-07,,8269411.7376
1984-06-08,,8098151.7312
1984-06-09,,6899331.6864
1984-06-10,,5798374.5024
1984-06-11,,6116428.8
1984-06-12,,6483414.528
1984-06-13,,5847305.9328
1984-06-14,,6532345.9584
1984-06-15,,7510974.5664
1984-06-16,,8171548.8768
1984-06-17,,8367274.5984
1984-06-18,,9027848.9088
1984-06-19,,8000288.870399999
1984-06-20,,8269411.7376
1984-06-21,,8465137.4592
1984-06-22,,8563000.32
1984-06-23,,8416206.0288
1984-06-24,,8318343.168
1984-06-25,,8929986.048
1984-06-26,,9566094.6432
1984-06-27,,9663957.504
1984-06-28,,9517163.2128
1984-06-29,,9370368.9216
1984-06-30,,9174643.2
1984-07-01,,8220480.3072
1984-07-02,,6972728.8319999995
1984-07-03,,6556811.6736
1984-07-04,,6067497.3696
1984-07-05,,5700511.6416
1984-07-06,,5309060.1984
1984-07-07,,4942074.4704
1984-07-08,,4844211.6096
1984-07-09,,4354897.3056
1984-07-10,,3865583.0016
1984-07-11,,3547528.704
1984-07-12,,3425200.128
1984-07-13,,3351802.9824
1984-07-14,,3253940.1215999997
1984-07-15,,3009282.9696
1984-07-16,,2862488.6784
1984-07-17,,2715694.3871999998
1984-07-18,,2593365.8112
1984-07-19,,2544434.3808
1984-07-20,,2471037.2352
