date,inflow(m3/d),power discharge (m3/d),wse(m),storage(m3)
1982-02-12,,,1068.82692,2891980511.9700003
1982-02-13,,,1068.81168,2890850952.66
1982-02-14,,,1068.787296,2889034344.9900002
1982-02-15,,,1068.756816,2886763508.31
1982-02-16,,,1068.75072,2886309279.3
1982-02-17,,,1068.790344,2889261305.31
1982-02-18,,,1068.8391120000001,2892888969.9900002
1982-02-19,,,1068.8665440000002,2894932537.98
1982-02-20,,,1068.88788,2896522185.33
1982-02-21,,,1069.0433280000002,2908091610.9900002
1982-02-22,,,1069.07076,2910129628.32
1982-02-23,,,1069.076856,2910583857.33
1982-02-24,,,1069.064664,2909675399.31
1982-02-25,,,1069.07076,2910129628.32
1982-02-26,,,1069.089048,2911492006.98
1982-02-27,,,1069.1378160000002,2915119671.66
1982-02-28,,,1069.180488,2918298657.9900002
1982-03-01,,,1069.2384,2922607512.0
1982-03-02,,,1069.290216,2926508084.13
1982-03-03,,,1069.3359360000002,2929954735.62
1982-03-04,,,1069.369464,2932476585.48
1982-03-05,,,1069.409088,2935463765.67
1982-03-06,,,1069.43652,2937526144.23
1982-03-07,,,1069.463952,2939594073.45
1982-03-08,,,1069.4304240000001,2937066364.56
1982-03-09,,,1069.3725120000001,2932706321.13
1982-03-10,,,1069.293264,2926737819.78
1982-03-11,,,1069.2384,2922607512.0
1982-03-12,,,1069.171344,2917617468.66
1982-03-13,,,1069.0981920000002,2912173196.31
1982-03-14,,,1069.0098,2905593813.9900002
1982-03-15,,,1068.906168,2897879013.33
1982-03-16,,,1068.793392,2889488265.63
1982-03-17,,,1068.701952,2882681922.9900002
1982-03-18,,,1068.58308,2873878884.6
1982-03-19,,,1068.512976,2868726021.9
1982-03-20,,,1068.38496,2859311485.8
1982-03-21,,,1068.253896,2849678623.7400002
1982-03-22,,,1068.083208,2837129814.96
1982-03-23,,,1067.8820400000002,2822473605.6
1982-03-24,,,1067.696112,2808979334.4
1982-03-25,,,1067.50104,2794826693.25
1982-03-26,,,1067.293776,2779901893.62
1982-03-27,,,1067.08956,2765279913.33
1982-03-28,,,1066.89144,2751100135.62
1982-03-29,,,1066.70856,2738102031.75
1982-03-30,,,1066.5195840000001,2724774280.35
1982-03-31,,,1066.31232,2710150141.4700003
1982-04-01,,,1066.111152,2696052081.81
1982-04-02,,,1065.882552,2680188295.53
1982-04-03,,,1065.681384,2666230235.85
1982-04-04,,,1065.471072,2651763057.3
1982-04-05,,,1065.2638080000002,2637629535.09
1982-04-06,,,1065.019968,2620999140.9900002
1982-04-07,,,1064.8279440000001,2608071962.2200003
1982-04-08,,,1064.587152,2591928484.35
1982-04-09,,,1064.480472,2584774608.7200003
1982-04-10,,,1064.48352,2584979058.03
1982-04-11,,,1064.54448,2589069894.45
1982-04-12,,,1064.404272,2579666151.3
1982-04-13,,,1064.172624,2564410779.03
1982-04-14,,,1063.96536,2550818298.1524
1982-04-15,,,1063.730664,2535424776.1224
1982-04-16,,,1063.4715840000001,2518435439.3424
1982-04-17,,,1063.20336,2500840772.2524
1982-04-18,,,1063.273464,2505438260.5824
1982-04-19,,,1063.0052400000002,2488030774.0824
1982-04-20,,,1062.66996,2466484037.0724
1982-04-21,,,1062.368208,2447094039.8424
1982-04-22,,,1062.0756000000001,2428292104.2023997
1982-04-23,,,1061.807376,2411233840.56
1982-04-24,,,1061.8195680000001,2411994897.7200003
1982-04-25,,,1061.883576,2416015117.41
1982-04-26,,,1061.789088,2410085322.6624
1982-04-27,,,1061.6184,2399374238.73
1982-04-28,,,1061.490384,2391343358.82
1982-04-29,,,1061.341032,2381972302.89
1982-04-30,,,1061.1916800000001,2372601407.3124
1982-05-01,,,1061.078904,2365522921.98
1982-05-02,,,1061.042328,2363230499.4
1982-05-03,,,1061.124624,2368389837.87
1982-05-04,,,1061.203872,2373362464.4723997
1982-05-05,,,1061.152056,2370112701.06
1982-05-06,,,1061.06976,2364948737.04
1982-05-07,,,1061.0088,2361124640.67
1982-05-08,,,1061.264832,2377191186.3924
1982-05-09,,,1061.51172,2392678761.2724
1982-05-10,,,1061.5513440000002,2395167307.1724
1982-05-11,,,1061.654976,2401671447.2124
1982-05-12,,,1061.7647040000002,2408553796.89
1982-05-13,,,1061.895768,2416776174.57
1982-05-14,,,1062.099984,2429860474.0224
1982-05-15,,,1062.51756,2456690970.63
1982-05-16,,,1063.069248,2492143036.05
1982-05-17,,,1063.572168,2525029154.7
1982-05-18,,,1064.2031040000002,2566411791.96
1982-05-19,,,1064.7761280000002,2604599716.02
1982-05-20,,,1065.239424,2635964953.83
1982-05-21,,,1065.7332000000001,2669824288.2
1982-05-22,,,1066.367184,2714023885.41
1982-05-23,,,1067.1139440000002,2767027137.75
1982-05-24,,,1067.8363200000001,2819152769.07
1982-05-25,,,1068.573936,2873206021.26
1982-05-26,,,1069.457856,2939134602.15
1982-05-27,,,1070.113176,2988717106.08
1982-05-28,,,1070.600856,3025973444.37
1982-05-29,,,1070.991,3056005598.67
1982-05-30,,,1071.2988480000001,3079882071.03
1982-05-31,,,1071.573168,3101208015.12
1982-06-01,,,1071.841392,3122191051.77
1982-06-02,,,1072.121808,3144205586.07
1982-06-03,,,1072.426608,3168243952.68
1982-06-04,,,1072.80456,3198208573.95
1982-06-05,,,1073.23128,3232305969.96
1982-06-06,,,1073.6397120000001,3265108520.34
1982-06-07,,,1074.02376,3296159837.4900002
1982-06-08,,,1074.368184,3324209172.69
1982-06-09,,,1074.706512,3351825864.78
1982-06-10,,,1075.087512,3383217930.78
1982-06-11,,,1075.559952,3422344533.12
1982-06-12,,,1076.105544,3467890782.12
1982-06-13,,,1076.800488,3526511919.12
1982-06-14,,,1077.5137200000001,3587353936.86
1982-06-15,,,1078.233048,3649425117.42
1982-06-16,,,1078.998096,3716199865.59
1982-06-17,,,1079.686944,3777079504.4700003
1982-06-18,,,1080.3239760000001,3833938306.92
1982-06-19,,,1080.91224,3886914731.07
1982-06-20,,,1081.497456,3940077719.07
1982-06-21,,,1082.0613360000002,3991736169.84
1982-06-22,,,1082.518536,4033987793.76
1982-06-23,,,1082.9635440000002,4075387391.37
1982-06-24,,,1083.341496,4110720117.6
1982-06-25,,,1083.65544,4140288483.42
1982-06-26,,,1083.911472,4164433237.68
1982-06-27,,,1084.121784,4184423631.3
1982-06-28,,,1084.286376,4200065391.18
1982-06-29,,,1084.4540160000001,4215989926.35
1982-06-30,,,1084.664328,4236120319.9500003
1982-07-01,,,1084.835016,4252463313.21
1982-07-02,,,1084.959984,4264437011.94
1982-07-03,,,1084.984368,4266767672.4
1982-07-04,,,1084.959984,4264437011.94
1982-07-05,,,1084.959984,4264437011.94
1982-07-06,,,1084.96608,4265021373.09
1982-07-07,,,1084.972176,4265606042.61
1982-07-08,,,1084.96608,4265021373.09
1982-07-09,,,1084.9508400000002,4263560316.03
1982-07-10,,,1084.953888,4263852650.79
1982-07-11,,,1084.953888,4263852650.79
1982-07-12,,,1085.0057040000002,4268813090.61
1982-07-13,,,1085.078856,4275819257.01
1982-07-14,,,1085.2007760000001,4287561986.61
1982-07-15,,,1085.295264,4296657359.76
1982-07-16,,,1085.350128,4301947138.74
1982-07-17,,,1085.356224,4302527491.08
1982-07-18,,,1085.368416,4303702997.52
1982-07-19,,,1085.33184,4300183879.08
1982-07-20,,,1085.307456,4297832866.2
1982-07-21,,,1085.2800240000001,4295187976.71
1982-07-22,,,1085.27088,4294313747.76
1982-07-23,,,1085.2617360000002,4293432117.93
1982-07-24,,,1085.334888,4300477755.690001
1982-07-25,,,1085.365368,4303409120.91
1982-07-26,,,1085.334888,4300477755.690001
1982-07-27,,,1085.295264,4296657359.76
1982-07-28,,,1085.252592,4292550488.1
1982-07-29,,,1085.234304,4290787228.44
1982-07-30,,,1085.228208,4290199475.2200003
1982-07-31,,,1085.27088,4294313747.76
1982-08-01,,,1085.3166,4298714496.03
1982-08-02,,,1085.334888,4300477755.690001
1982-08-03,,,1085.353176,4302241015.35
1982-08-04,,,1085.3623200000002,4303115244.3
1982-08-05,,,1085.3440320000002,4301359385.52
1982-08-06,,,1085.322696,4299302249.25
1982-08-07,,,1085.359272,4302821367.690001
1982-08-08,,,1085.368416,4303702997.52
1982-08-09,,,1085.359272,4302821367.690001
1982-08-10,,,1085.359272,4302821367.690001
1982-08-11,,,1085.356224,4302527491.08
1982-08-12,,,1085.334888,4300477755.690001
1982-08-13,,,1085.3196480000001,4299008372.64
1982-08-14,,,1085.356224,4302527491.08
1982-08-15,,,1085.374512,4304290750.74
1982-08-16,,,1085.368416,4303702997.52
1982-08-17,,,1085.353176,4302241015.35
1982-08-18,,,1085.3379360000001,4300771632.3
1982-08-19,,,1085.3257440000002,4299596125.86
1982-08-20,,,1085.307456,4297832866.2
1982-08-21,,,1085.328792,4299890002.47
1982-08-22,,,1085.3440320000002,4301359385.52
1982-08-23,,,1085.334888,4300477755.690001
1982-08-24,,,1085.350128,4301947138.74
1982-08-25,,,1085.3440320000002,4301359385.52
1982-08-26,,,1085.328792,4299890002.47
1982-08-27,,,1085.3166,4298714496.03
1982-08-28,,,1085.33184,4300183879.08
1982-08-29,,,1085.3379360000001,4300771632.3
1982-08-30,,,1085.33184,4300183879.08
1982-08-31,,,1085.313552,4298420619.42
1982-09-01,,,1085.2983120000001,4296951236.37
1982-09-02,,,1085.307456,4297832866.2
1982-09-03,,,1085.295264,4296657359.76
1982-09-04,,,1085.310504,4298126742.81
1982-09-05,,,1085.3196480000001,4299008372.64
1982-09-06,,,1085.33184,4300183879.08
1982-09-07,,,1085.3166,4298714496.03
1982-09-08,,,1085.2983120000001,4296951236.37
1982-09-09,,,1085.28612,4295775729.93
1982-09-10,,,1085.2983120000001,4296951236.37
1982-09-11,,,1085.3196480000001,4299008372.64
1982-09-12,,,1085.33184,4300183879.08
1982-09-13,,,1085.313552,4298420619.42
1982-09-14,,,1085.28612,4295775729.93
1982-09-15,,,1085.276976,4294901500.98
1982-09-16,,,1085.267832,4294019871.15
1982-09-17,,,1085.25564,4292844364.71
1982-09-18,,,1085.264784,4293725994.54
1982-09-19,,,1085.276976,4294901500.98
1982-09-20,,,1085.267832,4294019871.15
1982-09-21,,,1085.2617360000002,4293432117.93
1982-09-22,,,1085.249544,4292256611.4900002
1982-09-23,,,1085.2404000000001,4291374981.66
1982-09-24,,,1085.22516,4289905598.61
1982-09-25,,,1085.237352,4291081105.05
1982-09-26,,,1085.252592,4292550488.1
1982-09-27,,,1085.252592,4292550488.1
1982-09-28,,,1085.252592,4292550488.1
1982-09-29,,,1085.249544,4292256611.4900002
1982-09-30,,,1085.237352,4291081105.05
1982-10-01,,,1085.234304,4291918329.6
1982-10-02,,,1085.249544,4293398505.6
1982-10-03,,,1085.2617360000002,4294582646.4
1982-10-04,,,1085.276976,4296062822.4
1982-10-05,,,1085.27088,4295470752.0
1982-10-06,,,1085.2586880000001,4294286611.2000003
1982-10-07,,,1085.2586880000001,4294286611.2000003
1982-10-08,,,1085.27088,4295470752.0
1982-10-09,,,1085.283072,4296654892.8
1982-10-10,,,1085.295264,4297839033.6
1982-10-11,,,1085.304408,4298727139.2
1982-10-12,,,1085.3166,4299911280.0
1982-10-13,,,1085.3257440000002,4300799385.6
1982-10-14,,,1085.3379360000001,4301983526.4
1982-10-15,,,1085.3166,4299911280.0
1982-10-16,,,1085.295264,4297839033.6
1982-10-17,,,1085.273928,4295766787.2
1982-10-18,,,1085.249544,4293398505.6
1982-10-19,,,1085.2221120000002,4290734188.8
1982-10-20,,,1085.19468,4288069872.0
1982-10-21,,,1085.1642000000002,4285109520.0
1982-10-22,,,1085.13372,4282149168.0
1982-10-23,,,1085.124576,4281261062.4
1982-10-24,,,1085.1093360000002,4279780886.4
1982-10-25,,,1085.066664,4275722737.2000003
1982-10-26,,,1085.048376,4274020534.8
1982-10-27,,,1085.036184,4272885733.2000003
1982-10-28,,,1085.020944,4271467231.2000003
1982-10-29,,,1085.008752,4270332429.6
1982-10-30,,,1084.993512,4268913927.6
1982-10-31,,,1084.978272,4267495425.6
1982-11-01,,,1084.963032,4266076923.6
1982-11-02,,,1084.929504,4262956219.2000003
1982-11-03,,,1084.9051200000001,4260686616.0
1982-11-04,,,1084.8868320000001,4258984413.6
1982-11-05,,,1084.8654960000001,4256998510.8
1982-11-06,,,1084.853304,4255863709.2000003
1982-11-07,,,1084.838064,4254445207.2000003
1982-11-08,,,1084.79844,4250757102.0
1982-11-09,,,1084.777104,4248746529.6
1982-11-10,,,1084.740528,4245194107.2000003
1982-11-11,,,1084.7100480000001,4242233755.2000003
1982-11-12,,,1084.6704240000001,4238385297.6
1982-11-13,,,1084.6338480000002,4234832875.2000003
1982-11-14,,,1084.5911760000001,4230688382.4
1982-11-15,,,1084.542408,4225951819.2000003
1982-11-16,,,1084.50888,4222695432.0
1982-11-17,,,1084.4784,4219735080.0
1982-11-18,,,1084.4540160000001,4217465476.8
1982-11-19,,,1084.450968,4217181776.4
1982-11-20,,,1084.4357280000002,4215763274.4
1982-11-21,,,1084.38696,4211224068.0
1982-11-22,,,1084.347336,4207535962.8
1982-11-23,,,1084.307712,4203847857.6
1982-11-24,,,1084.261992,4199592351.6
1982-11-25,,,1084.210176,4194769444.8
1982-11-26,,,1084.164456,4190513938.8
1982-11-27,,,1084.1248320000002,4186825833.6
1982-11-28,,,1084.0974,4184272530.0
1982-11-29,,,1084.0608240000001,4180868125.2000003
1982-11-30,,,1084.0212000000001,4177180020.0
1982-12-01,,,1083.978528,4173208214.4
1982-12-02,,,1083.938904,4169520109.2000003
1982-12-03,,,1083.917568,4167534206.4
1982-12-04,,,1083.905376,4166399404.8
1982-12-05,,,1083.8840400000001,4164413502.0
1982-12-06,,,1083.850512,4161292797.6
1982-12-07,,,1083.810888,4157604692.4
1982-12-08,,,1083.7499280000002,4151930684.4
1982-12-09,,,1083.6859200000001,4145972976.0
1982-12-10,,,1083.62496,4140298968.0
1982-12-11,,,1083.564,4134624960.0
1982-12-12,,,1083.5091360000001,4129296326.4
1982-12-13,,,1083.454272,4123967692.8
1982-12-14,,,1083.4146480000002,4120119235.2000003
1982-12-15,,,1083.38112,4116862848.0
1982-12-16,,,1083.3384480000002,4112718355.2000003
1982-12-17,,,1083.283584,4107389721.6
1982-12-18,,,1083.225672,4101900735.6
1982-12-19,,,1083.1586160000002,4095659326.8
1982-12-20,,,1083.097656,4089985318.8
1982-12-21,,,1083.042792,4084878711.6
1982-12-22,,,1082.990976,4080055804.8
1982-12-23,,,1082.9239200000002,4073814396.0
1982-12-24,,,1082.8782,4069558890.0
1982-12-25,,,1082.8202880000001,4064168582.4
1982-12-26,,,1082.768472,4059345675.6
1982-12-27,,,1082.7075120000002,4053671667.6
1982-12-28,,,1082.628264,4046295457.2000003
1982-12-29,,,1082.5734,4041188850.0
1982-12-30,,,1082.491104,4033528939.2000003
1982-12-31,,,1082.411856,4026152728.8
1983-01-01,,,1082.32956,4018492818.0
1983-01-02,,,1082.244216,4010549206.8
1983-01-03,,,1082.128392,3999768591.6
1983-01-04,,,1081.982088,3986150972.4
1983-01-05,,,1081.8967440000001,3978207361.2000003
1983-01-06,,,1081.844928,3973384454.4
1983-01-07,,,1081.7443440000002,3964022341.2000003
1983-01-08,,,1081.7047200000002,3960334236.0
1983-01-09,,,1081.683384,3958348333.2000003
1983-01-10,,,1081.67424,3957497232.0
1983-01-11,,,1081.6681440000002,3956929831.2000003
1983-01-12,,,1081.6620480000001,3956362430.4
1983-01-13,,,1081.646808,3954943928.4
1983-01-14,,,1081.631568,3953525426.4
1983-01-15,,,1081.607184,3951255823.2000003
1983-01-16,,,1081.5066000000002,3941893710.0
1983-01-17,,,1081.448688,3936503402.4
1983-01-18,,,1081.412112,3933173006.4
1983-01-19,,,1081.3694400000002,3929373888.0
1983-01-20,,,1081.320672,3925032038.4
1983-01-21,,,1081.271904,3920690188.8
1983-01-22,,,1081.116456,3906813538.8
1983-01-23,,,1080.8970000000002,3886387110.0
1983-01-24,,,1080.6775440000001,3866540416.8
1983-01-25,,,1080.5251440000002,3852972136.8
1983-01-26,,,1080.451992,3846459362.4
1983-01-27,,,1080.40932,3842660244.0
1983-01-28,,,1080.3636000000001,3839724561.6
1983-01-29,,,1080.320928,3834790641.6
1983-01-30,,,1080.275208,3830720157.6
1983-01-31,,,1080.2264400000001,3826378308.0
1983-02-01,,,1080.1868160000001,3822850555.2000003
1983-02-02,,,1080.10452,3815523684.0
1983-02-03,,,1080.0283200000001,3808739544.0
1983-02-04,,,1079.942976,3801141307.2000003
1983-02-05,,,1079.760096,3784859371.2000003
1983-02-06,,,1079.5162559999999,3763495497.6
1983-02-07,,,1079.3028960000001,3745363341.6
1983-02-08,,,1079.1078240000002,3728020612.8
1983-02-09,,,1078.9158,3710924580.0
1983-02-10,,,1078.7115840000001,3692743084.8
1983-02-11,,,1078.5165120000001,3676066435.2000003
1983-02-12,,,1078.3366800000001,3660783618.0
1983-02-13,,,1078.1629440000002,3646018862.4
1983-02-14,,,1077.995304,3631439128.8
1983-02-15,,,1077.791088,3613257633.6
1983-02-16,,,1077.6539280000002,3601527238.8
1983-02-17,,,1077.6204,3598677900.0
1983-02-18,,,1077.57468,3594792438.0
1983-02-19,,,1077.541152,3591943099.2000003
1983-02-20,,,1077.49848,3588316668.0
1983-02-21,,,1077.45276,3584431206.0
1983-02-22,,,1077.2973120000001,3571220635.2000003
1983-02-23,,,1077.144912,3558269095.2000003
1983-02-24,,,1077.1022400000002,3554642664.0
1983-02-25,,,1077.053472,3550498171.2000003
1983-02-26,,,1077.0199440000001,3547648832.4
1983-02-27,,,1076.986416,3544799493.6
1983-02-28,,,1076.946792,3541432093.2000003
1983-03-01,,,1076.901072,3537546631.2000003
1983-03-02,,,1076.8827840000001,3535992446.4
1983-03-03,,,1076.855352,3533661169.2000003
1983-03-04,,,1076.800488,3528998614.8
1983-03-05,,,1076.779152,3527185399.2000003
1983-03-06,,,1076.742576,3524077029.6
1983-03-07,,,1076.712096,3521486721.6
1983-03-08,,,1076.6663760000001,3517601259.6
1983-03-09,,,1076.641992,3515529013.2000003
1983-03-10,,,1076.620656,3513715797.6
1983-03-11,,,1076.602368,3512161612.8
1983-03-12,,,1076.602368,3512161612.8
1983-03-13,,,1076.602368,3512161612.8
1983-03-14,,,1076.602368,3512161612.8
1983-03-15,,,1076.5932240000002,3511384520.4
1983-03-16,,,1076.581032,3510348397.2000003
1983-03-17,,,1076.5566480000002,3508276150.8
1983-03-18,,,1076.5292160000001,3505944873.6
1983-03-19,,,1076.5109280000001,3504390688.8
1983-03-20,,,1076.480448,3501800380.8
1983-03-21,,,1076.364624,3491957210.4
1983-03-22,,,1076.2488,3482114040.0
1983-03-23,,,1076.123832,3471493777.2000003
1983-03-24,,,1075.995816,3460614483.6
1983-03-25,,,1075.8678,3449735190.0
1983-03-26,,,1075.840368,3447403912.8
1983-03-27,,,1075.803792,3444295543.2000003
1983-03-28,,,1075.620912,3428753695.2000003
1983-03-29,,,1075.422792,3411916693.2000003
1983-03-30,,,1075.1972400000002,3393303480.0
1983-03-31,,,1075.011312,3378255024.0
1983-04-01,,,1074.78576,3359999520.0
1983-04-02,,,1074.551064,3341003928.0
1983-04-03,,,1074.319416,3321847983.6
1983-04-04,,,1074.066432,3300545784.0
1983-04-05,,,1073.868312,3284510544.0
1983-04-06,,,1073.6214240000002,3265292925.6
1983-04-07,,,1073.389776,3247012752.0
1983-04-08,,,1073.2251840000001,3233691168.0
1983-04-09,,,1073.07888,3221849760.0
1983-04-10,,,1072.9356240000002,3210255048.0
1983-04-11,,,1072.767984,3196686768.0
1983-04-12,,,1072.62168,3184845360.0
1983-04-13,,,1072.505856,3175816286.4
1983-04-14,,,1072.4022240000002,3167848005.6
1983-04-15,,,1072.295544,3159645363.6
1983-04-16,,,1072.19496,3151911444.0
1983-04-17,,,1072.115712,3145818052.8
1983-04-18,,,1072.0456080000001,3140427745.2
1983-04-19,,,1071.975504,3135012768.0
1983-04-20,,,1071.938928,3132052416.0
1983-04-21,,,1071.923688,3130818936.0
1983-04-22,,,1071.960264,3133779288.0
1983-04-23,,,1072.048656,3140662106.4
1983-04-24,,,1072.170576,3150036554.4
1983-04-25,,,1072.338216,3162926420.4
1983-04-26,,,1072.3656480000002,3165035671.2
1983-04-27,,,1072.329072,3162223336.8
1983-04-28,,,1072.252872,3156364306.8
1983-04-29,,,1072.155336,3148864748.4
1983-04-30,,,1072.0578,3141365190.0
1983-05-01,,,1071.96636,3134272680.0
1983-05-02,,,1071.865776,3126131712.0
1983-05-03,,,1071.762144,3117744048.0
1983-05-04,,,1071.6768,3110836560.0
1983-05-05,,,1071.564024,3102165195.6
1983-05-06,,,1071.512208,3098181055.2
1983-05-07,,,1071.58536,3103805724.0
1983-05-08,,,1071.7347120000002,3115523784.0
1983-05-09,,,1071.7347120000002,3115523784.0
1983-05-10,,,1071.664608,3109899115.2
1983-05-11,,,1071.621936,3106618058.4
1983-05-12,,,1071.618888,3106383697.2
1983-05-13,,,1071.609744,3105680613.6
1983-05-14,,,1071.664608,3109899115.2
1983-05-15,,,1071.719472,3114290304.0
1983-05-16,,,1071.743856,3116263872.0
1983-05-17,,,1071.6920400000001,3112070040.0
1983-05-18,,,1071.780432,3119224224.0
1983-05-19,,,1071.902352,3129092064.0
1983-05-20,,,1072.054752,3141130828.8
1983-05-21,,,1072.295544,3159645363.6
1983-05-22,,,1072.612536,3184105272.0
1983-05-23,,,1072.94172,3210748440.0
1983-05-24,,,1073.38368,3246519360.0
1983-05-25,,,1073.923176,3288951072.0
1983-05-26,,,1074.593736,3344457672.0
1983-05-27,,,1075.2582,3398854140.0
1983-05-28,,,1075.864752,3449476159.2000003
1983-05-29,,,1076.486544,3502318442.4
1983-05-30,,,1077.105288,3554901694.8
1983-05-31,,,1077.644784,3600750146.4
1983-06-01,,,1078.071504,3638223268.8
1983-06-02,,,1078.449456,3670367757.6
1983-06-03,,,1078.827408,3703054977.6
1983-06-04,,,1079.2297440000002,3738875236.8
1983-06-05,,,1079.6016,3770748360.0
1983-06-06,,,1079.942976,3801141307.2000003
1983-06-07,,,1080.30264,3833162448.0
1983-06-08,,,1080.65316,3864369492.0
1983-06-09,,,1081.028064,3898586227.2000003
1983-06-10,,,1081.402968,3932358909.6
1983-06-11,,,1081.753488,3964873442.4
1983-06-12,,,1082.0430480000002,3991824980.4
1983-06-13,,,1082.28384,4014237312.0
1983-06-14,,,1082.491104,4033528939.2000003
1983-06-15,,,1082.71056,4053955368.0
1983-06-16,,,1082.9239200000002,4073814396.0
1983-06-17,,,1083.118992,4091981089.44
1983-06-18,,,1083.3902640000001,4117750953.6
1983-06-19,,,1083.6280080000001,4140582668.4
1983-06-20,,,1083.816984,4158172093.2000003
1983-06-21,,,1083.9663360000002,4172073412.8
1983-06-22,,,1084.11264,4185691032.0
1983-06-23,,,1084.2589440000002,4199308651.2000003
1983-06-24,,,1084.3961040000002,4212075169.2000003
1983-06-25,,,1084.563744,4228024065.6
1983-06-26,,,1084.703952,4241641684.8
1983-06-27,,,1084.774056,4248450494.4
1983-06-28,,,1084.841112,4254728907.6
1983-06-29,,,1084.8868320000001,4258984413.6
1983-06-30,,,1084.972176,4266928024.8
1983-07-01,,,1085.100192,4278892780.8
1983-07-02,,,1085.139816,4282741238.4
1983-07-03,,,1085.2190640000001,4290438153.6
1983-07-04,,,1085.295264,4297839033.6
1983-07-05,,,1085.353176,4303463702.4
1983-07-06,,,1085.283072,4296654892.8
1983-07-07,,,1085.2221120000002,4290734188.8
1983-07-08,,,1085.152008,4283925379.2000003
1983-07-09,,,1085.176392,4286293660.8
1983-07-10,,,1085.289168,4297246963.2
1983-07-11,,,1085.322696,4300503350.4
1983-07-12,,,1085.340984,4302279561.6
1983-07-13,,,1085.340984,4302279561.6
1983-07-14,,,1085.334888,4301687491.2
1983-07-15,,,1085.2983120000001,4298135068.8
1983-07-16,,,1085.2800240000001,4294286611.2000003
1983-07-17,,,1085.197728,4288365907.2000003
1983-07-18,,,1085.173344,4285997625.6
1983-07-19,,,1085.14896,4283629344.0
1983-07-20,,,1085.17944,4286589696.0
1983-07-21,,,1085.2190640000001,4290438153.6
1983-07-22,,,1085.25564,4293990576.0
1983-07-23,,,1085.292216,4297542998.4
1983-07-24,,,1085.3257440000002,4300799385.6
1983-07-25,,,1085.340984,4302279561.6
1983-07-26,,,1085.334888,4301687491.2
1983-07-27,,,1085.328792,4301095420.8
1983-07-28,,,1085.310504,4299319209.6
1983-07-29,,,1085.295264,4297839033.6
1983-07-30,,,1085.328792,4301095420.8
1983-07-31,,,1085.374512,4305535948.8
1983-08-01,,,1085.359272,4304055772.8
1983-08-02,,,1085.340984,4302279561.6
1983-08-03,,,1085.3196480000001,4300207315.2
1983-08-04,,,1085.307456,4299023174.4
1983-08-05,,,1085.292216,4297542998.4
1983-08-06,,,1085.322696,4300503350.4
1983-08-07,,,1085.350128,4303167667.2
1983-08-08,,,1085.334888,4301687491.2
1983-08-09,,,1085.334888,4301687491.2
1983-08-10,,,1085.328792,4301095420.8
1983-08-11,,,1085.322696,4300503350.4
1983-08-12,,,1085.350128,4303167667.2
1983-08-13,,,1085.371464,4304351808.0
1983-08-14,,,1085.3928,4307312160.0
1983-08-15,,,1085.368416,4306720089.6
1983-08-16,,,1085.353176,4303463702.4
1983-08-17,,,1085.3379360000001,4301983526.4
1983-08-18,,,1085.307456,4299023174.4
1983-08-19,,,1085.276976,4296062822.4
1983-08-20,,,1085.273928,4295766787.2
1983-08-21,,,1085.28612,4296950928.0
1983-08-22,,,1085.252592,4293694540.8
1983-08-23,,,1085.2190640000001,4290438153.6
1983-08-24,,,1085.20992,4289550048.0
1983-08-25,,,1085.176392,4286293660.8
1983-08-26,,,1085.13372,4282149168.0
1983-08-27,,,1085.1032400000001,4279188816.0
