date,computed flow(m3/d),wse(m),outflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3)
1989-12-12,1013981.5664639999,1919.871192,662164.5818879999,-10.194405999999997,-7.2277156,-14.2611052,127803712.1388
1989-12-13,840984.4942848,1919.87424,662286.910464,-8.077722399999997,-5.261033199999998,-10.938856399999999,127886256.6204
1989-12-14,1097287.32672,1919.8864320000002,662384.7733248,-4.894363599999997,-3.1221271999999978,-6.9221575999999985,128225105.9112
1989-12-15,928327.0975487999,1919.892528,662556.0333312,-4.383248399999998,0.5445688000000004,-13.083317999999998,128395005.44639999
1989-12-16,928400.4946944,1919.8986240000002,662678.3619072001,-11.011079199999998,-1.3776687999999986,-19.3278124,128564978.9904
1989-12-17,1016036.6865408,1919.907768,662776.224768,-10.322184799999999,-5.133254399999997,-13.738878799999998,128822578.9536
1989-12-18,841645.0685952,1919.910816,662923.0190592,-13.161096399999998,-6.311041599999998,-18.7166964,128905777.1796
1989-12-19,1016550.46656,1919.91996,662996.4162048,-10.149961199999998,-7.3166052,-14.477773599999999,129163895.2044
1989-12-20,841865.260032,1919.9230080000002,663803.7848064,-5.755481599999998,-3.8221327999999968,-7.183270799999997,129247315.4568
1989-12-21,1017382.3008768,1919.932152,663192.1419264,-7.6777191999999985,-2.6832347999999975,-16.5333456,129506272.24800001
1989-12-22,842085.4514688,1919.9352000000001,663314.4705024,-9.777735999999997,-3.033237599999998,-21.555608,129589914.5268
1989-12-23,1101935.812608,1919.947392,663387.8676479999,-2.044340799999997,1.683466800000005,-13.255541599999997,129933414.0372
1989-12-24,1102694.2497792,1919.9595840000002,663583.5933696,-8.9332848,3.1668120000000037,-15.1777792,130277678.30520001
1989-12-25,842574.7657728,1919.9626320000002,663705.9219456,-10.2110728,3.6501492000000013,-19.1500332,130361813.976
1989-12-26,931165.120512,1919.968728,663828.2505215999,-10.577742399999998,1.4223536000000045,-17.1000168,130534538.1804
1989-12-27,931262.9833727999,1919.9748240000001,663926.1133824,-10.6055204,4.172375600000002,-20.6833788,130707361.0632
1989-12-28,931483.1748096,1919.98092,664023.9762432,-8.588837599999998,1.8556904000000038,-17.0111272,130880405.97240001
1989-12-29,1020685.1724288,1919.990064,664146.3048192,-12.9888728,-9.544400799999998,-20.594489199999998,131142643.8204
1989-12-30,932045.8862591999,1919.9961600000001,664268.6333952,-8.749949999999998,-6.483265199999998,-10.199961599999998,131316256.1304
1989-12-31,1017211.0408703999,1920.005304,664366.496256,-6.2165963999999985,-3.561019599999998,-9.588845599999999,131575027.89960001
1990-01-01,1017871.6151808001,1920.0144480000001,664537.7562624,-3.6332423999999968,-0.5443287999999988,-4.872141199999998,131834453.41319999
1990-01-02,1282884.2422272,1920.032736,664806.8791296,-7.716608399999998,-3.561019599999998,-21.555608,132358904.4396
1990-01-03,933685.0891776,1920.0388320000002,665002.6048512,-16.166676,-10.416629999999998,-25.13897,132534144.94319999
