date,inflow(m3/d),outflow(m3/d),total avg discharge (m3/d),avg air temperature (C),max air temperature (C),min air temperature (C)
1982-06-02,57882310.1687808,53335259.136,,,,
1982-06-03,52390491.0778368,53579916.288,,,,
1982-06-04,46563369.3600768,53579916.288,,,,
1982-06-05,43169583.2103936,51622659.072,,,,
1982-06-06,51140684.48256,50888687.616,,,,
1982-06-07,48661769.287065595,49910059.008,,,,
1982-06-08,45515820.8323584,47463487.488,,,,
1982-06-09,43290199.186329596,42325687.296,,,,
1982-06-10,38136985.5937536,37187887.104,,,,
1982-06-11,31778346.2132736,30826801.152,,,,
1982-06-12,26657133.7761792,24955029.504,,,,
1982-06-13,26170339.4408448,25199686.656,,,,
1982-06-14,27159781.894963197,25444343.808,,,,
1982-06-15,22179320.717414398,26178315.264,,,,
1982-06-16,24592569.933312,26422972.416,,,,
1982-06-17,24102864.177868802,26667629.568,,,,
1982-06-18,23157778.065408,27156943.872,,,,
1982-06-19,23583652.7698944,27646258.176,,,,
1982-06-20,29319541.8356736,28380229.632,,,,
1982-06-21,26561693.021184,29848172.544,,,,
1982-06-22,25193643.6243456,30582144.0,,,,
1982-06-23,23103366.314803198,30582144.0,,,,
1982-06-24,24965500.830105603,30337486.848,,,,
1982-06-25,23986872.2221056,29358858.24,,,,
1982-06-26,25145544.028262403,28380229.632,,,,
1982-06-27,30743960.240332797,27646258.176,,,,
1982-06-28,30067336.4207616,26912286.72,,,,
1982-06-29,31924773.5187456,26667629.568,,,,
1982-06-30,31003419.150028802,27156943.872,,,,
1982-07-01,34373498.0216832,28380229.632,,,,
1982-07-02,33249494.1339648,29358858.24,,,,
1982-07-03,36511410.078719996,29848172.544,,,,
1982-07-04,46846731.2735232,30092829.696,,,,
1982-07-05,50125455.1646208,36209258.496,,,,
1982-07-06,37269773.8527744,39145144.32,,,,
1982-07-07,41330324.1388032,39634458.624,,,,
1982-07-08,44024537.6280576,40857744.383999996,,,,
1982-07-09,45888629.400575995,42081030.144,,,,
1982-07-10,42076137.00096,41836372.992,,,,
1982-07-11,38515445.742182404,41102401.536,,,,
1982-07-12,39983951.365632,41836372.992,,,,
1982-07-13,39988257.3315072,41836372.992,,,,
1982-07-14,29659077.031219196,39389801.472,,,,
1982-07-15,34594129.8413568,35719944.192,,,,
1982-07-16,33555291.1082496,32539401.216,,,,
1982-07-17,38961260.0045568,30826801.152,,,,
1982-07-18,40446916.0943616,32294744.064,,,,
1982-07-19,35214139.9959552,32784058.368,,,,
1982-07-20,30388742.521344002,30092829.696,,,,
1982-07-21,30594132.200448,28869543.936,,,,
1982-07-22,29168661.7700352,28869543.936,,,,
1982-07-23,21294787.2500736,29603515.392,,,,
1982-07-24,23864470.24896,29358858.24,,,,
1982-07-25,21207664.838246398,27401601.024,,,,
1982-07-26,29959197.959577598,26912286.72,,,,
1982-07-27,27802667.4932736,26912286.72,,,,
1982-07-28,30725537.5567872,26912286.72,,,,
1982-07-29,27333072.5557248,26422972.416,,,,
1982-07-30,28190155.4906112,25199686.656,,,,
1982-07-31,27863587.1241216,24955029.504,,,,
1982-08-01,27944568.6414336,24955029.504,,,,
1982-08-02,23255029.283328,26667629.568,,,,
1982-08-03,24715118.7007488,28135572.48,,,,
1982-08-04,33830041.0899456,29358858.24,,,,
1982-08-05,23335912.9377792,30337486.848,,,,
1982-08-06,14520328.5740544,30826801.152,,,,
1982-08-07,20712527.694028802,29848172.544,,,,
1982-08-08,15756483.300249599,29358858.24,,,,
1982-08-09,15022365.0499584,28624886.783999998,,,,
1982-08-10,16352932.971110402,28869543.936,,,,
1982-08-11,7149175.5700224,28869543.936,,,,
1982-08-12,11539597.094092801,28869543.936,,,,
1982-08-13,21375670.9045248,28869543.936,,,,
1982-08-14,10322452.228608,28869543.936,,,,
1982-08-15,12112412.8840704,28624886.783999998,,,,
1982-08-16,11455704.156672,28624886.783999998,,,,
1982-08-17,15161085.6551424,28624886.783999998,,,,
1982-08-18,10660397.152665598,28869543.936,,,,
1982-08-19,14614619.4404352,30092829.696,,,,
1982-08-20,7225704.327168,30826801.152,,,,
1982-08-21,14509539.193651201,31071458.304,,,,
1982-08-22,13494089.6842752,30092829.696,,,,
1982-08-23,5255333.487820799,29848172.544,,,,
1982-08-24,9795583.051776001,30092829.696,,,,
1982-08-25,2487453.7300992003,30582144.0,,,,
1982-08-26,4651641.9652608,31316115.456,,,,
1982-08-27,15391968.6094848,31316115.456,,,,
1982-08-28,11758736.5051392,31560772.608,,,,
1982-08-29,13603035.514060799,30826801.152,,,,
1982-08-30,13743321.9250176,28869543.936,,,,
1982-08-31,13473758.674943998,27890915.327999998,,,,
1982-09-01,15423407.0535168,26667629.568,,,,
1982-09-02,18200730.5773056,25689000.96,,,,
1982-09-03,14310143.6147712,24955029.504,,,,
1982-09-04,10577458.3781376,24955029.504,,,,
1982-09-05,17621724.9613824,24955029.504,,,,
1982-09-06,13121770.430361599,25444343.808,,,,
1982-09-07,16886334.4939008,25444343.808,,,,
1982-09-08,13611084.7343616,25933658.112,,,,
1982-09-09,11613361.2254208,26422972.416,,,,
1982-09-10,-621257.9060736,26667629.568,,,,
1982-09-11,10111900.2835968,26422972.416,,,,
1982-09-12,15581308.7794176,26422972.416,,,,
1982-09-13,18014375.2246272,25199686.656,,,,
1982-09-14,8973681.8153472,23707278.0288,,,,
1982-09-15,5108074.348032,22214869.4016,,,,
1982-09-16,18653052.7199232,20942652.2112,,,,
1982-09-17,17496142.4452608,20404406.4768,,,,
1982-09-18,19215495.046656,20404406.4768,,,,
1982-09-19,15093609.2126208,20428872.191999998,,,,
1982-09-20,23768001.9339264,19621503.5904,,,,
1982-09-21,17331634.976256,18520546.4064,,,,
1982-09-22,17720468.5879296,18300354.9696,,,,
1982-09-23,19440188.1750528,18251423.5392,,,,
1982-09-24,20215971.538329598,18447149.2608,,,,
1982-09-25,19464800.684544,18275889.2544,,,,
1982-09-26,20528472.118579198,17541917.7984,,,,
1982-09-27,22461410.413670402,17126000.64,,,,
1982-09-28,18461559.5670528,17272794.9312,,,,
1982-09-29,27005965.943500802,16318632.0384,,,,
1982-09-30,25907014.9481472,15217674.8544,,,,
1982-10-01,20690826.6046464,14067786.24,,,,
1982-10-02,29030919.793459196,13187020.4928,,,,
1982-10-03,27537679.3319424,12942363.3408,,,,
1982-10-04,26463732.2975232,13651869.0816,,,,
1982-10-05,26274514.456166398,14116717.6704,,,,
1982-10-06,29194277.373849597,14361374.8224,,,,
1982-10-07,28709587.0900224,14410306.252799999,,,,
1982-10-08,26293499.8511616,14483703.3984,,,,
1982-10-09,27464844.897792,14410306.252799999,,,,
1982-10-10,26366896.996761598,14557100.544,,,,
1982-10-11,29685573.4007808,14483703.3984,,,,
1982-10-12,27732034.9734912,10618120.3968,,,,
1982-10-13,25229314.6371072,11303160.4224,,,,
1982-10-14,20178074.145484798,14483703.3984,,,,
1982-10-15,17936794.441728,19205586.432,,,,
1982-10-16,18635461.8706944,19254517.8624,,,,
1982-10-17,12315820.8402432,19278983.5776,,,,
1982-10-18,16870994.490470402,18789669.2736,,,,
1982-10-19,19097032.0536576,18447149.2608,,,,
1982-10-20,16552940.1928704,18471614.976,,,,
1982-10-21,15982815.6315648,18520546.4064,,,,
1982-10-22,18814134.9888,18814134.9888,,,,
1982-10-23,18023965.7849856,18642874.9824,,,,
1982-10-24,17944060.7591424,18593943.552,,,,
1982-10-25,17374082.992128,18642874.9824,,,,
1982-10-26,14241761.9407872,18667340.6976,,,,
1982-10-27,19467442.9817856,20086352.1792,,,,
1982-10-28,21785178.0455424,22435060.8384,,,,
1982-10-29,22508457.984,22508457.984,,,,
1982-10-30,23630455.683072,22361663.6928,,,,
1982-10-31,23655068.1925632,22386129.408,,,,
1982-11-01,22280853.435494397,22899909.4272,,,,
1982-11-02,26042750.7360768,23536018.0224,,,,
1982-11-03,23560483.7376,23560483.7376,,,,
1982-11-04,22420552.6692864,23658346.5984,,,,
1982-11-05,21218478.6843648,23756209.4592,,,,
1982-11-06,18876620.4254208,23951935.1808,,,,
1982-11-07,23700182.971392002,23707278.0288,,,,
1982-11-08,22367095.0815744,23633880.8832,,,,
1982-11-09,23682812.3136,23682812.3136,,,,
1982-11-10,23024342.0547072,23658346.5984,,,,
1982-11-11,23126364.0870912,23756209.4592,,,,
1982-11-12,23707278.0288,23707278.0288,,,,
1982-11-13,22487417.468927998,23756209.4592,,,,
1982-11-14,23658346.5984,23658346.5984,,,,
1982-11-15,22414020.323328,23682812.3136,,,,
1982-11-16,19949686.6940928,23756209.4592,,,,
1982-11-17,23088222.0370944,23707278.0288,,,,
1982-11-18,22279825.875455998,23560483.7376,,,,
1982-11-19,20311338.8961792,23487086.592,,,,
1982-11-20,24136969.3848576,23487086.592,,,,
1982-11-21,26049283.0820352,23511552.3072,,,,
1982-11-22,23487086.592,23487086.592,,,,
1982-11-23,23487086.592,23487086.592,,,,
1982-11-24,22886135.2295424,23536018.0224,,,,
1982-11-25,21403512.888422403,23291360.8704,,,,
1982-11-26,23266895.1552,23266895.1552,,,,
1982-11-27,19460519.184384,23266895.1552,,,,
1982-11-28,21763990.7361792,23682812.3136,,,,
1982-11-29,22462951.753728,23731743.744,,,,
1982-11-30,30320507.6416512,23976400.895999998,,,,
1982-12-01,22162121.3196288,24049798.0416,,,,
1982-12-02,24025332.3264,24025332.3264,,,,
1982-12-03,23571175.255142402,24221058.048,,,,
1982-12-04,23025663.203328,24294455.1936,,,,
1982-12-05,23602002.056294397,24221058.048,,,,
1982-12-06,21732405.497856,24269989.4784,,,,
1982-12-07,30516233.363251198,24172126.6176,,,,
1982-12-08,19635057.596620798,24710372.351999998,,,,
1982-12-09,21393163.8908928,25199686.656,,,,
1982-12-10,21465484.545024,25199686.656,,,,
1982-12-11,21465484.545024,25199686.656,,,,
1982-12-12,22103036.6174208,25199686.656,,,,
1982-12-13,20465399.5047936,25444343.808,,,,
1982-12-14,25933658.112,25933658.112,,,,
1982-12-15,23081665.225420803,26178315.264,,,,
1982-12-16,24444258.767769597,25689000.96,,,,
1982-12-17,17827677.351936,25933658.112,,,,
1982-12-18,26081895.8803968,25444343.808,,,,
1982-12-19,23562049.5433728,25444343.808,,,,
1982-12-20,19858209.38496,25444343.808,,,,
1982-12-21,21710141.697024003,25444343.808,,,,
1982-12-22,27933828.1924608,25444343.808,,,,
1982-12-23,24444258.767769597,25689000.96,,,,
1982-12-24,26933743.1522304,25689000.96,,,,
1982-12-25,20588559.9151104,25689000.96,,,,
1982-12-26,20833217.0671104,25933658.112,,,,
1982-12-27,20588559.9151104,25689000.96,,,,
1982-12-28,20343902.7631104,25444343.808,,,,
1982-12-29,20344220.817408,25444343.808,,,,
1982-12-30,18393569.344512,25689000.96,,,,
1982-12-31,18486147.6108288,26422972.416,,,,
1983-01-01,20464102.821888,25933658.112,,,,
1983-01-02,21438278.6697216,25689000.96,,,,
1983-01-03,22627190.0998656,25689000.96,,,,
1983-01-04,25444343.808,25444343.808,,,,
1983-01-05,27772183.2121344,24710372.351999998,,,,
1983-01-06,30559415.3505792,24465715.2,,,,
1983-01-07,30774468.9871872,24710372.351999998,,,,
1983-01-08,29585386.2970368,24710372.351999998,,,,
1983-01-09,29235502.103961598,24955029.504,,,,
1983-01-10,24955029.504,24955029.504,,,,
1983-01-11,27987090.054451197,24955029.504,,,,
1983-01-12,24955029.504,24955029.504,,,,
1983-01-13,24360488.1589248,24955029.504,,,,
1983-01-14,23247028.9944576,24465715.2,,,,
1983-01-15,22533339.6163584,10642586.112,,,,
1983-01-16,24205081.935974397,24955029.504,,,,
1983-01-17,23842818.091008,24465715.2,,,,
1983-01-18,23836652.7307776,24465715.2,,,,
1983-01-19,23465630.1597696,24710372.351999998,,,,
1983-01-20,24347839.384166397,24955029.504,,,,
1983-01-21,22678274.5132032,23315826.5856,,,,
1983-01-22,23753200.1762304,22508457.984,,,,
1983-01-23,23146010.0563968,22508457.984,,,,
1983-01-24,23753200.1762304,22508457.984,,,,
1983-01-25,23753200.1762304,22508457.984,,,,
1983-01-26,23219358.2705664,22606320.8448,,,,
1983-01-27,23624999.828582402,22386129.408,,,,
1983-01-28,22970297.2898304,21725555.097599998,,,,
1983-01-29,22627777.2770304,21383035.0848,,,,
1983-01-30,21580204.2835968,20942652.2112,,,,
1983-01-31,21500910.9006336,20893720.7808,,,,
1983-02-01,23014751.4943488,21162843.648,,,,
1983-02-02,22020587.1571968,21383035.0848,,,,
1983-02-03,22210416.6414336,21603226.5216,,,,
1983-02-04,19830514.1953536,19352380.7232,,,,
1983-02-05,18871237.9680768,18104629.248,,,,
1983-02-06,21231665.7048576,18104629.248,,,,
1983-02-07,21936694.219775997,18202492.1088,,,,
1983-02-08,19349371.4402304,18104629.248,,,,
1983-02-09,23053211.5986432,18104629.248,,,,
1983-02-10,22574246.292172797,18202492.1088,,,,
1983-02-11,23397175.08864,17811040.665599998,,,,
1983-02-12,22887847.8296064,17908903.5264,,,,
1983-02-13,22348158.618009597,18006766.387199998,,,,
1983-02-14,25793224.906752,18324820.6848,,,,
1983-02-15,24204886.2102528,17908903.5264,,,,
1983-02-16,19698888.6475776,17811040.665599998,,,,
1983-02-17,22008868.079616,18202492.1088,,,,
1983-02-18,20430927.3120768,18202492.1088,,,,
1983-02-19,20748516.761088,18520546.4064,,,,
1983-02-20,21223004.8416768,18716272.128,,,,
1983-02-21,20642360.0228352,18104629.248,,,,
1983-02-22,20149620.5187072,16343097.7536,,,,
1983-02-23,18772127.3558016,15584660.5824,,,,
1983-02-24,18415979.9396352,15878249.1648,,,,
1983-02-25,19727171.014348798,15951646.3104,,,,
1983-02-26,20149620.5187072,16343097.7536,,,,
1983-02-27,21411708.9030144,13798663.3728,,,,
1983-02-28,19695683.6388864,10813846.1184,,,,
1983-03-01,19314899.2475136,11082968.9856,,,,
1983-03-02,23296131.684864003,11082968.9856,,,,
1983-03-03,22320781.482700802,10691517.5424,,,,
1983-03-04,21463282.630655997,10495791.820799999,,,,
1983-03-05,27237729.6635904,10471326.1056,,,,
1983-03-06,22479392.7143424,5015471.616,,,,
1983-03-07,25825323.9250944,8073686.016,,,,
1983-03-08,20495027.4859008,7975823.1552,,,,
1983-03-09,21828017.512857597,8024754.5856,,,,
1983-03-10,17904108.2462208,8049220.3008,,,,
1983-03-11,23312523.714048,8098151.7312,,,,
1983-03-12,22139074.6159104,8073686.016,,,,
1983-03-13,27552407.692492798,8122617.4464,,,,
1983-03-14,11556429.5061504,8220480.3072,,,,
1983-03-15,23382153.1395072,7290783.1296,,,,
1983-03-16,23043523.175424002,6850400.256,,,,
1983-03-17,21220044.4901376,6899331.6864,,,,
1983-03-18,20613025.6303104,7657768.8576,,,,
1983-03-19,14528500.122931201,8367274.5984,,,,
1983-03-20,17226138.8123136,8367274.5984,,,,
1983-03-21,18591594.8433408,8367274.5984,,,,
1983-03-22,24268643.864064,10520257.536,,,,
1983-03-23,25595835.5165184,13113623.3472,,,,
1983-03-24,27577656.310579196,13676334.7968,,,,
1983-03-25,29906327.5490304,17395123.5072,,,,
1983-03-26,26080330.074624002,19841695.0272,,,,
1983-03-27,22081188.733747203,20012955.0336,,,,
1983-03-28,32573090.5058304,20061886.464,,,,
1983-03-29,27919589.1462144,20233146.470399998,,,,
1983-03-30,31710943.167897597,20404406.4768,,,,
1983-03-31,28295358.0659712,20526735.0528,,,,
1983-04-01,24263310.3381504,22850977.996799998,,,,
1983-04-02,28938732.9785856,24710372.351999998,,,,
1983-04-03,26479781.8066944,24343386.623999998,,,,
1983-04-04,32765537.8215936,26422972.416,,,,
1983-04-05,30960237.162700802,28135572.48,,,,
1983-04-06,29551917.1986432,28135572.48,,,,
1983-04-07,26667629.568,26667629.568,,,,
1983-04-08,27791633.455718398,25689000.96,,,,
1983-04-09,23586368.4642816,25689000.96,,,,
1983-04-10,19501719.4487808,24465715.2,,,,
1983-04-11,23110020.989337597,22386129.408,,,,
1983-04-12,23706617.4544896,21603226.5216,,,,
1983-04-13,16673311.511654401,21603226.5216,,,,
1983-04-14,20840312.1245184,21529829.376,,,,
1983-04-15,23559211.5204096,21456432.2304,,,,
1983-04-16,25745296.5706752,21505363.6608,,,,
1983-04-17,27945938.7214848,21603226.5216,,,,
1983-04-18,29081441.4953472,22704183.7056,,,,
1983-04-19,30568100.6794752,23536018.0224,,,,
1983-04-20,31332116.0337408,24955029.504,,,,
1983-04-21,28760328.9833472,25933658.112,,,,
1983-04-22,32828121.1210752,26422972.416,,,,
1983-04-23,34537858.6963968,26667629.568,,,,
1983-04-24,33838310.5016832,26667629.568,,,,
1983-04-25,18898297.049087998,31805429.759999998,,,,
1983-04-26,53629728.4841472,35230629.888,,,,
1983-04-27,38410610.1525504,39634458.624,,,,
1983-04-28,41870796.2532864,43548973.056,,,,
1983-04-29,40646238.276096,43548973.056,,,,
1983-04-30,44983764.923904,43548973.056,,,,
1983-05-01,42570344.448,43548973.056,,,,
1983-05-02,45438484.7066112,43548973.056,,,,
1983-05-03,50474434.1262336,44772258.816,,,,
1983-05-04,52846507.543449596,53335259.136,,,,
1983-05-05,55784815.473254405,57739087.872,,,,
1983-05-06,55323416.5502976,57494430.72,,,,
1983-05-07,54802639.3365504,56515802.111999996,,,,
1983-05-08,57219460.5468672,56760459.264,,,,
1983-05-09,57947046.4512,57005116.416,,,,
1983-05-10,58521990.7584,59696345.088,,,,
1983-05-11,66271016.733696,63855516.672,,,,
1983-05-12,62632230.912,63610859.519999996,,,,
1983-05-13,57140852.203929596,63121545.216,,,,
1983-05-14,55182616.3593216,62632230.912,,,,
1983-05-15,54170518.652928,59451687.936,,,,
1983-05-16,55326694.9561344,57494430.72,,,,
1983-05-17,57004798.3617024,57739087.872,,,,
1983-05-18,58194541.6261632,57494430.72,,,,
1983-05-19,50045941.5902208,55781830.655999996,,,,
1983-05-20,52390491.0778368,54558544.896,,,,
1983-05-21,51901029.97954559,53824573.44,,,,
1983-05-22,53302108.091904,51867316.224,,,,
1983-05-23,54177442.4503296,50399373.312,,,,
1983-05-24,49910059.008,50399373.312,,,,
1983-05-25,49724119.57248,49910059.008,,,,
1983-05-26,50458653.7399296,49910059.008,,,,
1983-05-27,52631576.235417604,49910059.008,,,,
1983-05-28,53614535.275008,51378001.92,,,,
1983-05-29,57241308.4305408,52845944.832,,,,
1983-05-30,54241053.3098496,53335259.136,,,,
1983-05-31,43761115.272499196,53579916.288,,,,
1983-06-01,54955256.467968,52601287.68,,,,
1983-06-02,51842850.5088,51622659.072,,,,
1983-06-03,52450162.957209595,51378001.92,,,,
1983-06-04,58303462.9902336,51622659.072,,,,
1983-06-05,45465030.0076032,53090601.984,,,,
1983-06-06,57426685.1546112,54313887.744,,,,
1983-06-07,59197978.469376,55292516.352,,,,
1983-06-08,58110575.2915968,58962373.632,,,,
1983-06-09,61468054.3199232,59451687.936,,,,
1983-06-10,61059354.547507204,59696345.088,,,,
1983-06-11,60606469.69344,59696345.088,,,,
1983-06-12,60589808.541388795,59696345.088,,,,
1983-06-13,66587823.2798208,61408945.152,,,,
1983-06-14,69352375.7002752,66057431.04,,,,
1983-06-15,75971452.61905919,72663174.144,,,,
1983-06-16,73156990.1395968,73397145.6,,,,
1983-06-17,65008634.7608064,70950574.08,,,,
1983-06-18,55990180.6866432,64100173.824,,,,
1983-06-19,56874126.976819195,52845944.832,,,,
1983-06-20,53771678.5637376,52601287.68,,,,
1983-06-21,53350330.0165632,53579916.288,,,,
1983-06-22,50708204.0349696,51622659.072,,,,
1983-06-23,48539587.505356796,51622659.072,,,,
1983-06-24,46552212.9939456,48931430.4,,,,
1983-06-25,45063205.101158395,45750887.424,,,,
1983-06-26,45044978.1433344,45750887.424,,,,
1983-06-27,46077578.1190656,48442116.096,,,,
1983-06-28,47290539.3472512,49420744.703999996,,,,
1983-06-29,49676484.82498559,48931430.4,,,,
1983-06-30,48481456.9660416,48442116.096,,,,
1983-07-01,45540066.35612161,47463487.488,,,,
1983-07-02,51993388.0544256,49176087.552,,,,
