date,avg water temperature (C),min_temp(C),max_temp(C),inflow(m3/d),outflow(m3/d)
2022-03-02,6.2946148000000015,5.9223896000000025,6.850174800000001,850819.7117952,24392.318054400002
2022-03-03,5.894611600000001,5.239050800000005,6.427949200000004,1094131.2494591998,24710.372352
2022-03-04,5.444608000000002,4.650157200000002,6.527950000000004,1074901.197312,25199.686656
2022-03-05,5.233495200000004,4.294598800000003,6.605728400000004,880251.9671808,25444.343808
2022-03-06,5.583498000000002,4.783491600000001,6.894619600000002,690544.81152,25689.00096
2022-03-07,5.900167200000002,4.794602800000003,7.416846000000003,582724.4046336,26422.972416
2022-03-08,5.677943200000001,5.139050000000005,6.033501600000005,585929.4133248,25933.658111999997
2022-03-09,5.350162800000003,4.277932000000003,6.527950000000004,581990.4331776,26912.28672
2022-03-10,4.855714400000004,3.705705200000004,6.3112816000000045,515614.94784,27156.943872
2022-03-11,5.677943200000001,4.822380800000001,6.705729200000004,473166.931968,27890.915328
2022-03-12,6.461282800000003,5.2779400000000045,8.183518800000002,522758.9366784,29358.85824
2022-03-13,6.250170000000004,5.677943200000001,6.772396400000002,633025.9150848,28624.886784
2022-03-14,6.700173600000003,5.889056000000004,8.111296000000003,747990.3108096,30092.829696
2022-03-15,6.911286400000002,6.189058400000004,7.972406000000003,1033652.0014848,30826.801152
2022-03-16,6.600172800000006,5.816833200000001,8.055740000000004,1192556.8217088,26912.28672
2022-03-17,6.255725600000002,5.111272000000003,7.355734400000003,1043315.9589888,21994.6779648
2022-03-18,7.072398800000002,6.222392000000006,8.344631200000006,924852.9659904,23169.0322944
2022-03-19,6.522394400000003,5.616831600000001,7.333512000000006,875138.632704,22802.0465664
2022-03-20,6.205725200000003,5.0390492000000044,7.811293600000006,836066.8855296001,23193.4980096
2022-03-21,6.877952800000006,6.066835200000003,7.977961600000004,725750.9756928,23903.0037504
2022-03-22,8.027962000000006,7.144621600000004,9.639086000000006,693749.8202112,25199.686656
2022-03-23,7.739070800000004,6.455727200000002,9.144637600000003,738889.0647552,24710.372352
2022-03-24,7.416846000000003,6.272392400000001,8.900191200000005,828678.2395392,25689.00096
2022-03-25,7.066843200000001,5.983501200000006,8.500188000000001,795625.058304,25933.658111999997
2022-03-26,7.433512800000006,6.272392400000001,8.839079600000002,710753.4922752,26178.315263999997
2022-03-27,7.477957600000003,6.361282000000006,8.677967200000001,655265.2502015999,26178.315263999997
2022-03-28,7.939072400000004,6.889064000000001,9.694642000000005,629331.5920896,27401.601024
2022-03-29,7.989072800000006,7.177955200000003,9.211304800000004,578418.4387583999,23340.292300799996
2022-03-30,7.661292400000004,6.816841200000006,9.227971600000004,524960.8510464,19230.0521472
2022-03-31,7.100176800000003,6.455727200000002,8.266852800000006,441190.24220160005,19327.915008
2022-04-01,7.222400000000004,5.816833200000001,9.005747600000003,378973.928448,20037.4207488
2022-04-02,7.711292800000006,6.750174000000001,9.322416800000003,348000.3330048,19890.626457600003
2022-04-03,7.316845200000003,5.9223896000000025,9.205749200000003,316170.4375296,20135.2836096
2022-04-04,7.5668472000000015,6.494616400000002,8.872413200000004,294983.12816639995,19915.0921728
2022-04-05,7.416846000000003,6.044612800000003,9.483529200000003,275581.8160128,20257.6121856
2022-04-06,7.677959200000004,5.977945600000002,9.894643600000006,252877.6323072,20991.5836416
2022-04-07,8.172407600000003,6.350170800000004,10.389092000000005,233427.38872319998,21260.706508799998
2022-04-08,7.727959600000002,7.016842800000006,8.350186800000003,232840.2115584,20673.529344
2022-04-09,7.672403600000006,6.416838000000002,9.744642400000004,188386.00704,19401.3121536
2022-04-10,7.772404400000003,6.905730800000004,9.027970000000003,164678.7290112,19132.1892864
2022-04-11,7.677959200000004,6.977953600000003,8.750190000000003,209964.76784639998,18765.2035584
2022-04-12,8.300186400000001,7.094621200000006,10.322424800000004,189756.0870912,19523.6407296
2022-04-13,7.922405600000001,6.972398000000002,9.289083200000004,200765.6589312,19450.243584
2022-04-14,8.111296000000003,7.261289200000004,9.433528800000001,165779.68619520002,18985.3949952
2022-04-15,8.527966000000003,7.077954400000003,10.633538400000003,191028.3042816,19572.57216
2022-04-16,7.594625200000003,7.222400000000004,8.827968400000003,269416.4557824,19009.8607104
2022-04-17,8.522410400000005,6.800174400000003,10.7613172,284046.95347199996,20086.352179200003
2022-04-18,8.977969600000002,7.866849600000002,10.277980000000003,539982.8001792,20697.995059200002
2022-04-19,8.972414000000004,7.5668472000000015,10.727983600000005,1236986.560512,23242.42944
2022-04-20,8.661300400000005,7.3390676000000035,10.011311200000005,1316793.7234944,22875.443712
2022-04-21,9.200193600000006,8.172407600000003,11.083542000000005,1378667.5172352,23071.1694336
2022-04-22,9.466862400000004,7.472402000000006,11.922437600000006,1297734.9313535998,23560.483737600003
2022-04-23,9.489084800000004,8.333520000000004,11.127986800000006,1180299.4983936,22068.075110399997
2022-04-24,9.672419600000001,7.727959600000002,11.966882400000003,1110988.127232,21823.4179584
2022-04-25,9.472418000000001,8.289075200000003,10.644649600000001,996219.4572287999,20526.735052800002
2022-04-26,9.183526800000003,8.572410800000004,10.350202800000005,1008354.4519679999,19107.7235712
2022-04-27,9.105748400000003,8.055740000000004,10.6224272,925856.0603136,19254.5178624
2022-04-28,9.211304800000004,7.816849200000004,10.850206800000006,800469.2699136001,19670.435020799996
2022-04-29,9.566863200000004,8.116851600000004,11.766880800000003,713542.583808,20331.009331200003
2022-04-30,9.350194800000004,8.683522800000006,11.133542400000003,799808.6956032,20257.6121856
2022-05-01,9.905754800000004,8.911302400000004,11.500212000000005,1570943.572992,20453.3379072
2022-05-02,9.161304400000006,8.433520800000004,10.433536800000006,1865119.3325568,19841.6950272
2022-05-03,8.594633200000004,8.389076000000003,8.983525200000006,2369455.5856896,748650.88512
2022-05-04,8.455743200000004,8.327964400000006,8.616855600000001,1826903.8854144001,1318702.04928
2022-05-05,8.427965200000003,8.311297600000003,8.505743600000006,1428797.76768,1428797.76768
2022-05-06,8.422409600000002,8.250186000000003,8.555744000000004,1576007.9760383999,1822695.7824
2022-05-07,8.505743600000006,8.344631200000006,8.644633600000006,1949868.5700096,1658775.49056
2022-05-08,8.533521600000004,8.422409600000002,8.711300800000004,1643068.5014016,1176800.90112
2022-05-09,8.505743600000006,8.300186400000001,8.727967600000003,1315986.3548927999,1052025.7536
2022-05-10,8.433520800000004,8.261297200000001,8.622411200000005,1022422.238208,1052025.7536
