date,avg gain (m3/d),power discharge (m3/d),computed flow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),wse(m),storage(m3)
2015-05-16,1726398.7273728,,3906293.9516928,9.977977600000003,14.722460000000005,7.055732000000006,1471.1232960000002,750145795.92
2015-05-17,2244240.0552959996,,4546463.855616,10.739094800000004,17.666928000000006,6.500172000000006,1471.16292,754229848.2
2015-05-18,925097.6231423999,,3312951.4266624,10.411314400000006,15.722468,7.500180000000004,1471.190352,757077953.52
2015-05-19,2889523.293696,,5507354.820096,10.416870000000003,16.000248,7.500180000000004,1471.23912,762125353.6800001
2015-05-20,2356219.6337664,,5218708.3121664,10.250202000000005,16.444696000000008,7.222400000000004,1471.28484,766881652.5600001
2015-05-21,2224104.7716864003,,4915333.4436864,10.644649600000001,18.333600000000004,7.777960000000004,1471.3275119999998,771341916.24
2015-05-22,2233597.469184,,4900360.425984,10.339091600000003,18.666936,4.8890480000000025,1471.3640880000003,775175572.08
2015-05-23,2233426.2091775998,,4924654.8811776005,13.083558000000004,21.444736,5.444608000000002,1471.3976160000002,778690990.08
2015-05-24,1577378.0560896,,4293072.4432896,13.939120400000007,19.889168000000005,6.389060000000004,1471.425048,781572399.36
2015-05-25,1750008.1425408,,4318932.704256,11.855770400000004,20.11139200000001,3.944596000000004,1471.4524800000002,784474777.8
2015-05-26,3029956.498944,,4955408.285184,12.200217600000006,20.444728000000005,3.0557000000000016,1471.486008,788013631.92
2015-05-27,1723438.3758335998,,3010334.9953536,10.861318,17.278036000000007,5.000160000000005,1471.501248,789619622.88
2015-05-28,1682923.1514624,,2703143.4753023996,12.411330400000004,21.055844000000008,1.7779120000000042,1471.5134400000002,790913543.4
2015-05-29,515174.5649664,,1009382.0120063999,14.961350800000005,23.666976,5.000160000000005,1471.4982,789305085.48
2015-05-30,1871798.4728064002,,2356219.6337664,15.389132000000004,21.000288000000005,10.166868000000001,1471.48296,787697861.04
2015-05-31,1562062.5183744,,2053823.3938944,18.139154000000005,26.500332000000007,9.666864000000004,1471.464672,785763764.4
2015-06-01,1842635.340288,,2650003.9418880004,14.755793600000004,22.05585200000001,9.444640000000003,1471.4524800000002,784474777.8
2015-06-02,2107011.8587392,,2965758.4622592,11.2002096,16.444696000000008,7.944628000000002,1471.443336,783501562.08
2015-06-03,1793703.909888,,2652450.513408,11.144653600000005,17.778040000000004,5.444608000000002,1471.431144,782215042.44
2015-06-04,797411.0555136,,1697749.3748736,13.211336800000005,20.722508000000005,4.8890480000000025,1471.409808,779973809.28
2015-06-05,1418057.3187072,,2293929.9228672,15.1280188,23.611420000000003,9.666864000000004,1471.394568,778377686.16
2015-06-06,935568.9492479999,,1640181.5470079998,17.578038400000004,25.389212000000008,9.722420000000003,1471.3732320000001,776127818.64
2015-06-07,160984.406016,,1019731.009536,19.7002776,27.333672000000007,9.611308000000001,1471.3458,773257510.6800001
2015-06-08,601538.5396224,,1311044.2804224,20.250282000000006,29.555912000000006,9.500196000000003,1471.321416,770702973.6
2015-06-09,808322.7644928,,1341675.3558528,20.378060800000007,31.722596000000003,10.722428,1471.2970320000002,768154603.92
2015-06-10,1501093.9560959998,,1980621.9740159998,19.872501200000002,27.50034000000001,10.944652000000005,1471.278744,766245176.88
2015-06-11,-395904.2033664,,71390.9569536,20.561395600000004,27.667008000000003,11.389100000000003,1471.242168,762450992.4
2015-06-12,311448.554496,,673541.1394560001,17.68915040000001,24.722540000000002,6.777952000000006,1471.211688,759283415.76
2015-06-13,779037.3033984001,,1028587.5984384001,14.472458000000003,22.222520000000003,2.333472000000004,1471.1842560000002,756446411.76
2015-06-14,138842.93375999999,,388393.2288,15.216908400000001,23.278084000000007,3.8890400000000014,1471.150728,752969231.64
2015-06-15,-117924.747264,,131625.547776,16.52803,26.444776000000005,4.055708000000003,1471.114152,749210818.08
2015-06-16,184275.76688639997,,431379.4904064,18.57249080000001,26.222552000000007,7.777960000000004,1471.0806240000002,745752140.16
2015-06-17,423012.215808,,675009.082368,18.20026560000001,27.889232000000007,6.777952000000006,1471.0470960000002,742316898.36
2015-06-18,-309222.1744128,,-74106.6513408,18.205821200000003,27.50034000000001,7.222400000000004,1471.001376,737643242.64
2015-06-19,733164.0873984001,,955068.1242624,17.92248560000001,24.722540000000002,8.777968000000001,1470.961752,733607296.08
2015-06-20,-489852.5497344,,-284585.19920639996,17.144701600000005,24.611428000000004,7.389068000000002,1470.909936,728331702.12
2015-06-21,789924.5466624,,985894.9254144001,15.966914400000007,26.500332000000007,7.500180000000004,1470.870312,724326592.5600001
2015-06-22,-541230.5516544,,-369725.8881024,16.550252400000005,25.444768000000003,6.055724000000001,1470.821544,719406240.84
2015-06-23,-81079.3801728,,80883.65445120001,18.0391532,28.444792000000007,5.7779440000000015,1470.778872,715132232.64
2015-06-24,553952.7235584,,715915.7581824,18.894715600000005,26.278108000000003,10.333536000000006,1470.7422960000001,711468797.04
2015-06-25,-64809.6795648,,95685.4121472,20.089169600000005,29.278132000000006,7.777960000000004,1470.699624,707209590.6
2015-06-26,540227.4573312,,691670.2344192,22.78363560000001,34.055948,9.555752000000005,1470.6630480000001,703570824.6
