date,total avg discharge (m3/d),inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3),canal discharge (m3/d),outflow(m3/d)
2018-07-02,427391.5788288,90645.47481599999,675.714168,18.655824800000005,25.016986800000005,11.927993200000003,28210921.080000002,269122.8672,158268.7116288
2018-07-03,426608.6759424,121937.1245568,675.5770080000001,18.100264800000005,26.767000800000012,7.989072800000006,27906251.52,269098.4014848,157510.2744576
2018-07-04,429520.0960512,110046.7869696,675.4337519999999,20.4613948,27.605896400000006,12.511331200000004,27586780.2,277612.47037439997,151907.6256768
2018-07-05,443269.8279936,108994.76121599998,675.281352,21.433624800000004,31.978153600000006,11.911326400000004,27252507.12,281331.25908479997,161938.5689088
2018-07-06,444248.45660160005,97642.6693632,675.122856,20.566951200000005,28.25590160000001,13.305782000000004,26905899.240000002,280303.69904639997,163944.75755520002
2018-07-07,442853.9108352,99966.9123072,674.9643599999999,19.866945600000008,27.950343600000004,10.366869600000001,26562991.8,279055.9475712,163797.963264
2018-07-08,442682.6508288,107184.2982912,674.8089120000001,21.489180800000007,29.97258200000001,12.2113288,26227485.240000002,278884.68756479997,163797.963264
2018-07-09,442046.5422336,97911.79223040001,674.647368,21.878072800000005,29.233687200000006,13.650229200000005,25883344.32,278248.5789696,163797.963264
2018-07-10,466854.77744639997,112860.34421760001,674.479728,20.878064800000004,28.428125200000004,11.7946588,25529335.56,285906.3478272,180948.42961919997
2018-07-11,481118.289408,122181.78170879999,674.3090400000001,23.066971200000005,32.04482080000001,12.989112800000004,25170392.88,291362.2023168,189756.0870912
2018-07-12,487234.718208,107331.09258239999,674.12616,27.083670000000005,36.9226376,16.700253600000003,24790481.04,297478.6311168,189756.0870912
2018-07-13,480971.4951168,98596.832256,673.940232,27.917010000000005,35.272624400000005,19.461386800000007,24408102.240000002,296573.3996544,184398.0954624
2018-07-14,472799.94624,106474.7925504,673.7604,28.983685200000004,36.4504116,20.433616800000003,24041758.68,294787.40244479995,178012.5437952
2018-07-15,468371.65178879997,85996.98892799999,673.5714240000001,25.1503212,34.3781728,19.166940000000004,23659379.88,291288.8051712,177082.84661759998
2018-07-16,457117.4227968,116676.99578879999,673.400736,27.444784000000006,35.7392948,19.23360720000001,23318939.4,286273.3335552,170844.08924159998
2018-07-17,463869.96019199997,122181.78170879999,673.2270000000001,28.05590000000001,36.167076,19.5780544,22977265.44,285417.03352319996,178452.9266688
