date,inflow(m3/d),avg gain (m3/d),outflow(m3/d)
1982-05-18,59088151.8738432,5871771.648,45016915.968
1982-05-19,63788749.735219195,6361085.952,45506230.272
1982-05-20,61023022.9604352,5871771.648,44772258.816
1982-05-21,58600158.718464,5382457.344,44527601.664
1982-05-22,60358705.395609595,5871771.648,45016915.968
1982-05-23,66449616.454656,6116428.8,45261573.12
1982-05-24,72841162.22207999,6361085.952,45261573.12
1982-05-25,74660261.5443456,6116428.8,45261573.12
1982-05-26,81223997.0153472,6361085.952,45506230.272
1982-05-27,93644849.17094399,6850400.256,45995544.576
1982-05-28,86721271.9607808,6850400.256,45995544.576
1982-05-29,82835406.88128,5627114.496,44772258.816
1982-05-30,64377052.32291839,4893143.04,43793630.208
1982-05-31,54505405.3625856,4403828.736,43304315.904
1982-06-01,53676555.86304,3914514.432,44038287.36
1982-06-02,56241712.7046144,4403828.736,45506230.272
1982-06-03,54871559.2562688,4403828.736,45506230.272
1982-06-04,56229748.9698816,4648485.888,45750887.424
1982-06-05,56451286.0210176,4648485.888,45750887.424
1982-06-06,55947341.219328,4648485.888,45750887.424
1982-06-07,52322745.512448005,5382457.344,44527601.664
1982-06-08,52322133.869568005,5627114.496,40613087.232
1982-06-09,47101664.0259072,3914514.432,36698572.8
1982-06-10,45150058.3901184,4403828.736,36453915.648
1982-06-11,44829092.6724096,4403828.736,33518029.824
1982-06-12,49815352.2244608,3914514.432,31805429.759999998
1982-06-13,56902776.3293184,4403828.736,32294744.064
1982-06-14,69927515.7331968,4403828.736,32294744.064
1982-06-15,72357426.1011456,4159171.584,32294744.064
1982-06-16,76905088.7768064,4403828.736,32539401.216
1982-06-17,80486747.15351039,4648485.888,32539401.216
1982-06-18,84821093.2583424,4648485.888,32539401.216
1982-06-19,87497862.6926592,4403828.736,32294744.064
1982-06-20,81785411.78204161,4403828.736,32294744.064
1982-06-21,89542486.9776384,4159171.584,32050086.912
1982-06-22,92303149.34937601,4159171.584,32050086.912
1982-06-23,92113124.13941759,4159171.584,32050086.912
1982-06-24,91804146.62215678,3425200.128,33762686.975999996
1982-06-25,98630007.76581119,3914514.432,34496658.432
1982-06-26,93109074.4737792,3180542.976,36698572.8
1982-06-27,93263550.999552,3669857.28,37432544.256
1982-06-28,93469160.8700928,2935885.824,38655830.016
1982-06-29,94880808.1714176,3180542.976,40123772.928
1982-06-30,96804376.0975872,2201914.368,43304315.904
1982-07-01,91953730.0048896,3180542.976,45261573.12
1982-07-02,87000230.04549119,2446571.52,45750887.424
1982-07-03,79092568.3728384,3180542.976,46240201.728
1982-07-04,72262230.0033024,2691228.672,44772258.816
1982-07-05,70278403.0205952,2691228.672,44772258.816
1982-07-06,65734850.585088,1223285.76,45506230.272
1982-07-07,57824008.3694592,1957257.216,48197458.944
1982-07-08,57424214.117376,3425200.128,47463487.488
1982-07-09,62307448.54272,2446571.52,44527601.664
1982-07-10,63885095.7216768,1957257.216,44282944.512
1982-07-11,57927009.0304512,1223285.76,45995544.576
1982-07-12,57627426.3478272,1957257.216,48197458.944
1982-07-13,56122931.6573184,1223285.76,48442116.096
1982-07-14,55151495.9695872,1712600.064,49910059.008
1982-07-15,54109917.0763776,1223285.76,50399373.312
1982-07-16,53786333.5271424,1957257.216,52111973.376
1982-07-17,52032582.130176,1957257.216,52111973.376
1982-07-18,49704595.9317504,2201914.368,52111973.376
1982-07-19,46739620.372377604,4648485.888,47708144.64
1982-07-20,43233145.1384832,1712600.064,42815001.6
1982-07-21,42548863.5500544,2691228.672,43548973.056
1982-07-22,41394057.3268992,2446571.52,41591715.839999996
1982-07-23,41061568.2573312,2201914.368,40857744.383999996
1982-07-24,44523344.629555196,1712600.064,40857744.383999996
1982-07-25,42142585.8834432,1712600.064,41836372.992
1982-07-26,41376026.0947968,1957257.216,42570344.448
1982-07-27,38565111.1440384,2446571.52,42325687.296
1982-07-28,38880743.3358336,2935885.824,40123772.928
1982-07-29,39874344.961536,2201914.368,38655830.016
1982-07-30,38276073.1846656,2201914.368,38655830.016
1982-07-31,35841489.8651136,2935885.824,38166515.712
1982-08-01,34077903.2506368,3180542.976,35475287.04
1982-08-02,30651871.28832,2446571.52,32539401.216
1982-08-03,31182532.651008,2201914.368,32294744.064
1982-08-04,29125871.234150402,2691228.672,31071458.304
1982-08-05,27570145.3360128,3180542.976,28380229.632
1982-08-06,25959836.427264,2055120.0768,26178315.264
1982-08-07,24300180.1709568,2250845.7983999997,25199686.656
1982-08-08,22460089.2650496,2079585.792,24955029.504
1982-08-09,23704929.3201408,2348708.6592,24710372.351999998
1982-08-10,25185178.4868864,2593365.8112,23805140.8896
1982-08-11,22217780.821708802,2544434.3808,22606320.8448
1982-08-12,21925611.250790402,2201914.368,21798952.2432
1982-08-13,20691046.7960832,2079585.792,21652157.952
1982-08-14,20572950.788812798,2030654.3616,21603226.5216
1982-08-15,18823456.4262912,1981722.9312,21554295.0912
1982-08-16,19985161.9811328,1859394.3551999999,21431966.5152
1982-08-17,18747245.7234432,1810462.9248,21383035.0848
1982-08-18,17847005.266944,1688134.3488,21285172.224
1982-08-19,18676686.6008064,1663668.6336,21236240.7936
1982-08-20,18314275.961548798,1590271.488,21162843.648
1982-08-21,17332589.139148798,1541340.0576,21113912.2176
1982-08-22,16909625.8547712,1516874.3424,21064980.7872
1982-08-23,17317493.792870402,1737065.7792,20967117.9264
1982-08-24,16122050.016768,1565805.7728,20379940.7616
1982-08-25,16209784.0714752,1932791.5008,19645969.3056
1982-08-26,14857637.3895168,1639202.9184,19278983.5776
1982-08-27,15683061.6889344,1712600.064,19327915.008
1982-08-28,15181930.4444928,1859394.3551999999,19523640.7296
1982-08-29,15135641.3113344,2079585.792,19670435.0208
1982-08-30,16761412.552089598,2177448.6528,19792763.5968
1982-08-31,18415319.3653248,2666762.9568,18887532.1344
1982-09-01,15804558.4306176,2104051.5072,18226957.824
1982-09-02,15859581.8241024,2055120.0768,18202492.1088
1982-09-03,15616123.4921472,1957257.216,18153560.6784
1982-09-04,14211228.7282176,1712600.064,18520546.4064
1982-09-05,14021888.558284799,1859394.3551999999,18716272.128
1982-09-06,13598631.6853248,1810462.9248,18716272.128
1982-09-07,14852352.7950336,1834928.64,18691806.4128
1982-09-08,13582386.450432,1810462.9248,18667340.6976
1982-09-09,14513673.89952,2495502.9504,17639780.6592
1982-09-10,12850519.0459392,1663668.6336,16147372.032
1982-09-11,13692384.305971202,1590271.488,16098440.6016
1982-09-12,13185772.7413248,1272217.1904,16881343.487999998
1982-09-13,14542983.826329598,1785997.2096,17444054.937599998
1982-09-14,15625567.258214401,1761531.4944,17419589.2224
1982-09-15,14706855.1867392,1883860.0704,17492986.368
1982-09-16,16931204.6155776,1859394.3551999999,17468520.6528
1982-09-17,15846296.9407488,2030654.3616,17077069.2096
1982-09-18,14402232.566784,1565805.7728,16000577.740799999
1982-09-19,14417009.8587648,1467942.912,15927180.5952
1982-09-20,12835668.356812801,1443477.1968,15902714.879999999
1982-09-21,13556403.860889599,611642.88,17272794.9312
1982-09-22,12962792.212992001,1394545.7664,18226957.824
1982-09-23,11788560.211968,1370080.0511999999,18226957.824
1982-09-24,12537798.2742528,1345614.336,18202492.1088
1982-09-25,13175228.0180736,1370080.0511999999,18226957.824
1982-09-26,17361507.6145152,1761531.4944,18153560.6784
1982-09-27,18868595.6708352,1565805.7728,18422683.5456
1982-09-28,18471199.0588416,929697.1775999999,19572572.16
1982-09-29,18555556.8448512,1639202.9184,20257612.1856
1982-09-30,19850600.5475328,1541340.0576,20257612.1856
1982-10-01,17134759.3660416,1737065.7792,20428872.191999998
1982-10-02,17656931.1255552,1614737.2031999999,20331009.3312
1982-10-03,16494589.4621184,1639202.9184,20306543.616
1982-10-04,14568795.155865598,1565805.7728,20257612.1856
1982-10-05,16480203.6215808,1541340.0576,20257612.1856
1982-10-06,14870604.218572801,1516874.3424,20282077.9008
1982-10-07,15007269.70368,1590271.488,20331009.3312
1982-10-08,14619928.500633601,1467942.912,20331009.3312
1982-10-09,13949567.9041536,1467942.912,20306543.616
1982-10-10,13585224.4733952,1394545.7664,20233146.470399998
1982-10-11,14442234.011136001,3033748.6848,17248329.216
1982-10-12,13308566.1659136,2104051.5072,13676334.7968
1982-10-13,14262973.715865599,2226380.0831999998,11254228.992
1982-10-14,13371027.1368192,1761531.4944,9052314.624
1982-10-15,12842959.1399424,1296682.9056,8514068.8896
1982-10-16,12824830.0449792,1272217.1904,8489603.1744
1982-10-17,12910019.6653056,1247751.4752,8465137.4592
1982-10-18,11940590.1662208,1247751.4752,8465137.4592
1982-10-19,13186433.3156352,1247751.4752,8440671.743999999
1982-10-20,11938828.6347264,1198820.0448,8416206.0288
1982-10-21,11242534.3801344,1223285.76,8416206.0288
1982-10-22,12544159.3602048,1223285.76,8440671.743999999
1982-10-23,12019002.7834368,1223285.76,8440671.743999999
1982-10-24,11782982.0289024,1223285.76,8416206.0288
1982-10-25,12555878.4377856,1223285.76,8440671.743999999
1982-10-26,12226202.925465599,-195725.7216,9908614.656
1982-10-27,12914545.8226176,1100957.184,11939269.0176
1982-10-28,12629030.9262336,1027560.0384,11816940.4416
1982-10-29,12052863.3332736,1027560.0384,11939269.0176
1982-10-30,14458797.3003264,1223285.76,12379651.8912
1982-10-31,13931707.9320576,1149888.6144,12477514.752
1982-11-01,12902312.9650176,1125422.8991999999,12624309.0432
1982-11-02,12396313.043251202,978628.608,12917897.625599999
1982-11-03,11192820.046848,1076491.4688,13064691.9168
1982-11-04,11108609.055129599,1125422.8991999999,13089157.632
1982-11-05,11020654.808985598,1100957.184,13089157.632
1982-11-06,11072693.385216,1100957.184,13064691.9168
1982-11-07,11596797.9362304,1076491.4688,13089157.632
1982-11-08,11940247.646208,1492408.6272,12428583.3216
1982-11-09,11066821.613567999,1100957.184,11914803.3024
1982-11-10,11461918.448332801,1052025.7536,11865871.872
1982-11-11,10677523.1533056,1027560.0384,11890337.587199999
1982-11-12,11714404.6291968,1003094.3232,11841406.1568
1982-11-13,10390907.2997376,1321148.6208,11474420.4288
1982-11-14,10931819.797094401,978628.608,11058503.2704
1982-11-15,9278059.7781504,978628.608,11058503.2704
1982-11-16,9937288.4742144,1223285.76,10813846.1184
1982-11-17,10566791.326310402,1076491.4688,10691517.5424
1982-11-18,11681302.516531201,1516874.3424,10275600.384
1982-11-19,12339112.2011136,1296682.9056,10030943.232
1982-11-20,12098540.823552001,978628.608,10275600.384
1982-11-21,10899451.655884799,1149888.6144,10495791.820799999
1982-11-22,10566962.5863168,1125422.8991999999,10471326.1056
1982-11-23,10587293.595647998,1076491.4688,10422394.6752
1982-11-24,8466629.8678272,1027560.0384,10373463.2448
1982-11-25,8483731.402751999,1003094.3232,10373463.2448
1982-11-26,9410321.4345216,1052025.7536,10422394.6752
1982-11-27,9562865.1687936,1443477.1968,9884148.9408
1982-11-28,10160464.728268798,1223285.76,9590560.3584
1982-11-29,10774749.905510401,1247751.4752,9566094.6432
1982-11-30,11960798.846976,1198820.0448,9541628.928
1982-12-01,10825540.730265599,1223285.76,9615026.0736
1982-12-02,11346220.081152001,1198820.0448,9566094.6432
1982-12-03,9584101.4095872,1174354.3296,9541628.928
1982-12-04,10975515.564441599,1223285.76,9566094.6432
1982-12-05,10864367.820287999,1198820.0448,9566094.6432
1982-12-06,11560490.8148736,1296682.9056,9663957.504
1982-12-07,11344678.741094401,1198820.0448,9590560.3584
1982-12-08,9521885.0958336,1027560.0384,9394834.6368
1982-12-09,8180258.6714111995,905231.4624,9688423.2192
1982-12-10,8795449.080115201,1198820.0448,9884148.9408
1982-12-11,8978819.6155392,1100957.184,9786286.08
1982-12-12,7481786.968166401,611642.88,10397928.959999999
1982-12-13,9313950.9823488,1149888.6144,11009571.84
1982-12-14,11500133.8954752,1125422.8991999999,10960640.409599999
1982-12-15,10754957.1419136,1125422.8991999999,10960640.409599999
1982-12-16,12257249.9180544,1296682.9056,10911708.9792
1982-12-17,9501651.9493632,1149888.6144,10569188.9664
1982-12-18,10891451.3670144,1174354.3296,10520257.536
1982-12-19,9887378.4152064,1100957.184,10495791.820799999
1982-12-20,10550913.077145599,1149888.6144,10495791.820799999
1982-12-21,12479716.666367998,1272217.1904,10618120.3968
1982-12-22,12080191.537152002,1272217.1904,10618120.3968
1982-12-23,11267318.149632001,1272217.1904,10618120.3968
1982-12-24,10713169.700352,1198820.0448,10544723.2512
1982-12-25,9220638.744576,1100957.184,10471326.1056
1982-12-26,7423534.100275201,1100957.184,10495791.820799999
1982-12-27,9533188.256256001,587177.1648,10740448.9728
1982-12-28,8497676.860416,611642.88,12183926.1696
1982-12-29,6093871.4105856,831834.3168,14630497.6896
1982-12-30,7941766.8796416,1516874.3424,15388934.8608
1982-12-31,7370003.115417601,1492408.6272,15437866.291199999
1983-01-01,7820196.7408128,1590271.488,15486797.7216
1983-01-02,7889092.194816001,1590271.488,15511263.4368
1983-01-03,8772304.513536,1590271.488,15486797.7216
1983-01-04,11774370.097152,1639202.9184,15584660.5824
1983-01-05,13722672.861388799,2373174.3744,13945457.663999999
1983-01-06,13335992.2326528,1492408.6272,12868966.1952
1983-01-07,11953777.1867136,1467942.912,12917897.625599999
1983-01-08,11656151.761305599,1565805.7728,13015760.486399999
1983-01-09,10588419.0185472,1467942.912,12893431.9104
1983-01-10,10527572.784844799,1394545.7664,12844500.48
1983-01-11,9594817.3928448,1345614.336,12771103.3344
1983-01-12,9466617.0451968,1296682.9056,12722171.904
1983-01-13,8591527.3439232,1296682.9056,12697706.1888
1983-01-14,9459619.850649599,1272217.1904,12722171.904
1983-01-15,8380143.5645952,1247751.4752,12673240.4736
1983-01-16,8105931.8286336,1223285.76,12673240.4736
1983-01-17,7993144.8815616,1296682.9056,12746637.6192
1983-01-18,10442872.478822399,1296682.9056,12722171.904
1983-01-19,9330783.3944064,1296682.9056,12722171.904
1983-01-20,8627418.5481216,1247751.4752,12697706.1888
1983-01-21,8660814.2493696,1272217.1904,12722171.904
1983-01-22,9693658.8822528,1296682.9056,12722171.904
1983-01-23,9432609.7010688,1296682.9056,12722171.904
1983-01-24,10569996.335001599,1247751.4752,12722171.904
1983-01-25,10316922.9769728,1859394.3551999999,11865871.872
1983-01-26,9278377.832448,1149888.6144,11107434.7008
1983-01-27,8408352.5342208,1174354.3296,11107434.7008
1983-01-28,9917789.2992,1247751.4752,11180831.8464
1983-01-29,8528038.8129792,1174354.3296,11107434.7008
1983-01-30,8919637.0504704,1247751.4752,11131900.416
1983-01-31,8501909.4291456,1198820.0448,11082968.9856
1983-02-01,8809467.9349248,1198820.0448,11107434.7008
1983-02-02,8985205.167206401,1296682.9056,10887243.264
1983-02-03,7936457.8194432,1125422.8991999999,10715983.2576
1983-02-04,7031226.357043199,1100957.184,10691517.5424
1983-02-05,7204125.5663616,1076491.4688,10691517.5424
1983-02-06,6450581.538201599,1100957.184,10691517.5424
1983-02-07,10310928.876748798,1443477.1968,11156366.1312
1983-02-08,9841064.8163328,1052025.7536,10960640.409599999
1983-02-09,9694392.8537088,1467942.912,11303160.4224
1983-02-10,10618291.6568064,1296682.9056,10985106.1248
1983-02-11,9985657.1931648,1247751.4752,10911708.9792
1983-02-12,8404266.7597824,1247751.4752,10936174.6944
1983-02-13,7760108.9442815995,2006188.6464,9761820.3648
1983-02-14,9101246.0544,1370080.0511999999,9101246.0544
1983-02-15,8774310.7021824,1321148.6208,9052314.624
1983-02-16,9172367.8884864,1345614.336,9076780.3392
1983-02-17,10399078.8486144,1296682.9056,9076780.3392
1983-02-18,9938609.6228352,1321148.6208,9076780.3392
1983-02-19,9293815.6987392,1345614.336,9101246.0544
1983-02-20,8738492.8951296,1272217.1904,9027848.9088
1983-02-21,7736230.4062464,1663668.6336,8391740.3136
1983-02-22,8742700.998143999,1321148.6208,8000288.870399999
1983-02-23,8325022.3082496,1394545.7664,8049220.3008
1983-02-24,8073074.37312,1321148.6208,7975823.1552
1983-02-25,7903624.829644799,1419011.4816,8098151.7312
1983-02-26,8936958.776832,1443477.1968,8098151.7312
1983-02-27,8046529.072128,1394545.7664,8049220.3008
1983-02-28,8950047.934464,1419011.4816,8098151.7312
1983-03-01,10708105.297305599,1345614.336,8244946.0224
1983-03-02,9628947.0655488,1859394.3551999999,8489603.1744
1983-03-03,9661608.7953408,1859394.3551999999,8538534.6048
1983-03-04,8986379.521536,1737065.7792,8416206.0288
1983-03-05,9328875.0686208,1712600.064,8391740.3136
1983-03-06,8788378.4884224,1712600.064,8318343.168
1983-03-07,9553739.457023999,1590271.488,8318343.168
1983-03-08,8288005.681152,1492408.6272,8196014.592
1983-03-09,9848477.9280384,1565805.7728,8244946.0224
1983-03-10,8865763.5456,1565805.7728,8293877.4528
1983-03-11,11475081.003110401,3302871.552,7119523.1232
1983-03-12,10499877.5952384,2079585.792,5749443.072
1983-03-13,11641227.675033601,2055120.0768,5724977.3568
1983-03-14,13127006.0934144,2201914.368,5871771.648
1983-03-15,10388289.4682112,1908325.7856,5578183.0656
1983-03-16,10393304.939827198,1785997.2096,5455854.4896
1983-03-17,10244357.665689599,1737065.7792,5406923.0592
1983-03-18,10458799.6594176,1737065.7792,5406923.0592
1983-03-19,10540931.065344,1688134.3488,5382457.344
1983-03-20,7295113.5611904,-1052025.7536,8269411.7376
1983-03-21,6669011.4435072,-513780.0192,14850689.1264
1983-03-22,9390406.3423488,1859394.3551999999,18104629.248
1983-03-23,9542387.3651712,1883860.0704,18202492.1088
1983-03-24,8630207.6396544,1859394.3551999999,18178026.3936
1983-03-25,9518533.2928512,1785997.2096,18251423.5392
1983-03-26,9917495.7106176,1834928.64,18300354.9696
1983-03-27,9292690.27584,1883860.0704,18300354.9696
1983-03-28,9438408.0755712,1810462.9248,18373752.115199998
1983-03-29,9003481.0564608,1785997.2096,18349286.4
1983-03-30,10560797.226086399,2104051.5072,18740737.8432
1983-03-31,13206470.736383999,2201914.368,18814134.9888
1983-04-01,10400938.242969599,1932791.5008,18545012.1216
1983-04-02,10193150.923776,1957257.216,18569477.8368
1983-04-03,9997131.613593599,1908325.7856,18593943.552
1983-04-04,10417061.149286399,1810462.9248,18471614.976
1983-04-05,9040693.40928,1761531.4944,18447149.2608
1983-04-06,9017622.2398464,1761531.4944,17982300.672
1983-04-07,11467007.3170944,4330431.5904,13480609.075199999
1983-04-08,8609656.4388864,1345614.336,9982011.8016
1983-04-09,9060486.1728768,1321148.6208,9957546.0864
1983-04-10,9494826.0148224,1296682.9056,9957546.0864
1983-04-11,9701365.582540799,1296682.9056,9957546.0864
1983-04-12,8902559.981260799,782902.8864,10618120.3968
1983-04-13,8783142.8253696,440382.8736,12453049.036799999
1983-04-14,7614366.6788352,636108.5952,15242140.5696
1983-04-15,8998343.2562688,1663668.6336,16489892.0448
1983-04-16,7999775.0903808,269122.8672,19401312.1536
1983-04-17,10067201.4219264,2030654.3616,21407500.8
1983-04-18,11099874.7948032,2079585.792,21529829.376
1983-04-19,12697143.4773504,2177448.6528,21701089.3824
1983-04-20,14587560.359423999,2446571.52,21945746.5344
1983-04-21,17183470.6050048,2764625.8176,22239335.1168
1983-04-22,21359523.532492798,3474131.5584,23144566.5792
1983-04-23,23164701.8628096,3645391.5648,23291360.8704
1983-04-24,26369319.1025664,4036843.008,23682812.3136
1983-04-25,25850230.023167998,2275311.5136,24710372.351999998
1983-04-26,24641917.2808704,3718788.7103999997,27890915.327999998
1983-04-27,21837730.401792,1957257.216,27890915.327999998
1983-04-28,23044526.2697472,3180542.976,32050086.912
1983-04-29,22742864.0013312,3180542.976,32294744.064
1983-04-30,26330076.0953856,2691228.672,33273372.672
1983-05-01,27527599.45728,3914514.432,35230629.888
1983-05-02,29470152.7784448,3180542.976,35475287.04
1983-05-03,29801736.6165504,4403828.736,38166515.712
1983-05-04,31070895.5925504,4403828.736,38166515.712
1983-05-05,32609617.818624,4648485.888,38411172.864
1983-05-06,30507572.5000704,4159171.584,38655830.016
1983-05-07,28568444.3790336,4159171.584,40123772.928
1983-05-08,32016691.210752,4159171.584,40123772.928
1983-05-09,32583830.9548032,4403828.736,40368430.08
1983-05-10,31651882.9314048,3914514.432,39879115.776
1983-05-11,28837934.2319616,3425200.128,39389801.472
1983-05-12,27575185.273344003,3669857.28,39634458.624
