date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse_tail(m)
1998-06-01,399867649.22880006,398057186.3039999,163944757.55519998,12.87,135.169656
1998-06-02,369676956.67199993,375304071.16800004,161082268.8768,13.33,135.059928
1998-06-03,382863977.16480005,378729271.296,160739748.86400002,13.81,135.096504
1998-06-04,353847638.9376,359156699.1360001,121056358.8096,14.05,135.017256
1998-06-05,360673573.47839993,356710127.616,128567333.376,14.56,135.044688
1998-06-06,334788846.79679996,335424955.39199996,92994183.4752,14.85,134.992872
1998-06-07,319620103.3728,318298954.752,90425283.3792,14.93,134.89533600000001
1998-06-08,297967945.42080003,303864182.784,77629714.3296,14.79,134.84656800000002
1998-06-09,310078474.4448,313650468.864,80981517.31199999,14.91,134.90448
1998-06-10,293294993.8176,291875982.336,68993316.864,14.83,134.825232
1998-06-11,291386668.03199995,286982839.296,56173282.0992,14.85,134.76732
1998-06-12,273673490.2272,277685867.52000004,44772258.816,15.19,134.69416800000002
1998-06-13,298212602.5728,297258439.68,48197458.944,15.43,134.867904
1998-06-14,293148199.52639997,297503096.83199996,41542784.409600005,15.65,134.87095200000002
1998-06-15,299166765.4656,298237068.288,41616181.5552,15.98,134.855712
1998-06-16,282212024.83199996,289429410.816,43793630.208000004,15.92,134.755128
1998-06-17,284413939.2,275973267.456,45701955.9936,15.8,134.77036800000002
1998-06-18,255324203.8272,257868638.208,41958701.567999996,15.91,134.58139200000002
1998-06-19,233598648.7296,230222380.03199998,51084413.33759999,16.0,134.444232
1998-06-20,243433866.24,247103723.51999998,65739376.7424,16.14,134.374128
1998-06-21,240082063.25759998,236338808.832,8269411.7376,16.21,134.550912
1998-06-22,232424294.4,229733065.72800002,146794.2912,16.08,134.50824
1998-06-23,223959156.94079998,222882665.472,611642.88,15.86,134.493
1998-06-24,220460559.66720003,222393351.16799998,0.0,15.98,134.47776
1998-06-25,211261450.75199997,212851722.23999998,0.0,16.09,134.43204
1998-06-26,230711694.336,232913608.704,0.0,16.03,134.560056
1998-06-27,264914764.18559998,261049181.184,0.0,16.02,134.739888
1998-06-28,264180792.72959998,261538495.488,0.0,16.3,134.69416800000002
1998-06-29,234993194.496,235849494.52800003,0.0,16.8,134.547864
1998-06-30,216448182.3744,215298293.76,0.0,17.12,134.435088
1998-07-01,200618864.64,200129550.33600003,17395123.5072,17.23,134.24916
1998-07-02,199028593.15199995,202331464.70400003,0.0,17.16,134.358888
1998-07-03,200618864.64,202086807.552,0.0,16.92,134.383272
1998-07-04,217573605.2736,216032265.21599996,2299777.2287999997,17.12,134.444232
1998-07-05,209304193.536,207958579.20000002,0.0,17.33,134.407656
1998-07-06,188434938.4704,187162721.28,0.0,17.84,134.258304
1998-07-07,174758603.67360002,176642463.74400002,0.0,18.47,134.20039200000002
1998-07-08,162745937.5104,164164948.99199998,0.0,19.1,134.154672
1998-07-09,169718666.3424,166611520.512,0.0,19.69,134.221728
1998-07-10,155528551.5264,155601948.672,0.0,20.06,134.118096
1998-07-11,166317931.9296,171015349.24800003,0.0,20.0,134.16381600000003
1998-07-12,180385718.1696,173706577.92000002,0.0,20.21,134.215632
1998-07-13,156776303.0016,156091262.976,0.0,20.23,134.10895200000002
1998-07-14,161155666.0224,163920291.84000003,0.0,20.32,134.194296
1998-07-15,162207691.776,158537834.496,0.0,20.72,134.12724
1998-07-16,151614037.09439996,152421405.69599998,0.0,21.08,134.05104
1998-07-17,141999011.02080002,141656491.008,0.0,21.37,134.054088
1998-07-18,137546250.85439998,144837033.984,0.0,21.46,134.044944
