date,max_temp(C),avg_temp(C)
2005-11-14 00:00:00+00:00,13.1,11.8
2005-11-15 00:00:00+00:00,12.5,11.2
2005-11-16 00:00:00+00:00,12.5,11.1
2005-11-17 00:00:00+00:00,12.8,10.8
2005-11-18 00:00:00+00:00,12.1,11.3
2005-11-19 00:00:00+00:00,12.3,11.9
2005-11-20 00:00:00+00:00,12.1,12.0
2005-11-21 00:00:00+00:00,12.3,12.1
2005-11-22 00:00:00+00:00,12.3,12.1
2005-11-23 00:00:00+00:00,12.3,12.0
2005-11-24 00:00:00+00:00,12.1,11.9
2005-11-25 00:00:00+00:00,12.5,11.8
2005-11-26 00:00:00+00:00,11.8,11.1
2005-11-27 00:00:00+00:00,12.0,10.9
2005-11-28 00:00:00+00:00,11.7,10.8
2005-11-29 00:00:00+00:00,12.3,11.4
2005-11-30 00:00:00+00:00,11.5,10.7
2005-12-01 00:00:00+00:00,10.7,10.6
2005-12-02 00:00:00+00:00,11.7,10.6
2005-12-03 00:00:00+00:00,11.2,10.3
2005-12-04 00:00:00+00:00,10.9,10.0
2005-12-05 00:00:00+00:00,10.6,10.1
2005-12-06 00:00:00+00:00,11.5,10.6
2005-12-07 00:00:00+00:00,11.2,10.4
2005-12-08 00:00:00+00:00,10.4,9.4
2005-12-09 00:00:00+00:00,10.4,9.6
2005-12-10 00:00:00+00:00,10.4,9.5
2005-12-11 00:00:00+00:00,10.4,9.6
2005-12-12 00:00:00+00:00,10.6,9.8
2005-12-13 00:00:00+00:00,10.6,9.9
2005-12-14 00:00:00+00:00,10.9,10.3
2005-12-15 00:00:00+00:00,11.1,10.6
2005-12-16 00:00:00+00:00,11.5,11.0
2005-12-17 00:00:00+00:00,10.7,9.9
2005-12-18 00:00:00+00:00,9.7,8.5
2005-12-19 00:00:00+00:00,10.7,9.9
2005-12-20 00:00:00+00:00,11.8,11.2
2005-12-21 00:00:00+00:00,12.0,11.4
2005-12-22 00:00:00+00:00,12.3,11.6
2005-12-23 00:00:00+00:00,12.0,11.3
2005-12-24 00:00:00+00:00,12.3,11.8
2005-12-25 00:00:00+00:00,12.3,11.7
2005-12-26 00:00:00+00:00,12.8,12.0
2005-12-27 00:00:00+00:00,12.5,12.0
2005-12-28 00:00:00+00:00,12.6,12.1
2005-12-29 00:00:00+00:00,12.5,11.7
2005-12-30 00:00:00+00:00,11.8,11.7
2005-12-31 00:00:00+00:00,11.8,11.7
2006-01-01 00:00:00+00:00,12.1,11.5
2006-01-02 00:00:00+00:00,12.5,11.8
2006-01-03 00:00:00+00:00,11.8,11.6
2006-01-04 00:00:00+00:00,12.3,11.6
2006-01-05 00:00:00+00:00,12.3,11.7
2006-01-06 00:00:00+00:00,12.1,11.8
2006-01-07 00:00:00+00:00,12.6,12.0
2006-01-08 00:00:00+00:00,12.8,11.8
2006-01-09 00:00:00+00:00,12.8,12.3
2006-01-10 00:00:00+00:00,13.1,12.7
2006-01-11 00:00:00+00:00,12.5,11.7
2006-01-12 00:00:00+00:00,12.5,11.9
2006-01-13 00:00:00+00:00,12.6,12.4
2006-01-14 00:00:00+00:00,13.1,12.5
2006-01-15 00:00:00+00:00,12.3,11.4
2006-01-16 00:00:00+00:00,12.0,11.4
2006-01-17 00:00:00+00:00,12.5,11.6
2006-01-18 00:00:00+00:00,12.6,11.7
2006-01-19 00:00:00+00:00,12.3,11.8
2006-01-20 00:00:00+00:00,12.1,11.6
2006-01-21 00:00:00+00:00,12.5,11.4
2006-01-22 00:00:00+00:00,12.0,11.3
2006-01-23 00:00:00+00:00,12.6,11.7
2006-01-24 00:00:00+00:00,12.5,11.6
2006-01-25 00:00:00+00:00,12.1,11.4
2006-01-26 00:00:00+00:00,11.8,11.1
2006-01-27 00:00:00+00:00,11.8,10.9
2006-01-28 00:00:00+00:00,11.7,11.0
2006-01-29 00:00:00+00:00,11.8,10.9
2006-01-30 00:00:00+00:00,12.1,11.4
2006-01-31 00:00:00+00:00,11.7,10.7
2006-02-01 00:00:00+00:00,11.4,10.4
2006-02-02 00:00:00+00:00,12.0,10.9
2006-02-03 00:00:00+00:00,12.0,10.8
2006-02-04 00:00:00+00:00,11.1,9.9
2006-02-05 00:00:00+00:00,10.1,8.8
2006-02-06 00:00:00+00:00,10.4,9.1
2006-02-07 00:00:00+00:00,11.2,9.0
2006-02-08 00:00:00+00:00,11.8,9.5
2006-02-09 00:00:00+00:00,12.1,9.1
2006-02-10 00:00:00+00:00,12.1,10.2
2006-02-11 00:00:00+00:00,12.3,10.2
2006-02-12 00:00:00+00:00,12.6,10.8
2006-02-13 00:00:00+00:00,12.3,10.6
2006-02-14 00:00:00+00:00,11.5,10.1
2006-02-15 00:00:00+00:00,11.8,10.0
2006-02-16 00:00:00+00:00,11.7,10.0
2006-02-17 00:00:00+00:00,9.1,7.8
2006-02-18 00:00:00+00:00,10.1,8.0
2006-02-19 00:00:00+00:00,11.2,8.9
2006-02-20 00:00:00+00:00,11.2,9.3
2006-02-21 00:00:00+00:00,12.5,10.2
2006-02-22 00:00:00+00:00,12.8,10.6
2006-02-23 00:00:00+00:00,11.8,10.3
2006-02-24 00:00:00+00:00,12.1,10.3
2006-02-25 00:00:00+00:00,11.7,10.0
2006-02-26 00:00:00+00:00,11.2,10.5
2006-02-27 00:00:00+00:00,12.1,11.0
2006-02-28 00:00:00+00:00,11.6,11.1
2006-03-01 00:00:00+00:00,13.5,11.3
2006-03-02 00:00:00+00:00,13.4,11.6
2006-03-03 00:00:00+00:00,13.2,11.0
2006-03-04 00:00:00+00:00,13.4,11.2
2006-03-05 00:00:00+00:00,11.4,10.6
2006-03-06 00:00:00+00:00,12.8,11.2
2006-03-07 00:00:00+00:00,14.2,11.8
2006-03-08 00:00:00+00:00,11.2,10.1
2006-03-09 00:00:00+00:00,11.5,9.6
2006-03-10 00:00:00+00:00,12.9,10.5
2006-03-11 00:00:00+00:00,12.1,10.6
2006-03-12 00:00:00+00:00,13.2,10.8
2006-03-13 00:00:00+00:00,13.4,10.9
2006-03-14 00:00:00+00:00,13.4,11.5
2006-03-15 00:00:00+00:00,12.6,10.8
2006-03-16 00:00:00+00:00,12.0,10.9
2006-03-17 00:00:00+00:00,13.7,11.6
2006-03-18 00:00:00+00:00,14.0,11.4
2006-03-19 00:00:00+00:00,13.8,11.5
2006-03-20 00:00:00+00:00,14.0,12.3
2006-03-21 00:00:00+00:00,13.8,11.7
2006-03-22 00:00:00+00:00,14.0,12.3
2006-03-23 00:00:00+00:00,14.3,12.5
2006-03-24 00:00:00+00:00,14.5,12.8
2006-03-25 00:00:00+00:00,12.8,11.8
2006-03-26 00:00:00+00:00,13.8,11.7
2006-03-27 00:00:00+00:00,14.5,12.0
2006-03-28 00:00:00+00:00,15.1,12.9
2006-03-29 00:00:00+00:00,15.4,12.8
2006-03-30 00:00:00+00:00,14.3,12.5
2006-03-31 00:00:00+00:00,15.7,13.3
2006-04-01 00:00:00+00:00,13.1,12.1
2006-04-02 00:00:00+00:00,14.8,12.3
2006-04-03 00:00:00+00:00,13.5,12.5
2006-04-04 00:00:00+00:00,14.2,12.6
2006-04-05 00:00:00+00:00,14.5,12.6
2006-04-06 00:00:00+00:00,15.6,12.9
2006-04-07 00:00:00+00:00,14.3,12.6
2006-04-08 00:00:00+00:00,13.4,12.0
2006-04-09 00:00:00+00:00,16.1,12.8
2006-04-10 00:00:00+00:00,14.5,12.4
2006-04-11 00:00:00+00:00,14.6,12.5
2006-04-12 00:00:00+00:00,15.9,13.7
2006-04-13 00:00:00+00:00,14.3,12.3
2006-04-14 00:00:00+00:00,14.8,12.8
2006-04-15 00:00:00+00:00,13.2,11.8
2006-04-16 00:00:00+00:00,15.1,11.9
2006-04-17 00:00:00+00:00,14.8,12.4
2006-04-18 00:00:00+00:00,16.5,13.0
2006-04-19 00:00:00+00:00,17.0,13.6
2006-04-20 00:00:00+00:00,17.0,14.0
2006-04-21 00:00:00+00:00,16.1,14.0
2006-04-22 00:00:00+00:00,15.9,12.7
2006-04-23 00:00:00+00:00,17.3,13.4
2006-04-24 00:00:00+00:00,15.7,13.1
2006-04-25 00:00:00+00:00,18.1,14.0
2006-04-26 00:00:00+00:00,17.5,14.0
2006-04-27 00:00:00+00:00,18.8,14.7
2006-04-28 00:00:00+00:00,19.3,15.2
2006-04-29 00:00:00+00:00,18.6,15.2
2006-04-30 00:00:00+00:00,17.6,13.7
2006-05-01 00:00:00+00:00,16.4,13.4
2006-05-02 00:00:00+00:00,17.3,13.4
2006-05-03 00:00:00+00:00,17.5,13.7
2006-05-04 00:00:00+00:00,17.6,14.0
2006-05-05 00:00:00+00:00,17.2,14.0
2006-05-06 00:00:00+00:00,17.5,14.3
2006-05-07 00:00:00+00:00,15.4,13.4
2006-05-08 00:00:00+00:00,16.5,13.3
2006-05-09 00:00:00+00:00,16.8,13.4
2006-05-10 00:00:00+00:00,16.8,13.9
2006-05-11 00:00:00+00:00,16.1,14.1
2006-05-12 00:00:00+00:00,17.6,14.0
2006-05-13 00:00:00+00:00,18.1,14.0
2006-05-14 00:00:00+00:00,18.9,15.0
2006-05-15 00:00:00+00:00,19.3,15.7
2006-05-16 00:00:00+00:00,20.4,16.8
2006-05-17 00:00:00+00:00,21.0,17.3
2006-05-18 00:00:00+00:00,21.5,17.9
2006-05-19 00:00:00+00:00,18.1,16.3
2006-05-20 00:00:00+00:00,19.6,16.6
2006-05-21 00:00:00+00:00,16.7,15.0
2006-05-22 00:00:00+00:00,16.2,15.0
2006-05-23 00:00:00+00:00,16.5,14.4
2006-05-24 00:00:00+00:00,15.6,14.1
2006-05-25 00:00:00+00:00,16.8,14.4
2006-05-26 00:00:00+00:00,16.1,13.9
2006-05-27 00:00:00+00:00,15.6,13.6
2006-05-28 00:00:00+00:00,17.0,14.3
2006-05-29 00:00:00+00:00,18.3,14.9
2006-05-30 00:00:00+00:00,18.6,15.5
2006-05-31 00:00:00+00:00,17.6,15.6
2006-06-01 00:00:00+00:00,17.3,15.6
2006-06-02 00:00:00+00:00,16.8,15.2
2006-06-03 00:00:00+00:00,17.5,15.3
2006-06-04 00:00:00+00:00,18.1,15.9
2006-06-05 00:00:00+00:00,18.4,15.9
2006-06-06 00:00:00+00:00,18.6,16.4
2006-06-07 00:00:00+00:00,20.1,16.8
2006-06-08 00:00:00+00:00,19.4,16.5
2006-06-09 00:00:00+00:00,19.1,16.3
2006-06-10 00:00:00+00:00,18.4,16.2
2006-06-11 00:00:00+00:00,19.3,16.5
2006-06-12 00:00:00+00:00,17.8,16.5
2006-06-13 00:00:00+00:00,16.2,14.9
2006-06-14 00:00:00+00:00,19.1,16.0
2006-06-15 00:00:00+00:00,18.4,15.8
2006-06-16 00:00:00+00:00,18.9,16.2
2006-06-17 00:00:00+00:00,19.3,16.1
2006-06-18 00:00:00+00:00,19.1,16.4
2006-06-19 00:00:00+00:00,19.3,16.4
2006-06-20 00:00:00+00:00,19.4,16.2
2006-06-21 00:00:00+00:00,19.7,16.7
2006-06-22 00:00:00+00:00,19.9,16.7
2006-06-23 00:00:00+00:00,20.1,17.1
2006-06-24 00:00:00+00:00,20.4,17.5
2006-06-25 00:00:00+00:00,21.2,18.2
2006-06-26 00:00:00+00:00,21.9,18.9
2006-06-27 00:00:00+00:00,21.9,19.0
2006-06-28 00:00:00+00:00,20.4,18.0
2006-06-29 00:00:00+00:00,18.6,16.7
2006-06-30 00:00:00+00:00,20.7,17.7
2006-07-01 00:00:00+00:00,21.7,18.7
2006-07-02 00:00:00+00:00,21.0,18.6
2006-07-03 00:00:00+00:00,21.7,19.2
2006-07-04 00:00:00+00:00,21.9,19.5
2006-07-05 00:00:00+00:00,21.7,19.5
2006-07-06 00:00:00+00:00,20.6,18.6
2006-07-07 00:00:00+00:00,19.7,17.4
2006-07-08 00:00:00+00:00,20.7,18.1
2006-07-09 00:00:00+00:00,21.2,18.8
2006-07-10 00:00:00+00:00,21.2,19.2
2006-07-11 00:00:00+00:00,19.9,18.0
2006-07-12 00:00:00+00:00,19.3,17.7
2006-07-13 00:00:00+00:00,19.9,17.6
2006-07-14 00:00:00+00:00,20.2,17.8
2006-07-15 00:00:00+00:00,20.6,18.3
2006-07-16 00:00:00+00:00,20.7,18.5
2006-07-17 00:00:00+00:00,20.4,18.7
2006-07-18 00:00:00+00:00,19.7,17.8
2006-07-19 00:00:00+00:00,19.6,18.0
2006-07-20 00:00:00+00:00,21.4,18.4
2006-07-21 00:00:00+00:00,21.5,19.1
2006-07-22 00:00:00+00:00,21.2,19.6
2006-07-23 00:00:00+00:00,22.4,20.2
2006-07-24 00:00:00+00:00,21.7,20.1
2006-07-25 00:00:00+00:00,21.2,19.3
2006-07-26 00:00:00+00:00,20.2,18.6
2006-07-27 00:00:00+00:00,20.7,19.0
2006-07-28 00:00:00+00:00,20.4,18.7
2006-07-29 00:00:00+00:00,19.6,17.9
2006-07-30 00:00:00+00:00,18.9,17.3
2006-07-31 00:00:00+00:00,19.3,17.2
2006-08-01 00:00:00+00:00,18.9,17.4
2006-08-02 00:00:00+00:00,19.4,17.5
2006-08-03 00:00:00+00:00,19.6,17.8
2006-08-04 00:00:00+00:00,19.7,17.9
2006-08-05 00:00:00+00:00,19.7,17.9
2006-08-06 00:00:00+00:00,20.1,18.2
2006-08-07 00:00:00+00:00,20.4,18.7
2006-08-08 00:00:00+00:00,19.9,18.4
2006-08-09 00:00:00+00:00,19.9,18.2
2006-08-10 00:00:00+00:00,19.4,18.1
2006-08-11 00:00:00+00:00,18.6,17.2
2006-08-12 00:00:00+00:00,18.8,17.4
2006-08-13 00:00:00+00:00,18.9,17.4
2006-08-14 00:00:00+00:00,19.1,17.7
2006-08-15 00:00:00+00:00,19.4,18.1
2006-08-16 00:00:00+00:00,19.1,17.7
2006-08-17 00:00:00+00:00,18.8,17.7
2006-08-18 00:00:00+00:00,19.1,17.6
2006-08-19 00:00:00+00:00,19.1,17.7
2006-08-20 00:00:00+00:00,19.1,17.8
2006-08-21 00:00:00+00:00,18.9,17.9
2006-08-22 00:00:00+00:00,19.6,18.0
2006-08-23 00:00:00+00:00,19.1,17.5
2006-08-24 00:00:00+00:00,18.4,17.0
2006-08-25 00:00:00+00:00,19.1,17.0
2006-08-26 00:00:00+00:00,19.1,17.2
2006-08-27 00:00:00+00:00,19.4,17.3
2006-08-28 00:00:00+00:00,19.4,17.4
2006-08-29 00:00:00+00:00,18.4,17.2
2006-08-30 00:00:00+00:00,17.6,15.7
2006-08-31 00:00:00+00:00,17.8,15.6
2006-09-01 00:00:00+00:00,18.0,15.7
2006-09-02 00:00:00+00:00,18.0,16.0
2006-09-03 00:00:00+00:00,17.2,16.0
2006-09-04 00:00:00+00:00,18.4,16.6
2006-09-05 00:00:00+00:00,18.6,16.9
2006-09-06 00:00:00+00:00,18.6,17.0
2006-09-07 00:00:00+00:00,18.8,17.1
2006-09-08 00:00:00+00:00,18.6,17.1
2006-09-09 00:00:00+00:00,18.1,16.9
2006-09-10 00:00:00+00:00,17.8,16.2
2006-09-11 00:00:00+00:00,17.6,16.2
2006-09-12 00:00:00+00:00,18.1,16.7
2006-09-13 00:00:00+00:00,17.5,16.6
2006-09-14 00:00:00+00:00,15.9,14.8
2006-09-15 00:00:00+00:00,16.1,14.9
2006-09-16 00:00:00+00:00,16.4,14.9
2006-09-17 00:00:00+00:00,16.2,15.1
2006-09-18 00:00:00+00:00,16.5,15.5
2006-09-19 00:00:00+00:00,16.2,15.3
2006-09-20 00:00:00+00:00,15.6,14.7
2006-09-21 00:00:00+00:00,15.7,14.6
2006-09-22 00:00:00+00:00,16.1,14.6
2006-09-23 00:00:00+00:00,16.2,14.8
2006-09-24 00:00:00+00:00,16.5,15.1
2006-09-25 00:00:00+00:00,16.8,15.4
2006-09-26 00:00:00+00:00,16.8,15.5
2006-09-27 00:00:00+00:00,17.2,15.8
2006-09-28 00:00:00+00:00,17.3,16.0
2006-09-29 00:00:00+00:00,17.0,15.8
2006-09-30 00:00:00+00:00,16.5,15.3
2006-10-01 00:00:00+00:00,15.7,14.8
2006-10-02 00:00:00+00:00,15.9,14.7
2006-10-03 00:00:00+00:00,15.3,14.5
2006-10-04 00:00:00+00:00,14.9,14.6
2006-10-05 00:00:00+00:00,15.4,14.5
2006-10-06 00:00:00+00:00,15.6,14.4
2006-10-07 00:00:00+00:00,15.4,14.3
2006-10-08 00:00:00+00:00,15.1,14.2
2006-10-09 00:00:00+00:00,14.8,13.9
2006-10-10 00:00:00+00:00,14.5,13.1
2006-10-11 00:00:00+00:00,14.8,13.4
2006-10-12 00:00:00+00:00,14.6,13.5
2006-10-13 00:00:00+00:00,14.8,13.6
2006-10-14 00:00:00+00:00,14.8,13.7
2006-10-15 00:00:00+00:00,14.3,13.9
2006-10-16 00:00:00+00:00,14.3,13.5
2006-10-17 00:00:00+00:00,15.1,14.1
2006-10-18 00:00:00+00:00,14.3,13.6
2006-10-19 00:00:00+00:00,14.8,13.8
2006-10-20 00:00:00+00:00,14.5,13.4
2006-10-21 00:00:00+00:00,14.0,12.9
2006-10-22 00:00:00+00:00,14.0,12.7
2006-10-23 00:00:00+00:00,14.0,12.9
2006-10-24 00:00:00+00:00,13.5,12.7
2006-10-25 00:00:00+00:00,13.8,12.6
2006-10-26 00:00:00+00:00,13.7,12.7
2006-10-27 00:00:00+00:00,14.2,13.0
2006-10-28 00:00:00+00:00,14.0,12.9
2006-10-29 00:00:00+00:00,13.2,12.3
2006-10-30 00:00:00+00:00,13.1,12.0
2006-10-31 00:00:00+00:00,12.5,11.4
2006-11-01 00:00:00+00:00,12.3,11.3
2006-11-02 00:00:00+00:00,12.5,12.1
2006-11-03 00:00:00+00:00,12.9,12.6
2006-11-04 00:00:00+00:00,13.7,12.8
2006-11-05 00:00:00+00:00,14.0,13.5
2006-11-06 00:00:00+00:00,15.1,14.5
2006-11-07 00:00:00+00:00,15.4,14.7
2006-11-08 00:00:00+00:00,13.8,13.1
2006-11-09 00:00:00+00:00,13.5,12.9
2006-11-10 00:00:00+00:00,13.1,12.6
2006-11-11 00:00:00+00:00,12.9,12.3
2006-11-12 00:00:00+00:00,12.6,12.1
2006-11-13 00:00:00+00:00,12.9,12.2
2006-11-14 00:00:00+00:00,13.1,12.2
2006-11-15 00:00:00+00:00,13.2,12.6
2006-11-16 00:00:00+00:00,12.9,12.2
2006-11-17 00:00:00+00:00,12.8,11.9
2006-11-18 00:00:00+00:00,12.3,11.5
2006-11-19 00:00:00+00:00,12.6,12.0
2006-11-20 00:00:00+00:00,12.9,12.2
2006-11-21 00:00:00+00:00,12.0,11.6
2006-11-22 00:00:00+00:00,12.5,11.8
2006-11-23 00:00:00+00:00,11.8,11.3
2006-11-24 00:00:00+00:00,12.3,11.6
2006-11-25 00:00:00+00:00,11.5,10.9
2006-11-26 00:00:00+00:00,11.2,10.7
2006-11-27 00:00:00+00:00,11.2,10.4
2006-11-28 00:00:00+00:00,10.1,9.8
2006-11-29 00:00:00+00:00,9.8,9.4
2006-11-30 00:00:00+00:00,9.3,8.9
2006-12-01 00:00:00+00:00,8.9,8.1
2006-12-02 00:00:00+00:00,8.6,7.8
2006-12-03 00:00:00+00:00,8.1,7.7
2006-12-04 00:00:00+00:00,8.3,7.4
2006-12-05 00:00:00+00:00,8.4,7.5
