date,total avg discharge (m3/d),wse(m),storage(m3)
1993-10-24,5627.114495999999,940.44516,11815443.246000001
1993-10-25,5871.771648,940.448208,11821265.2716
1993-10-26,5627.114495999999,940.448208,11821265.2716
1993-10-27,5382.457344,940.4543040000001,11832921.6576
1993-10-28,5382.457344,940.4543040000001,11832921.6576
1993-10-29,4893.14304,940.4695440000002,11862130.464
1993-10-30,5382.457344,940.4756400000001,11873836.1892
1993-10-31,5382.457344,940.4756400000001,11873836.1892
1993-11-01,5137.800192,940.448208,11821265.2716
1993-11-02,5137.800192,940.4543040000001,11832921.6576
1993-11-03,5382.457344,940.451256,11827099.632
1993-11-04,5382.457344,940.4604,11844602.713200001
1993-11-05,5382.457344,940.466496,11856296.1036
1993-11-06,5382.457344,940.4695440000002,11862130.464
1993-11-07,5627.114495999999,940.4695440000002,11862130.464
1993-11-08,5627.114495999999,940.4725920000001,11867989.493999999
1993-11-09,5627.114495999999,940.4725920000001,11867989.493999999
1993-11-10,5382.457344,940.484784,11891413.2792
1993-11-11,5137.800192,940.4939280000001,11909015.0388
1993-11-12,5137.800192,940.500024,11920609.750799999
1993-11-13,5137.800192,940.509168,11938260.8496
1993-11-14,5137.800192,940.5122160000001,11944144.549200002
1993-11-15,4893.14304,940.5122160000001,11944144.549200002
1993-11-16,4893.14304,940.518312,11955924.2832
1993-11-17,4893.14304,940.5457440000001,12009099.606
1993-11-18,4893.14304,940.554888,12026874.052800002
1993-11-19,4893.14304,940.557936,12032807.0916
1993-11-20,4893.14304,940.5640320000001,12044673.169200001
1993-11-21,4893.14304,940.5640320000001,12044673.169200001
1993-11-22,4893.14304,940.56708,12050606.208
1993-11-23,4893.14304,940.5701280000001,12056551.581600001
1993-11-24,5382.457344,940.573176,12062496.9552
1993-11-25,5382.457344,940.573176,12062496.9552
1993-11-26,5382.457344,940.5823200000001,12080209.728
1993-11-27,5627.114495999999,940.5823200000001,12080209.728
1993-11-28,5627.114495999999,940.5792720000001,12074252.0196
1993-11-29,5137.800192,940.5792720000001,12074252.0196
1993-11-30,4893.14304,940.5792720000001,12074252.0196
1993-12-01,4893.14304,940.5792720000001,12074252.0196
1993-12-02,4893.14304,940.5792720000001,12074252.0196
1993-12-03,4893.14304,940.5792720000001,12074252.0196
1993-12-04,4648.485888,940.5792720000001,12074252.0196
1993-12-05,4648.485888,940.5792720000001,12074252.0196
1993-12-06,4893.14304,940.5792720000001,12074252.0196
1993-12-07,4893.14304,940.5792720000001,12074252.0196
1993-12-08,22753.115136,940.7865360000001,12479487.204
1993-12-09,48931.4304,940.7926320000001,12491587.642800001
1993-12-10,51378.00192,940.789584,12485543.590799998
1993-12-11,51378.00192,940.7956800000001,12497631.6948
1993-12-12,48931.4304,940.7987280000001,12503688.081600001
1993-12-13,48931.4304,940.7987280000001,12503688.081600001
1993-12-14,51378.00192,940.7926320000001,12491587.642800001
1993-12-15,88076.57472,940.7743440000002,12455335.6656
1993-12-16,173706.57792,940.713384,12335392.0704
1993-12-17,277857.12752639997,940.5823200000001,12080209.728
1993-12-18,317246.9289984,940.42992,11786345.4528
1993-12-19,317246.9289984,940.2775200000001,11498253.864
1993-12-20,395708.47764480003,940.073304,11116084.7556
1993-12-21,513608.7591936,939.8142240000001,10642601.1228
1993-12-22,620205.88032,939.463704,10020816.1896
1993-12-23,649809.3957120001,939.0918480000001,9384451.5228
1993-12-24,635619.280896,938.6956080000001,8728758.2244
1993-12-25,619716.566016,938.3176559999999,8128139.808
1993-12-26,607239.051264,937.933608,7540102.8876
1993-12-27,592559.6221439999,937.5526080000001,6979609.5756
1993-12-28,579837.45024,937.162464,6426085.425600001
