date,avg gain (m3/d),computed flow(m3/d),wse(m),storage(m3)
1982-02-10,4504456.2226176,5801139.1282176,1700.6498880000001,799675642.5888001
1982-02-11,3968510.2654464,5265193.1710464,1700.695608,801760310.1324
1982-02-12,4533839.5465728,5830522.4521728,1700.75352,804410281.5600001
1982-02-13,4855588.167168,6152271.072768,1700.823624,807553262.6088
1982-02-14,6311102.4958464,7607785.4014464,1700.930304,812274098.9388001
1982-02-15,5966307.1715327995,7262990.0771328,1701.0247920000002,816478884.2412
1982-02-16,6783535.4563584,8080218.3619584,1701.137568,821525359.2911999
1982-02-17,6502277.5944192,7798960.5000192,1701.2472960000002,826461820.26
1982-02-18,6132820.829183999,7417270.877184,1701.3478800000003,831016605.5124
1982-02-19,6071362.9526015995,7355813.0006016,1701.4240800000002,834482375.9424
1982-02-20,5328143.456256,6612593.504256001,1701.4606560000002,836152890.2412
1982-02-21,5540701.589913599,6825151.6379136,1701.5002800000002,837962553.4188001
1982-02-22,7225777.724313599,8510227.772313599,1701.5764800000002,841457310.6288
1982-02-23,5833727.460863999,7118177.5088639995,1701.6222,843560011.65
1982-02-24,5202830.0630016,6670772.9750016,1701.661824,845386561.1688001
1982-02-25,4264300.7622144,6003813.112934399,1701.658776,845249496.8712
1982-02-26,4915260.0465408,6657218.9687808,1701.6679199999999,845667954.9612
1982-02-27,5229668.952576,6971627.874816,1701.68316,846376354.86
1982-02-28,4917413.0294784,6659371.9517184,1701.692304,846796971.54
1982-03-01,5837715.3724416,7579674.294681599,1701.68316,846376354.86
1982-03-02,5574390.879744,7316349.801983999,1701.6679199999999,845667954.9612
1982-03-03,5631224.7361536,7373183.658393599,1701.616104,843279320.9411999
1982-03-04,5730359.8141439995,7535929.595903999,1701.4850400000003,837261246.03
1982-03-05,5331397.3963776,7474594.047897601,1701.289968,828392759.1911999
1982-03-06,5101908.987801599,7487316.2198016,1701.0948960000003,819610381.5912
1982-03-07,5455047.1209984,7840454.3529984,1700.896776,810789692.1024001
1982-03-08,5368683.1463423995,7754090.378342399,1700.695608,801760310.1324
1982-03-09,5246158.8446208,7631566.0766207995,1700.4913920000001,792486082.3824
1982-03-10,5767988.0841216,8182754.1743616,1700.2932720000001,783591766.4724001
1982-03-11,5756782.78656,9059654.33856,1700.119536,775867936.7388
1982-03-12,5911283.778048,9532209.627648,1699.9518960000003,768494353.6511999
1982-03-13,5114215.2425472,8735141.0921472,1699.765968,760397100.1824
1982-03-14,5480124.4790784,9101050.3286784,1699.586136,752641286.3124
1982-03-15,5942502.0306432,9563427.880243199,1699.4093520000001,745103181.6624
1982-03-16,5580433.911398401,9201359.7609984,1699.2264720000003,737300877.9311999
1982-03-17,5379154.472448,9000080.322048001,1699.0100640000003,727780410.5688001
1982-03-18,5874462.876672,9495388.726272,1698.71136,714840748.9812
1982-03-19,5925645.1528704,10158213.882470401,1698.4218,702514965.72
1982-03-20,5727668.585472,10449551.619072001,1698.1352880000002,690529474.9211999
1982-03-21,5284594.4832,10006477.5168,1697.833536,678125365.6800001
1982-03-22,4773628.021248,9471045.339648,1697.5256880000002,665210287.3488001
1982-03-23,4789359.4761216,9486776.7945216,1697.2178400000003,652310948.2224001
1982-03-24,5255651.5421184,9928603.1453184,1697.0044800000003,643523278.9932001
1982-03-25,5236421.4899712,9884907.3779712,1696.663104,629700902.1132001
1982-03-26,5483623.076351999,10132108.964352,1696.276008,614388678.75
1982-03-27,5048549.2629504,9697035.1509504,1695.730416,592280288.9568
1982-03-28,5657794.502860799,10306280.3908608,1695.133008,568823890.5455999
1982-03-29,6566842.616831999,11215328.504832001,1694.5386480000002,546031881.4668
1982-03-30,5367239.669145601,10015725.557145601,1693.9229520000001,522284924.5068
1982-03-31,5890732.57728,10514752.75008,1693.28592,498792335.7924
1982-04-01,5327385.019084799,9926939.4766848,1692.6458400000001,474956605.2768
1982-04-02,7061906.363903999,11661460.821503999,1692.0240480000002,452610721.2444
1982-04-03,6420341.9142144,12145319.2710144,1691.4114000000002,430993367.5044
1982-04-04,5535050.009702399,11993998.822502399,1690.78656,408980029.68
1982-04-05,5419425.0396672,11878373.8524672,1690.295832,392478188.8656
1982-04-06,5819023.5660288,12253506.663628798,1690.042848,384009226.1988
1982-04-07,4940851.18464,11350868.56704,1689.7746240000001,374662112.1156
1982-04-08,5010627.4043904,11396179.071590401,1689.497256,365237979.5412
1982-04-09,5290759.8434304,11627380.0802304,1689.222936,356142914.7612
1982-04-10,5110545.3852672,11422699.906867199,1688.9394720000003,346989950.43
1982-04-11,6904983.2666112,13192672.0730112,1688.707824,339680347.95
1982-04-12,9138580.7357952,15401803.8269952,1688.451792,331325950.90559995
1982-04-13,8477981.95968,14741205.05088,1687.939728,314506390.3128
1982-04-14,9451374.9046272,15690132.280627199,1687.4307119999999,298635758.2188
1982-04-15,9932786.7826176,16171544.1586176,1686.9277920000002,283246541.034
1982-04-16,8351274.0206592,14541099.9662592,1686.385248,266226885.3156
1982-04-17,8483119.759871999,15847300.035072,1685.8609920000001,250758084.00120002
1982-04-18,8246291.636736,17176277.684736,1685.37636,236618234.0388
1982-04-19,6872933.1796992,15778453.5124992,1684.855152,221080592.2056
1982-04-20,7530082.2899712,16386671.1923712,1684.318704,206151142.356
1982-04-21,7458128.621568,17733729.005567998,1683.827976,192568776.0144
1982-04-22,7668729.4980096,18115589.8884096,1683.361632,179368245.7416
1982-04-23,10374735.461990401,20748198.706790403,1682.9532000000002,168555683.4096
1982-04-24,13468058.1633024,23768124.262502402,1682.642304,160763037.82680002
1982-04-25,16121144.785305599,26347813.7389056,1682.4472320000002,155794740.7392
1982-04-26,18162515.1301632,28315786.9381632,1682.3344560000003,152549750.8944
1982-04-27,20305124.6045184,30360533.5517184,1682.3009279999999,151594173.9384
1982-04-28,22439317.8728448,32445795.389644798,1682.3405520000001,152723856.5964
1982-04-29,27764280.7861248,37672895.4421248,1682.5020960000002,157368044.4792
1982-04-30,26720769.101414397,36604918.0422144,1682.5996320000002,159720969.2532
1982-05-01,27999885.6235008,37810637.4187008,1682.7246,162790274.54160002
1982-05-02,32476304.136499196,42238124.501299195,1683.0202560000002,170287082.2812
1982-05-03,39095234.260992,48832588.910592,1683.498792,183155054.0112
1982-05-04,39376614.4515072,49040571.955507204,1683.8858880000003,194273753.7444
1982-05-05,33976761.984,43616253.7728,1684.047432,198989520.47160003
1982-05-06,30396253.495910402,40011279.5695104,1684.0901039999999,200100306.21600002
1982-05-07,30810922.9028352,39912168.9572352,1684.184592,202579934.05560002
1982-05-08,32208331.1579136,40355414.3195136,1684.2394560000002,204034860.72
1982-05-09,32402858.059468802,40525475.50586879,1684.300416,205659834.9372
1982-05-10,31841687.9499264,39964305.3963264,1684.34004,206723649.76319999
1982-05-11,29658807.908352,37022988.183552,1684.260792,204601496.7624
1982-05-12,26243027.080704,32579647.317504,1684.02,198280651.85040003
1982-05-13,26160724.4147712,31053867.4547712,1683.754824,190434053.8524
1982-05-14,29084206.1211648,33414637.711564798,1683.5628000000002,184948200.8916
1982-05-15,33005693.2819968,37360590.5875968,1683.507936,183408324.4596
1982-05-16,37179103.9122432,41558466.9330432,1683.6024240000002,186066301.1724
1982-05-17,41560986.9017088,45940349.9225088,1683.8462640000002,193106153.91120002
1982-05-18,44813728.203264,50073856.971264005,1684.2394560000002,204034860.72
1982-05-19,45539112.193228796,51410883.8412288,1684.687512,216300610.50959998
1982-05-20,42932950.8129792,48829188.1761792,1685.031936,226229285.7432
1982-05-21,42815221.7914368,49249704.8890368,1685.367216,236333842.89000002
1982-05-22,44114889.514291205,51307809.7830912,1685.7817440000001,248496498.4212
1982-05-23,48112611.8436864,55305532.1124864,1686.3334320000001,264656874.9672
1982-05-24,51880527.710208006,59073447.979008004,1686.97656,284829823.6272
1982-05-25,52693988.2748928,60547482.8540928,1687.6776,306232144.7988
1982-05-26,57617052.8845824,66302381.7805824,1688.512752,333389365.5888
1982-05-27,67079339.49818879,76351845.5589888,1689.6557520000001,370596056.3088
1982-05-28,57537514.8444672,67201472.3484672,1690.4817600000001,398652373.0056
1982-05-29,53078002.140672,62864288.220672,1691.1706080000001,422371502.6568
1982-05-30,44740771.4405376,55970534.7173376,1691.6430480000001,439441546.0332
1982-05-31,38157341.0688,50365732.9536,1691.97528,450906791.9724
1982-06-01,39553501.5724032,51664030.5964032,1692.301416,462447033.4956
1982-06-02,40466195.0779392,53726612.7163392,1692.6488880000002,475071232.57320005
1982-06-03,39363769.9510272,56147250.5782272,1693.051224,490116074.47679996
1982-06-04,38950544.0212992,55636161.7876992,1693.447464,504649823.94240004
1982-06-05,39307621.1346432,55870910.3250432,1693.846752,519418316.98679996
1982-06-06,38044945.5731712,54534837.617971204,1694.20032,532850753.83440006
1982-06-07,35674951.7417472,52091446.6409472,1694.5325520000001,545797051.5444001
1982-06-08,34758833.0360832,50441356.4792832,1694.9348880000002,561252444.9312
1982-06-09,32789220.633907203,47199526.8867072,1695.309792,575667891.33
1982-06-10,31767874.887167998,46104783.994368,1695.666408,589722581.8332001
1982-06-11,32591415.3265152,45509312.95211519,1696.0717920000002,606117689.6232
1982-06-12,35791726.6003968,46972558.4467968,1696.550328,625199316.8532001
1982-06-13,40748235.8427648,50094139.0491648,1697.098968,647402536.5888001
1982-06-14,47524113.5302656,55891388.128665596,1697.7664800000002,675403001.3111999
1982-06-15,48995065.725235194,57435737.4692352,1698.4736160000002,704703159.24
1982-06-16,52003394.5319424,58976123.3639424,1699.186848,735543711.6624
1982-06-17,54235108.141055994,58174088.288256,1699.890936,765826879.1424
1982-06-18,58411699.314278394,60770194.259558395,1700.6285520000001,798706127.3088001
1982-06-19,59211434.612735994,61587055.558656,1701.37836,832402259.94
1982-06-20,55836364.7351808,58224218.538700804,1702.0336800000002,862735543.7124
1982-06-21,61493400.8008704,63917953.1771904,1702.798728,898762558.83
1982-06-22,64934307.918028794,67380879.4380288,1703.612544,938252495.0388001
1982-06-23,63291777.66236161,65618467.177881606,1704.3714960000002,975980022.6888001
1982-06-24,64710348.761088006,67068843.706368,1705.087776,1012711367.2212
1982-06-25,67950808.2736128,72158911.2880128,1705.877208,1054288117.2288
1982-06-26,65500004.1848832,71298378.6872832,1706.572152,1092068462.4924
1982-06-27,65558036.8613376,71698931.3765376,1707.254904,1130004670.2888
1982-06-28,65327692.1527296,74918252.5111296,1707.9437520000001,1169202974.8212
1982-06-29,66360414.4570368,77467849.1578368,1708.6386960000002,1209727566.3888001
1982-06-30,65888030.427955195,77117793.7047552,1709.2482960000002,1245742949.79
1982-07-01,64249243.4267136,75601335.2795136,1709.799984,1279263237.5124
1982-07-02,61789313.6262144,73728582.6438144,1710.299856,1309687478.1
1982-07-03,55618546.47275519,68242855.5159552,1710.7082880000003,1334870674.5024
1982-07-04,51566657.0499072,64851540.4035072,1711.0710000000001,1357641171.69
1982-07-05,50752609.3080576,64061958.3768576,1711.415424,1379622093.66
1982-07-06,46458289.1132928,59792103.8972928,1711.662312,1395131254.44
1982-07-07,41233513.3037568,55276833.8285568,1711.805568,1404167889.2724
1982-07-08,39273736.1190912,53121330.922291204,1711.948824,1413250927.6223998
1982-07-09,44164530.450431995,56911168.069631994,1712.1804720000002,1428081057.6623998
1982-07-10,44094142.587801605,57501354.517401606,1712.415168,1443256710.1200001
1982-07-11,41241391.2640512,56703723.2704512,1712.598048,1455188162.16
1982-07-12,39773888.7349248,56263780.77972481,1712.7504480000002,1465211729.01
1982-07-13,39541684.6319616,55493330.9423616,1712.875416,1473486221.22
1982-07-14,38477401.5550464,52251599.212646395,1712.936376,1477540361.6100001
1982-07-15,39376174.0686336,50801663.0670336,1712.96076,1479165940.2324
1982-07-16,39146930.3172096,50352227.8788096,1712.9638080000002,1479363445.05
1982-07-17,37960759.047168,50364876.653568,1712.9668560000002,1479573605.3723998
1982-07-18,35233859.362406395,48690002.7224064,1712.948568,1478353533.3
1982-07-19,30758443.9437312,43872067.2909312,1712.96076,1479165940.2324
1982-07-20,32034282.059980802,42114156.7223808,1712.976,1480177702.2024
1982-07-21,30836293.849497598,40451319.9230976,1712.969904,1479771270.5424
1982-07-22,30090896.9044992,38947485.8068992,1712.9668560000002,1479573605.3723998
1982-07-23,30621142.3500288,39453265.5372288,1712.9790480000001,1480371050.1924
1982-07-24,31906375.3009152,40738498.4881152,1713.0034320000002,1481964397.9824
1982-07-25,31844966.3557632,40726020.9733632,1713.012576,1482566644.5923998
1982-07-26,31129784.5690368,40010839.1866368,1713.0034320000002,1481964397.9824
1982-07-27,29038161.6451584,37894750.5475584,1712.972952,1479980037.0324
1982-07-28,27474826.9095936,35352787.2039936,1712.94552,1478144927.1623998
1982-07-29,30797564.622335996,37672430.593536,1712.9638080000002,1479363445.05
1982-07-30,30058333.037568,36664076.141568,1712.9668560000002,1479573605.3723998
1982-07-31,26612116.860211197,33193394.2490112,1712.936376,1477536352.8
1982-08-01,24930465.9259392,31487277.599539198,1712.924184,1476728892.1223998
1982-08-02,23717675.95776,29687310.46656,1712.9180880000001,1476323385.5723999
1982-08-03,23442828.113203198,28678491.166003197,1712.896752,1474909040.4
1982-08-04,21473900.751052797,26146852.354252797,1712.8632240000002,1472675676.8423998
1982-08-05,20181499.345612798,24389602.3600128,1712.851032,1471865588.8523998
1982-08-06,19424750.3087616,23314799.0255616,1712.8388400000001,1471057190.73
1982-08-07,18028345.1480064,21747133.8584064,1712.820552,1469855472.84
1982-08-08,18264439.2996864,21860899.434086397,1712.805312,1468840935.54
1982-08-09,18077814.8241408,21356220.660940804,1712.7900720000002,1467835501.3223999
1982-08-10,17988392.6350848,21413592.7630848,1712.79312,1468037323.32
1982-08-11,16446612.194611201,20263263.765811197,1712.796168,1468238688.93
1982-08-12,16050781.388390401,20601404.4155904,1712.811408,1469243050.02
1982-08-13,15488118.870220799,20381261.9102208,1712.8236000000002,1470051756.5124
1982-08-14,15538249.120665599,21189829.3318656,1712.847984,1471668996.81
1982-08-15,14215901.6798208,20381261.9102208,1712.8601760000001,1472477703.3023999
1982-08-16,14622350.6064384,20787710.836838398,1712.8784640000001,1473692829.1200001
1982-08-17,13984382.6168832,20174208.5624832,1712.887608,1474294458.99
1982-08-18,13206470.736383999,19396296.681984,1712.88456,1474093710.1200001
1982-08-19,13672249.022361599,19372760.6639616,1712.881512,1473893886.3600001
1982-08-20,14209247.0052864,19371512.9124864,1712.8784640000001,1473692829.1200001
1982-08-21,13013191.586304,18150991.778304,1712.8571279999999,1472271243.42
1982-08-22,13220709.7826304,18334044.2594304,1712.8388400000001,1471057190.73
1982-08-23,12509956.2903552,17623290.7671552,1712.814456,1469450435.0124
1982-08-24,12085867.5830784,17199202.0598784,1712.7900720000002,1467835501.3223999
1982-08-25,11792376.8635392,16905711.3403392,1712.77788,1467028028.31
1982-08-26,11319479.0544384,16432813.5312384,1712.759592,1465821068.13
1982-08-27,11720276.4008448,16613419.440844798,1712.744352,1464819174.0
1982-08-28,10904858.578944,15651207.327744,1712.7138720000003,1462806134.64
1982-08-29,11262816.4580352,15984699.4916352,1712.6894880000002,1461199995.6623998
1982-08-30,12490701.7724928,17212584.8060928,1712.6833920000001,1460797264.4424
1982-08-31,12498163.815628799,17220046.8492288,1712.698632,1461796531.26
1982-09-01,11607318.193766398,16329201.227366399,1712.7016800000001,1462002830.79
1982-09-02,11425488.998399999,16147372.032,1712.7016800000001,1462002830.79
1982-09-03,11268125.518233601,15990008.5518336,1712.698632,1461796531.26
1982-09-04,10710062.5545216,15407479.8729216,1712.6772960000003,1460396075.0723999
1982-09-05,10359811.3757184,15057228.6941184,1712.6498640000002,1458596427.7524
1982-09-06,9999700.5136896,14697117.8320896,1712.616336,1456387721.46
1982-09-07,10363358.904422399,15060776.2228224,1712.588904,1454591626.5623999
1982-09-08,9993730.8791808,14666682.4823808,1712.555376,1452401422.47
1982-09-09,9696814.959513599,14345300.847513601,1712.543184,1451602435.8
1982-09-10,10029034.906214401,14677520.7942144,1712.5462320000001,1451796252.5124
1982-09-11,10064583.5904,14713069.4784,1712.5492800000002,1452001158.21
1982-09-12,10780205.76,15404225.9328,1712.5462320000001,1451796252.5124
1982-09-13,11034037.5552,15658057.728,1712.5462320000001,1451796252.5124
1982-09-14,11833185.676492801,16457205.8492928,1712.558424,1452595387.2
1982-09-15,11408607.654912,16008162.112512,1712.56452,1452994417.98
1982-09-16,11613826.0740096,16213380.531609599,1712.5736640000002,1453598675.1623998
1982-09-17,11245543.663104,15845098.120703999,1712.5858560000001,1454397353.4624
1982-09-18,10854483.671347199,15429572.413747199,1712.6010960000003,1455392155.0823998
1982-09-19,10685303.2507392,15260391.9931392,1712.6132880000002,1456193300.3423998
1982-09-20,10284114.452889599,14859203.195289599,1712.619384,1456593256.2324
1982-09-21,10680972.8191488,15256061.5615488,1712.598048,1455188162.16
1982-09-22,9892687.475404799,14443310.5026048,1712.561472,1452799071.7524
1982-09-23,9912675.9647232,14463298.9919232,1712.5248960000001,1450405503.8123999
1982-09-24,9518900.2785792,14069523.3057792,1712.482224,1447618147.3823998
1982-09-25,10123912.94976,14674535.97696,1712.4486960000002,1445435812.8923998
1982-09-26,13649324.6472192,18175481.9592192,1712.476128,1447219264.6200001
1982-09-27,13924368.2174976,18450525.5294976,1712.500512,1448812920.78
1982-09-28,15335354.944512,19837046.541312,1712.5188,1450007089.7724
1982-09-29,14049608.213606399,19211874.1208064,1712.527944,1450600541.67
1982-09-30,14708200.8010752,20310849.5818752,1712.552328,1452195122.94
1982-10-01,14092129.626624,19694778.407424,1712.567568,1453198102.5324
1982-10-02,13015393.500672001,18911630.863872,1712.5706160000002,1453393448.76
1982-10-03,12756130.3166976,18872559.1166976,1712.5736640000002,1453598675.1623998
1982-10-04,11171828.4632064,17288257.2632064,1712.552328,1452195122.94
1982-10-05,12351565.250150401,16926653.9925504,1712.5248960000001,1450405503.8123999
1982-10-06,11580528.2356224,14785536.9268224,1712.463936,1446425828.6100001
1982-10-07,11650426.7839488,13986902.5855488,1712.3907840000002,1441671996.69
1982-10-08,11497980.9125376,13721914.4242176,1712.311536,1436530852.05
1982-10-09,11183914.5265152,13329557.7495552,1712.226192,1431021822.0
1982-10-10,10800928.220774401,12760632.0082944,1712.131704,1424943849.3
1982-10-11,10296714.2962176,12256418.0837376,1712.1012240000002,1422985699.8
1982-10-12,9814715.241062399,11774419.0285824,1712.1042720000003,1423187842.5024
1982-10-13,10031334.6834432,11758614.1765632,1712.146944,1425918606.8700001
1982-10-14,10058369.2987392,11609495.6424192,1712.2140000000002,1430237328.72
1982-10-15,10007382.7482624,11546276.2343424,1712.2810560000003,1434566226.78
1982-10-16,10013719.3684992,11552612.8545792,1712.348112,1438901452.5923998
1982-10-17,9831474.255974399,11370367.742054401,1712.41212,1443054419.4
1982-10-18,9445845.652991999,10984739.139072001,1712.4700320000002,1446821775.69
1982-10-19,9844490.0164608,11368704.0734208,1712.5340400000002,1450997574.2124
1982-10-20,9506055.7780992,11018036.9774592,1712.591952,1454798234.4624
1982-10-21,9077171.7906432,10589152.9900032,1712.6437680000001,1458194461.29
1982-10-22,9808892.4008448,11320873.6002048,1712.7016800000001,1462297940.88
1982-10-23,9283735.8240768,10795717.0234368,1712.756544,1465876266.3600001
1982-10-24,9047715.069542399,10559696.2689024,1712.811408,1469243050.02
1982-10-25,9530374.699008,11054588.755967999,1712.86932,1473080258.2824
1982-10-26,10591134.7129344,12130028.199014401,1712.8998000000001,1475105940.8123999
1982-10-27,9704766.3169536,11243659.8030336,1712.9058960000002,1475511287.01
1982-10-28,10062577.4017536,11601470.8878336,1712.9180880000001,1476323385.5723999
1982-10-29,9778334.72256,11317228.20864,1712.924184,1476728892.1223998
1982-10-30,10822531.447296001,12373657.790976001,1712.9424720000002,1477946176.53
1982-10-31,10382760.216576,11933886.560256,1712.951616,1478552431.95
1982-11-01,9947759.80032,11498886.144,1712.951616,1478552431.95
1982-11-02,9493920.78336,11125783.9872,1712.9394240000001,1477738951.89
1982-11-03,9077147.324928,10978133.395968,1712.924184,1476728892.1223998
1982-11-04,8638232.39424,10539218.46528,1712.9028480000002,1475304370.74
1982-11-05,8880565.303296,10781551.374336,1712.88456,1474097718.93
1982-11-06,8640703.4314752,10541689.5025152,1712.8632240000002,1472675676.8423998
1982-11-07,8897324.318208,10798310.389247999,1712.844936,1471461315.7824
1982-11-08,8838753.3960192,10739739.4670592,1712.8418880000002,1471264884.0923998
1982-11-09,9015616.0512,10813846.1184,1712.8418880000002,1471264884.0923998
1982-11-10,9000667.4992128,10409892.6947328,1712.835792,1470860919.3923998
1982-11-11,8240737.9193856,9649963.1149056,1712.8175039999999,1469648100.1824
1982-11-12,9024032.2572288,10433257.4527488,1712.811408,1469243050.02
1982-11-13,7938586.336665601,9347811.532185601,1712.7992160000001,1468437587.58
1982-11-14,8253680.2827264005,9675138.3358464,1712.79312,1468032858.1223998
1982-11-15,7447901.9526144,8869360.005734399,1712.774832,1466822345.52
1982-11-16,7582781.440512,8992006.636032,1712.7656880000002,1466223799.35
1982-11-17,7866681.599692799,9212295.9356928,1712.759592,1465821068.13
1982-11-18,8975394.4154112,10164428.174131202,1712.780928,1467226778.9424
1982-11-19,9573727.9463424,10750528.847462399,1712.811408,1469243050.02
1982-11-20,8525225.255731199,9702026.1568512,1712.8175039999999,1469648100.1824
1982-11-21,8572762.1403648,9749563.0414848,1712.8236000000002,1470051756.5124
1982-11-22,7972813.872230399,9149614.773350399,1712.820552,1469855472.84
1982-11-23,7751815.0668288,8940848.8255488,1712.814456,1469450435.0124
1982-11-24,6541936.5187584,7730970.2774784,1712.7900720000002,1467835501.3223999
1982-11-25,6569631.7083648,7758665.467084799,1712.7656880000002,1466223799.35
1982-11-26,7169261.9222016,8358295.680921599,1712.7504480000002,1465211729.01
1982-11-27,6652325.8257408,7841359.5844608,1712.741304,1464612418.0823998
1982-11-28,7178240.83968,8367274.5984,1712.741304,1464612418.0823998
1982-11-29,8337964.6715904,9526998.4303104,1712.759592,1465821068.13
1982-11-30,8142826.127155201,9344092.7434752,1712.774832,1466822345.52
1982-12-01,8400988.3539456,9602254.9702656,1712.79312,1468032858.1223998
1982-12-02,8376204.584448,9577471.200768,1712.811408,1469243050.02
1982-12-03,7597387.4724864,8979700.3812864,1712.820552,1469855472.84
1982-12-04,8291602.1412864,9752205.3387264,1712.8418880000002,1471264884.0923998
1982-12-05,7939956.4167168,9373647.327436801,1712.8571279999999,1472271243.42
1982-12-06,8552064.1453056,9985755.0560256,1712.881512,1473889729.5324
1982-12-07,7572334.5801216,9006025.4908416,1712.8906560000003,1474504002.5723999
1982-12-08,7338638.068531199,8772328.9792512,1712.896752,1474909040.4
1982-12-09,6133285.6777727995,7566976.5884928,1712.8784640000001,1473692829.1200001
1982-12-10,6440942.0464127995,7874632.9571328,1712.8662720000002,1472882124.39
1982-12-11,6444171.5208192,7877862.4315392,1712.8540800000003,1472074663.7124
1982-12-12,5728353.6254976,7162044.5362176,1712.814456,1469450435.0124
1982-12-13,7008424.3104768,8442115.2211968,1712.79312,1468032858.1223998
1982-12-14,7788905.091072,9234828.859392,1712.7839760000002,1467432461.7324
1982-12-15,8183610.4743936,9629534.242713599,1712.780928,1467226778.9424
1982-12-16,8374785.5729664005,9820709.3412864,1712.7839760000002,1467432461.7324
1982-12-17,7767693.3159936,9213617.0843136,1712.780928,1467226778.9424
1982-12-18,7701244.433510399,9147168.2018304,1712.77788,1467028028.31
1982-12-19,7340497.4628864005,8786421.2312064,1712.768736,1466419614.3
1982-12-20,7093271.4107904,8539195.1791104,1712.756544,1465612918.38
1982-12-21,8913594.018816,10359517.787136,1712.771784,1466626530.57
1982-12-22,8341194.145996801,9946145.0631168,1712.780928,1467226778.9424
1982-12-23,7246182.130790399,9147168.2018304,1712.77788,1467028028.31
1982-12-24,7043410.2832128,8944396.3542528,1712.771784,1466626530.57
1982-12-25,7066652.7126528,8967638.7836928,1712.7656880000002,1466223799.35
1982-12-26,5283444.5945856,7184430.6656256,1712.73216,1464013403.19
1982-12-27,7045025.020416,8946011.091456,1712.7138720000003,1462806134.64
1982-12-28,6258134.2224384,8164013.4365184,1712.6620560000001,1459397881.3823998
1982-12-29,4486278.196224,6401943.696384,1712.5492800000002,1452001158.21
1982-12-30,4801127.4851328,6716792.9852928,1712.439552,1444845901.0823998
1982-12-31,5101786.659225601,7017452.1593856,1712.3328720000002,1437917900.31
1983-01-01,4884188.588236799,6799854.088396801,1712.223144,1430821233.4824
1983-01-02,4953059.5765248,6868725.076684799,1712.1134160000001,1423768959.6
1983-01-03,5559075.3420288,7460061.4130688,1712.0128320000001,1417332512.9424
1983-01-04,7386223.8845952,9287209.955635201,1711.9396800000002,1412674275.7224
1983-01-05,8308605.8133504,10209591.8843904,1711.918344,1411311588.6924
