date,avg water temperature (C),min_temp(C),max_temp(C),outflow(m3/d)
1982-06-14,,,,58717.71648
1982-06-15,,,,46484.85888
1982-06-16,,,,39145.14432
1982-06-17,,,,36698.5728
1982-06-18,,,,34252.00128
1982-06-19,,,,29358.85824
1982-06-20,,,,29358.85824
1982-06-21,,,,26912.28672
1982-06-22,,,,24465.7152
1982-06-23,,,,22753.115136
1982-06-24,,,,17126.00064
1982-06-25,,,,19083.257856
1982-06-26,,,,19083.257856
1982-06-27,,,,19083.257856
1982-06-28,,,,24465.7152
1982-06-29,,,,29358.85824
1982-06-30,,,,31805.42976
1982-07-01,,,,29358.85824
1982-07-02,,,,29358.85824
1982-07-03,,,,44038.28736
1982-07-04,,,,51378.00192
1982-07-05,,,,41591.71584
1982-07-06,,,,39145.14432
1982-07-07,,,,44038.28736
1982-07-08,,,,44038.28736
1982-07-09,,,,41591.71584
1982-07-10,,,,36698.5728
1982-07-11,,,,31805.42976
1982-07-12,,,,26912.28672
1982-07-13,,,,22753.115136
1982-07-14,,,,24465.7152
1982-07-15,,,,24465.7152
1982-07-16,,,,20795.85792
1982-07-17,,,,19083.257856
1982-07-18,,,,19083.257856
1982-07-19,,,,15413.400576
1982-07-20,,,,14190.114816
1982-07-21,,,,11498.886144
1982-07-22,,,,11498.886144
1982-07-23,,,,9052.314624
1982-07-24,,,,8318.343168
1982-07-25,,,,3914.514432
1982-07-26,,,,3180.542976
1982-07-27,,,,2201.914368
1982-07-28,,,,2201.914368
1982-07-29,,,,2201.914368
1982-07-30,,,,2201.914368
1982-07-31,,,,2201.914368
1982-08-01,,,,2691.228672
1982-08-02,,,,3180.542976
1982-08-03,,,,2691.228672
1982-08-04,,,,2691.228672
1982-08-05,,,,2691.228672
1982-08-06,,,,2691.228672
1982-08-07,,,,2691.228672
1982-08-08,,,,2201.914368
1982-08-09,,,,1957.257216
1982-08-10,,,,1957.257216
1982-08-11,,,,1957.257216
1982-08-12,,,,1957.257216
1982-08-13,,,,1712.600064
1982-08-14,,,,2201.914368
1982-08-15,,,,2201.914368
1982-08-16,,,,1957.257216
1982-08-17,,,,2201.914368
1982-08-18,,,,2201.914368
1982-08-19,,,,2201.914368
1982-08-20,,,,2201.914368
1982-08-21,,,,2201.914368
1982-08-22,,,,2201.914368
1982-08-23,,,,1957.257216
1982-08-24,,,,1957.257216
1982-08-25,,,,1957.257216
1982-08-26,,,,1957.257216
1982-08-27,,,,1957.257216
1982-08-28,,,,2201.914368
1982-08-29,,,,2201.914368
1982-08-30,,,,2691.228672
1982-08-31,,,,2691.228672
1982-09-01,,,,3180.542976
1982-09-02,,,,2691.228672
1982-09-03,,,,2691.228672
1982-09-04,,,,3180.542976
1982-09-05,,,,2691.228672
1982-09-06,,,,2691.228672
1982-09-07,,,,2201.914368
1982-09-08,,,,2201.914368
1982-09-09,,,,2691.228672
1982-09-10,,,,3180.542976
1982-09-11,,,,3914.514432
1982-09-12,,,,6605.743104
1982-09-13,,,,8318.343168
1982-09-14,,,,9052.314624
1982-09-15,,,,9052.314624
1982-09-16,,,,9052.314624
1982-09-17,,,,9052.314624
1982-09-18,,,,9052.314624
1982-09-19,,,,9052.314624
1982-09-20,,,,11498.886144
1982-09-21,,,,11498.886144
1982-09-22,,,,10275.600384
1982-09-23,,,,10275.600384
1982-09-24,,,,9052.314624
1982-09-25,,,,10275.600384
1982-09-26,,,,14190.114816
1982-09-27,,,,15413.400576
1982-09-28,,,,14190.114816
1982-09-29,,,,19083.257856
1982-09-30,,,,24465.7152
1982-10-01,,,,24465.7152
1982-10-02,,,,22753.115136
1982-10-03,,,,26912.28672
1982-10-04,,,,29358.85824
1982-10-05,,,,29358.85824
1982-10-06,,,,26912.28672
1982-10-07,,,,26912.28672
1982-10-08,,,,29358.85824
1982-10-09,,,,31805.42976
1982-10-10,,,,34252.00128
1982-10-11,,,,34252.00128
1982-10-12,,,,34252.00128
1982-10-13,,,,34252.00128
1982-10-14,,,,34252.00128
1982-10-15,,,,31805.42976
1982-10-16,,,,26912.28672
1982-10-17,,,,26912.28672
1982-10-18,,,,34252.00128
1982-10-19,,,,34252.00128
1982-10-20,,,,36698.5728
1982-10-21,,,,36698.5728
1982-10-22,,,,36698.5728
1982-10-23,,,,36698.5728
1982-10-24,,,,36698.5728
1982-10-25,,,,39145.14432
1982-10-26,,,,44038.28736
1982-10-27,,,,44038.28736
1982-10-28,,,,46484.85888
1982-10-29,,,,349859.72736
1982-10-30,,,,318054.2976
1982-10-31,,,,254443.43808
1982-11-01,,,,198172.29312
1982-11-02,,,,161473.72032
1982-11-03,,,,139454.57663999998
1982-11-04,,,,117435.43296
1982-11-05,,,,107649.14688
1982-11-06,,,,112542.28992
1982-11-07,,,,112542.28992
1982-11-08,,,,112542.28992
1982-11-09,,,,112542.28992
1982-11-10,,,,112542.28992
1982-11-11,,,,112542.28992
1982-11-12,,,,105202.57536
1982-11-13,,,,107649.14688
1982-11-14,,,,105202.57536
1982-11-15,,,,100309.43231999999
1982-11-16,,,,95416.28928
1982-11-17,,,,105202.57536
1982-11-18,,,,112542.28992
1982-11-19,,,,119882.00448
1982-11-20,,,,129668.29056
1982-11-21,,,,149240.86272
1982-11-22,,,,151687.43424
1982-11-23,,,,151687.43424
1982-11-24,,,,149240.86272
1982-11-25,,,,139454.57663999998
1982-11-26,,,,129668.29056
1982-11-27,,,,124775.14752
1982-11-28,,,,134561.4336
1982-11-29,,,,176153.14944
1982-11-30,,,,220191.4368
1982-12-01,,,,225084.57984
1982-12-02,,,,293588.5824
1982-12-03,,,,1259984.3328
1982-12-04,,,,1064258.6112
1982-12-05,,,,807368.6015999999
1982-12-06,,,,1100957.184
1982-12-07,,,,934590.3206399999
1982-12-08,,,,680146.8825599999
1982-12-09,,,,506440.30464
1982-12-10,,,,408577.44384
1982-12-11,,,,337626.86976
1982-12-12,,,,293588.5824
1982-12-13,,,,357199.44192
1982-12-14,,,,415917.1584
1982-12-15,,,,1137655.7568
1982-12-16,,,,1284450.048
1982-12-17,,,,1064258.6112
1982-12-18,,,,748650.88512
1982-12-19,,,,550478.592
1982-12-20,,,,445276.01664
1982-12-21,,,,401237.72927999997
1982-12-22,,,,386558.30016
1982-12-23,,,,357199.44192
1982-12-24,,,,305821.44
1982-12-25,,,,276462.58176
1982-12-26,,,,259336.58112
1982-12-27,,,,237317.43744
1982-12-28,,,,203065.43615999998
1982-12-29,,,,171260.00639999998
1982-12-30,,,,159027.1488
1982-12-31,,,,149240.86272
1983-01-01,,,,149240.86272
1983-01-02,,,,149240.86272
1983-01-03,,,,149240.86272
1983-01-04,,,,171260.00639999998
1983-01-05,,,,738864.59904
1983-01-06,,,,2028207.79008
1983-01-07,,,,2593365.8112
1983-01-08,,,,2015974.93248
1983-01-09,,,,1426351.19616
1983-01-10,,,,1059365.46816
1983-01-11,,,,795135.744
1983-01-12,,,,636108.5952
1983-01-13,,,,523566.30528
1983-01-14,,,,442829.44512
1983-01-15,,,,391451.4432
1983-01-16,,,,354752.8704
1983-01-17,,,,325394.01216
1983-01-18,,,,305821.44
1983-01-19,,,,313161.15456
1983-01-20,,,,420810.30144
1983-01-21,,,,428150.016
1983-01-22,,,,398791.15776
1983-01-23,,,,362092.58496
1983-01-24,,,,354752.8704
1983-01-25,,,,362092.58496
1983-01-26,,,,508886.87616
1983-01-27,,,,574944.3072
1983-01-28,,,,516226.59072
1983-01-29,,,,450169.15968
1983-01-30,,,,398791.15776
1983-01-31,,,,354752.8704
1983-02-01,,,,325394.01216
1983-02-02,,,,300928.29696
1983-02-03,,,,274016.01024
1983-02-04,,,,249550.29504
1983-02-05,,,,220191.4368
1983-02-06,,,,210405.15072
1983-02-07,,,,207958.5792
1983-02-08,,,,205512.00768
1983-02-09,,,,249550.29504
1983-02-10,,,,300928.29696
1983-02-11,,,,420810.30144
1983-02-12,,,,552925.16352
1983-02-13,,,,636108.5952
1983-02-14,,,,694826.31168
1983-02-15,,,,687486.5971199999
1983-02-16,,,,1154781.75744
1983-02-17,,,,1179247.47264
1983-02-18,,,,1441030.62528
1983-02-19,,,,1543786.62912
1983-02-20,,,,1213499.47392
1983-02-21,,,,1000647.75168
1983-02-22,,,,1096064.04096
1983-02-23,,,,1191480.33024
1983-02-24,,,,1059365.46816
1983-02-25,,,,912571.17696
1983-02-26,,,,785349.45792
1983-02-27,,,,643448.30976
1983-02-28,,,,538245.7344
1983-03-01,,,,464848.58879999997
1983-03-02,,,,516226.59072
1983-03-03,,,,530906.01984
1983-03-04,,,,2715694.3871999998
1983-03-05,,,,3033748.6848
1983-03-06,,,,2392746.94656
1983-03-07,,,,1981722.9312
1983-03-08,,,,1834928.64
1983-03-09,,,,1864287.4982399999
1983-03-10,,,,1675901.4912
1983-03-11,,,,1849608.06912
1983-03-12,,,,1937684.64384
1983-03-13,,,,2067352.9344
1983-03-14,,,,1864287.4982399999
1983-03-15,,,,1504641.4848
1983-03-16,,,,1213499.47392
1983-03-17,,,,988414.89408
1983-03-18,,,,804922.0300799999
1983-03-19,,,,653234.59584
1983-03-20,,,,538245.7344
1983-03-21,,,,464848.58879999997
1983-03-22,,,,406130.87231999997
1983-03-23,,,,391451.4432
1983-03-24,,,,354752.8704
1983-03-25,,,,428150.016
1983-03-26,,,,464848.58879999997
1983-03-27,,,,687486.5971199999
1983-03-28,,,,966395.7504
1983-03-29,,,,1012880.60928
1983-03-30,,,,1179247.47264
1983-03-31,,,,1179247.47264
1983-04-01,,,,1083831.18336
1983-04-02,,,,1272217.1904
1983-04-03,,,,1201266.61632
1983-04-04,,,,1071598.32576
1983-04-05,,,,912571.17696
1983-04-06,,,,775563.17184
1983-04-07,,,,653234.59584
1983-04-08,,,,552925.16352
1983-04-09,,,,494207.44704
1983-04-10,,,,442829.44512
1983-04-11,,,,391451.4432
1983-04-12,,,,362092.58496
1983-04-13,,,,330287.1552
1983-04-14,,,,300928.29696
1983-04-15,,,,269122.8672
1983-04-16,,,,254443.43808
1983-04-17,,,,244657.152
1983-04-18,,,,249550.29504
1983-04-19,,,,254443.43808
1983-04-20,,,,264229.72416
1983-04-21,,,,278909.15327999997
1983-04-22,,,,274016.01024
1983-04-23,,,,278909.15327999997
1983-04-24,,,,325394.01216
1983-04-25,,,,288695.43936
1983-04-26,,,,269122.8672
1983-04-27,,,,254443.43808
1983-04-28,,,,244657.152
1983-04-29,,,,264229.72416
1983-04-30,,,,244657.152
1983-05-01,,,,376772.01408
1983-05-02,,,,479528.01792
1983-05-03,,,,420810.30144
1983-05-04,,,,384111.72864
1983-05-05,,,,721738.5984
1983-05-06,,,,1250198.04672
1983-05-07,,,,1059365.46816
1983-05-08,,,,1154781.75744
1983-05-09,,,,1250198.04672
1983-05-10,,,,1250198.04672
1983-05-11,,,,1096064.04096
1983-05-12,,,,902784.89088
1983-05-13,,,,729078.31296
1983-05-14,,,,618982.59456
1983-05-15,,,,618982.59456
1983-05-16,,,,560264.8780799999
1983-05-17,,,,494207.44704
1983-05-18,,,,464848.58879999997
1983-05-19,,,,413470.58688
1983-05-20,,,,369432.29952
1983-05-21,,,,325394.01216
1983-05-22,,,,283802.29632
1983-05-23,,,,254443.43808
1983-05-24,,,,220191.4368
1983-05-25,,,,195725.7216
1983-05-26,,,,173706.57792
1983-05-27,,,,139454.57663999998
1983-05-28,,,,119882.00448
1983-05-29,,,,75843.71712
1983-05-30,,,,39145.14432
1983-05-31,,,,31805.42976
1983-06-01,,,,29358.85824
1983-06-02,,,,46484.85888
1983-06-03,,,,70950.57408
1983-06-04,,,,66057.43104
1983-06-05,,,,56271.14496
1983-06-06,,,,53824.57344
1983-06-07,,,,51378.00192
1983-06-08,,,,48931.4304
1983-06-09,,,,48931.4304
1983-06-10,,,,58717.71648
1983-06-11,,,,78290.28864
1983-06-12,,,,66057.43104
1983-06-13,,,,56271.14496
1983-06-14,,,,46484.85888
1983-06-15,,,,46484.85888
1983-06-16,,,,44038.28736
1983-06-17,,,,39145.14432
1983-06-18,,,,36698.5728
1983-06-19,,,,39145.14432
1983-06-20,,,,36698.5728
1983-06-21,,,,34252.00128
1983-06-22,,,,29358.85824
1983-06-23,,,,22263.800831999997
1983-06-24,,,,29358.85824
1983-06-25,,,,23976.400896000003
1983-06-26,,,,22263.800831999997
1983-06-27,,,,26912.28672
1983-06-28,,,,41591.71584
1983-06-29,,,,34252.00128
1983-06-30,,,,34252.00128
1983-07-01,,,,34252.00128
1983-07-02,,,,48931.4304
1983-07-03,,,,117435.43296
1983-07-04,,,,63610.85952
1983-07-05,,,,51378.00192
1983-07-06,,,,41591.71584
1983-07-07,,,,39145.14432
1983-07-08,,,,39145.14432
1983-07-09,,,,34252.00128
1983-07-10,,,,31805.42976
1983-07-11,,,,26912.28672
1983-07-12,,,,26912.28672
1983-07-13,,,,17126.00064
1983-07-14,,,,11743.543296
1983-07-15,,,,13211.486208
1983-07-16,,,,11743.543296
1983-07-17,,,,11743.543296
1983-07-18,,,,10520.257536
1983-07-19,,,,10520.257536
1983-07-20,,,,9541.628928
1983-07-21,,,,9541.628928
1983-07-22,,,,7584.371712
1983-07-23,,,,8563.00032
1983-07-24,,,,10520.257536
1983-07-25,,,,8563.00032
1983-07-26,,,,6605.743104
1983-07-27,,,,6605.743104
1983-07-28,,,,6605.743104
1983-07-29,,,,6605.743104
1983-07-30,,,,4893.14304
1983-07-31,,,,4159.171584
1983-08-01,,,,4159.171584
1983-08-02,,,,4159.171584
1983-08-03,,,,4159.171584
1983-08-04,,,,3669.85728
1983-08-05,,,,3669.85728
1983-08-06,,,,3669.85728
1983-08-07,,,,3669.85728
1983-08-08,,,,3669.85728
1983-08-09,,,,3669.85728
1983-08-10,,,,3669.85728
1983-08-11,,,,2935.885824
1983-08-12,,,,3669.85728
1983-08-13,,,,3669.85728
1983-08-14,,,,2935.885824
1983-08-15,,,,2935.885824
1983-08-16,,,,2935.885824
1983-08-17,,,,2935.885824
1983-08-18,,,,2935.885824
1983-08-19,,,,2446.57152
1983-08-20,,,,2128.5172224
1983-08-21,,,,2128.5172224
1983-08-22,,,,2691.228672
1983-08-23,,,,4159.171584
1983-08-24,,,,4893.14304
1983-08-25,,,,8563.00032
1983-08-26,,,,4893.14304
1983-08-27,,,,4159.171584
1983-08-28,,,,4159.171584
1983-08-29,,,,4159.171584
1983-08-30,,,,3669.85728
1983-08-31,,,,2935.885824
1983-09-01,,,,9541.628928
1983-09-02,,,,9541.628928
1983-09-03,,,,9541.628928
1983-09-04,,,,8563.00032
1983-09-05,,,,8563.00032
1983-09-06,,,,8563.00032
1983-09-07,,,,7584.371712
1983-09-08,,,,7584.371712
1983-09-09,,,,7584.371712
1983-09-10,,,,8563.00032
1983-09-11,,,,9541.628928
1983-09-12,,,,11743.543296
1983-09-13,,,,10520.257536
1983-09-14,,,,10520.257536
1983-09-15,,,,9541.628928
1983-09-16,,,,9541.628928
1983-09-17,,,,9541.628928
1983-09-18,,,,10520.257536
1983-09-19,,,,17126.00064
1983-09-20,,,,17126.00064
1983-09-21,,,,14434.771968000001
1983-09-22,,,,14434.771968000001
1983-09-23,,,,14434.771968000001
1983-09-24,,,,13211.486208
1983-09-25,,,,11743.543296
1983-09-26,,,,13211.486208
1983-09-27,,,,11743.543296
1983-09-28,,,,13211.486208
1983-09-29,,,,11743.543296
1983-09-30,,,,13211.486208
1983-10-01,,,,13211.486208
1983-10-02,,,,13211.486208
1983-10-03,,,,11743.543296
1983-10-04,,,,11743.543296
1983-10-05,,,,11743.543296
1983-10-06,,,,11743.543296
1983-10-07,,,,13211.486208
1983-10-08,,,,13211.486208
1983-10-09,,,,15902.71488
1983-10-10,,,,17126.00064
1983-10-11,,,,17126.00064
1983-10-12,,,,15902.71488
1983-10-13,,,,15902.71488
1983-10-14,,,,15902.71488
1983-10-15,,,,15902.71488
1983-10-16,,,,17126.00064
1983-10-17,,,,17126.00064
1983-10-18,,,,17126.00064
1983-10-19,,,,17126.00064
1983-10-20,,,,17126.00064
1983-10-21,,,,17126.00064
1983-10-22,,,,18838.600704
1983-10-23,,,,23976.400896000003
1983-10-24,,,,22263.800831999997
1983-10-25,,,,20551.200768
1983-10-26,,,,20551.200768
1983-10-27,,,,20551.200768
1983-10-28,,,,20551.200768
1983-10-29,,,,20551.200768
1983-10-30,,,,22263.800831999997
1983-10-31,,,,26912.28672
1983-11-01,,,,29358.85824
1983-11-02,,,,34252.00128
1983-11-03,,,,34252.00128
1983-11-04,,,,44038.28736
1983-11-05,,,,48931.4304
1983-11-06,,,,48931.4304
1983-11-07,,,,63610.85952
1983-11-08,,,,58717.71648
1983-11-09,,,,53824.57344
1983-11-10,,,,53824.57344
1983-11-11,,,,56271.14496
1983-11-12,,,,56271.14496
1983-11-13,,,,56271.14496
1983-11-14,,,,58717.71648
1983-11-15,,,,80736.86016
1983-11-16,,,,112542.28992
1983-11-17,,,,117435.43296
1983-11-18,,,,117435.43296
1983-11-19,,,,102756.00384
1983-11-20,,,,95416.28928
1983-11-21,,,,92969.71776
1983-11-22,,,,88076.57472
1983-11-23,,,,85630.00319999999
1983-11-24,,,,112542.28992
1983-11-25,,,,151687.43424
1983-11-26,,,,144347.71968
1983-11-27,,,,137008.00512
1983-11-28,,,,137008.00512
1983-11-29,,,,151687.43424
1983-11-30,,,,156580.57728
1983-12-01,,,,151687.43424
1983-12-02,,,,144347.71968
1983-12-03,,,,137008.00512
1983-12-04,,,,124775.14752
1983-12-05,,,,117435.43296
1983-12-06,,,,124775.14752
1983-12-07,,,,127221.71904
1983-12-08,,,,146794.2912
1983-12-09,,,,342520.01279999997
1983-12-10,,,,873426.03264
1983-12-11,,,,636108.5952
1983-12-12,,,,501547.1616
1983-12-13,,,,530906.01984
1983-12-14,,,,863639.74656
1983-12-15,,,,1237965.18912
1983-12-16,,,,738864.59904
1983-12-17,,,,464848.58879999997
1983-12-18,,,,325394.01216
1983-12-19,,,,259336.58112
1983-12-20,,,,229977.72288
1983-12-21,,,,171260.00639999998
1983-12-22,,,,161473.72032
1983-12-23,,,,161473.72032
1983-12-24,,,,161473.72032
1983-12-25,,,,161473.72032
1983-12-26,,,,171260.00639999998
1983-12-27,,,,195725.7216
1983-12-28,,,,185939.43552
1983-12-29,,,,181046.29248
1983-12-30,,,,220191.4368
1983-12-31,,,,489314.304
1984-01-01,,,,978628.608
1984-01-02,,,,1108296.89856
1984-01-03,,,,2187234.93888
1984-01-04,,,,2886954.3936
1984-01-05,,,,1707706.92096
1984-01-06,,,,1186587.1872
1984-01-07,,,,870979.46112
1984-01-08,,,,655681.16736
1984-01-09,,,,513780.0192
1984-01-10,,,,425703.44448
1984-01-11,,,,403684.30079999997
1984-01-12,,,,374325.44256
1984-01-13,,,,330287.1552
1984-01-14,,,,276462.58176
1984-01-15,,,,210405.15072
1984-01-16,,,,185939.43552
1984-01-17,,,,156580.57728
1984-01-18,,,,137008.00512
1984-01-19,,,,137008.00512
1984-01-20,,,,137008.00512
1984-01-21,,,,117435.43296
1984-01-22,,,,105202.57536
1984-01-23,,,,95416.28928
1984-01-24,,,,2155429.50912
1984-01-25,,,,2935885.824
1984-01-26,,,,2201914.368
1984-01-27,,,,1223285.76
1984-01-28,,,,733971.456
1984-01-29,,,,611642.88
1984-01-30,,,,489314.304
1984-01-31,,,,415917.1584
1984-02-01,,,,366985.728
1984-02-02,,,,318054.2976
1984-02-03,,,,293588.5824
1984-02-04,,,,269122.8672
1984-02-05,,,,256890.0096
1984-02-06,,,,244657.152
1984-02-07,,,,232424.29439999998
1984-02-08,,,,220191.4368
1984-02-09,,,,210405.15072
1984-02-10,,,,200618.86463999999
1984-02-11,,,,185939.43552
1984-02-12,,,,217744.86528
1984-02-13,,,,1370080.0511999999
1984-02-14,,,,1604950.9171199999
1984-02-15,,,,1125422.8991999999
1984-02-16,,,,1017773.75232
1984-02-17,,,,870979.46112
1984-02-18,,,,763330.31424
1984-02-19,,,,645894.88128
1984-02-20,,,,618982.59456
1984-02-21,,,,628768.88064
1984-02-22,,,,560264.8780799999
1984-02-23,,,,535799.16288
1984-02-24,,,,535799.16288
1984-02-25,,,,618982.59456
1984-02-26,,,,577390.87872
1984-02-27,,,,584730.59328
1984-02-28,,,,618982.59456
1984-02-29,,,,628768.88064
1984-03-01,,,,714398.88384
1984-03-02,,,,1064258.6112
1984-03-03,,,,968842.32192
1984-03-04,,,,822048.03072
1984-03-05,,,,685040.0255999999
1984-03-06,,,,601856.59392
1984-03-07,,,,594516.87936
1984-03-08,,,,611642.88
1984-03-09,,,,714398.88384
1984-03-10,,,,939483.46368
1984-03-11,,,,1113190.0415999999
1984-03-12,,,,978628.608
1984-03-13,,,,1007987.46624
1984-03-14,,,,1913218.92864
1984-03-15,,,,2060013.21984
1984-03-16,,,,1766424.63744
1984-03-17,,,,1619630.3462399999
1984-03-18,,,,1370080.0511999999
1984-03-19,,,,1284450.048
1984-03-20,,,,1516874.3424
1984-03-21,,,,2155429.50912
1984-03-22,,,,2343815.51616
1984-03-23,,,,2206807.51104
1984-03-24,,,,1913218.92864
1984-03-25,,,,1634309.77536
1984-03-26,,,,1986616.07424
1984-03-27,,,,2172555.50976
1984-03-28,,,,2089372.07808
1984-03-29,,,,2223933.51168
1984-03-30,,,,1986616.07424
1984-03-31,,,,1693027.49184
1984-04-01,,,,1467942.912
1984-04-02,,,,1370080.0511999999
1984-04-03,,,,1223285.76
1984-04-04,,,,1100957.184
1984-04-05,,,,1198820.0448
1984-04-06,,,,1333381.4784
1984-04-07,,,,1162121.472
1984-04-08,,,,1480175.7696
1984-04-09,,,,1504641.4848
1984-04-10,,,,1480175.7696
1984-04-11,,,,1406778.624
1984-04-12,,,,1321148.6208
1984-04-13,,,,1174354.3296
1984-04-14,,,,1100957.184
1984-04-15,,,,1345614.336
1984-04-16,,,,1516874.3424
1984-04-17,,,,1382312.9088
1984-04-18,,,,1259984.3328
1984-04-19,,,,1211052.9024
1984-04-20,,,,998201.18016
1984-04-21,,,,841620.60288
1984-04-22,,,,753544.02816
1984-04-23,,,,733971.456
1984-04-24,,,,655681.16736
1984-04-25,,,,550478.592
1984-04-26,,,,469741.73184
1984-04-27,,,,403684.30079999997
1984-04-28,,,,374325.44256
1984-04-29,,,,374325.44256
1984-04-30,,,,411024.01536
1984-05-01,,,,550478.592
1984-05-02,,,,910124.60544
1984-05-03,,,,1431244.3392
1984-05-04,,,,1467942.912
1984-05-05,,,,1296682.9056
