date,inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3),canal discharge (m3/d),outflow(m3/d)
2002-11-21,4208.1030144,754.6543200000001,5.450163600000003,12.333552000000005,-0.888776,4992670.6524,61164.288,0.0
2002-11-22,1321.1486208000001,754.703088,5.494608400000004,12.666888000000004,0.11123200000000466,5055146.4144,61164.288,0.0
2002-11-23,6385.551667199999,754.754904,6.8223968000000035,13.889120000000005,1.2223520000000043,5122691.7792,61164.288,0.0
2002-11-24,-9639.4917888,754.803672,4.950159600000003,10.111312000000005,0.33345600000000175,5186450.3604,73397.1456,0.0
2002-11-25,-17737.64352,754.846344,0.6445696000000005,12.055772000000005,-6.388819999999997,5242117.3127999995,73397.1456,0.0
2002-11-26,-10177.7375232,754.895112,0.1167876000000021,9.111304000000004,-5.8888159999999985,5305333.1628,73397.1456,0.0
2002-11-27,-17737.64352,754.937784,-0.5221063999999984,6.666840000000004,-6.222151999999998,5361000.1152,73397.1456,0.0
2002-11-28,-29627.981107199997,754.971312,-0.20543719999999865,8.111296000000003,-5.777703999999996,5404763.9856,73397.1456,0.0
2002-11-29,-16881.343488000002,755.013984,0.24456640000000007,9.500196000000003,-5.777703999999996,5461269.7044,73397.1456,0.0
2002-11-30,-20135.2836096,755.053608,0.40567880000000045,10.277980000000003,-5.166587999999999,5514531.3708,73397.1456,0.0
2002-12-01,-4061.3087232,755.1054240000001,0.6612364,10.055756000000006,-3.9999119999999966,5583865.2816,73397.1456,0.0
2002-12-02,-12379.6518912,755.151144,0.14456559999999996,10.222424000000004,-4.999919999999998,5644885.5372,73397.1456,0.0
2002-12-03,-7926.891724800001,755.199912,-1.3221127999999958,5.444608000000002,-5.388811999999998,5710346.3208,73397.1456,0.0
2002-12-04,-12379.6518912,755.2456320000001,-0.5609955999999983,4.500156000000004,-5.111031999999998,5771366.576400001,73397.1456,0.0
2002-12-05,97.8628608,755.3004960000001,0.911238400000002,7.666848000000002,-3.166571999999997,5844857.314800001,73397.1456,0.0
2002-12-06,-14287.9776768,755.343168,-2.005451599999997,2.7779200000000017,-5.388811999999998,5903978.0112,73397.1456,0.0
2002-12-07,-21529.829376,755.3980320000001,-3.733243199999997,2.6668079999999996,-8.888839999999998,5980318.0884,97862.8608,0.0
2002-12-08,-30704.472576,755.4468,-3.466574399999997,-2.333231999999997,-4.944363999999997,6047468.739600001,97862.8608,0.0
2002-12-09,-17908.9035264,755.495568,-1.155444799999998,-0.05543599999999671,-2.7776799999999984,6115186.7916,85630.00319999999,0.0
2002-12-10,-6238.757376,755.544336,-0.2109927999999961,0.6667920000000045,-1.2776679999999985,6182337.442799999,73397.1456,0.0
2002-12-11,33102.1126656,755.6205360000001,0.08900960000000069,1.2223520000000043,-1.2221119999999956,6288848.4408,73397.1456,0.0
2002-12-12,26569.766707199997,755.6906400000001,2.0723588,3.3890360000000044,0.8890160000000051,6388809.66,73397.1456,0.0
2002-12-13,18496.080691199997,755.7637920000001,5.527942000000003,9.500196000000003,2.5556960000000046,6492927.7068,85630.00319999999,0.0
2002-12-14,27352.6695936,755.8430400000001,9.283527600000003,12.333552000000005,7.222400000000004,6605902.14,85630.00319999999,0.0
2002-12-15,44234.013081599995,755.916192,9.383528400000003,13.722452000000004,5.889056000000004,6711290.6712,61164.288,0.0
2002-12-16,29138.6668032,755.9771519999999,8.233519200000003,12.333552000000005,4.500156000000004,6801581.4072,61164.288,0.0
2002-12-17,37726.1328384,756.044208,3.4168140000000022,7.666848000000002,-0.6109959999999965,6900469.4988,61164.288,0.0
2002-12-18,19915.0921728,756.099072,1.6279108000000022,6.389060000000004,-1.5554479999999984,6981546.1392,61164.288,0.0
2002-12-19,20526.735052800002,756.153936,-1.3332239999999977,2.611252000000004,-5.277699999999998,7063239.5196,61164.288,0.0
2002-12-20,-5847.3059328,756.199656,2.100136800000005,5.222384000000002,-0.6109959999999965,7130797.2192,73397.1456,0.0
2002-12-21,20575.6664832,756.260616,1.1001288000000002,2.2779160000000047,0.16678800000000038,7224763.7256000005,73397.1456,0.0
2002-12-22,16073.974886400001,756.3185280000001,2.1779152000000046,5.9446120000000064,-1.3332239999999977,7314228.03,73397.1456,0.0
2002-12-23,21211.775078399998,756.379488,-0.2998823999999978,2.4445840000000025,-2.7221239999999973,7408848.2808,73397.1456,0.0
2002-12-24,25713.466675199998,756.443496,0.2945668000000019,3.4445920000000037,-1.0554439999999978,7507970.7336,73397.1456,0.0
2002-12-25,21211.775078399998,756.504456,-0.7387747999999981,1.2223520000000043,-2.388787999999998,7602578.649600001,73397.1456,0.0
2002-12-26,34325.3984256,756.5715120000001,-1.7832275999999982,0.2223440000000032,-3.555463999999997,7710298.458000001,73397.1456,0.0
2002-12-27,25542.206668799998,756.632472,2.322360800000002,5.222384000000002,0.2779000000000025,7809248.2236,73397.1456,0.0
2002-12-28,49787.730432000004,756.708672,3.6168156000000025,7.666848000000002,1.166796000000005,7932423.536400001,73397.1456,0.0
2002-12-29,30264.089702399997,756.77268,4.5112672000000025,8.777968000000001,-0.6665519999999958,8036085.1956,73397.1456,0.0
2002-12-30,83941.86885120001,756.867168,0.37234520000000515,1.6112440000000028,-0.888776,8193415.569600001,73397.1456,0.0
2002-12-31,85874.660352,756.9464160000001,3.605704400000004,7.055732000000006,1.3890200000000021,8328222.598800001,48931.4304,0.0
2003-01-01,78583.8772224,757.028712,0.01678680000000199,2.889032000000004,-3.499907999999998,8467975.8828,61164.288,0.0
2003-01-02,63048.1480704,757.101864,2.366805600000003,4.444600000000001,1.055684000000003,8592199.6536,61164.288,0.0
2003-01-03,77287.1943168,757.1811120000001,3.4723700000000015,7.611292000000006,0.9445720000000044,8730645.448800001,61164.288,0.0
2003-01-04,68552.9339904,757.254264,3.4334808000000017,6.555728000000002,1.3334640000000029,8860370.5404,61164.288,0.0
2003-01-05,63390.6680832,757.324368,4.694602000000003,10.111312000000005,-0.3332159999999966,8984927.3508,61164.288,0.0
2003-01-06,45286.0388352,757.391424,0.43345680000000186,5.666832000000003,-2.944347999999998,9103600.4616,73397.1456,0.0
2003-01-07,37041.0928128,757.452384,-1.5610035999999958,2.1668040000000026,-5.611035999999999,9214033.925999999,73397.1456,0.0
2003-01-08,-660.5743104000001,757.498104,-2.838791599999997,4.389044000000002,-7.9999439999999975,9298996.0284,85630.00319999999,0.0
2003-01-09,28551.4896384,757.552968,-3.6387979999999978,-2.7776799999999984,-5.055475999999999,9400943.1504,73397.1456,0.0
2003-01-10,34618.987008000004,757.604784,-1.244334399999996,0.11123200000000466,-2.8332359999999976,9496722.8724,61164.288,0.0
2003-01-11,63194.94236159999,757.6718400000001,0.2501220000000046,1.166796000000005,-0.7221079999999986,9621082.326,61164.288,0.0
2003-01-12,63464.065228800006,757.744992,1.3112416000000024,2.7223640000000024,0.2223440000000032,9757949.2668,73397.1456,0.0
2003-01-13,56099.8849536,757.8120480000001,3.3057020000000037,6.277948000000002,0.7223480000000002,9887452.332,73397.1456,0.0
2003-01-14,62534.3680512,757.882152,4.561267600000004,6.666840000000004,2.611252000000004,10023394.1628,73397.1456,0.0
2003-01-15,44038.28736,757.943112,1.7612452000000047,7.055732000000006,-1.388779999999997,10140833.7936,73397.1456,0.0
2003-01-16,62534.3680512,758.013216,0.9501276000000018,5.055716000000004,-2.055451999999997,10276775.624400001,73397.1456,0.0
2003-01-17,59818.673663999994,758.080272,0.7056812000000043,6.389060000000004,-2.4443439999999974,10409991.4644,73397.1456,0.0
2003-01-18,86461.8375168,758.1473280000001,-0.46099479999999815,0.777904000000003,-2.388787999999998,10545378.229200002,48931.4304,0.0
2003-01-19,93165.4434816,758.217432,0.11123200000000466,0.7223480000000002,-0.6109959999999965,10687475.1252,48931.4304,0.0
2003-01-20,86437.37180159999,758.284488,0.23901080000000263,1.166796000000005,-0.499883999999998,10822849.5552,48931.4304,0.0
